"","CH-CL_ET-4/5/6","CH-CL_ET-7","CH-CL_ET-2","CH-CL_ET-1","CH-CL_ET-3","CH-CL_ET-8","IX-CL_ET-2","IX-CL_ET-6","IX-CL_ET-1","IX-CL_ET-12","IX-CL_ET-4","IX-CL_ET-13","IX-CL_ET-11","IX-CL_ET-14","IX-CL_ET-8","IX-CL_ET-10","IX-CL_ET-9","IX-CL_ET-5","IX-CL_ET-7","TX-CL_ET-2","TX-CL_ET-1","IX-CL_ET-3","XO-CL_ET-1"
"CH-CL_ET-4/5/6",0,3092.40549269088,6650.94202686514,6223.31648829646,1402.47356773455,7205.56283814873,12785.0436522873,13266.8461318378,12057.6274954363,8216.98152696554,11211.2916981207,12381.6210272826,8405.05743217547,13080.1252605486,12534.9069608072,15657.9275081426,17366.8124825333,8786.81418857222,13087.1013020712,14069.4290821557,13030.9002785822,10977.0266262516,15679.2816882089
"CH-CL_ET-7",3092.40549269088,0,8945.67141060323,5716.45753085485,4519.38599476947,5887.61438097955,10512.2074417997,10584.9384443404,10247.6710335513,5350.81498508387,8344.54330981747,9377.91494903844,5757.00501839906,10171.1932643395,10317.209248956,13015.0238748926,14727.0652647697,6138.76177479581,10405.1936145738,11796.592871668,11220.9438166972,8110.78052471627,13645.7549344369
"CH-CL_ET-2",6650.94202686514,8945.67141060323,0,6276.91667737564,5701.33540047525,13536.3283606653,15105.9122604446,18661.755911956,12595.2490421573,12133.5164228991,15293.359570125,16889.3167666435,14104.4955930312,17960.3547644126,18680.5750567936,21327.7398135677,23060.7850957338,14475.0836884706,18326.8384914557,15730.698387815,13531.6827110131,14633.3280559237,22006.06637047
"CH-CL_ET-1",6223.31648829646,5716.45753085485,6276.91667737564,0,6941.35225848131,11505.7312512086,8836.95973392221,13570.1455658974,6329.7823465441,6681.10000573244,9775.06655567078,11503.3561739699,9950.42475494928,12688.5449090863,14624.190198317,16731.5623107169,18563.6661061553,10320.3193242497,13055.0286361294,9461.74586129261,7266.22340218012,8944.34644017022,17940.4771437829
"CH-CL_ET-3",1402.47356773455,4519.38599476947,5701.33540047525,6941.35225848131,0,8116.62515112169,14066.8410469691,14504.4655935074,13110.2443791172,9572.46725140909,12567.3716483381,13738.1057929834,9641.36040117821,14317.7447222182,13768.60375695,16892.761019359,18601.5861029031,10023.117157575,14324.7207637407,15351.2264768374,14083.5171622631,12332.5123506952,16596.5692245939
"CH-CL_ET-8",7205.56283814873,5887.61438097955,13536.3283606653,11505.7312512086,8116.62515112169,0,13493.4985645322,8859.80709142821,14936.2121082388,8042.4919033052,9570.7326401413,10015.2678516699,4553.1646455557,8756.33645439921,6583.1858202189,10172.7872199437,11647.1394830051,4675.2611582497,8763.31249592176,14974.634287083,15886.3598178891,10185.8721174907,9085.86746952081
"IX-CL_ET-2",12785.0436522873,10512.2074417997,15105.9122604446,8836.95973392221,14066.8410469691,13493.4985645322,0,9173.32992659904,4250.13583046917,5118.5178552658,4793.71790734644,6451.06468240403,8976.91777899927,8350.80363089969,12224.4897009774,12217.3161834927,13858.1935698346,9086.6310594356,8686.75984341105,1483.81029150983,3255.58515031914,3296.03910504918,14968.9594323181
"IX-CL_ET-6",13266.8461318378,10584.9384443404,18661.755911956,13570.1455658974,14504.4655935074,8859.80709142821,9173.32992659904,0,13773.8415992464,6833.52239579148,4449.82007480215,2785.65826512609,4805.28608969306,951.650435207979,3552.95596751032,3232.19577049972,5069.51155161993,4476.08939178242,538.565560983087,10710.4154056828,12779.2909190964,6071.55602301089,5898.59845596077
"IX-CL_ET-1",12057.6274954363,10247.6710335513,12595.2490421573,6329.7823465441,13110.2443791172,14936.2121082388,4250.13583046917,13773.8415992464,0,7396.04738823337,8935.52876833432,10659.5111286054,11757.0099913309,12532.1101463161,16056.4947303735,16428.0695088992,18071.0309782795,11968.1462072955,12892.3367766592,3299.21105046052,973.272783145886,7413.58898169696,19174.042617083
"IX-CL_ET-12",8216.98152696554,5350.81498508387,12133.5164228991,6681.10000573244,9572.46725140909,8042.4919033052,5118.5178552658,6833.52239579148,7396.04738823337,0,3185.55681548958,4837.06642283951,4440.24019928527,6023.67283619016,8660.4957666047,10066.6902378208,11898.7940332592,4602.49691892741,6390.15656323331,7173.57364446229,8240.32602915583,2760.0450992861,11964.4775542717
