"","CH-CL-28","CH-CL-21","CH-CL-22","CH-CL-24","CH-CL-20","CH-CL-19","CH-CL-16","CH-CL-12","CH-CL-14","CH-CL-50","CH-CL-8","CH-CL-47/48/49","CH-CL-51","CH-CL-9/10","CH-CL-52","CH-CL-56","CH-CL-54","CH-CL-3","CH-CL-46","CH-CL-55","CH-CL-4","CH-CL-7","CH-CL-11","CH-CL-13","CH-CL-15","CH-CL-17","CH-CL-18","CH-CL-25/26","CH-CL-27","CH-CL-29","CH-CL-39","CH-CL-41","CH-CL-42","CH-CL-43","CH-CL-44","CH-CL-45","CH-CL-53","CH-CL-35","CH-CL-36","CH-CL-1/2","CH-CL-37","CH-CL-38","CH-CL-34","CH-CL-5","CH-CL-40","CH-CL-31","CH-CL-32","CH-CL-33","CH-CL-30","CH-CL-23","CH-CL-6","IX-CL-17","IX-CL-30","IX-CL-3","IX-CL-6","IX-CL-8","IX-CL-2","IX-CL-16","IX-CL-31","IX-CL-32","IX-CL-35","IX-CL-9","IX-CL-18","IX-CL-19","IX-CL-22","IX-CL-23","IX-CL-5","IX-CL-29","IX-CL-24","IX-CL-26","IX-CL-7","IX-CL-10","IX-CL-33","IX-CL-13","IX-CL-37","IX-CL-15","IX-CL-36","IX-CL-11","IX-CL-4","IX-CL-1","IX-CL-14","IX-CL-20","IX-CL-27","IX-CL-28","IX-CL-12","IX-CL-34","TX-CL-13","TX-CL-2","TX-CL-4","TX-CL-14","TX-CL-1","TX-CL-3","TX-CL-5","TX-CL-6","TX-CL-7","TX-CL-9","TX-CL-10","TX-CL-11","TX-CL-12","IX-CL-25","XO-CL-5"
"CH-CL-28",0,1874.19057429948,1492.82809325225,897.538460611467,2598.34111578453,3444.2447859041,5613.56865319068,7553.64497201877,8947.34661907428,7110.245363547,9663.3699719054,8346.06947990299,11301.055128465,8148.04454649462,11632.8734612245,14174.3665413223,12671.3119645242,12979.3025059246,7052.17852848371,13543.4457265785,12094.4733505061,12585.0015844456,7129.86906001884,8593.64567769106,8367.74943621292,4858.69723082456,4668.71199247535,2025.66953665042,275.989888837727,694.917881604254,5918.18369082845,4543.18337099027,7631.50762009049,6014.34605010292,3991.93867898015,3797.50053909737,12118.2093056981,7562.28148506112,7143.12905995905,13939.8951491234,6614.41897274177,7209.0137028383,5170.57252272899,12320.4201842291,3333.3354219327,1983.75720143944,2478.70307975806,2896.89190699336,1189.54034532792,1601.02257269468,11989.8442457716,20983.4215136406,20964.6741930163,15700.6840837868,20715.1821887801,20193.7444076099,19107.5580713457,20348.7262736778,20440.0011942696,21093.9271793956,18654.0546602619,18537.6177031611,17313.1531810916,15575.2682744701,16500.57265149,17218.5829203105,19447.1275690168,20500.9926534967,16617.9587671459,15735.6914227406,16128.0266893994,20850.4334156207,21820.069481157,19751.4842045639,23030.1437506425,24690.007013564,23851.2770598868,18071.394249962,16511.0278399259,17521.2938990438,19970.2291334336,15048.8273274593,15965.2265007568,16480.860896515,20865.0364404233,17745.2187837525,20474.9477740324,22059.6999882027,24335.058972692,21024.2985572394,20109.1306996107,24712.8823607456,21713.0793683669,21498.7339505081,23461.3324292465,22678.5787903836,22524.1371056135,21846.8803570286,21146.2452537173,19258.2973880752,22618.2350716373
"CH-CL-21",1874.19057429948,0,721.893955286071,2546.83784745853,834.994875407492,1716.74954925659,3992.64459243842,5697.14695005515,7203.51732549655,5978.92095742656,7829.10140682991,6788.04661467151,9880.37960897469,6313.77598141913,10896.0024504025,13113.5819252355,11901.0979977792,11235.4732123469,5475.66680384745,12510.8773645869,10313.1099391206,10750.7330193701,5265.35968474975,6740.50156416765,6702.95130294497,3210.20020553831,3020.2149671891,4058.33470842085,2037.82428210082,2691.24954975011,5964.84433308929,5437.74527362547,8796.54416672927,7384.44901703133,5076.76394320801,5946.39633984249,11348.3836524394,6958.42260945447,6785.39138243261,12196.0658555456,6581.98117262902,7187.16172777769,4930.81671822754,10539.0567728436,4094.20779792428,3019.78798408092,2703.03466280094,2680.21970988483,2277.60487813494,1695.60012370721,10155.3117388006,19362.4974528883,19783.4117995437,14079.7600230346,18933.8187773946,18412.3809962244,17363.728777768,18727.8022129255,19201.8757317433,19860.7704439402,17589.5314306157,16756.2542917756,15692.2291203394,13954.3442137179,14879.6485907377,15597.6588595582,17826.2035082646,19124.7321831374,15089.7136196423,14539.6379525352,14944.4691538602,19669.1710221481,20562.424784367,18687.972384051,21890.3015411237,23613.5627221976,22787.7177403867,16290.0308385765,14729.6644285404,15739.9304876582,18226.4702610334,13427.9032667071,14769.7315168856,15299.5985030424,19683.7740469507,16651.8914078433,18731.1184804546,20438.7759274504,22714.1349119398,19280.4692636616,18365.301406033,22969.0530671679,20092.1553076147,19877.8098897558,21679.969017861,20897.2153789981,20780.3078120358,20065.5169456431,19364.8818423317,17637.373327323,21556.0086694098
"CH-CL-22",1492.82809325225,721.893955286071,0,1884.17535925915,1125.37949169672,1971.28316181628,4141.55346640532,6080.68334793096,7474.38499498647,5848.41534021395,8404.00961222268,6886.26915053549,9879.142069373,6888.68418681191,10591.3355687444,12932.9632969464,11596.4311161211,11506.3408818368,5585.23135016552,12311.5956710307,10621.5117264183,11243.8867080568,5656.90743593102,7126.44877414027,6883.08136156991,3374.02915618155,3184.04391783233,3530.85068391988,1523.46888235941,2338.89258770856,6387.24113179979,5532.13452962498,8823.99105565045,7377.68228918552,5105.70863156114,5431.39070503834,11043.7167707813,7424.72817306461,7243.31104819911,12466.9335250356,7039.90083839551,7645.07175683951,5388.73638399404,10847.4585601413,4202.89410410878,3035.64055666517,2935.37437748943,3076.72902279006,2168.00808969757,1842.36747293148,10564.6608636593,19511.4063268552,19686.5875393351,14228.6688970015,19242.2205646923,18720.7827835221,17634.5964472579,18876.7110868924,19161.9145405884,19815.8405257144,17410.2584740062,17064.6560790733,15841.1379943063,14103.2530876848,15028.5574647046,15746.5677335251,17975.1123822315,19222.9059998155,15212.3700681553,14457.6047690594,14849.9400357182,19572.3467619395,20541.9828274758,18507.6880183082,21768.6408099454,23445.325492934,22607.4808736312,16598.4326258742,15038.0662158381,16048.3322749559,18495.5471826621,13576.812140674,14687.1398470756,15202.7742428338,19586.9497867421,16484.0460062507,19001.9861499445,20587.6848014173,22863.0437859067,19551.3369331516,18636.1690755229,23239.9207366578,20241.0641815816,20026.7187637227,21988.3708051587,21205.6171662958,21051.1754815257,20373.9187329408,19673.2836296295,17786.2822012899,21375.4405791018
"CH-CL-24",897.538460611467,2546.83784745853,1884.17535925915,0,2614.97167776007,3458.54749675952,5483.74390723952,7570.27553399432,8958.08907668751,6749.53013224253,9875.04508848187,8012.35579178168,10967.3414403437,8359.71966307109,11003.9098135727,13675.6515759172,12046.1460767787,12990.0449635378,6733.54287252794,13044.2810892372,12111.1039124817,12733.6869724461,7146.49962199438,8616.04096020363,8338.91648265011,4820.56892424028,4639.87903891253,1660.68883161564,612.073931405853,1238.5753696266,6634.81361382245,5217.09030035317,8233.15814131289,6421.56893756047,4593.58920020255,3568.12379395389,11493.0434179526,8239.38950045694,7859.75898295305,13950.6376067366,7331.04889573577,7925.6436258323,5887.20244572299,12337.0507462047,4049.9653449267,2700.38712443344,3195.33300275206,3613.52182998735,1906.17026832192,2250.56990529059,12054.2530497226,20729.2027869253,20613.0271845241,15442.142586349,20731.8127507557,20210.3749695854,19118.3005289589,20094.5075469625,20088.3541857774,20742.2801709035,18267.1298427126,18554.2482651367,17188.5461284,15446.3285306315,16228.9419150453,16940.5077111231,19168.2951822269,20149.3456450046,16284.2450790245,15384.0444142485,15776.3796809072,20498.7864071285,21468.4224726648,19260.7211207596,22669.428519338,24298.1107162168,23363.3866200737,18088.0248119376,16527.6584019015,17537.9244610193,19957.1275840069,14780.3610223795,15613.5794922646,16129.2138880228,20513.3894319311,17378.1175906953,20485.6902316456,21930.7602443641,24063.8626483484,21035.0410148526,20119.873157224,24680.9043201109,21441.5683452873,21227.5376261645,23477.9629912221,22695.2093523592,22534.8795632267,21863.5109190041,21162.8758156928,18987.1010637316,22119.704791341
"CH-CL-20",2598.34111578453,834.994875407492,1125.37949169672,2614.97167776007,0,886.098265834535,3168.954661445,4966.23321805805,6389.49498617819,5247.00589465289,7338.12091758275,5980.36685029589,9072.69984459907,5822.63948028723,10249.7533572344,12381.6668624619,11248.0437308892,10421.4508730285,4667.98703947183,11807.9957487105,9507.06159654543,10165.5965410626,4540.89757833826,6011.99864426736,5885.17096919938,2378.67884336085,2188.69360501164,4890.20655719219,2882.74951965148,3573.25983308283,6733.62600852527,6326.63047425307,9702.51875917812,8350.96677823574,6007.41530314053,6790.67134233041,10699.9765173741,7483.58180997237,7328.48357481927,11382.0435162273,7129.20230300543,7821.91484536833,5478.03784860396,9733.00843026841,4983.09299855188,3986.30574528533,3588.78364439118,3455.8765498801,3244.12263933934,2605.8858006148,9450.21073378636,18538.8075218949,18994.1249055062,13256.0700920411,18127.7704348194,17606.3326536492,16549.7064384496,17904.1122819321,18394.1959673677,19053.0906795646,16857.6163678421,15950.2059492004,14866.5951209278,13130.6542827245,14055.9586597443,14773.9689285648,17002.5135772711,18317.0524187618,14282.0338552667,13731.9581881595,14149.2303169331,18872.6332051588,19754.7450199914,17956.0573212773,21158.3864783501,22881.6476594239,22055.802677613,15483.9824960013,13923.6160859652,14933.882145083,17412.3775005375,12604.2133357137,13962.0517525099,14520.3043299681,18887.2362299614,15919.9763450696,17917.0961411363,19615.085996457,21890.4449809464,18466.4469243433,17551.2790667146,22155.0307278495,19268.4653766213,19054.1199587624,20873.9206752858,20091.1670364229,19966.2854727174,19259.4686030679,18558.8334997566,16813.6833963295,20824.0936066361
"CH-CL-19",3444.2447859041,1716.74954925659,1971.28316181628,3458.54749675952,886.098265834535,0,2380.2637553104,4138.92095309822,5514.93305345926,4622.14767883696,6649.5950142706,5255.98424709592,8348.38836136372,5170.47112987599,9768.34588853337,11771.5463667719,10720.5322058213,9546.88894030956,3943.60541916968,11229.7461355451,8657.24000244062,9460.11820053856,3740.92138489102,5162.17705016255,5014.29660973015,1545.43591530077,1364.09146477088,5833.55797542418,3826.10093788347,4550.13940157336,7417.80875052493,7179.1006184556,10562.4721313631,9326.72614488656,6867.36867532549,7734.0227605624,10187.5591152609,7969.59900513702,7852.63221525358,10507.4815835084,7726.35370755225,8497.81609964604,6108.37341895396,8883.18683616361,5843.04637073684,4962.06511193616,4448.73701657615,4261.07160130864,4220.77542812688,3548.66675840303,8600.38913968155,17682.4932639272,18270.1929158534,12399.7985496746,17277.9488407146,16756.5110595444,15675.1445057307,17047.7980239644,17664.5900805392,18323.9477705542,16245.4437231741,15100.3843550956,14006.4700101648,12271.3499944308,13202.0399438891,14005.0610203604,16226.7688480052,17586.1545607859,13551.1731815853,13008.0261985067,13426.1425113541,18148.701215506,19024.2510821483,17345.6603612116,20524.4521864727,22265.4071916437,21445.2637853832,14634.1609018965,13073.7944918604,14084.0605509782,16537.8155678185,11749.7063064115,13238.1197628571,13797.5959242334,18163.3042403086,15301.3959511103,17042.5342084173,18755.5306774616,21036.5262650911,17591.8849916243,16676.7171339957,21280.4687951306,18414.546660766,18200.2012429072,20024.099081181,19241.3454423181,19091.7235399985,18409.6470089631,17709.0119056518,15959.7646804743,20213.7955458574
"CH-CL-16",5613.56865319068,3992.64459243842,4141.55346640532,5483.74390723952,3168.954661445,2380.2637553104,0,3197.23433895637,3702.47000063263,2818.16413988597,6146.86428432833,2899.01479019805,5990.82161550046,4938.32065415804,8131.06022114201,9916.66282512692,9048.69846469929,7733.55744374408,1588.53066685599,9481.31273173658,6898.77584855356,8573.84714074565,3133.45959630526,4035.74710164093,2971.44276566867,922.474270081761,1137.81535310281,8013.50084282085,6337.31705224713,7206.57184046735,10070.5204893555,9885.18875157387,13276.3397858535,12011.0173998946,9581.23632981595,9996.62946272581,8520.07747783517,10460.534187558,10364.5630666123,8693.08563034672,10360.4531178816,11141.5255878443,8747.94374649027,7244.33114640668,8556.9140252273,7646.35636694421,7161.43338085073,6967.15973442691,6902.05886778436,6237.32277165899,7353.59158805152,15370.1968270334,15986.8701239286,10087.4593971796,15519.2115894255,14997.443807401,13857.263078434,14735.5015870706,15306.5011491338,15965.8588391489,14122.3569618733,13340.8239203243,11708.334867958,9966.11727018951,10887.3479648828,11646.1717890221,13859.3301809365,15228.0656293806,11193.0842501799,10697.4198328311,11188.159856222,15864.544177262,16666.162150743,15225.2558046209,18390.1599624417,20139.0863136513,19324.0316018264,12874.6004671252,11290.1915006206,12324.5001162069,14579.7586290554,9435.60264085215,10927.545953743,11569.9166126188,15879.1472020646,13177.8571093974,15228.1382552557,16450.5489839221,18721.8342860849,15777.4890384627,14854.8896944681,19295.8518295676,16099.8546817597,15885.5092639009,18251.0237275217,17448.6934058802,17272.0901270669,16642.021307494,15949.4514708805,13645.072701468,18095.481062452
"CH-CL-12",7553.64497201877,5697.14695005515,6080.68334793096,7570.27553399432,4966.23321805805,4138.92095309822,3197.23433895637,0,2473.41722112773,5534.79790036159,3031.74710545756,4492.52795162042,6843.22269752567,1849.04937446164,10767.0452611401,12130.3644255711,11418.0958285714,5967.62684952764,3806.63076627906,11697.9987934672,4832.05615454846,5663.57051757328,406.571427357187,1100.58487512098,2356.75246254794,3122.05295898135,3255.63457176537,10158.9320920287,8151.47505448803,8775.80393519618,10097.57391796,10389.9648280678,13582.4069956596,12850.689363082,10309.8064451226,12059.396877167,11029.7133884875,9106.51815572568,9435.24856213569,7078.44517467812,9960.96849852381,10853.2952223821,8677.69791209521,4899.09699850148,9183.38707304981,8600.96480792115,7827.95583482637,7454.4922079891,8077.17042864777,7285.37570862578,4551.44621493849,14364.7137399918,17141.9104776909,9089.10494150718,13296.9774413542,12775.5396601839,12245.3310815212,13730.018500029,15763.6651425693,16425.307176325,15601.6170695911,11156.8880242291,10676.6992638485,8944.84666366792,11027.6785086909,11948.8071922839,14157.6797471618,15564.5570626588,11566.0972020168,11615.6533179633,12555.0217909694,16516.4555023607,17093.4579460605,16767.1744193372,19758.340618956,21540.8184849048,20744.4325896676,10690.66457103,9292.58510954707,10140.5642201117,13194.1198732074,9036.80120392032,12135.7960348274,12925.6098864088,16942.1940547629,14656.0246788157,13426.8866963445,15427.4738254203,18102.6115412849,14011.985711178,13233.0258152888,17836.7774764236,16090.87950819,15854.0942966683,16080.6027503145,15445.8236661804,15648.0322212915,14466.1506780966,13765.5155747852,13635.8736254604,20170.6437177469
"CH-CL-14",8947.34661907428,7203.51732549655,7474.38499498647,8958.08907668751,6389.49498617819,5514.93305345926,3702.47000063263,2473.41722112773,0,5017.9391505183,4015.22210972006,3281.27310839609,5001.95470968685,3803.5863440083,9888.08433723933,10384.0554494135,10528.0372541173,4032.37811002186,3337.02181578866,10132.6247305056,3196.47752700959,5639.75237812544,3134.04807892162,2154.99474237136,870.825967104379,4443.42350467741,4639.70967674156,11781.5611789917,9776.01513565631,10543.3536087326,12625.0559202299,12903.3614605163,16108.8331427741,15317.9229463597,12786.964327115,13683.8051691798,10143.3836297248,11651.2438356017,12160.718108523,4993.90204613987,12686.4380449111,13551.3948636422,11212.6753788514,3596.67332543304,11696.7837054983,10954.5705203597,10337.5689999436,9967.88884043761,10213.2808365504,9541.13998425905,4070.62633173529,12240.2366667556,14969.209864726,6957.54195250299,11817.1152956941,11295.3475136696,10161.5649683622,11605.5414267928,13582.2512021373,14243.893235893,13726.4562884298,9638.72762659286,8559.62694404878,6826.90156151524,8654.91077922608,9573.47577117405,11784.7248023915,13265.1821114388,9385.40650553221,9442.95270499835,10409.7717466073,14335.3573352074,14911.7164486984,15012.4150821061,17586.5436437658,19390.5921804309,18624.895972192,9172.50417339376,7590.4296406037,8622.40382247547,11080.0508394441,6715.12631043149,9990.07707245856,10780.3598420467,14761.0958876096,12714.1784043643,11528.9546710488,13310.0602997333,15978.1344680487,12078.3054542558,11163.1375966272,15766.8892577621,13734.5675071941,13519.0338912145,14550.4650824446,13749.5098216733,13578.14400263,12941.3185087223,12247.355177149,11279.5616244644,18418.6432515434
"CH-CL-50",7110.245363547,5978.92095742656,5848.41534021395,6749.53013224253,5247.00589465289,4622.14767883696,2818.16413988597,5534.79790036159,5017.9391505183,0,8467.014343455,1962.24482029278,4507.86354834513,7538.00659076639,5318.79009807827,7158.29600405433,6241.8490866716,8184.99030983051,1663.60611688922,6676.84512491681,7752.75608645606,10515.5892784812,5733.14553291361,6264.14473292156,4065.51954998649,3575.9821668767,3704.19952617462,9250.79296538277,7769.97933678242,8669.81469945257,12456.8095906454,12020.3493207028,15353.4125717642,13906.2863790846,11640.507370558,11278.2485249947,5711.9647829445,12977.6278046271,12866.6499438476,8848.70742653545,12774.9601273134,13543.2651452445,11157.1539035607,8319.19867837174,10676.8118450016,9566.52932553734,9285.63870987825,9221.40287806327,8697.40303824063,8271.93848833856,9008.61534451157,14663.1698007443,13890.5502671528,9585.22927872328,16165.9830965908,15617.9587341072,13994.7503552298,14031.2207572839,13372.0296039856,14025.9555891116,11632.4457301342,13662.2687068604,11797.4224402283,10035.2554725789,9771.92085690099,10483.2303833644,12661.6974827081,13433.0210632127,9663.21778651419,8664.56286688061,9055.20058948877,13777.0019907067,14752.0978908729,12732.2024956432,15920.3683101479,17654.5884197532,16831.8059198147,13224.8200132525,11432.9254048841,12662.255227019,14716.0669251358,8357.89283020948,8893.14389396738,9407.53011302974,13791.6050155093,10690.5771792198,15367.2537115634,15947.5552306126,17606.8415902041,15916.5727315471,14992.3769712639,18614.8713339299,14984.5136707674,14770.5165680201,18402.817404414,17588.5448782528,17409.5774038626,16930.7263075993,16323.724995586,12530.0800055873,15600.337680289
