"","CH-ET-3","CH-ET-5","CH-ET-6","CH-ET-7","CH-ET-8/9","CH-ET-27","CH-ET-10","CH-ET-24/26","CH-ET-28/29","CH-ET-12","CH-ET-13","CH-ET-14","CH-ET-15","CH-ET-2","CH-ET-1","CH-ET-21","CH-ET-20","CH-ET-18","CH-ET-23","CH-ET-4","CH-ET-11","CH-ET-19","CH-ET-25","CH-ET-32","CH-ET-16","CH-ET-17","CH-ET-31","CH-ET-30","CH-ET-22","IX-ET-2","IX-ET-3","IX-ET-8","IX-ET-1","IX-ET-17","IX-ET-5","IX-ET-7","IX-ET-18/21","IX-ET-15","IX-ET-19","IX-ET-20","IX-ET-10","IX-ET-12","IX-ET-14","IX-ET-13","IX-ET-6","IX-ET-9","IX-ET-11","TX-ET-18","TX-ET-22","TX-ET-21","TX-ET-19/20","TX-ET-17","IX-ET-4/16/23TX-ET-4/16/23","XO-ET-3","XO-ET-8","XO-ET-9","XO-ET-5","XO-ET-6","XO-ET-4","XO-ET-1","XO-ET-2"
"CH-ET-3",0,1232.1324177263,1620.19027328576,2096.23832699837,2625.70241213725,7597.27027116171,2461.93064522236,7894.94873934865,9155.90699340179,4132.59438559075,7150.88075861818,7554.42129779052,7932.13251468782,4290.92882323034,3928.27686845287,11097.8943547356,11248.9608969615,11302.5303254571,8113.44525505467,1110.3268371467,4305.60810618264,11572.9549561221,7531.78305307549,14833.9390690034,10409.551477914,11016.936946839,14499.7563440671,14422.7462071011,11252.4806811214,12835.3854657047,12632.2157240153,17809.6476587306,9428.88539663766,10874.1611167117,13999.6763327094,14727.5181240027,15743.1851058473,14089.5769605903,16928.0470019195,16534.3887280008,17504.7074604193,18771.0224446399,20971.0644035501,23062.0508675569,14459.8898534783,17294.5307289626,16689.1804843285,12381.9002787731,14332.4211858032,17134.8052818446,16496.293515926,10243.0786103898,13582.6376711785,16920.2596033311,21824.9611362148,22100.5483640333,17852.0366294336,18048.4310927623,16701.0972014375,16532.2103752869,19402.5854506896
"CH-ET-5",1232.1324177263,0,518.287169134418,1174.47529088172,1682.31641437553,7773.98072331835,1623.00015794894,8068.42327642462,9695.3988681007,3329.41935606215,6266.68012995531,6702.89057588452,7092.6084003472,5161.18013310645,4921.48053135719,10259.873548997,10410.9400912229,10401.9123636197,7859.43617136591,457.312711209918,3161.41544904021,10674.4827526281,7706.42819692676,15012.5728626362,9466.16548015233,10116.3189850016,14675.8713682331,14597.3871958666,10414.4598753828,13874.0255055055,13670.8557638161,18486.9797257975,10544.094247997,11573.2374319039,14737.8699378907,15463.8162254183,16420.9852269016,14763.1374395103,17605.3790689864,17211.8827214385,18182.201453857,19444.5829235599,21648.3964706171,23739.3829346239,15133.5520014663,17971.8627960296,17362.7409632484,13529.8172155135,15238.0313094823,18017.2624812107,17534.9335557268,11392.2206575671,14454.4194615328,17320.102860701,22498.5216151348,22774.1088429533,18089.3239185144,18232.3328072071,16921.7623053524,17205.7708542069,20076.1459296096
"CH-ET-6",1620.19027328576,518.287169134418,0,696.19697562315,1186.20610855976,7623.0355577251,1198.06130956892,7913.72304028153,9762.43971056982,2916.10908164591,5776.29029841201,6212.50074434122,6625.56640241243,5410.45196718641,5255.52131628216,9793.00142617757,9944.06796840341,9910.03682331594,7693.67349362146,561.682889188724,2753.50618587055,10182.6072123244,7551.72796078367,14859.5843692288,8974.2899398486,9624.44344469789,14521.17113209,14442.6869597235,9947.58775256335,14183.9606723546,13980.7909306651,18615.5215465706,10904.5375956497,11798.9100366247,14964.0557463416,15690.0020338692,16614.2756759315,14830.9449214715,17733.9208897595,17373.1075976715,18357.312928965,19512.3904055211,21777.2406126915,23870.5246295295,15201.4163973377,18100.4046168027,17430.5484452096,13895.1347400292,15494.5139794365,18262.5948118541,17831.665823445,11761.2849780486,14701.627012552,17239.6937952097,22566.329097096,22841.9163249145,18008.9148530232,18151.9237417159,16841.3532398611,17273.578336168,20143.9534115707
"CH-ET-7",2096.23832699837,1174.47529088172,696.19697562315,0,538.519199355582,7230.30469598782,562.793578104828,7471.40960782316,9565.70605084811,2262.33317460415,5093.72111197594,5529.93155790515,5942.99721597636,5473.35242566622,5489.65473602253,9110.43223974151,9261.49878196734,9230.04376132503,7243.25823982188,977.379743460565,2263.97547097116,9502.61415033346,7112.89809806602,14425.8998075397,8319.89444763716,8944.45038270698,14078.9065787846,13995.7819381689,9265.01856612728,14369.8058714845,14166.6361297951,18670.9765433491,11178.3570103019,11855.6235719047,15020.7692816217,15746.7155691492,16670.3510755077,14635.2424296957,17789.375886538,17428.7830029532,18412.9883342467,19316.6879137453,21780.7435672121,23796.3212252051,15005.7752575954,18155.8596135811,17234.8459534338,14169.1891311791,15658.4397226658,18320.2709996302,17995.5915666743,12035.3393691986,14760.2159816601,17030.0726328137,22370.6266053202,22646.2138331387,17799.2592159266,17933.9197720167,16631.6976027646,17077.8758443922,19948.250919795
"CH-ET-8/9",2625.70241213725,1682.31641437553,1186.20610855976,538.519199355582,0,7460.87244248761,533.667723329241,7496.6166803637,9810.94739610241,1979.32093459624,4607.77655783544,5053.63328498688,5484.24120194773,5908.44342729409,5972.5113839334,8663.5344797188,8814.60102194464,8723.83071475618,7268.24966123897,1556.40340634882,1749.13798069885,8996.40110376461,7294.07234879427,14617.866712112,7788.08383128884,8438.23733613813,14103.9569808691,14020.8323402534,8818.12080610457,14848.8813066948,14645.7115650054,19018.9846328078,11681.0936978264,12249.257163015,15414.4028727319,16140.3491602595,17063.984666618,14881.3251309745,18137.3839759967,17821.779563507,18805.9848948005,19562.7706150241,22026.8496504563,24042.4273084493,15251.8579588743,18503.8677030398,17480.9286547127,14672.0185171173,16130.1206407161,18714.3260003355,18467.2724847245,12538.1687551368,15155.2152823507,17271.3279210631,22616.7093065991,22892.2965344175,18039.5565769213,18173.8769381439,16871.9949637593,17323.9585456711,20194.3336210738
"CH-ET-27",7597.27027116171,7773.98072331835,7623.0355577251,7230.30469598782,7460.87244248761,0,7201.42427123228,1245.27228162317,2661.83401416989,6762.76232029233,9494.72385718729,9686.50907528625,9427.35672450583,5137.9388025825,6395.34590051002,10893.882257059,11096.2364749775,11762.7543799961,2806.88914488095,7764.08623825013,9272.41107892198,11646.216700505,842.661370346395,7238.59213931788,12738.2033018925,12033.8676298448,6903.51398970887,6826.37333043963,11011.8057894119,11814.1476099938,11455.1497477427,12596.9345309754,10703.5464357401,6890.79679337074,9917.71875556764,10581.888692343,11270.5218570032,7879.06353526128,12067.7485289169,11852.9863676035,12859.1259718517,12111.7402672451,15160.2563764111,17075.8502146468,8249.65163070069,12417.1897012087,10321.6437834737,12488.4691306894,11650.7368445739,13610.3107156388,14572.0213110129,11598.5997286303,10356.9199846835,9810.70008007068,15162.9653899556,15438.0931016324,10578.8884503793,10713.5490064694,9411.32683721731,9875.52072978803,12740.3346809492
"CH-ET-10",2461.93064522236,1623.00015794894,1198.06130956892,562.793578104828,533.667723329241,7201.42427123228,0,6999.86297843169,9293.56351077824,1718.04777207699,4709.0284398092,5101.58661873788,5470.20186946546,5585.6983805678,5679.73982433449,8637.4087432759,8788.47528550173,8875.55869720128,6771.71161043041,1546.34520014042,2267.37586415605,9142.40374546546,6785.71387504646,14098.7155845201,8015.71142940355,8589.96531858322,13607.3599493932,13524.2353087774,8791.99506966167,14527.5850871835,14324.4153454941,18580.963687097,11409.8614210983,11813.1486744588,14978.2943841757,15704.2406717033,16627.8761780618,14364.2051370314,17699.3630302859,17383.7586177963,18367.9639490898,19045.5156851598,21509.7855723319,23525.363230325,14734.7379649312,18065.8467573291,16963.7413402625,14400.7862403892,15808.5925367445,18278.3224768289,18145.744380753,12266.9364784087,14725.743919634,16753.3939386043,22099.4543767347,22375.0416045531,17521.5823089129,17655.9026701355,16354.0206957509,16806.7036158067,19677.0786912094
"CH-ET-24/26",7894.94873934865,8068.42327642462,7913.72304028153,7471.40960782316,7496.6166803637,1245.27228162317,6999.86297843169,0,3626.55888359834,6469.32992298132,8952.44313219888,9096.78478100538,8697.28853942487,6132.51641541686,7388.35317997098,9934.34590627147,10138.1775548331,10806.2486695148,1576.2493123376,8041.6002804303,8980.17709242515,10689.2242188464,523.440534386131,7243.05413155045,12001.6814869558,11079.766945518,6609.63004547696,6529.60710128449,9999.89372651225,13032.9662251785,12673.9683629274,13246.0343084388,11916.7211687895,8102.86604336804,11064.78324141,11585.5749749057,12274.0371949157,8384.24560877649,13059.3134371496,12856.081586132,13862.2717210609,12514.7765448429,15637.1156847436,17548.8222307373,8766.00236517323,13066.2894786722,10776.18142025,13707.2877458742,12862.9206988299,14821.7228470433,15784.205165269,12811.7744616796,11569.1038389396,10086.6617948539,15440.6161977891,15715.5213380981,10854.5248922729,10985.0020448128,9686.9632791109,10309.0603516622,13019.0667053441
"CH-ET-28/29",9155.90699340179,9695.3988681007,9762.43971056982,9565.70605084811,9810.94739610241,2661.83401416989,9293.56351077824,3626.55888359834,0,9083.12763968499,12004.612304233,12200.0153761732,11942.2995725132,5671.75567443989,6969.06440548511,13372.2746651117,13574.6288830302,14241.1467880488,5017.2039227153,9584.00994741152,11481.8357756542,14124.6091085577,3273.66531855743,5910.87620927941,15254.3256919831,14512.2600378975,5891.554376553,6323.05206809448,13486.7727470992,10335.4476336446,9976.44977139348,9975.38716599793,9836.8573310613,4703.77173220829,7645.1426640515,8040.5232905847,8727.93463016778,5230.8159520131,9521.54193283485,9308.57262942814,10316.0060656102,9911.77852110955,12512.0087931629,14429.9022571695,5601.40404745251,9795.64233623128,7830.04951401568,11009.7691543402,9463.64313228929,11422.2057687045,12384.9275987283,10731.9106239515,8169.82627239897,7859.76803910435,12965.4268297787,13240.5801308575,8791.26589008774,9032.16158797347,7639.97231362383,7672.96645175651,10542.7638868501
"CH-ET-12",4132.59438559075,3329.41935606215,2916.10908164591,2262.33317460415,1979.32093459624,6762.76232029233,1718.04777207699,6469.32992298132,9083.12763968499,0,3435.65805952249,3812.86489662037,4016.98205209879,6241.46080061776,6799.66344327868,6966.30785440035,7117.37439662619,7584.72000773847,5612.37108964137,3107.66246895559,2637.21594340537,7604.28171154842,6002.20822492245,13397.7895996484,7028.97425666956,7301.34839435599,12643.1985816814,12374.9607757454,7120.89418078612,15219.6036537126,15016.4339120231,18523.2352097856,12505.7706937358,11958.3513162415,15123.4970259584,15849.443313486,16750.7960644731,13965.9748908607,17821.8340622421,17506.4771459723,18490.6824772658,18542.0362957767,21189.2191113973,23147.8823649386,14336.5629863001,18188.3177892853,16565.4191470138,15318.3504565551,16330.9080738623,18458.3826126556,18768.7631708466,13363.9848723359,15121.8091588028,16238.7311730488,21592.3998977762,21867.5276094531,17006.6003281135,17137.0774806534,15839.0387149514,16305.8167583196,19169.7691887698
