"","CH-LF_TF-9","CH-LF_TF-7","CH-LF_TF-21","CH-LF_TF-1","CH-LF_TF-24","CH-LF_TF-22","CH-LF_TF-23","CH-LF_TF-4","CH-LF_TF-3","CH-LF_TF-25","CH-LF_TF-5","CH-LF_TF-2","CH-LF_TF-6","CH-LF_TF-10","CH-LF_TF-19","CH-LF_TF-17","CH-LF_TF-18","CH-LF_TF-20","CH-LF_TF-16","CH-LF_TF-12/13/14/15","CH-LF_TF-11","CH-LF_TF-8","IX-LF_TF-1","IX-LF_TF-2/3","TX-LF_TF-5","TX-LF_TF-6/7/8","TX-LF_TF-2","TX-LF_TF-1","TX-LF_TF-3/4"
"CH-LF_TF-9",0,3342.39456621507,3960.3841360105,7284.521797064,6178.40516018062,7146.84741784955,10058.0111744462,6129.23291138505,6440.78067950083,13258.0013702982,4051.14553155002,7576.47205678445,3641.09302256633,3611.7537988143,4054.69002317244,5046.86554693245,5320.5859649235,3985.26049031576,3982.86166304793,3161.57987424651,2013.37519676242,1197.9451976468,12600.5529537135,19040.4936695121,18473.7484352739,21555.0249993213,20107.8759564642,19669.7510831268,19275.6814022951
"CH-LF_TF-7",3342.39456621507,0,1589.81087847607,3942.12723084892,4356.57814040045,4514.08793009732,7274.69304679991,3771.17199282955,5141.93378100281,11364.4563493133,996.636191772334,5951.41203929289,726.811906293799,7154.87197914537,7884.16041711985,8326.84576582409,8737.86616115153,7812.21276290309,7382.55726801379,6335.86477444847,5846.67983367488,3575.51323635886,9392.05667781356,16595.5099751718,15143.22291623,18420.2827537153,16865.3217515046,16343.6947714029,16018.5602092911
"CH-LF_TF-21",3960.3841360105,1589.81087847607,0,4067.47757809951,2770.61132686243,3213.11404580536,6123.84319784987,4907.85014215644,6635.35340881297,9779.95826003841,2361.31776889932,7405.72154353943,2274.17934003152,7640.0561520678,8492.90355712477,9422.49774149305,9791.05386396739,8414.5943898558,8419.24524307141,7467.71819082374,6462.39311170158,4667.90080996628,8737.36287405349,15165.1783751126,15109.9278353733,17690.2741155668,16920.3360397147,16380.7569327642,16065.1577428051
"CH-LF_TF-1",7284.521797064,3942.12723084892,4067.47757809951,0,5226.34763303032,3827.33630458063,5332.57015091935,3088.29394495949,5470.06688792779,10646.3547562423,3620.13202729971,5564.88363301683,3915.64198715179,11168.1582350106,11865.0372187715,12002.3124371924,12425.0533251197,11831.0157213334,11085.2796019811,10019.6344832629,9787.30592591475,7348.25780805378,6095.24459033571,14448.2661364409,11242.2210316075,14720.8927520665,13044.1489676385,12508.0547911812,12191.4916947632
"CH-LF_TF-24",6178.40516018062,4356.57814040045,2770.61132686243,5226.34763303032,0,1976.69942160515,4563.16450636642,7390.81872736644,9179.08124472428,7101.1052048103,5086.07634685708,9920.45556648836,5124.59664496895,9150.58500877178,10357.081121689,11824.0524853501,12147.4550572487,10106.6366830023,10778.6513771308,9935.65936883626,8635.76878308108,7204.74263016962,7847.45748263938,12975.1581409167,15064.5030744367,16406.9872324738,16918.6984018693,16336.0681878926,16021.6797484798
"CH-LF_TF-22",7146.84741784955,4514.08793009732,3213.11404580536,3827.33630458063,1976.69942160515,0,2911.21798663785,6528.70472975739,8847.4455612423,7259.24318584318,5008.25934066762,9076.31486815606,5172.59612903423,10777.078930226,11651.2981524231,12801.1201799079,13169.6763023823,11569.5843327328,11797.8676814863,10846.3406292386,9797.02028277562,8046.33921475855,5872.32223155885,12081.4220450744,13087.8876347201,14730.2343471962,15037.4308982826,14359.5330545362,14045.1791317033
"CH-LF_TF-23",10058.0111744462,7274.69304679991,6123.84319784987,5332.57015091935,4563.16450636642,2911.21798663785,0,8532.62920736663,10895.9028061545,5985.53364736971,7651.74081067261,11029.2714110149,7819.03221148833,13671.9450939534,14548.3162638697,15718.3143138688,16086.8704363431,14466.6024441794,14715.0618154471,13763.5347631995,12715.0829372514,10963.5333487194,3733.77642895048,9571.30278652196,11200.8086334166,11875.3133570218,13710.6976147578,12485.1068874355,12479.3078822434
"CH-LF_TF-4",6129.23291138505,3771.17199282955,4907.85014215644,3088.29394495949,7390.81872736644,6528.70472975739,8532.62920736663,0,2384.70723378844,13491.5372417162,2994.35600556359,2580.59287162605,3233.08218307272,10130.93332276,10286.5914649183,10049.0013426087,10491.4514154492,10434.5945974207,9210.93565288831,8086.03257359239,8258.95856709304,5770.82676352803,8803.16442054777,17367.1014266187,13187.4106172637,17161.6474765599,14464.7974964958,14133.6062301203,13660.4961059238
"CH-LF_TF-3",6440.78067950083,5141.93378100281,6635.35340881297,5470.06688792779,9179.08124472428,8847.4455612423,10895.9028061545,2384.70723378844,0,15428.7167182238,4163.21613749091,1387.42217686586,4268.44737261965,9849.53677893578,9783.56991474573,8653.29764174587,9158.47632029605,9945.80898976281,8146.556433511,7155.87625875912,7841.01377533192,5476.52300272023,10817.7255941754,19393.6487071156,14669.6474229985,19032.6780617092,15865.2336112068,15582.0655278407,15107.7641655002
"CH-LF_TF-25",13258.0013702982,11364.4563493133,9779.95826003841,10646.3547562423,7101.1052048103,7259.24318584318,5985.53364736971,13491.5372417162,15428.7167182238,0,12118.8919290727,16275.7863629479,12158.6583084198,15891.5754362549,17274.1761594992,18946.615615469,19258.4845000407,16969.0075732899,17901.0045600222,17058.2224989552,15707.4023178963,14327.4890844959,8219.13672162327,7152.7889236561,15774.6821861971,13523.3571590329,18499.6319695216,17184.6130477921,17264.0488917798
