"","CH-TF_CL-8","CH-TF_CL-5","CH-TF_CL-7","CH-TF_CL-18","CH-TF_CL-17","CH-TF_CL-19","CH-TF_CL-3/4","CH-TF_CL-20","CH-TF_CL-22","CH-TF_CL-21","CH-TF_CL-1","CH-TF_CL-2","CH-TF_CL-6","CH-TF_CL-10/11","CH-TF_CL-12","CH-TF_CL-13","CH-TF_CL-16","CH-TF_CL-14","CH-TF_CL-15","CH-TF_CL-9","IX-TF_CL-3","IX-TF_CL-2","IX-TF_CL-1","TX-TF_CL-2","TX-TF_CL-1"
"CH-TF_CL-8",0,3197.23433895637,3817.53352551421,2818.16413988597,3164.27199484607,6015.98564290804,4865.12588463269,8131.06022114201,9916.66282512692,8928.35222907918,7733.55744374408,8573.84714074565,4035.74710164093,8013.50084282085,6337.31705224713,7296.74880768007,9631.68359059786,7023.78245985062,6967.15973442691,6294.05199787265,19324.0316018264,9435.60264085215,15879.1472020646,15050.2075156857,17287.0269108795
"CH-TF_CL-5",3197.23433895637,0,2305.51141337771,5534.79790036159,4722.8940798213,6838.06333391004,1749.50468236024,10767.0452611401,12130.3644255711,11238.115499833,5967.62684952764,5663.57051757328,1100.58487512098,10158.9320920287,8151.47505448803,8926.10110483235,10362.729829919,7661.57980870305,7454.4922079891,7343.01473009761,20744.4325896676,9036.80120392032,16942.1940547629,13240.7601475556,15288.2689358593
"CH-TF_CL-7",3817.53352551421,2305.51141337771,0,5212.45635877875,3626.92687889984,5138.512667254,3438.37743507413,10094.0760002594,10560.1865490296,10528.6653456292,3920.67764888673,5430.66213152025,1982.07775723825,11891.9568262121,9886.41078287671,10744.5930553272,12924.2410176906,10223.0909964746,10016.0033957607,9703.59869314327,18795.6167065924,6774.85208220281,14879.3494589409,11242.603850477,13478.313433894
"CH-TF_CL-18",2818.16413988597,5534.79790036159,5212.45635877875,0,2101.51931916185,4567.80283016357,7462.19793369288,5318.79009807827,7158.29600405433,6121.81771447357,8184.99030983051,10515.5892784812,6264.14473292156,9250.79296538277,7769.97933678242,8711.70418007438,11657.2339095732,9200.23332640111,9221.40287806327,8316.98513061422,16831.8059198147,8357.89283020948,13791.6050155093,15189.3229719934,17426.8783832522
"CH-TF_CL-17",3164.27199484607,4722.8940798213,3626.92687889984,2101.51931916185,0,2852.36654549167,6553.46811323149,6467.14912135958,7407.78850258393,6902.61810661116,6186.59309598048,9101.82058693105,5180.81861252389,11013.9952544144,9409.6595805871,10377.2203887093,12926.3222971526,10345.3120084236,10288.6892829999,9551.61939376005,16278.021885496,6537.3588408989,12829.3879684294,13087.8876347201,15325.523352339
"CH-TF_CL-19",6015.98564290804,6838.06333391004,5138.512667254,4567.80283016357,2852.36654549167,0,8568.93929698118,6385.95931371008,6072.36135601066,6380.88441334605,5629.32514427587,9940.37681721051,7144.36684653162,13790.8574759765,12186.5218021492,13154.7505931822,15766.8472551348,13188.5608864507,13131.938161027,12395.7367923022,13929.8556483867,4112.83915504525,10368.8380307341,11337.0844360067,13577.9284862736
"CH-TF_CL-3/4",4865.12588463269,1749.50468236024,3438.37743507413,7462.19793369288,6553.46811323149,8568.93929698118,0,12476.2364357637,13645.3107277626,12919.8814440305,5972.05529446797,4356.6703338885,1245.22370794556,10944.5303884498,8884.57780482969,9606.07505005357,10791.7512415415,8228.04056137442,7930.44752797581,8002.31520649536,21975.1707019969,9679.19079196034,18041.8071265473,13243.0241622884,15204.9857891657
"CH-TF_CL-20",8131.06022114201,10767.0452611401,10094.0760002594,5318.79009807827,6467.14912135958,6385.95931371008,12476.2364357637,0,3434.68453288265,1131.62753882439,11814.4023524026,15394.0238802629,11439.4554041601,12800.7647163893,11917.9625050733,12791.4374458663,16044.4266994873,13923.0240849787,13983.1838007499,12886.8674481859,13172.6835985736,9867.58574089317,11465.5023419125,17559.8656256663,19800.7096759332
"CH-TF_CL-22",9916.66282512692,12130.3644255711,10560.1865490296,7158.29600405433,7407.78850258393,6072.36135601066,13645.3107277626,3434.68453288265,0,2506.71775455938,11532.5728838045,15846.5445892853,12489.1253824594,15877.5967001048,14740.4537310558,15613.9286718488,18727.7683858985,16385.8751784921,16429.3492268441,15500.7963902485,9875.75779885755,8279.2830480904,8035.47236252883,16035.6823342598,18287.3653429233
"CH-TF_CL-21",8928.35222907918,11238.115499833,10528.6653456292,6121.81771447357,6902.61810661116,6380.88441334605,12919.8814440305,1131.62753882439,2506.71775455938,0,11804.7628093242,15831.6382356794,11881.0403003093,13881.0167086581,12904.6161756381,13778.0911164312,17012.7699415379,14815.1772905825,14863.092172556,13855.2106902365,12071.0040080351,9505.69095165735,10417.9315217304,17205.0070784334,19456.690087097
"CH-TF_CL-1",7733.55744374408,5967.62684952764,3920.67764888673,8184.99030983051,6186.59309598048,5629.32514427587,5972.05529446797,11814.4023524026,11532.5728838045,11804.7628093242,0,5140.8083621747,5184.41036429684,15779.870755413,13774.3247120776,14634.7749703245,16602.9937731593,13901.8437519433,13694.7561512294,13576.114218321,18107.1993975701,4567.52441962801,13114.2834614885,7322.92652624056,9558.46071839876
