"","CH-TF-25","CH-TF-33","CH-TF-32","CH-TF-28","CH-TF-3","CH-TF-22","CH-TF-55/56","CH-TF-11","CH-TF-19","CH-TF-8/9","CH-TF-12","CH-TF-6","CH-TF-59","CH-TF-57","CH-TF-58","CH-TF-16","CH-TF-61","CH-TF-15","CH-TF-63","CH-TF-62","CH-TF-1","CH-TF-5","CH-TF-20","CH-TF-48","CH-TF-14","CH-TF-2","CH-TF-18","CH-TF-54","CH-TF-29","CH-TF-30","CH-TF-51","CH-TF-4","CH-TF-7","CH-TF-10","CH-TF-13","CH-TF-17","CH-TF-21","CH-TF-23","CH-TF-26","CH-TF-27","CH-TF-31","CH-TF-36","CH-TF-52","CH-TF-60","CH-TF-45","CH-TF-46","CH-TF-47","CH-TF-49","CH-TF-50","CH-TF-53","CH-TF-43/44","CH-TF-39/40/41/42","CH-TF-37","CH-TF-38","CH-TF-35","CH-TF-34","CH-TF-24","IX-TF-1","IX-TF-4","IX-TF-5","IX-TF-6","IX-TF-8","IX-TF-9","IX-TF-12","IX-TF-7","IX-TF-13","IX-TF-2","IX-TF-3","IX-TF-10/11","TX-TF-43","TX-TF-51","TX-TF-49/50","TX-TF-45","TX-TF-37","TX-TF-39","TX-TF-42","TX-TF-46","TX-TF-44","TX-TF-38","TX-TF-40/41","XO-TF-1"
"CH-TF-25",0,1587.46365385859,1409.39148849066,1733.59218907695,9442.07579291158,3342.39456621507,4000.12874178972,8282.67705489178,5770.62241164518,6826.28619161486,7990.74251933825,7655.025537637,6100.95400985928,7146.84741784955,10058.0111744462,6129.23291138505,10916.6224569379,6439.1358473829,13206.0605859908,12074.3501275982,11156.0339067361,7927.56927409945,4051.14553155002,7974.82291467252,7576.47205678445,10458.0491368414,6436.2725152087,4412.18737520654,2503.2949412364,3161.13493804184,5068.8908966238,8367.61799085281,6481.23487145207,7197.55405967036,7572.21005569103,6691.31931929806,3641.09302256633,1367.66209207266,3508.54087287643,4324.10229047059,3611.7537988143,2017.89171690216,4054.69002317244,10273.6211433225,5046.86554693245,5406.76384630058,7053.70357750438,7910.88268391926,5320.5859649235,3985.26049031576,4096.74820250216,3033.05750498916,2470.16274242725,2450.43259768551,2013.37519676242,1775.85514805415,1197.9451976468,15268.5463743666,12600.5529537135,17780.5550779022,18461.4261383689,18014.1944213825,16965.1644277717,20653.0050947458,17752.7183628746,23442.2459514186,13408.170528275,13668.6395715739,19063.0983058325,18473.7484352739,19586.9209037964,21383.3960846437,22845.2702993142,20483.4278069325,20081.0767033226,18669.4223565724,24250.5873496989,23464.089808025,19669.7510831268,19275.6814022951,15507.6533714728
"CH-TF-33",1587.46365385859,0,677.519780033363,1133.48958347715,10693.6747746309,4714.41142324847,5293.9450205135,9483.63335150331,7120.89383144768,8198.30304864826,9191.69881594978,9027.04239467039,7255.2964299864,8391.70980623677,11302.8735628334,7397.51468292576,11891.6862206028,7553.46857611404,14354.5261585948,13080.0188723427,12528.0507637695,9299.58613113284,5434.75421267205,7429.01767021546,8754.90500454135,11724.7714076489,7709.60776687178,3418.53600280243,1678.18074091484,1865.00630563265,3621.36835448228,9739.6348478862,7853.25172848546,8521.01452794038,8773.16635230256,7961.72083417717,5024.70170368836,2743.01189662268,3561.82586172423,3681.89591095104,2269.58327511173,1200.50693252948,2469.65889575918,11331.9343717943,3997.62777979243,4735.80045176997,6647.80797577035,6932.79294254562,4203.70788973968,2458.38356132124,3056.41526963177,2395.48471744102,1309.56497728128,1598.38622009599,482.392666102519,248.829408034641,2235.95699288336,16640.5632314,13972.5698107469,19028.3915202978,19833.4429954023,19259.0568097698,18122.9008008473,21900.7910064608,19044.8051626731,24590.8290747743,14780.1873853084,15040.6564286073,20300.7560926299,19845.7652923073,20958.9377608298,22755.4129416771,24217.2871563476,21849.157598138,21354.4119549857,19942.7576082355,25622.6042067323,24836.1066650584,20992.8321588509,20549.0166539582,16604.1751704427
"CH-TF-32",1409.39148849066,677.519780033363,0,512.345989907366,10662.8580116926,4408.2173559589,4936.43327304507,9452.81658856507,6897.97187238341,7892.10898135869,9160.88205301154,8709.7890524492,6750.71249234563,7991.22638269421,10888.1326704708,7351.1153629831,11289.7267303543,7605.12404051927,13797.2808034598,12501.8047609689,12219.7932009945,8991.32856835784,5203.49276436475,8068.13995685385,8742.46024992081,11679.9315884394,7658.15496680675,3085.65960043529,1189.59474588628,1751.96946958745,4141.46587091213,9431.3772851112,7544.99416571046,8316.50898723742,8742.34958936432,7913.2017708961,4790.72202303167,2451.62608899088,2884.30608169087,3178.70319965773,2202.5883303599,1859.42413551644,2825.91524813497,10753.7202604204,4689.98577462303,5417.61957950962,7269.90146719129,7625.75103486043,4839.51818491438,2746.75139482524,3750.21081838145,3054.40192042798,2014.93641423861,2261.77847878047,1144.8115586018,943.303649070139,2298.13527035509,16312.4323233261,13644.9242726791,18661.4941352091,19525.1854326273,18770.4285679055,17618.3168632065,21474.7887493067,18687.2934152046,24033.8479304213,14452.5418472406,14712.5255205334,19796.1721549892,19537.5077295323,20630.4171066268,22426.2065995148,23909.0295935726,21563.215214047,21246.7398543219,19835.8948477822,25293.3978645701,24527.8491022835,20751.9121273618,20426.77756525,16043.6491956736
"CH-TF-28",1733.59218907695,1133.48958347715,512.345989907366,0,10903.6791986203,4512.41062419904,4931.25596415461,9769.59692779626,7002.16514062354,7996.30224959883,9479.68157160149,8704.61174355874,6540.82248630848,7966.82899427369,10863.7352820503,7590.83631709378,11038.6398379742,7927.89929210607,13581.3550944597,12266.7648366016,12286.4523514268,9057.98771879017,5395.42687996761,8506.06761460385,9065.23550150761,11919.6525425501,7896.1088149797,2678.77499453782,771.634689663485,1507.82626690076,4309.31605198066,9498.03643554352,7611.58289496526,8420.70225547756,9061.14910795427,8152.92272500679,4980.69091501391,2643.45966646059,2430.55242166705,2700.92769321861,1947.52522866603,2286.75393168469,2894.79523729653,10532.0701314015,5010.01500808983,5752.87986875756,7717.73263332971,7945.78026832723,5102.76336720147,2697.20135663564,4072.12970888117,3481.73171659623,2420.14108469855,2684.6332192512,1523.85713241736,1342.06431663804,2641.05301323649,16307.2550144357,13639.7469637887,18553.7600372992,19558.8308603037,18586.9501982237,17423.0708919727,21291.3103796249,18682.1161063142,23817.9222214211,14447.3645383502,14707.348211643,19608.2985050167,19604.1668799646,20625.2397977363,22421.0292906244,23919.0835454525,21667.4084822871,21350.933122562,19940.0881160224,25288.2205556796,24594.5082527158,20856.1053956019,20530.9708334902,15827.7234866735
"CH-TF-3",9442.07579291158,10693.6747746309,10662.8580116926,10903.6791986203,0,6858.91167938842,7677.57396512122,1170.70073497068,4544.55296427922,4600.61227862803,1660.47111149803,5749.71720939084,9406.08090568483,8305.4092134707,9283.50180877975,3169.18035548052,14522.4204029155,3998.8611088685,15060.9911421131,15202.3021801263,5125.10823856007,4259.02860685374,6117.78074928565,11072.4810025221,3137.15855514493,1170.30154408043,3475.42252242533,13985.5881123935,12085.3231741534,12730.1793426277,13904.7871513334,4270.55965986041,5436.05801980221,3751.35907412289,2092.89578321994,2755.46571922711,6371.32968436631,8477.11839029021,12499.251429873,13881.4365434524,13180.135552635,10795.4538857381,13334.8905743452,13580.821684704,12799.1271326544,11965.3836725234,10449.9172841314,13822.9615890625,13302.3852573265,13482.8937068476,12349.8813976314,10978.617215904,11350.6271147109,11043.7046367412,11307.2576765199,11124.9017598318,8819.12587295491,11305.7475751779,8823.22854062754,15137.5429707206,11848.4480805349,16270.5067025175,16958.3056187418,18079.9175415526,14605.4902936352,23409.5245142279,9241.92297392353,9769.42292283967,17684.3999828912,11359.3507173349,14578.6397006001,15898.0387094589,16029.8483467148,13128.7074211674,12151.058273037,10713.5696120437,18255.2193042436,16648.6678554256,12240.8737908991,11555.2962845275,17296.6174095561
"CH-TF-22",3342.39456621507,4714.41142324847,4408.2173559589,4512.41062419904,6858.91167938842,0,1667.9935073869,6032.9335700992,2489.7545164245,3483.89162539978,5916.93234677241,4445.74735586589,4295.74731710617,4514.08793009732,7274.69304679991,3771.17199282955,9478.49144785825,5112.20223467545,11426.3395040184,10549.2137613106,7857.0865416722,4598.12803389521,996.636191772334,10347.1314034342,5951.41203929289,8028.90015512803,3394.14961953127,7777.72780890306,5959.13089549477,6701.38340800795,8850.10730978634,5068.15465021197,3268.5848378898,3908.29163127852,5601.71814753444,4118.68483486015,726.811906293799,2205.7415765711,5742.76983771057,7359.13579576664,7154.87197914537,5655.61615249991,7884.16041711985,8749.68278793516,8326.84576582409,8383.97752080702,9398.61997773073,10896.3631790785,8737.86616115153,7812.21276290309,7493.40338708543,6191.44875620605,6181.9100648333,6006.32024557751,5846.67983367488,5609.15978496661,3575.51323635886,12110.9071134151,9392.05667781356,14990.0552198262,15248.7761048066,15337.7790355374,14743.7594646519,17862.5052366698,14937.6133527739,21252.1286805222,10199.3818516212,10510.3087263349,16618.1146114921,15143.22291623,16446.2443506878,18216.9173740864,19628.7159545349,17154.9978580881,16838.522498363,15427.6774918233,21131.0527053606,20247.5354632458,16343.6947714029,16018.5602092911,13848.6038781308
"CH-TF-55/56",4000.12874178972,5293.9450205135,4936.43327304507,4931.25596415461,7677.57396512122,1667.9935073869,0,7070.66924913694,3147.78973837283,3647.8633661935,7112.68122854332,3917.08871436177,2632.38816658823,3162.0875609678,6073.0119912505,4960.19847806067,7815.1322973403,6624.7500795068,9764.2518036925,8886.55220350025,7796.21930900873,4569.3801210301,2413.96564199081,11900.0547513236,7458.06987944366,8717.21852451628,4111.5659622235,7816.42960109192,6341.19572812001,7229.89961981919,9589.57907492886,5008.75016442298,3100.16461380285,4235.33175064046,6822.63288380801,4909.53770988101,2329.61956400492,3017.57339406174,5657.51736120301,7350.77335612534,7642.38589908626,6528.34909052855,8495.23330414323,7086.91549169241,9447.83845163953,9708.602775463,10940.2541440464,12217.8758598447,9816.39457411388,8416.92413687425,8558.47249267214,7362.91406189425,6992.03028015515,6935.40755473143,6469.18392421512,6231.66387550686,4693.69428074031,11378.0965113331,8710.6752693132,13791.9593853036,14772.0904528501,14049.5912091444,13246.921127623,16664.4094021472,13760.0190928111,19754.9167967968,9518.29284387472,9778.18970854038,15124.944421026,15112.8693809504,15696.0812946337,17491.8707875218,18990.0768654747,17186.9068546607,16896.4783321502,15498.806352948,20359.062052577,19685.3758838316,16383.6984783413,16068.0992883822,12186.5161778049
"CH-TF-11",8282.67705489178,9483.63335150331,9452.81658856507,9769.59692779626,1170.70073497068,6032.9335700992,7070.66924913694,0,3692.52542063031,4049.99109761224,528.017765827624,5335.82261344195,8850.33481289626,7766.34332683184,9207.23738165331,2135.16149457109,13971.8788693474,2828.16037389782,14596.9674192199,14654.9214626457,5481.91280987733,3993.58478162752,5115.83512425417,10064.6254978906,2122.65259303826,2361.28298124486,2710.06196232672,12905.1410163164,10996.2485823462,11582.9963163809,12757.6041250866,4168.42658928384,4886.48189550401,3203.38035068905,931.732855584478,1874.31475533598,5358.32235506786,7440.49006987784,11469.2212973997,12803.846090342,12032.9525263882,9648.2708594913,12187.7075480983,13031.2627162702,11628.4263976837,10794.6829375527,9328.73482132529,12701.7147982869,12131.6845223558,12335.7106806008,11189.6088121931,9831.43418965711,10203.4440884641,9896.52161049435,10160.0746502731,9977.71873358501,7671.94284670807,11657.0367003413,8996.75697277056,15412.1079643294,12484.2767003952,16210.1563750048,16885.6423879194,18345.0984298111,14936.6702441099,23336.9795493491,9591.6768198584,10115.7610128098,17790.4348310609,12137.191973458,15036.0193218151,16420.1891168346,16702.0271974702,13914.311110652,13089.7345812985,11652.2459203051,18925.4453292392,17320.8467061811,13046.6287108821,12428.6663432084,17018.3391089235
"CH-TF-19",5770.62241164518,7120.89383144768,6897.97187238341,7002.16514062354,4544.55296427922,2489.7545164245,3147.78973837283,3692.52542063031,0,1288.73667139085,4061.70057111353,2855.39060047399,5168.88627929201,4350.77114225175,6428.2620128586,2073.82328472452,10292.1624810569,4179.0411068456,11671.5996442082,10979.2915192987,5573.13378846724,2315.8572820703,1994.49640727985,10796.2978534147,4639.19338625011,5578.06692995339,969.274291505927,10290.0981604336,8471.50124702528,9216.37351811986,10908.5728130142,2786.06400095701,1587.81055074573,1426.93164802518,3904.71451052581,1772.34102391356,2346.09725573239,4720.73168668301,8204.21896594063,9862.7931343574,9668.40782896456,7652.24956282547,10121.0613819876,9353.89947708652,10254.8382534892,10249.5018856128,9950.23603836693,12757.6626762011,10677.5791414165,10236.2766693353,9448.50779591363,8127.74428131726,8207.42279179823,8000.33519108428,8069.78241572249,7887.42649903442,5604.28197126983,10574.1952434121,7778.45836482397,13734.2259975969,13123.4005735313,14352.8261486528,14276.0040555245,16656.80649026,13641.314861736,20777.3365117084,8528.02790864717,8955.4634808318,15883.9743608753,12846.4759814101,14706.2370807947,16104.6239564563,17398.0103767321,14741.4056315753,14359.5631153097,12948.71810877,19035.0475212719,18016.829885443,13921.9162597509,13553.1422627395,14094.006609609
"CH-TF-8/9",6826.28619161486,8198.30304864826,7892.10898135869,7996.30224959883,4600.61227862803,3483.89162539978,3647.8633661935,4049.99109761224,1288.73667139085,0,4388.9322499621,1800.16060166761,4967.68244987003,3853.72194044403,5673.97961964493,2840.48651164276,10061.2947146218,5045.82315073828,11051.9799601224,10743.4881175327,4383.68939585292,1125.07117742344,3103.22892840449,11960.8522432839,5385.47416737427,5404.27693190716,1431.88453162444,11219.6660987237,9401.06918531542,10150.0038986824,12141.6516145811,1594.75750439269,896.017117244591,691.504260272915,4397.26489824575,2262.54882953953,3384.72961187855,5654.3620672456,9129.02804724417,10787.7394718576,10597.9757672547,8885.32836439237,11332.7809077943,9120.67856154461,11487.9170550561,11482.5806871797,11116.1384476146,13990.741477768,11910.6579429834,11260.8332535776,10681.5865974805,9360.82308288416,9440.50159336514,9233.41399265119,9263.12997600779,9057.78027564111,6824.90934787754,9311.46331608199,6515.72643749382,12691.3839426422,11931.7899564647,13339.8521932288,13359.1507515255,15624.374408124,12365.2545511622,19810.8666133341,7265.29598131702,7692.73155350165,14872.6151370606,11674.5222719691,13509.8737327005,14908.2606083621,16208.6217158368,13712.9998997173,13417.2271628563,12007.7702363574,17838.6841731777,16827.4412245476,12907.9673581197,12591.4042617017,13474.5649902773
