"","CH-EA-63/69","CH-EA-64","CH-EA-65","CH-EA-66","CH-EA-67","CH-EA-68","CH-EA-70","CH-EA-6","CH-EA-71","CH-EA-72","CH-EA-7","CH-EA-73","CH-EA-74","CH-EA-75","CH-EA-76","CH-EA-77","CH-EA-78","CH-EA-79","CH-EA-80/81","CH-EA-82","CH-EA-83","CH-EA-8","CH-EA-84","CH-EA-85","CH-EA-86","CH-EA-9","CH-EA-87","CH-EA-88","CH-EA-89","CH-EA-90","CH-EA-91","CH-EA-10","CH-EA-92","CH-EA-93","CH-EA-94/95/96","CH-EA-97","CH-EA-98","CH-EA-11","CH-EA-100","CH-EA-101","CH-EA-102","CH-EA-12","CH-EA-103/104","CH-EA-105","CH-EA-106","CH-EA-107","CH-EA-108","CH-EA-109","CH-EA-110","CH-EA-111","CH-EA-112","CH-EA-1","CH-EA-13/14","CH-EA-113","CH-EA-114","CH-EA-115","CH-EA-15","CH-EA-116","CH-EA-117","CH-EA-118","CH-EA-119","CH-EA-120","CH-EA-16","CH-EA-121","CH-EA-122","CH-EA-123","CH-EA-124","CH-EA-17","CH-EA-125","CH-EA-126","CH-EA-127","CH-EA-18","CH-EA-128","CH-EA-129","CH-EA-130","CH-EA-19","CH-EA-131","CH-EA-20","CH-EA-2","CH-EA-21","CH-EA-22","CH-EA-23","CH-EA-24","CH-EA-25","CH-EA-26/44","CH-EA-27","CH-EA-28","CH-EA-29","CH-EA-30","CH-EA-31","CH-EA-32","CH-EA-33","CH-EA-3","CH-EA-34","CH-EA-35","CH-EA-36","CH-EA-37","CH-EA-38","CH-EA-4","CH-EA-39","CH-EA-41","CH-EA-42","CH-EA-43","CH-EA-5","CH-EA-45/51","CH-EA-46","CH-EA-47","CH-EA-48","CH-EA-49","CH-EA-50","CH-EA-52","CH-EA-53","CH-EA-54","CH-EA-55","CH-EA-56","CH-EA-57","CH-EA-58","CH-EA-59","CH-EA-60","CH-EA-61","CH-EA-62","IX-EA-6","IX-EA-8","IX-EA-1","IX-EA-9","IX-EA-10","IX-EA-11/12","IX-EA-2","IX-EA-13","IX-EA-14","IX-EA-15","IX-EA-17","IX-EA-18","IX-EA-19","IX-EA-20","IX-EA-21","IX-EA-3","IX-EA-4","IX-EA-5","IX-EA-23/24/12/13/15XO-EA-23/24/12/13/15","TX-EA-57","TX-EA-59","TX-EA-60","TX-EA-61","TX-EA-63","TX-EA-64","TX-EA-56","IX-EA-16","XO-EA-1","XO-EA-7","XO-EA-2","XO-EA-8","XO-EA-3","XO-EA-4","XO-EA-5","XO-EA-11","XO-EA-6","XO-EA-14"
"CH-EA-63/69",0,1229.5916479771,1558.8376314934,1356.06766212203,2434.18119753199,1064.68836611392,708.175698016959,10901.046452622,2052.59854890221,2861.04156270185,10328.232042257,4706.85426266898,4288.86914474672,3246.56532649314,3398.89321578527,2665.14102535266,2099.31702487329,2184.85802174466,864.638684140978,1456.2321213472,1774.03007161261,9389.69590131331,3259.41425091953,2433.62524619226,4168.12135300521,9504.24365136094,3899.66922887623,2701.11082124995,3469.57517547643,3188.5465418678,3500.95002282718,9013.04407096479,3352.2848127184,3255.74786726909,3842.33374351021,4490.2344474222,5507.6414749889,8042.37230958531,7906.12299175488,8809.94487600983,7539.52161066771,7648.10431776949,7656.9206427152,8764.74341091808,8834.28539848504,9034.2108368877,9095.79631477108,10240.4740789342,9092.03567350001,9294.54302500575,9659.26937024151,13790.6727523992,6112.42797206866,9668.92040615482,9820.05898228518,10581.0111365138,6559.65522137572,13697.5129441675,13363.503440257,12416.3940289401,10609.3718700535,10853.1247310851,5339.26737050481,11209.3259227803,11487.1521131427,12268.2999508936,12418.1193939482,5082.75253782333,12505.8531995899,12122.4929455698,11154.0361615122,4526.59589564368,13278.7275067463,13943.9130373293,13421.208459716,3177.71055936612,12592.8725366524,3174.47916286988,12561.5421160972,6045.23870616861,6216.39187262024,7587.68672126869,5413.51769149995,4450.87631785635,4169.77349797775,6394.25519700672,6191.8399566706,7300.38186582019,6170.76299170551,8343.48497210933,9566.50694497459,9283.39824360676,11494.9204896813,9203.02253589267,9566.0245382531,10198.3379091055,9875.2997343077,7604.2002176526,12903.8142096749,7608.32228441387,3842.43834583789,4838.36713453478,4540.67550226912,10610.834001315,3280.41895443382,3125.02711861119,2812.72367598882,2576.0497782301,2409.66902315304,2098.46770503889,2314.94233342498,1963.92365856871,2329.85927708234,1710.6133021314,2482.26123515664,3083.6054921877,2577.69890115085,2003.42262758008,1065.28241020812,2113.19947868117,1595.28634149663,17302.0555697901,16193.9439779616,17037.9172673508,18449.6637819547,16216.263653111,14717.9314898352,18094.6317668703,14960.1672335091,15468.168658753,15878.4377690321,18675.100514992,19203.4786375253,18642.8966940626,15943.128172711,16319.6550256585,16348.4887209676,15753.1624300288,15213.3794934409,24112.7378029502,18629.591531861,19631.5555338466,19866.38163219,20777.9172736231,22076.4412863484,22926.4556555732,19124.0918992697,17814.9384113585,16057.5269308634,17525.7720489991,15933.0173521062,14857.1992823069,16012.988665823,14819.2910204175,15745.8608427681,21479.72930566,16159.334331793,25526.316259267
"CH-EA-64",1229.5916479771,0,474.060904990584,656.284685195694,1820.06628645471,1097.41490448694,1315.05285571648,11765.1071673493,2150.75766136662,2608.90192647345,11196.5141747465,5216.61679861063,4978.90251685202,3943.39544791506,4266.46582827091,3619.75613850347,3039.62076500441,2873.84512607787,1846.89252102186,2337.96371470403,2805.1796882895,10257.9780338028,3779.94469868354,3427.35303102798,5108.42509313633,10353.7232506906,4883.64634676404,3733.6395829826,4502.10393720909,4221.07530360046,4533.47878455984,9826.40284182907,4384.81357445106,4288.27662900175,4831.98260810455,5479.88331201655,6378.85734426235,8851.74729200953,8938.65175348753,9842.47363774249,8572.05037240036,8477.91505493233,8644.33078691564,9752.15355511851,9821.69554268548,10021.6209810881,10085.7977628603,11230.0650720714,10079.4458177004,10281.9531692062,10646.6795144419,14658.9548848887,6978.95880124398,10609.2241462859,10760.3627224163,11568.4212807142,7154.81556331579,14683.877767799,14303.8071803881,13356.6977690712,11549.6756101846,11793.4284712162,5789.55972563413,12149.6296629114,12427.4558532739,13208.6036910247,13358.4231340793,5546.61168694688,13446.156939721,13062.7966857009,12094.3399016433,5013.16578321514,14219.0312468775,14884.2167774604,14361.5121998471,4038.9940273337,13463.1303922213,3842.05379604845,13432.7579853707,5830.6123841511,5961.74059388402,7265.18872917347,5063.29384526931,4236.24999583884,3722.03544296751,5699.18189177309,5490.88717372501,6599.42980008857,5370.23306720473,7642.32852268104,8865.3504955463,8582.32055983986,12366.1363589547,8501.64335844591,8836.70820510749,9299.51416898322,8853.10460047759,6452.6276447098,13772.0963421644,6396.55389406333,2706.3474455671,3686.79456159197,3839.81782579552,11481.2423276944,2435.89651618971,1897.37239231388,1630.63447686016,1348.39505193279,1494.16460809933,1218.11323733841,1660.33100273897,735.212973529765,1193.421165793,481.339726081443,2443.13389893662,3229.43662956256,3214.6197826271,2405.154294232,1617.97783727747,2914.64693250665,2384.88927115726,18334.5843315228,17226.4727396942,17909.1331366243,19482.1925436874,17248.7924148436,15750.4602515678,18965.8476361437,15992.6959952418,16500.6974204857,16910.9665307648,19664.7493795863,20193.1275021196,19632.5455586569,16932.7770373054,17307.0651698589,17219.704590241,16624.3782993022,16084.5953627143,25053.0415430813,19656.9266477386,20664.0842955792,20898.9103939226,21810.4460353558,23108.970048081,23958.9844173059,19995.3077685431,18847.4671730912,16997.8306709945,18466.0757891302,16873.3210922374,15732.1548527469,16953.2924059541,15759.5947605486,16686.1645828992,22420.0330457911,17099.6380719241,26466.6199993981
"CH-EA-65",1558.8376314934,474.060904990584,0,418.539074312966,1390.99723012192,1055.61606907082,1444.11567141994,12185.9486529337,2004.74901371092,2276.2373789767,11613.1342425688,5108.34151343751,5009.01542643835,3974.88884190901,4362.49648879835,3771.31092687511,3191.17555337605,2908.73696388737,2091.58685919656,2488.37681384442,3112.0109602876,10674.598101625,3748.32957196156,3722.22148520165,5259.7631338507,10778.3160230151,5038.75877156663,4040.60876369081,4809.0731179173,4528.04448430867,4840.44796526805,10250.9956141535,4691.78275515927,4595.24580970996,5064.92675385693,5704.09225753897,6792.54367530064,9276.34006433399,9245.62093419574,10149.4428184507,8879.01955310857,8902.50782725679,8853.46221039385,9950.60009731511,10030.8269661637,10230.7524045663,10322.3996079137,11439.1964955497,10279.0470608014,10480.5649703306,10845.2224209854,15075.5749527109,7397.3301723804,10758.1687092888,10911.7007631307,11764.4439317156,7600.57636868126,14835.2158085133,14455.1452211025,13508.0358097856,11692.8546478287,11936.7391876015,6253.93238572657,12300.9677036258,12570.634890918,13357.5482540275,13506.2483379045,6010.98434703932,13589.3834763524,13205.975723345,12237.1846767411,5477.53844330758,14362.2102845215,15027.4433140918,14504.407512926,4459.77574882871,13519.046263321,4274.01650112258,13846.444316409,6232.92769002099,6314.40369098554,7598.56695877498,5396.67207487082,4639.3778157239,4057.94217331985,5973.85606349598,5704.3401918923,6812.95750951848,5562.34551705692,7850.38169560336,9073.77820901971,8792.20043910504,12779.822689993,8706.57288586396,9032.06437832111,9383.60237759402,8851.00806703855,6254.95969466378,14188.7164099867,6050.45272388512,2291.72639604283,3683.68466411994,4100.53028327926,11895.7362016268,2696.60897367345,1576.36862151148,1254.54490455477,1039.40353008991,1733.03857610725,1492.78740906129,1986.01172503044,600.581518634435,778.800116268738,348.0981604919,2893.31091343138,3691.00492399978,3646.58248770122,2862.28500887468,2049.9405423516,3336.70478847577,2806.46853608647,18641.553512231,17533.4419204024,18322.8194676625,19789.1617243956,17555.7615955518,16057.429432276,19379.533967182,16299.66517595,16807.6666011939,17217.935711473,19874.9257901788,20403.3039127121,19842.4123157496,17142.7391286973,17503.9141752588,17633.3909212793,17038.0646303405,16498.2816937526,25195.9368561602,19969.0894743019,20971.0534762875,21205.8795746308,22117.415216064,23415.9392287892,24265.9535980141,20408.9940995814,19154.4363537994,17141.0572076259,18608.9711022091,17016.5001298814,15788.0707238465,17096.4241053593,15902.6591356077,16829.0598959781,22562.92835887,17242.5333850031,26609.515312477
"CH-EA-66",1356.06766212203,656.284685195694,418.539074312966,0,1209.83555534409,678.470686152028,1152.1949757992,12113.9007227638,1586.20993939795,1953.72589245455,11541.0863123988,4697.93097285521,4606.38688398938,3574.05821401719,3997.12321862183,3438.57858305432,2865.45812757829,2546.0434943121,1849.03997677309,2152.99854746291,2878.48411718766,10602.5501714551,3340.18709280512,3477.71459942515,4918.08083390152,10706.7772407993,4697.10076395522,3807.62510173456,4576.08945596105,4295.06082235241,4607.4643033118,10179.4568319377,4458.79909320302,4362.2621477537,4815.78808210402,5451.48109515642,6720.49574513073,9204.80128211818,9012.63727223949,9909.02064512022,8640.38030090054,8830.96904504098,8524.41075197542,9608.91779736593,9731.13637568868,9954.00417214198,10073.2609361608,11186.5853331671,9937.36476085227,10138.8826703814,10503.5401210362,15003.527022541,7325.28224221048,10400.5770389356,10570.0184631815,11422.7616317664,7648.07067794609,14493.5335085642,14113.4629211533,13166.3535098364,11328.5895386841,11572.4740784569,6334.12018388927,11952.319332523,12206.3697817733,12999.9565836744,13148.3381202789,6088.93994192298,13225.1183672077,12841.7106142004,11872.9195675964,5553.68387459973,13997.9451753769,14663.1782049471,14140.1424037814,4387.72781865879,13145.2199944675,4270.20299068888,13774.3963862391,6541.2561858857,6679.25814522393,7983.35226323411,5781.45737932995,4946.89379757344,4441.33486391169,6385.78690169634,6161.38186130163,7269.92448766519,6035.65218188972,8312.82321025765,9535.84518312292,9252.81524741648,12707.7747598231,9172.13804602253,9505.37104315391,9856.90904242682,9283.64646208513,6680.37866296399,14116.6684798167,6328.12457460377,2602.00173567679,4116.32305916652,4510.31251337214,11823.6882714569,3106.39120376633,1990.55812887222,1574.90875161106,1465.24456860521,2149.55901324003,1904.71824726165,2370.69442291072,1077.06562063222,1091.54985634117,820.064664464749,3101.04935310178,3858.80834135778,3665.67093613231,2941.3333191371,2059.26401171062,3264.78470738089,2734.54845499159,18408.5698502747,17295.4897181103,18245.954009517,19553.3791869425,17315.3394222214,15821.3958641213,19307.4860370121,16058.6480286037,16566.7590578573,16975.9527340481,19622.3146277962,20150.6927503296,19589.801153367,16890.1279663148,17162.2318753096,17561.3429911094,16966.0167001706,16426.2337635827,24831.6717470155,19736.1058123456,20729.7561868217,20963.8965972059,21875.432238639,23173.9562513643,24032.9699360578,20305.4249531379,18912.4533763745,16776.7920984813,18244.7059930645,16652.2350207368,15417.5042627848,16732.1589962147,15538.394026463,16464.7947868335,22198.6632497253,16878.2682758584,26245.2502033324
"CH-EA-67",2434.18119753199,1820.06628645471,1390.99723012192,1209.83555534409,0,1316.32559145456,1837.5151998793,12996.2517566549,1377.59759579021,1012.03434856222,12423.43734629,4407.22164904479,4567.34227320661,3601.0406167388,4135.76542185545,3908.92194846916,3364.7733445665,2759.90991547324,2546.62215360638,2655.16329525757,3508.70421673813,11484.9012053463,3218.43306173127,4066.65309663758,5239.68498758938,11599.4489553939,5147.9122656768,4487.50223208176,5269.40076929315,4966.83060206668,5261.10758217313,11108.2493749978,5109.92130374192,4966.39249268442,5343.98598158822,5963.8349498878,7553.64497201877,10143.711061331,9543.78885619607,10437.2185446044,9168.57820038475,9743.30962180247,8886.32869898396,9828.56011000484,10166.6518248182,10411.8718792355,10599.933074907,11686.9352893599,10299.2827078608,10369.6906724986,10717.4275993705,15843.1245025725,8207.63327610164,10534.7029444092,10773.776538103,11630.9149869785,8657.37318466396,14697.2915834856,14275.800812121,13362.7392634966,11445.3388529116,11689.2233926844,7344.13227506412,12086.4452379965,12323.1190960008,13134.0824891479,13267.4780665307,7098.95203309784,13341.8676814352,12958.4599284278,11987.6975730776,6563.69596577459,14114.6944896044,14779.9275191746,14255.8476886675,5272.9158633991,13143.9371259948,5275.05585179281,14479.12872531,7521.03953031252,7570.6244667298,8848.18045224928,6646.28556834513,5929.54502759227,5307.55566679415,7143.12905995905,6614.41897274177,7723.03629036795,6464.96222760691,8758.83848361689,9981.32284949174,9700.45366725956,13439.0510834814,9613.19612845952,9933.63396524925,10280.9571614431,9419.45939658237,6582.90027825632,14999.0195137079,5495.20663962334,2064.15039779413,4374.401368942,5170.57252272899,12576.9946800772,3675.17271592461,1993.97467459956,1527.82074847734,1681.57247065858,2896.89190699336,2740.48903133041,3235.62521850474,1726.67355122656,1189.54034532792,1566.49402930436,4132.9217857781,4890.6807740341,4674.97344285019,3952.00708291838,3068.5665184285,4214.09045970993,3695.87601377197,19062.2835503136,17823.6876175945,18939.2653228491,20081.5770864267,17843.5373217056,16349.5937636055,20040.2960697746,16586.8459280879,17094.9569573415,17504.1506335323,20061.7633283726,20588.1962259469,19874.1836479417,17328.0303636752,17370.3852305217,18298.8347891923,17696.038021136,17163.7255616656,24947.4193675228,20413.7729714099,21257.9540863059,21492.0944966901,22403.6301381233,23702.1541508485,24653.3109747048,20998.73626647,19440.6512758587,16893.5414127088,18360.4536135717,16768.9843349643,15451.2871016466,16848.2256422062,15654.3595022789,16580.5424073408,22314.4108702326,16994.0158963657,26360.9978238397
"CH-EA-68",1064.68836611392,1097.41490448694,1055.61606907082,678.470686152028,1316.32559145456,0,528.800973273167,11703.5301725107,1120.55526435922,1812.28841587144,11130.4518202503,4121.3161763184,3967.30627339818,2933.17968886884,3326.54577132963,2791.81610673677,2236.81666371383,1874.83628207119,1257.44713651048,1524.35708359845,2265.08112935429,10191.9156793066,2715.54393041904,2855.44915599405,4266.00089848425,10306.7273712497,4045.02082853795,3227.88599565072,3999.69527145764,3718.66663784901,4027.40559619132,9815.52779085352,3878.74038608254,3766.78614654838,4188.8697751565,4824.5627882089,6255.74035287343,8916.23395081328,8388.67264976434,9282.1023381727,8013.46199395303,8450.58803765821,7872.33081655815,8956.83786194866,9083.42445685163,9313.56871699674,9446.34262921326,10558.9786085072,9285.284825435,9486.80273496414,9851.46018561892,14573.419004737,6914.91169195739,9729.99959164342,9917.93852776422,10770.6816963491,7450.25454262879,13841.4535731469,13461.3829857361,12514.2735744192,10658.0120913919,10901.8966311647,6215.3576504367,11281.7418852308,11535.7923344811,12329.3791363822,12477.7606729867,5959.36444147502,12554.5409199156,12171.1331669082,11202.3421203042,5406.73075411406,13327.3677280847,13992.6007576549,13469.5649564892,3986.51435094218,12478.3370222541,4063.13259778957,13209.4232274745,6749.21960637299,6896.80272195081,8213.12664717308,6011.25286254627,5154.85721806073,4673.06838444575,6776.9527146164,6573.5425048128,7682.08441396239,6470.0386215951,8725.05305593274,9948.075028798,9665.04509309156,12169.3455856459,9584.59061971608,9920.02236150842,10376.1046300555,9906.66968437219,7306.77294809331,13706.0339876682,6789.07266957242,3179.47194686236,4739.63428498958,4922.37805041133,11307.2891822417,3521.60367204483,2616.95241400154,2190.34235349683,2091.63885373453,2606.9771001723,2317.74714902038,2706.55214103823,1667.08557068688,1706.8797882106,1380.62078380102,3201.47616846998,3837.00680034233,3470.38526558266,2858.72904841956,1928.98768136829,2997.95814558566,2481.89469762083,17828.5111431543,16668.5714111628,17669.5598250136,18926.460879995,16688.4211152738,15194.4775571737,18770.5905719391,15431.7297216562,15939.8407509098,16349.0344271006,18994.7079031363,19523.0860256697,18962.1944287071,16262.5212416549,16510.1519398923,17029.1292913568,16426.3325233005,15894.0200638301,24161.0942997234,19159.7116278422,20102.8378798742,20336.9782902584,21248.5139316915,22547.0379444168,23452.9112289373,19729.0307686345,18285.535069427,16106.2146511891,17574.1285457723,15981.6575734446,14747.3614827796,16061.5815489225,14867.8165791709,15794.2173395413,21528.0858024331,16207.6908285662,25574.6727560402
"CH-EA-70",708.175698016959,1315.05285571648,1444.11567141994,1152.1949757992,1837.5151998793,528.800973273167,0,11273.8422967214,1407.56266751881,2308.252677375,10667.2073272333,4056.2628983518,3686.72019135439,2648.26581260262,2951.41297255443,2327.40991247802,1747.27453897896,1565.81876140103,729.01795017273,1044.77830317043,1736.28015608112,9728.67118628964,2608.84757684481,2329.81328897432,3816.07886711088,9877.03949546037,3595.0745048268,2699.45680931297,3471.26608511989,3190.23745151126,3498.97640985357,9385.83991506422,3350.31119974479,3241.15027952865,3665.51531099349,4301.20832404589,5743.13259670571,8498.58028812298,7865.31818560133,8758.7478740097,7490.10752979002,8020.90016186892,7422.40878518478,8506.91583057528,8603.31512213263,8822.20829370499,8922.98816505025,10036.3125620566,8835.36279406162,9036.88070359077,9401.53815424555,14044.9898183992,6485.22381616809,9316.87792026048,9468.01649639085,10320.7596649758,7057.60134886808,13391.5315417735,13011.4609543627,12064.3515430458,10255.1369720017,10498.8898330333,5911.22433972021,10857.283436886,11132.9172150909,11916.2574649993,12065.6615524328,5654.70950703872,12151.6183015381,11768.258047518,10799.6837127087,5097.48392894659,12924.4926086945,13589.6781392775,13066.9065488937,3568.86068825188,12148.0775365048,3663.3027569982,12680.9940411367,6684.59653462918,6848.22983685594,8187.19649631639,6008.31227076579,5090.23414631692,4752.66912589514,6968.22710636671,6764.81689656311,7873.3588057127,6668.65060830441,8916.32744768305,10139.3494205483,9856.31948484187,11640.9163993081,9775.86501146639,10111.3353526541,10637.0422641679,10298.279903478,7844.88849092108,13234.4738732326,7433.29913179372,3822.05285833494,5139.64959616212,5113.65244216164,10778.8599959039,3717.87802886407,3160.20535576974,2797.39045313013,2629.3323263472,2832.64919232329,2525.46479396007,2892.81200545544,2133.80876862905,2314.09133017125,1845.64886033441,3123.56599223752,3720.80313121246,3117.18428255211,2614.03096783879,1690.30047728788,2594.35331290598,2090.94132668628,17300.0819568165,16145.2169469998,17141.1306386759,18403.106415832,16165.0666511108,14671.1230930107,18242.1613856013,14908.3752574932,15416.4862867468,15825.6799629376,18472.0418566857,19000.419979219,18439.5283822565,15739.8551952043,16060.2299085189,16500.7001050191,15897.9033369628,15365.5908774924,23758.4358921278,18631.2824415044,19579.4834157112,19813.6238260954,20725.1594675285,22023.6834802538,22924.4820425996,19200.6015822967,17762.180605264,15703.2920328116,17171.4701381768,15578.7824540544,14417.1019970304,15658.7537677712,14465.0561223657,15391.5589319458,21125.4273948376,15805.0324209707,25172.0143484447
"CH-EA-6",10901.046452622,11765.1071673493,12185.9486529337,12113.9007227638,12996.2517566549,11703.5301725107,11273.8422967214,0,12613.7374454458,13564.3078402478,619.784580175987,13167.0440190259,12028.9080259359,11685.79647449,10948.5849276098,10106.5683197401,10507.8878831775,11558.7151575513,10540.1374547885,10718.2025713614,9619.81245088726,1555.94557966853,12370.8799929546,9284.4950564334,9927.39584582565,1330.68284621995,9522.90138781889,8694.66345474169,7797.44188186978,8111.21692547438,7951.53408966846,1822.97979783107,8224.86971101933,8408.08527552138,8716.09039704562,8608.98006921496,5588.20583671346,2916.18483851316,6143.0636686918,7414.02049899978,6903.83861463353,2788.27161653911,9214.58408076416,10154.798526249,9231.53777343867,9159.36413710973,8708.21403552396,9207.97097294149,9767.254635276,10220.2665691339,10418.6610894668,4121.98186777195,4319.54005544337,12073.8468827336,11455.5953963613,11294.0129904983,5849.20759664969,13567.2516665665,13934.4048906055,13192.0639572519,12977.6594968574,12965.1141761628,7457.59862434867,12831.5301073506,13492.1894434667,13603.7644347429,13790.3410861335,7870.96816115933,14020.5601336273,14019.4616758852,13884.1050009928,8293.42632764066,14653.0157963014,14908.6773214788,15298.5069180609,7843.5017775716,16065.6607976519,8313.46855236999,4478.48357369282,9242.2900512273,9584.64284207987,10626.106510553,10681.3453250452,10394.1565819715,11262.6111196446,12114.8586616711,12853.6050505844,13268.0839255133,13632.2852485101,14651.6691076904,15436.1890595779,15103.2904946823,3738.82617392673,15310.7748663044,15731.2802265492,16666.7805351839,17758.3802356349,17285.7440656696,2592.16788752149,17945.4933406214,14533.9018545622,14472.8390506049,12375.512803905,2679.19004004746,12548.1660091367,13528.7539084428,13445.4579969581,13070.553145106,12205.3191076778,11958.2189045676,11655.50295559,12449.4058216932,13020.9755747881,12280.3393376704,10612.1935490432,10122.4407084561,9064.92816219332,9994.39592219576,10217.043090223,8984.85496079821,9449.00259480457,9590.67829879214,10073.4391947564,7914.35626728844,11652.5528777256,11123.1496477044,8325.41673942424,8426.97332078291,10974.4645159714,11109.2193276461,12114.6294257048,15415.1548679807,16051.2988098799,15666.8279395023,13375.4255327316,14370.6763678423,6642.69660554851,6345.96939360107,5690.51320129041,24441.3136211684,10359.0215406902,13954.5751445338,15539.1890860739,16801.3809011727,16033.6776354135,15042.526159327,10441.0747833665,13706.5274864963,16515.1667526208,18499.4997574247,16559.0576417915,17880.786217166,16832.9695732149,16098.9972450114,16922.7471605225,22174.1006837427,17184.417158078,25912.2331470804
"CH-EA-71",2052.59854890221,2150.75766136662,2004.74901371092,1586.20993939795,1377.59759579021,1120.55526435922,1407.56266751881,12613.7374454458,0,1003.14275610761,11564.8344188595,3195.54774683817,3217.45619389647,2248.05283571064,2760.65173497829,2632.23917413167,2176.60919184088,1394.17981851394,1582.70610223456,1536.55281095171,2460.139601074,10614.1329890529,1869.02505185778,2976.91098941951,3868.90549406371,10877.8548020168,3814.99768260713,3435.63950863743,4224.39096656143,3914.96787862235,4202.50094775182,10386.6552216207,4006.5423422043,3862.61515127683,4097.24173226454,4704.37328267927,6508.63516928705,9527.85764262109,8319.77906417423,9146.83065634417,7922.27816023718,9021.71546842535,7515.54920545828,8457.5602299381,8795.87233129254,9041.09238570987,9282.97087532431,10348.444403034,8928.50321433513,8998.69079243186,9346.42771930372,14798.1146998408,7402.12095460838,9157.15053723627,9402.77665803622,10259.9151069117,8115.92427481177,13326.2917034189,12898.2484049481,11991.7393834298,10067.7412571214,10311.6257968942,6969.5472656639,10708.8928308236,10945.5215002106,11756.530081975,11889.8804707405,6713.03243298241,11964.270085645,11580.8623326376,10612.0712860337,6155.80685489029,12737.0968938142,13402.3299233844,12879.2941222186,4610.21480025578,11803.4757095026,4718.15460643964,13434.1189225783,7665.3799590315,7813.01682105342,9130.49684862566,6929.04201349878,6071.01757071924,5590.85753539826,7635.44794558341,7428.60227997268,8537.14490633624,7290.48948514398,9579.375707209,10802.7722206254,10520.0356660875,12394.0412807496,10435.5668974696,10761.0583899268,11109.845581425,10463.5506980521,7713.67257110951,13987.5987546742,6682.38514862669,3290.92273115182,5301.89288802911,5777.5329320432,11531.9848773454,4373.61162243739,3061.68911882682,2589.05304955709,2604.56453430203,3431.879714347,3155.82834358608,3572.2722770242,2377.17769089859,2146.9221830872,2121.80549208623,4113.27189110979,4715.25945484356,4175.5072084958,3657.34458038988,2728.2964279993,3641.16059134977,3149.26425262997,18010.1586814073,16553.0076081374,17894.2555201174,18808.0776252395,16540.1460009817,15114.7245038485,18995.2862670429,15280.4062442272,15789.1457007178,16196.2949368704,18690.9838348469,19217.1963458802,18503.183767875,15957.2508701495,15999.3853504549,17253.8249864606,16651.0282184043,16118.7157589339,23570.8234654528,19361.6481025036,19950.9743186036,20183.5176682061,21093.9278985691,22394.2984541866,23362.0264425852,19953.7264637383,18132.3891461107,15515.9438169186,16983.8577115017,15391.3867391741,14098.2993206184,15471.3107146519,14277.5457449003,15203.9465052708,20937.8149681626,15617.4199942957,24984.4019217697
"CH-EA-72",2861.04156270185,2608.90192647345,2276.2373789767,1953.72589245455,1012.03434856222,1812.28841587144,2308.252677375,13564.3078402478,1003.14275610761,0,12394.0342220514,3561.51169271454,3830.53069514286,2993.96660684965,3566.34171740941,3548.71324391785,3108.3369894526,2285.62933240303,2406.21091447613,2449.38453903741,3364.59442200067,11455.4980811077,2472.16080053766,3889.11710628028,4698.11506782348,11701.3596142584,4650.25494870929,4340.0943295641,5128.8457874881,4819.42269954902,5106.95576867848,11210.1600338622,4919.37407029,4775.44687936254,5014.63867138985,5595.38679914787,7413.08999021372,10326.3439851513,9237.17600329954,9982.08792244633,8816.21926649905,9845.22028066692,8350.80647156044,9265.76590807538,9631.12959739469,9876.34965181202,10118.2281414265,11183.7016691361,9763.76048043728,9806.89647056914,10154.633397441,15702.5695207674,8225.62576684995,9959.60964443705,10210.9823361735,11068.120785049,8863.33921352498,14134.4973815562,13703.9383873792,12799.9450615671,10842.2900418715,11096.9467367734,7657.45040008958,11514.5828132547,11713.8107258858,12545.6988565015,12677.5267452849,7400.93556740809,12740.2277206582,12304.8978914588,11288.9490818634,6845.78208109472,13469.8406614556,14173.8255788467,13555.4478979784,5396.62438528019,12317.5166900868,5475.71549150668,14338.573743505,8081.27689707634,8219.27885641457,9524.50886130829,7322.61397740414,6486.91450876408,5981.35557510233,7905.43035827988,7437.31734645694,8545.93466408312,7291.14955906045,9583.35885016799,10806.7553635843,10525.1775936697,13298.4961016763,10439.3834599131,10759.8212967028,11107.1444928966,10243.2054195647,7345.5909960693,14892.0535756008,5842.02111622197,2759.52308988959,5200.58870039554,5990.90515301591,12436.4396982721,4495.50534621153,2820.1620060531,2354.00807993088,2507.75980211212,3668.01999259778,3424.3617038452,3912.54627981233,2453.98897163128,2015.72767678146,2258.26571432232,4564.69996688018,5278.7792704628,4894.66957059424,4307.24023769736,3378.71157343909,4409.61065861228,3893.54721064745,18914.6135023339,17388.2648742396,18798.7103410441,19643.3348913417,17375.4032670839,16031.0126322283,19899.7410879695,16115.6635103293,16624.4029668199,17031.5522029726,19526.2411009491,20025.4020240175,19311.3894460122,16792.5081362517,16807.5910285922,18158.2798073873,17555.483039331,17023.1705798606,24247.2042619426,20266.1029234303,20786.2315847058,21018.7749343082,21929.1851646713,23229.5557202888,24197.2837086873,20858.1812846649,18967.6464122128,16247.2050172342,17660.2385079916,16085.1461675043,14658.8567626662,16148.6631166964,14955.4180953487,15880.3273017606,21614.1957646524,16293.8007907855,25660.7827182595
