"","CH-ET_LTAzI-2","CH-ET_LTAzI-11","CH-ET_LTAzI-6","CH-ET_LTAzI-3","CH-ET_LTAzI-7/8/9/17/19/20","CH-ET_LTAzI-1","CH-ET_LTAzI-12","CH-ET_LTAzI-4","CH-ET_LTAzI-13","CH-ET_LTAzI-10","CH-ET_LTAzI-14","CH-ET_LTAzI-15","CH-ET_LTAzI-16","CH-ET_LTAzI-18","CH-ET_LTAzI-5","CH-ET_LTAzI-22","CH-ET_LTAzI-21","IX-ET_LTAzI-12","IX-ET_LTAzI-1","IX-ET_LTAzI-3","IX-ET_LTAzI-11","IX-ET_LTAzI-5","IX-ET_LTAzI-7","IX-ET_LTAzI-8","IX-ET_LTAzI-9","IX-ET_LTAzI-10","IX-ET_LTAzI-4","IX-ET_LTAzI-6","TX-ET_LTAzI-1","TX-ET_LTAzI-4","TX-ET_LTAzI-3","TX-ET_LTAzI-2","IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6","XO-ET_LTAzI-2","XO-ET_LTAzI-1"
"CH-ET_LTAzI-2",0,2114.0867327324,7597.27027116171,2468.95712182418,8211.06295772242,9023.97316285609,4067.29272486019,7932.13251468782,4265.41357310388,3928.27686845287,11097.8943547356,11248.9608969615,11302.5303254571,8100.53328516596,11214.0168647155,14525.6658639758,14422.7462071011,9428.88539663766,10874.1611167117,13905.7362045126,14089.5769605903,16982.4846242473,16534.3887280008,17504.7074604193,18771.0224446399,23212.3104636657,14444.2870621797,17294.5307289626,12113.6133477581,14332.4211858032,17134.8052818446,16496.293515926,13582.6376711785,18324.1523565179,16480.8075876704
"CH-ET_LTAzI-11",2114.0867327324,0,7285.53647498,559.744164794605,7842.02825781612,9550.78149686475,2240.32989932942,5945.25549898505,5481.91280987733,5523.35893085019,9112.6905227502,9263.75706497604,9231.21162864899,7373.23927301712,9142.69816790736,14158.0503256177,14049.0161650934,11207.4171494258,11903.9041786486,14989.0491883245,14690.4742086879,17892.0941156097,17477.063609697,18461.2689409905,19371.9196927375,24024.1948326032,15045.1843102773,18204.140220325,13932.7930360567,15695.4109306972,18368.5516063741,18032.5627747057,14808.4965884039,18262.884214481,16466.6742426902
"CH-ET_LTAzI-6",7597.27027116171,7285.53647498,0,7287.28363851445,1301.25713578467,2668.17362299389,6745.75352318845,9427.35672450583,5087.84883410915,6395.34590051002,10893.882257059,11096.2364749775,11762.7543799961,2577.41113081065,12053.8705184578,6929.42350961751,6826.37333043963,10703.5464357401,6890.79679337074,9860.8467920913,7879.06353526128,12122.1861512447,11852.9863676035,12859.1259718517,12111.7402672451,17265.7640838649,8233.58450878635,12417.1897012087,12600.631481268,11650.7368445739,13610.3107156388,14572.0213110129,10356.9199846835,10987.2816699415,9191.41254555183
"CH-ET_LTAzI-3",2468.95712182418,559.744164794605,7287.28363851445,0,7377.10381309852,9272.57813330195,1684.38926539014,5466.97811604338,5554.99881153831,5683.36084940211,8634.24326469322,8785.30980691906,8848.79401109771,6908.19295570567,8760.28055035608,13693.0040083063,13583.9698477819,11409.7228121068,11848.4139662257,14933.5589759016,14413.3275705881,17789.3766401172,17419.3346052997,18403.5399365932,19094.6724373852,23747.0715764688,14768.0376721776,18101.4227448325,14135.1913971513,15828.9238051223,18313.5877685958,18166.0756491308,14758.2252701728,17978.4087517875,16183.2631563108
"CH-ET_LTAzI-7/8/9/17/19/20",8211.06295772242,7842.02825781612,1301.25713578467,7377.10381309852,0,3521.29473182264,6778.9235269387,8972.66858812973,6277.21270889113,7583.7266824071,10135.3101934652,10371.1019494073,11070.7238971604,1484.49406598132,11365.3127912188,6318.29363455238,6212.51172877831,11996.755976248,8031.41235845074,10943.2237970651,8124.81795211419,12795.4150745037,12748.9382827422,13756.3717189244,12254.592952472,17479.288091315,8467.64899744666,12806.8618220099,13862.8909762576,12791.4670139126,14750.269162126,15712.7514803517,11497.6501540223,10938.977173421,9150.13109347604
"CH-ET_LTAzI-1",9023.97316285609,9550.78149686475,2668.17362299389,9272.57813330195,3521.29473182264,0,8991.42943204653,11933.8336448543,5567.21847972117,6876.97969379334,13432.6434329991,13634.9976509177,14301.5155559362,4862.43721635544,14592.631694398,6139.771269816,6499.50409480411,9711.53604960727,4614.02443208922,7524.90003460738,5240.48439991015,9524.53690064639,9257.12997491184,10264.5634110939,9921.66380544663,14629.0736757943,5595.08707062741,9768.87060931923,10996.6102234648,9373.99563002295,11332.5582664382,12295.280096462,8080.17877013262,9414.95844901096,7496.91024452644
"CH-ET_LTAzI-12",4067.29272486019,2240.32989932942,6745.75352318845,1684.38926539014,6778.9235269387,8991.42943204653,0,4082.49264422752,6117.62845845866,6736.5990139644,7031.81844652908,7182.88498875492,7650.2305998672,5721.30117248397,7563.50914097319,12606.3209446802,12391.2975288592,12442.7062644215,11916.422331399,15001.5673410749,13929.0854933429,17839.3822870521,17469.5877484544,18453.7930797479,18528.1139353713,23283.6347958266,14283.6881640601,18151.4283917675,15169.1773371735,16279.0322412532,18416.4536278131,18716.8873382374,15069.9333261937,17394.8862068343,15605.2280674768
"CH-ET_LTAzI-4",7932.13251468782,5945.25549898505,9427.35672450583,5466.97811604338,8972.66858812973,11933.8336448543,4082.49264422752,0,9302.59501769166,9926.70621799636,3538.33761968534,3689.40416191118,3666.86981113948,6443.67428820394,3595.76163436852,13584.3979186286,13037.4955819852,15630.7642682683,14426.1714299865,17543.8866040126,15740.2867339906,19977.5066671868,19639.7752430663,20623.9805743598,19870.2283664063,25094.7772251694,16083.117779323,20289.5527719021,18357.2353410203,18918.001757711,21015.7522566841,21440.5236402358,17708.9028426514,18417.6997599584,16629.564060674
"CH-ET_LTAzI-13",4265.41357310388,5481.91280987733,5087.84883410915,5554.99881153831,6277.21270889113,5567.21847972117,6117.62845845866,9302.59501769166,0,1380.20344622853,13117.2121546374,13295.4407316291,13840.3039314614,6841.87252296086,13960.5482591253,11284.4895923588,11581.0622079358,6329.7823465441,6632.75293580449,9645.55623961597,9950.42475494928,12742.9825314141,12294.5597961234,13264.8785285419,14624.190198317,18972.8083708325,10304.8206319641,13055.0286361294,9056.25341929607,10274.1848156378,12900.3615971603,12611.3366596463,9329.71980142516,14863.0417330544,12945.3838118216
"CH-ET_LTAzI-10",3928.27686845287,5523.35893085019,6395.34590051002,5683.36084940211,7583.7266824071,6876.97969379334,6736.5990139644,9926.70621799636,1380.20344622853,0,13553.3919891937,13731.6205661854,14257.6558794454,7868.86634283146,14345.8482075756,12463.0873059749,12759.6599215519,5820.83688769797,7392.12547985481,10362.2468382984,10954.9514437327,13502.6705455213,13054.2478102306,14024.5665426491,15387.1019427744,19732.4963849397,11250.3845734383,13814.7166502366,8546.30547274246,10404.8995472157,13207.2836432571,12618.6397745823,9776.64471437446,15956.0730850694,14038.7594282489
