"","CH-LF-16","CH-LF-14","CH-LF-46","CH-LF-48","CH-LF-50","CH-LF-49","CH-LF-52","CH-LF-51","CH-LF-6","CH-LF-9","CH-LF-54","CH-LF-53","CH-LF-12","CH-LF-5","CH-LF-36","CH-LF-13","CH-LF-26","CH-LF-30","CH-LF-34","CH-LF-35","CH-LF-3","CH-LF-7","CH-LF-8","CH-LF-10","CH-LF-11","CH-LF-17","CH-LF-18","CH-LF-21","CH-LF-22","CH-LF-25","CH-LF-27","CH-LF-28","CH-LF-31","CH-LF-33","CH-LF-37","CH-LF-39","CH-LF-40","CH-LF-41","CH-LF-42","CH-LF-1","CH-LF-45","CH-LF-47","CH-LF-55","CH-LF-38","CH-LF-43","CH-LF-44","CH-LF-29","CH-LF-32","CH-LF-2","CH-LF-20","CH-LF-24","CH-LF-19","CH-LF-23","CH-LF-4","CH-LF-15","IX-LF-11","IX-LF-2","IX-LF-4","IX-LF-10","IX-LF-13","IX-LF-3","IX-LF-5","IX-LF-12","IX-LF-1","IX-LF-9","IX-LF-7/8","IX-LF-6","TX-LF-25","TX-LF-26/27/28/29","TX-LF-21","TX-LF-23","TX-LF-19","TX-LF-24","TX-LF-20","TX-LF-22","XO-LF-3","XO-LF-1","XO-LF-2"
"CH-LF-16",0,3481.87737381283,4150.32825145042,7418.84918545065,6405.18747691657,7360.20283157149,10271.3665881681,9375.15276424936,6098.33520747528,6379.63616298038,13977.1310281853,13497.3764688898,4237.7171420729,7437.19039974446,5164.44474349326,3748.202151184,3615.83445060851,3943.50515970822,4806.59518787445,5285.78848816073,11952.6925517215,5415.46283469957,5059.08823965853,7546.10492188208,7119.74351531279,730.971643217991,1687.8661185237,3642.3798808621,3168.33639557074,3133.80282503603,4206.87711497032,4214.87573641928,4332.24690515228,4726.2019911382,10675.0124471685,9192.55048761434,9475.69749226965,8487.25979146034,8213.4802984841,12018.9783997008,7272.21993546786,5240.47532629383,8115.36804651778,9677.88789878649,7807.65898032399,7512.76003763571,3931.0615223338,3565.49291945247,10471.3691010905,2817.42611182967,2495.7207946506,2380.62826985233,1898.71620601409,9622.27532015676,1065.43024078699,20053.405120884,12740.1628347361,15000.5158136683,19819.4224173145,16470.7605348581,15415.7826942392,15263.8090935607,24047.2801061775,18061.2928407016,19731.3643648501,19184.7275153077,17307.4210329813,18791.2440995588,21559.0617454816,20112.7609672984,18489.1359295198,21478.367657361,18171.4831385391,19724.381918022,19162.4718890812,16259.5996052413,16525.0212562268,16629.0106542854
"CH-LF-14",3481.87737381283,0,1589.81087847607,3942.12723084892,4356.57814040045,4514.08793009732,7274.69304679991,6471.93267183919,3772.75437038456,5141.93378100281,11552.1236392356,11364.4563493133,1096.6981702971,5889.72949216935,7717.34876225818,794.601628393393,7154.87197914537,7884.16041711985,8326.84576582409,8925.196131458,8882.36661723855,3796.23775175174,3749.26305665658,6992.12264854817,6960.55078627921,4410.70723680661,4937.00755143255,6522.84868885366,6031.0490992721,6786.71000442611,7748.62518827406,7925.72094638935,8185.12875384853,8365.24437600834,13956.9395537443,12752.9970451677,12930.2311318808,12080.3868057543,12087.9915544547,8662.8591302065,11222.8947325326,1926.56775478625,7257.81383092853,13228.0866547254,11710.5611255678,11463.4348347005,7812.21276290309,7230.46548973051,7279.11924282551,6162.26777213808,6437.82730555478,5624.59146060098,5846.67983367488,6548.58766765244,3575.51323635886,17405.3866430494,9392.05667781356,11999.1743896606,17171.40393948,13651.3028418264,12413.6999190645,12653.805045351,21622.5768204922,14814.6629651183,17073.0252567878,16526.3884072455,14871.9066781607,15331.9993719347,18210.1736826878,16865.3217515046,15242.5060539365,18020.2761264699,14924.0439227453,16343.6947714029,15898.4132439768,13834.2380522423,14097.0941608816,14202.8766036289
"CH-LF-46",4150.32825145042,1589.81087847607,0,4067.47757809951,2770.61132686243,3213.11404580536,6123.84319784987,5228.37968501821,4936.51103159586,6635.35340881297,10118.2819933895,9779.95826003841,2448.16432818555,7347.96373520138,9151.23976826146,2351.58791872079,7640.0561520678,8492.90355712477,9422.49774149305,9975.76073041782,9272.65005906536,5254.47199478378,5246.19467241873,8490.29917891487,8528.76167539727,5277.59107139534,6055.14105997204,7907.81072914924,6064.59714931031,7385.49816661375,8199.99520894036,8525.67703877556,8787.51038080124,9416.04997452854,15218.647302038,13868.9576731327,14053.7741785114,13177.2320337174,12895.4156175441,8515.59287508517,11837.7517157663,1509.34037314315,5829.10124161942,14345.9041235442,12489.594299384,12086.4919860361,8414.5943898558,8253.66604504983,7388.10552012166,7337.19086386982,7181.28547242566,6832.44502725366,6462.39311170158,7049.96349223288,4667.90080996628,15975.0550429903,8737.36287405349,10851.797652706,15741.0723394208,12355.640499305,11267.0645332768,11222.156952625,20188.7815773621,14882.8502806659,15642.6936567287,15096.0568071863,13438.7973472239,15287.8585749433,17557.6603596487,16920.3360397147,15310.6933694841,17974.9821327454,14978.7163194049,16380.7569327642,15945.0107774908,12400.4743788087,12663.9427763283,12769.6420186
"CH-LF-48",7418.84918545065,3942.12723084892,4067.47757809951,0,5226.34763303032,3827.33630458063,5332.57015091935,5017.27032325845,3194.74470593137,5470.06688792779,10674.5267941166,10646.3547562423,3582.68527908422,5547.32654097951,10139.969433469,3939.53190756704,11168.1582350106,11865.0372187715,12002.3124371924,12623.8669701009,5415.79035969814,4322.44677271825,4659.33926580282,7392.72950720996,7770.41485294253,8194.93870362145,8648.76607070385,10010.8921655872,10039.0134047481,10805.5129628565,11760.8860069586,11944.5239048197,12203.9317122789,12066.6158408219,17441.7174245741,16407.9670059237,16585.2010926369,15735.3567665104,15829.4806836647,4767.76782225905,15031.8237788293,2507.43315931479,9079.52624386707,16883.0566154814,15452.0502547778,15269.6143071825,11831.0157213334,10941.975034641,3469.82615628926,9838.92172981617,10231.658701133,9303.32929216187,9787.30592591475,3244.10460231245,7348.25780805378,15258.1428043186,6095.24459033571,9459.95805241178,15024.1601007491,11262.7182390763,9610.67644015663,10817.7737513101,20099.253224819,11002.5532864714,14925.781418057,14379.1445685146,13300.9618155037,11421.3089869245,14443.8818836039,13044.1489676385,11430.3963752896,14108.4325447267,11102.5292473287,12508.0547911812,12071.3447294489,12700.9823031864,12768.7623800764,13024.3462156927
"CH-LF-50",6405.18747691657,4356.57814040045,2770.61132686243,5226.34763303032,0,1976.69942160515,4563.16450636642,3506.30804110777,7444.8608597387,9179.08124472428,7580.5392080007,7101.1052048103,5135.40657087382,9876.28523614036,11791.9635272011,5194.31809691681,9150.58500877178,10357.081121689,11824.0524853501,12329.5201923065,10400.9526419459,7798.19983069508,7833.48662321895,11118.877383832,11289.0341243852,7697.93702094379,8565.79173169307,10439.7011552381,7499.76397016359,9056.77133802419,9700.60975662643,10132.1693881873,10435.1346716184,11770.1709784846,17692.4257063061,16232.2954096823,16493.1547897453,15480.0023364847,15106.7317871585,8554.03741680809,13895.3231814671,3383.34961027506,3962.16237876443,16713.5935380941,14700.9104689984,14149.3677993136,10106.6366830023,10611.2168519403,8276.13398337838,9830.07879653929,9415.28101311825,9339.39071230176,8635.76878308108,8472.01148483185,7204.74263016962,13768.393308203,7847.45748263938,9087.08461010769,13534.4106046335,10220.6529513842,9777.83717109268,8988.08930469687,17650.7258055457,15141.2675881711,13454.2959760705,12907.6591265281,10905.0603414181,15242.4338140067,16424.8168169391,16918.6984018693,15543.4874527616,17929.5573718088,14958.4835982785,16336.0681878926,15901.5327831655,9862.95041355196,10127.9637592093,10232.3614625961
"CH-LF-49",7360.20283157149,4514.08793009732,3213.11404580536,3827.33630458063,1976.69942160515,0,2911.21798663785,2015.3122346146,6622.99863891675,8847.4455612423,7289.66351837787,7259.24318584318,5046.6516605893,9057.91195004346,12293.2649133212,5232.18531882261,10777.078930226,11651.2981524231,12801.1201799079,13354.3831688327,8801.00583178005,7468.65819562962,7639.39923102552,10842.0224698913,11103.773334719,8656.21350981025,9433.76349838694,11214.1911427068,9155.4687869323,10537.9487689528,11333.4996822423,11678.1276411147,11942.2467258309,12794.6724129434,18597.2697404529,17247.5801115476,17432.3966169263,16555.8544721323,16271.7125711431,6679.74439141087,15090.2629067496,2886.34975358017,5943.48681088837,17724.5265619591,15865.891252983,15344.3075245961,11569.5843327328,11632.2884834647,6619.48156479877,10715.8133022847,10558.3537214575,10211.0674656686,9797.02028277562,6878.71098530665,8046.33921475855,12891.2987129521,5872.32223155885,7720.87178402706,12657.3160093826,9271.30978391137,8140.95492651282,8139.71711525365,17110.6093173825,13265.4762383117,12558.9373266905,12012.3004771481,10358.208573929,13265.81837429,14748.0639316615,15037.4308982826,13667.0427755564,15952.9419320922,13074.3455315449,14359.5330545362,13925.032166389,9325.54464959162,9583.93596359483,9690.86605310313
"CH-LF-52",10271.3665881681,7274.69304679991,6123.84319784987,5332.57015091935,4563.16450636642,2911.21798663785,0,1046.44269048423,8639.07996833851,10895.9028061545,5600.38727475794,5985.53364736971,7689.49557987184,11011.7143189775,14936.4845728038,7877.22906883837,13671.9450939534,14548.3162638697,15718.3143138688,16271.5773027935,8954.76938028124,9517.11544054177,9796.36105298204,12857.4306040093,13161.0773972893,11573.4076437711,12350.9576323478,14035.1371261903,12050.3349506597,13434.9668803994,14228.3658459697,14575.1457525612,14839.2648372774,15711.8665469043,21469.2279910809,20164.7742455084,20349.5907508871,19473.0486060931,19189.7752256189,5740.45184678937,18005.3311251392,5484.03751309576,8096.31295842552,20641.7206959199,18783.9539074588,18259.3757429857,14466.6024441794,14549.4826174255,6818.20613664373,13633.0074362455,13476.4163759333,13128.2615996294,12715.0829372514,7606.72488086191,10963.5333487194,10381.1794543996,3733.77642895048,4809.6537973892,10147.1967508301,6392.57721619023,5267.22533776652,5717.93250673343,14999.3302830502,12001.0911835167,10048.818068138,9502.18121859565,8193.53597424809,11378.7393729865,11893.1429414871,13710.6976147578,12363.8399663526,14065.8629307887,11765.3623894016,12485.1068874355,12325.5101122571,7591.51885873921,7660.24209275399,7914.88277124556
"CH-LF-51",9375.15276424936,6471.93267183919,5228.37968501821,5017.27032325845,3506.30804110777,2015.3122346146,1046.44269048423,0,8285.0574070451,10512.6424637952,5657.88869209898,5669.77876726922,7033.32023191769,10719.7990368906,14280.016452412,7218.93685791341,12644.5664356717,13647.8435357446,14846.3240917615,15399.5870806862,9141.77493029987,9133.85509818247,9307.76330949326,12507.2193724441,12769.066190593,10701.4174216638,11478.9674102405,13206.4865703049,11022.6815419412,12429.9387483883,13200.987187688,13561.4903456739,13832.6773079435,14839.876324797,20637.078328038,19292.7840234011,19477.6005287798,18601.0583839858,18316.6475869109,6307.96661557181,17121.1887227661,4827.0472756471,7090.49176107656,19769.7304738126,17910.8262687508,17375.2333406126,13476.0917673245,13677.4923953183,7004.93629408827,12761.0172141382,12603.2887372253,12256.2713775221,11841.9552985434,7791.84824606978,10091.5431266121,11057.0254097175,4644.8388451178,5815.98714261512,10823.042706148,7340.61229446054,6329.65322779526,6305.44381201899,15282.7639932064,12777.153548875,10724.6640234559,10178.0271739135,8525.36908120491,12201.5518831988,12953.0436073204,14529.5750457748,13177.0853350614,14888.675441001,12583.0802188146,13305.1057839083,13144.8558626292,7686.85244852434,7764.18847436284,8010.25077518857
"CH-LF-6",6098.33520747528,3772.75437038456,4936.51103159586,3194.74470593137,7444.8608597387,6622.99863891675,8639.07996833851,8285.0574070451,0,2278.39532723043,13586.5980214682,13556.1837465791,2906.62564782597,2485.56134652182,7248.50212876764,3201.30276685727,10066.3406040519,10221.9987462101,9981.99309049304,10642.327759401,5872.92628328713,1239.51846645979,1744.82372948774,4252.02703178202,4582.17524436885,6538.58117567586,6764.73323491129,7780.2764555287,9328.04810334694,9581.22777037973,10657.3832684137,10657.9616064945,10772.5401519899,10085.8986639095,14545.7145745779,14047.8089958504,13904.9821777505,13586.6348466426,13938.6974703829,6824.19811426189,13168.7214994392,3806.92101311844,10584.8977938235,14339.7381420086,13569.6862718157,13401.3031543237,10370.0018787126,9014.9175487532,4870.39278627226,7839.59629179336,8489.49827807472,7311.89402376777,8194.36584838491,3653.50841895786,5706.2340448199,18254.5987346669,8880.7850607183,12455.6374849201,18020.6160310974,14258.3976715846,12606.1182340292,13807.861724289,23089.3411977979,12302.6675569824,17922.2373484053,17375.6004988629,16291.0497884826,13438.5862342268,16962.2572482679,14530.0354554694,12845.7669076079,16115.2791094583,12595.4857168142,14198.8441890939,13628.2338348081,15617.2011113498,15695.076221882,15940.6803751192
"CH-LF-9",6379.63616298038,5141.93378100281,6635.35340881297,5470.06688792779,9179.08124472428,8847.4455612423,10895.9028061545,10512.6424637952,2278.39532723043,0,15459.1309931128,15428.7167182238,4092.99675874612,1288.25204321445,5291.23783730352,4212.52683490056,9849.53677893578,9783.56991474573,8653.29764174587,9377.631326408,7097.23612373111,1215.99900463472,1363.02289173044,2002.79606768227,2324.16311842493,6233.99135283253,6201.61184799929,6235.05021936318,9402.38765498191,9305.69785993101,10414.4563250666,10287.0633345789,10348.4653594845,8881.43542178254,12588.4502831138,12090.5447043863,11947.7178862864,11629.3705551785,12178.0139029683,8561.24267445454,12376.3372457438,5430.59794209609,12012.3235506769,12382.4738505445,12233.0764192742,12510.723326117,9945.80898976281,8078.07133523894,6309.07247941403,6988.2238185145,7935.98145400801,6729.08847205414,7841.01377533192,5030.5290489087,5476.52300272023,20203.5253749933,10817.7255941754,14400.941591991,19969.5426714238,16204.4174455926,14551.0267687134,15770.2431344098,25051.7226079187,13625.918173404,19871.1639887317,19324.5271391893,18253.4311986034,14846.2773753189,18755.6671932466,15865.2336112068,14169.0175240295,17498.5004482051,13977.5158174169,15582.0655278407,15011.455173555,17489.7340829945,17567.6091935266,17813.2133467638
