"","CH-CL_ET-4/5/6","CH-CL_ET-7","CH-CL_ET-2","CH-CL_ET-1","CH-CL_ET-3","CH-CL_ET-8","IX-CL_ET-2","IX-CL_ET-6","IX-CL_ET-1","IX-CL_ET-12","IX-CL_ET-4","IX-CL_ET-13","IX-CL_ET-11","IX-CL_ET-14","IX-CL_ET-8","IX-CL_ET-10","IX-CL_ET-9","IX-CL_ET-5","IX-CL_ET-7","TX-CL_ET-2","TX-CL_ET-1","IX-CL_ET-3","XO-CL_ET-1"
"CH-CL_ET-4/5/6",0,4286.89225959365,8910.84576041537,8519.19602726704,1955.15588679894,9747.18415694331,16739.5370241859,17927.6422174837,15983.3667296598,11259.3773378848,15340.8092565948,16806.4410638456,11591.8121718747,17041.21243223,17425.2393740338,21601.4749101597,23709.4528445571,12128.9042491214,17444.0921654434,18278.6180286439,17205.9390492805,14963.0261888405,21707.9775574071
"CH-CL_ET-7",4286.89225959365,0,12083.5893015942,7896.45786228163,6232.85396437435,7782.25033474715,13233.8070980553,13770.7416002678,13518.7727478879,7164.07669067011,11092.050604342,12519.6623616038,7622.33175025637,12832.5980432155,13800.0361267454,17625.3581620687,19797.8403799793,8155.84041999977,13257.8955184952,14992.9087298171,14518.1569855952,10872.9413817669,18300.5922459464
"CH-CL_ET-2",8910.84576041537,12083.5893015942,0,9009.30402810905,8033.32048355568,18658.0277726093,20090.722436692,25512.2943462638,17010.5768964961,17108.4806314517,21499.9757953609,23503.3424765726,19668.6219976069,24449.4603334613,25880.2551522825,29589.6005984606,31802.6326653299,20195.2354260991,24934.7757222645,20847.9320180988,18499.5896705877,20330.9229266384,30339.0917286849
"CH-CL_ET-1",8519.19602726704,7896.45786228163,9009.30402810905,0,9640.20706776843,15649.3365993722,11085.4449078711,18366.1070476713,8363.56579227191,9209.76001077171,13379.7120464156,15638.6092437424,13738.3692544462,17173.628192259,20080.8736225789,22755.0442513101,25037.1427586058,14179.0935888678,17717.5988972734,11882.5332944933,9798.69324402523,11837.3647960646,24751.8458216153
"CH-CL_ET-3",1955.15588679894,6232.85396437435,8033.32048355568,9640.20706776843,0,10922.7739340122,18543.2788157812,19785.8403147254,17492.93364796,13202.4694723257,17295.9534860309,18748.2895276706,13395.8630214936,18926.5622639111,19060.1776332199,23368.5803167754,25442.6038940917,13930.6126098798,19317.4444171255,20015.2663569174,18772.4467417784,16901.0619191007,23229.7435247609
"CH-CL_ET-8",9747.18415694331,7782.25033474715,18658.0277726093,15649.3365993722,10922.7739340122,0,18076.402286808,11943.8131711492,19999.08306406,11267.0759459812,12990.6404181119,12991.9191618327,6319.2713728965,11654.7634896569,9212.12229397734,14176.6575356394,15885.5612317812,6606.14094180153,11777.4668549069,20141.1569407664,20665.4723904015,14080.6489594312,12711.9537869814
"IX-CL_ET-2",16739.5370241859,13233.8070980553,20090.722436692,11085.4449078711,18543.2788157812,18076.402286808,0,12759.9577420729,5083.76091236072,6827.44496058656,6853.07479474799,8971.12555503261,12531.9342969609,11601.3697623929,16817.5192463084,16901.0402393441,18979.4930188831,12588.0358868718,12124.3166226322,2118.01541561368,4368.30226929763,4721.6246659812,20925.584362446
"IX-CL_ET-6",17927.6422174837,13770.7416002678,25512.2943462638,18366.1070476713,19785.8403147254,11943.8131711492,12759.9577420729,0,17217.1067733269,9231.27500731814,6017.87186030021,3798.39822670908,6479.86623808273,1244.39545021797,4918.85663043469,4457.72449950945,6728.6764165022,5969.81257975497,677.855066990799,14669.3701038322,16971.4969030941,8236.34198506014,8248.4891556957
"IX-CL_ET-1",15983.3667296598,13518.7727478879,17010.5768964961,8363.56579227191,17492.93364796,19999.08306406,5083.76091236072,17217.1067733269,0,9298.55116107438,11202.0924809201,13540.6214559981,15483.4431948069,15996.8723418994,20740.3555508299,21542.1576211633,23703.3142230212,15691.530119049,16550.6835713768,4476.90078052015,1495.42812453509,8989.39677227823,25130.814415782
"IX-CL_ET-12",11259.3773378848,7164.07669067011,17108.4806314517,9209.76001077171,13202.4694723257,11267.0759459812,6827.44496058656,9231.27500731814,9298.55116107438,0,4394.66215542444,6477.24229388731,6185.55453344226,8012.70935559023,11757.9825988087,13672.1376902653,15952.2303530358,6399.69051013668,8567.96706869226,8875.38390270232,9663.51303448868,3713.10667840285,16340.6587602
