"","CH-CL-28","CH-CL-21","CH-CL-22","CH-CL-24","CH-CL-20","CH-CL-19","CH-CL-16","CH-CL-12","CH-CL-14","CH-CL-50","CH-CL-8","CH-CL-47/48/49","CH-CL-51","CH-CL-9/10","CH-CL-52","CH-CL-56","CH-CL-54","CH-CL-3","CH-CL-46","CH-CL-55","CH-CL-4","CH-CL-7","CH-CL-11","CH-CL-13","CH-CL-15","CH-CL-17","CH-CL-18","CH-CL-25/26","CH-CL-27","CH-CL-29","CH-CL-39","CH-CL-41","CH-CL-42","CH-CL-43","CH-CL-44","CH-CL-45","CH-CL-53","CH-CL-35","CH-CL-36","CH-CL-1/2","CH-CL-37","CH-CL-38","CH-CL-34","CH-CL-5","CH-CL-40","CH-CL-31","CH-CL-32","CH-CL-33","CH-CL-30","CH-CL-23","CH-CL-6","IX-CL-17","IX-CL-30","IX-CL-3","IX-CL-6","IX-CL-8","IX-CL-2","IX-CL-16","IX-CL-31","IX-CL-32","IX-CL-35","IX-CL-9","IX-CL-18","IX-CL-19","IX-CL-22","IX-CL-23","IX-CL-5","IX-CL-29","IX-CL-24","IX-CL-26","IX-CL-7","IX-CL-10","IX-CL-33","IX-CL-13","IX-CL-37","IX-CL-15","IX-CL-36","IX-CL-11","IX-CL-4","IX-CL-1","IX-CL-14","IX-CL-20","IX-CL-27","IX-CL-28","IX-CL-12","IX-CL-34","TX-CL-13","TX-CL-2","TX-CL-4","TX-CL-14","TX-CL-1","TX-CL-3","TX-CL-5","TX-CL-6","TX-CL-7","TX-CL-9","TX-CL-10","TX-CL-11","TX-CL-12","IX-CL-25","XO-CL-5"
"CH-CL-28",0,2780.07531759251,2164.64056467166,1124.63806797778,3811.77734847476,5139.17102613341,8256.58909538154,10588.4954312864,13039.4496264942,10222.9450992196,13916.6470136457,12066.1613477117,16241.6163798823,11706.7700261297,15298.7066973895,19442.8994353892,16771.0635959383,18490.3170653565,10215.0443890388,18419.8314960164,17225.3916971974,17517.3196506315,10124.9249059346,12146.4802660243,12179.4268282966,7148.7349967495,6914.31857144135,2457.77920293952,300.920937717954,939.626195354282,7916.56713462767,6205.46597046348,10427.7554213006,7719.99451575232,5372.84028967105,4855.43244363845,16028.7787358764,10234.5893597148,9741.07724974219,19944.8435443883,9182.22824527665,9791.15885753056,7150.39600925667,17304.0815723451,4614.83096567805,2832.80187632523,3448.87047053239,3903.06677552947,1693.1839653755,2185.35952480581,16820.588399174,28506.3067152303,29108.6370164016,21970.7869831227,27128.2150083258,26754.2569260286,26876.7878396371,27127.0038217464,28122.8284012845,28848.014046049,26005.7719449671,25460.475721781,24159.6080989888,22148.4611889276,23311.7543064268,24374.0859106724,27349.2155254173,28630.3950096015,23455.7542127322,22339.7142956117,22726.5486039465,28488.4265445946,29979.5436909545,27427.403712715,32278.9418606637,34171.4096487943,32824.6096928693,24863.1386888389,23277.4244240748,24221.4527139963,27479.4224306432,21130.8690292254,22591.0160160676,23235.8209938226,28862.1655110305,24945.868951963,28712.0856855312,29838.0212828457,33530.058022051,29470.9563963331,28222.3947674265,33833.6004866155,30326.7247860313,29938.7427607474,31269.4224157196,31034.0506697312,31530.0609118272,29125.1014369376,28396.7171940015,26976.9207042087,31084.7399816384
"CH-CL-21",2780.07531759251,0,978.318209979436,3206.17970887402,1191.23346113957,2527.7904893906,5925.97423577889,7823.96981254832,10400.1352564015,8605.6901040141,11159.6917708773,9978.00053172222,14238.1033076693,8947.28836809177,14681.7740530111,18394.0514210587,16098.6114317116,15823.2598160997,8086.82866810089,17442.9912799472,14517.6367755045,14753.2696145985,7350.79850474902,9373.64802193976,9621.47431291323,4718.4323128087,4459.09286013753,5152.90374935288,2573.98393505736,3460.9377658481,7919.77596283047,7187.34332510288,11686.5722400052,9780.69655219212,6677.10041928183,7627.11923468152,15385.5010421149,9217.49951648407,8977.44910505068,17297.1959152516,8777.39400835072,9672.33830922695,6552.95043097879,14554.2908410678,5473.00979473886,4106.43648052294,3561.72205649366,3559.10587486305,2962.67712074419,2179.01857506626,14041.051482742,26062.481040993,27527.2491698529,19515.944341194,24354.4800836957,23985.6019305723,24230.871228437,24635.445357887,26356.1003467979,27131.227045485,24710.3830288195,22721.5021154385,21591.985941703,19595.2419682503,21156.7802624753,22284.5981986402,25309.4116854247,26743.4020668277,21473.0635311428,20583.3686437631,21143.025198382,26810.0163867502,28271.7836105529,26239.0451366977,30896.6504392729,32905.7530941816,31618.8973728886,22125.6549361351,20584.5361313292,21490.5302916834,24859.8936782024,18818.8133781245,20941.7958832589,21667.3429659199,27219.9114446376,23586.907877025,26047.410188196,27319.0025620865,31188.3335518239,26822.774538725,25597.7419517156,31323.7570569801,28100.0713761934,27676.506380432,28520.6436411503,28329.4021128576,28913.5580690514,26369.163092842,25638.596179444,24796.2299267084,30150.8260901055
"CH-CL-22",2164.64056467166,978.318209979436,0,2333.31782893996,1687.66562667271,2983.79870024666,6132.03122869674,8489.39401666956,10875.7602963951,8417.45394153238,11979.6996016496,10042.8689700763,14266.5195685679,9767.74545420047,14142.1936236688,18011.1292886043,15581.2184867856,16328.4056824464,8168.09109750888,17031.9917688149,15073.5477326671,15555.849454106,8049.18516722976,10062.0102465104,10017.3152597444,4997.02617628068,4757.87244814895,4364.51513874152,1900.45268580521,3002.74825290405,8485.41479350932,7438.90878315675,11886.8284447748,9642.35344862216,6807.19537843004,6985.89081691066,14856.6137322466,10045.7822803304,9749.37966335879,17780.8665669292,9461.42388841544,10289.2594351918,7259.79674078801,15177.5536055885,5725.83578298317,4156.83459774184,3962.47032779044,4104.15004541755,2899.57810655803,2437.75492606404,14761.6477480449,26372.2810677377,27368.6180748084,19831.9253705542,25035.017352655,24649.1319631256,24712.4343368332,24980.7335108677,26280.4079771169,27032.8977221319,24430.6635072106,23321.9330496135,21999.179885512,19989.6823452167,21278.5602872844,22370.133490876,25369.9476867479,26726.0727035582,21500.3091763018,20497.0747367937,20978.7048011849,26693.9147825817,28170.1460217474,25919.6476960982,30657.078195262,32621.4183973361,31310.6999827142,22723.7195816502,21119.5731353143,22078.1130481147,25314.9766990967,19035.1476435858,20806.4843507303,21497.1176843122,27087.876155623,23331.1995983265,26548.9845249073,27686.3352681983,31429.0644951779,27306.6412901855,26057.8304083329,31684.3094137205,28267.872766547,27865.7715798105,29137.4578183646,28878.4925859477,29365.8076822574,27000.689192705,26275.0116891613,24935.3032475571,29742.7608923895
"CH-CL-24",1124.63806797778,3206.17970887402,2333.31782893996,0,3999.95873145118,5223.67889360432,8030.21276915759,10776.9602648492,13001.3137698448,9606.18949822392,14313.0147061405,11637.8914367053,15735.8942760272,12101.0070747685,14333.9376954258,18568.0882832665,15812.6168722716,18460.4876000407,9832.87972408399,17529.1127445082,17259.3764446071,17887.948464549,10354.3943403416,12357.7801307252,12065.0015570068,7017.52954201659,6807.71210198268,2080.672157553,995.319004845591,1857.24266317133,9040.70735496816,7267.14615209328,11395.5597080573,8442.19395581078,6392.48386426218,4862.55022106356,15066.7325874458,11314.6257804701,10843.2014508909,19885.7411167112,10302.7139174399,10915.5612626137,8254.71141132273,17420.8304465894,5712.77133719509,3926.49680731068,4562.24578785859,4991.82437154854,2817.76691735803,3223.15101357813,17067.8232971627,28231.4923913328,28380.7476280737,21718.9653565692,27311.3279279722,26913.4915629488,26800.7880828784,26893.7818193722,27469.5078464094,28172.8775122249,25186.4907556436,25535.3226134205,24002.0186774901,21981.6193394712,22857.3373089317,23880.9803981771,26823.4983062055,28028.5778029278,22910.5822124635,21695.6136908584,22013.1324645923,27798.6118537145,29298.8931410974,26573.4904773407,31477.5187289626,33331.3882961073,31968.3819223419,24935.5679301144,23272.3389942209,24281.0762674254,27370.9243862926,20778.5735187553,21903.0224211774,22515.434541757,28157.6325401169,24148.8934073217,28657.7906443122,29624.4965243581,33172.6640642089,29394.0977050106,28118.6940585333,33606.7286383222,29899.5327095995,29534.1340792012,31361.1494186419,31036.7201241723,31412.5953353224,29238.3638389982,28517.1990629715,26528.521767909,30158.1288139067
"CH-CL-20",3811.77734847476,1191.23346113957,1687.66562667271,3999.95873145118,0,1351.64821626598,4738.58294533911,6802.01553829091,9255.08013967202,7553.02663190301,10334.6863003192,8810.18010818408,13075.1897470315,8126.93263757641,13892.9282401627,17446.1503142027,15281.1220542256,14694.2286021402,6918.36701919845,16520.4872215689,13415.311410835,13896.2992785679,6362.53982569891,8374.40978498996,8449.0371774593,3527.33953494532,3267.86919322968,6049.54184281505,3566.19633676696,4576.9945978728,8813.40748257261,8298.01748735707,12804.7186055306,10971.8489729127,7832.96728670922,8659.35816044605,14582.5108078139,9727.57351264675,9596.20252652542,16158.8475221525,9529.4472055233,10498.7215018449,7300.71498423728,13497.8841647606,6594.1327520258,5289.06065799763,4640.73966740606,4544.79445875572,4153.60045570391,3344.33344956503,13075.7476326607,24877.5473758147,26426.711026004,18331.2143232621,23347.8818978494,22963.5167047127,23093.0498869662,23456.1525371309,25220.4961396797,26004.1788537175,23679.6692115682,21649.6533263162,20427.0920397869,18426.4172031404,19972.1134329783,21105.3692831185,24134.4012916358,25587.864514492,20306.6698447461,19454.6272362729,20049.0336686614,25690.4783286921,27145.6740591122,25233.8986177014,29837.6379627211,31873.2786242412,30602.7585532707,21052.0869427996,19471.9550808755,20409.7549676073,23711.4944469245,17627.6047904856,19833.9880095924,20575.9179744631,26107.1701482551,22541.9175381861,24918.8110715679,26144.5619668213,29997.6389679095,25686.2929224432,24451.3577087782,30148.1433943049,26910.3126609099,26485.7123039726,27461.0831701754,27225.6943012784,27764.5839397418,25320.6350209611,24593.8759994547,23609.0795328396,29210.6610232101
"CH-CL-19",5139.17102613341,2527.7904893906,2983.79870024666,5223.67889360432,1351.64821626598,0,3474.95307285019,5560.16179631521,7908.26025402012,6619.28272291164,9275.08161831005,7602.45624852634,11870.4666378699,7093.16071214966,13330.7823235842,16627.9788371602,14668.9052392025,13353.0744739094,5717.8576807333,15745.1473029473,12089.8003160261,12786.1668571473,5160.86899240999,7145.71928631031,7098.04189094964,2235.71500274812,1967.95651612908,7298.64093884132,4882.76958349886,5924.41475905499,9716.27626313643,9469.56369230436,13972.2107186246,12291.9173150283,9072.36163081845,9968.95780034354,13995.407958069,10184.489900998,10177.2708504778,14813.3453831901,10262.0650124954,11306.5588513387,8063.94099148625,12205.4033247844,7789.63017580806,6584.3308858301,5807.91671351584,5619.94269046494,5485.0521896209,4624.4229888195,11862.9362121332,23535.0320898788,25338.5736138142,16988.4731732533,22087.6505804251,21691.1646844395,21747.1722780554,22108.3436432947,24065.6412687527,24866.0180679276,22715.2237354017,20340.9943584879,19075.4460252249,17075.0058724079,18696.9297565394,19848.3540542155,22888.7620768675,24390.1106854608,19085.7199680831,18318.5272938485,18979.4120922486,24567.1740061368,26008.6814315944,24309.0050678968,28819.8240305677,30897.9161782342,29654.7163256095,19742.4414354829,18138.3352444884,19095.4385582709,22362.185405854,16312.8511377962,18738.6838861308,19510.3113369198,24996.5566747967,21555.1695358061,23576.5756999941,24794.4583139888,28670.8580448399,24340.7829272559,23102.5821871747,28798.494304382,25609.9031838802,25176.9786785673,26159.3868427235,25895.8683190781,26415.0318588732,24027.3670274714,23303.6301030672,22322.7846513154,28381.6239673923
"CH-CL-16",8256.58909538154,5925.97423577889,6132.03122869674,8030.21276915759,4738.58294533911,3474.95307285019,0,4279.12892648209,5183.33260180717,3811.44372453176,8438.61481095917,4146.68236853247,8407.25865247307,6624.34371421264,11076.4887044895,13734.032626886,12258.0025188944,10565.342301107,2288.98525899377,12951.4743092868,9516.09239105619,11505.1379166327,4255.55757644429,5660.84442520334,4108.73251541642,1246.56737382013,1517.06009126639,10067.2393576227,7969.52534079753,9131.47987486652,13026.4345352474,12940.1288868813,17438.9993463277,15700.1465540195,12544.5402782528,12892.5363586629,11661.1491847464,12971.2196796654,13131.2614186989,11936.8784979165,13396.1348334726,14508.8375789291,11268.8618275803,9918.15929903885,11264.2502742747,10027.3209733493,9281.13342340483,9071.50537782043,8879.00563602706,8076.91983993609,10104.3091537884,20249.8044751466,21964.090819183,13716.5983630194,19844.6086519003,19378.8136564935,18814.6850633894,18880.2338903278,20627.1780403553,21441.0737094649,19516.3569627502,17793.0488080323,15973.5657590023,13952.1522414111,15234.56702436,16376.419500633,19414.3737310201,20924.4999380628,15612.9061996898,14902.1408554664,15638.926826374,21156.2938059564,22584.0191942141,21168.4957520247,25528.778697471,27663.4518103138,26463.3449201204,17192.2307989588,15386.8177358316,16514.0474976148,19360.0167889459,12911.411933026,15366.4707680942,16173.6823832094,21598.0336148644,18325.49179643,20689.8650699835,21602.1981291856,25299.8529919223,21403.9104858106,20110.1094736033,25590.9148935153,22176.1045306696,21758.2496342398,23623.3839111956,23136.0115702578,23394.6265062298,21561.9102975544,20863.4424798517,18870.5701318976,25391.5791345223
"CH-CL-12",10588.4954312864,7823.96981254832,8489.39401666956,10776.9602648492,6802.01553829091,5560.16179631521,4279.12892648209,0,3339.04763305531,7566.45709573233,4163.12710884927,6318.14967730778,9733.46803373534,2461.76504241677,14789.1499732158,16634.6545295994,15801.4510054985,8264.09217640492,5312.51720724897,16032.4123901018,6827.28339506839,7392.30209719793,589.457217032,1588.87237701886,3388.29494543621,4373.53602263706,4440.70103717319,12844.1322652018,10357.2576999853,11276.0407740434,12674.826808067,13526.5689523598,17774.4108972828,17039.2577122002,13462.2648724852,15443.8569917788,15290.9459298046,11389.8170586446,11856.6859634542,9783.10145796263,12506.3851822334,13725.7213991949,10745.8064708134,6742.54028351356,12074.7616424466,11392.1275355841,10192.0315914218,9741.89906463926,10548.9462559826,9523.94935460428,6307.58642987403,19094.9861153399,23359.8468928282,12670.9131837195,16546.0035931006,16165.9861469155,16649.2232634237,17534.4780212273,21638.9299161392,22543.6645462086,21606.5934144008,14918.4126550299,14285.8550585139,12379.6626469631,15356.155616349,16660.6770388678,19723.6203025883,21613.2926597851,16275.1453011764,16248.232089921,17355.5584383295,22361.3992300815,23666.8415527173,23379.3638216696,27218.8502483113,29514.7168413815,28456.5908869611,14325.4805240848,12890.9005392409,13702.8777796272,17351.0892054957,12557.9005900229,16947.571527339,17888.5052457195,22870.1992440099,20354.4774693151,18404.8564473937,20094.2943166574,24469.0049233232,19220.9993628032,18068.7280530129,24089.8049426227,21805.2887627154,21274.4699272745,20702.9596113652,20584.8364159223,21388.5077259231,18546.5233311454,17815.1048918408,18748.3524549748,27870.489255059
"CH-CL-14",13039.4496264942,10400.1352564015,10875.7602963951,13001.3137698448,9255.08013967202,7908.26025402012,5183.33260180717,3339.04763305531,0,6875.1171428989,5419.76258180448,4560.57975328521,6866.96864282081,4976.88553204049,13401.278628185,14381.3843218724,14170.4433406966,5459.80916848325,4654.49596430869,13943.2789859544,4332.85848767479,7287.33100352873,3918.52099002782,2913.08566316424,1240.14372654327,6000.54498706891,6197.13020563482,15075.3100134309,12775.0087010112,13831.858109286,15972.775684557,16665.9279803468,20995.5871800774,19989.9150412294,16513.9731233867,17833.2540625356,13779.5871066472,14710.8946210049,15193.3315896966,6905.65107201344,15842.5701164017,17060.1713307504,14050.2805139974,4813.81791157772,15140.1736124592,14272.6270483743,13198.3717956126,12807.4896153066,13298.7013531093,12336.2003530912,5454.22385853166,15888.93018727,20229.1939598018,9402.09556770138,14682.4556078776,14204.7857107534,13839.0008208755,14374.7123987071,18417.6069598452,19338.6450942755,18760.0035680443,12616.972562867,11225.8483702505,9256.84778667601,12029.9262956091,13344.457082496,16400.9396629369,18330.7197396116,13016.3837780872,13171.7770505541,14401.5948653952,19183.1459488509,20451.7168102454,20572.5346880274,24161.8887534602,26505.4261881286,25510.1665295665,12015.8876661534,10272.6028081446,11342.1792603591,14459.7612147521,9218.89238745981,13945.799517027,14925.2780024625,19706.9752629825,17494.3364618182,15673.6451123905,17000.3634878856,21207.7498668482,16432.767351779,15197.89926937,21007.704511772,18478.8927509554,17957.0751844635,18449.9857143792,18036.8097904713,18513.4394652014,16379.8374133346,15680.2575539187,15409.3619383923,25166.8206594685
"CH-CL-50",10222.9450992196,8605.6901040141,8417.45394153238,9606.18949822392,7553.02663190301,6619.28272291164,3811.44372453176,7566.45709573233,6875.1171428989,0,11516.3018899812,2824.68779201194,6245.76765815352,10026.229527589,7303.64950040402,10037.9301297478,8450.59600539967,11321.1155833969,2326.6981894687,9200.98312416278,10750.2060366474,14073.6924094933,7723.13136017337,8597.16276645922,5645.99611210053,4781.15957949662,5007.50741693428,11356.0379887937,9922.54810482648,11162.0039223033,16318.4047246133,15787.1273799868,20274.6177207835,17942.4100924816,15215.9166015842,14198.684893891,7866.15616885042,16643.2800180856,16727.2897655533,12405.4450302685,16873.6293647186,17925.8351321291,14682.4818905151,11536.558014628,14069.5895802993,12572.7900865044,12164.2540276022,12097.7885754825,11315.8444284462,10752.0358656569,12324.5860764788,19284.1775271313,18951.5909673196,13017.2546909096,21032.65423089,20481.3296162597,18845.8319551946,18140.8903002123,17900.5398983913,18633.3739353977,16127.8519391361,18581.8939873853,15695.5280286072,13708.2950932163,13409.3226452071,14353.9339650072,17248.1909981837,18424.1538561453,13323.0451649994,12116.8794958231,12561.8133113793,18284.4670857804,19767.7198564488,17697.8728461228,22291.975290447,24320.6165873884,23056.330011651,17998.2638591111,15910.5185704423,17293.5564188982,19217.9605297821,11670.0887423997,12392.2568539041,13081.3575819305,18672.7133601814,14989.4131363025,20767.826597836,20908.9342839864,23904.5325323887,21357.5370231712,19970.5064245295,24782.6089626579,20473.2148243613,20161.5447478831,24281.2721369636,23410.7177389973,23117.0492615085,22377.3795481606,21735.2442283105,17072.1820270733,21772.9342975781
