"","CH-EA_LA-56/59","CH-EA_LA-57","CH-EA_LA-58","CH-EA_LA-60","CH-EA_LA-5","CH-EA_LA-61","CH-EA_LA-62","CH-EA_LA-6","CH-EA_LA-63","CH-EA_LA-64","CH-EA_LA-65","CH-EA_LA-66","CH-EA_LA-67","CH-EA_LA-68","CH-EA_LA-69","CH-EA_LA-70/71","CH-EA_LA-72","CH-EA_LA-73","CH-EA_LA-7","CH-EA_LA-74","CH-EA_LA-75","CH-EA_LA-76","CH-EA_LA-8","CH-EA_LA-77","CH-EA_LA-78","CH-EA_LA-79","CH-EA_LA-80","CH-EA_LA-81","CH-EA_LA-9","CH-EA_LA-82","CH-EA_LA-83","CH-EA_LA-84/85","CH-EA_LA-86","CH-EA_LA-10","CH-EA_LA-87","CH-EA_LA-88","CH-EA_LA-11","CH-EA_LA-89/90","CH-EA_LA-91","CH-EA_LA-92","CH-EA_LA-93","CH-EA_LA-94","CH-EA_LA-95","CH-EA_LA-96","CH-EA_LA-1","CH-EA_LA-12/13","CH-EA_LA-97","CH-EA_LA-98","CH-EA_LA-99","CH-EA_LA-14","CH-EA_LA-100","CH-EA_LA-101","CH-EA_LA-102","CH-EA_LA-103","CH-EA_LA-15","CH-EA_LA-104","CH-EA_LA-105","CH-EA_LA-106","CH-EA_LA-16","CH-EA_LA-107","CH-EA_LA-108","CH-EA_LA-109","CH-EA_LA-17","CH-EA_LA-110","CH-EA_LA-111","CH-EA_LA-112","CH-EA_LA-18","CH-EA_LA-113","CH-EA_LA-19","CH-EA_LA-2","CH-EA_LA-20","CH-EA_LA-21","CH-EA_LA-22","CH-EA_LA-23","CH-EA_LA-24","CH-EA_LA-40","CH-EA_LA-25","CH-EA_LA-26","CH-EA_LA-27","CH-EA_LA-28","CH-EA_LA-29","CH-EA_LA-30","CH-EA_LA-3","CH-EA_LA-31","CH-EA_LA-32","CH-EA_LA-33","CH-EA_LA-34","CH-EA_LA-35","CH-EA_LA-36","CH-EA_LA-37","CH-EA_LA-38","CH-EA_LA-39","CH-EA_LA-4","CH-EA_LA-41/46","CH-EA_LA-42","CH-EA_LA-43","CH-EA_LA-44","CH-EA_LA-45","CH-EA_LA-47","CH-EA_LA-48","CH-EA_LA-49","CH-EA_LA-50","CH-EA_LA-51","CH-EA_LA-52","CH-EA_LA-53","CH-EA_LA-54","CH-EA_LA-55","IX-EA_LA-6","IX-EA_LA-7","IX-EA_LA-1","IX-EA_LA-8","IX-EA_LA-9","IX-EA_LA-10","IX-EA_LA-2","IX-EA_LA-11","IX-EA_LA-12","IX-EA_LA-13","IX-EA_LA-15","IX-EA_LA-16","IX-EA_LA-17","IX-EA_LA-18","IX-EA_LA-19","IX-EA_LA-3","IX-EA_LA-4","IX-EA_LA-5","IX-EA_LA-20/21/9/10XO-EA_LA-20/21/9/10","TX-EA_LA-2","TX-EA_LA-3","TX-EA_LA-4","TX-EA_LA-5","TX-EA_LA-6","TX-EA_LA-7","TX-EA_LA-1","IX-EA_LA-14","XO-EA_LA-1","XO-EA_LA-6","XO-EA_LA-2","XO-EA_LA-7","XO-EA_LA-3","XO-EA_LA-4","XO-EA_LA-8","XO-EA_LA-5","XO-EA_LA-11"
"CH-EA_LA-56/59",0,3197.64901955088,1295.6557104868,874.150945541111,14860.5810169545,2474.77797789951,3582.24164210045,14225.7418156609,5330.27200541205,5202.19881753383,3965.83638492399,4413.57529510365,3732.77200858872,2808.79580294808,2657.52079556303,1235.44451556594,2029.58596738342,2570.73750270313,13081.2923961878,3831.73548946576,3606.98053157428,5813.55051604217,13063.411992976,5548.37157633615,3946.05288327337,4857.22695218777,4599.98620732426,5126.05409332263,12423.1003426207,4972.23384739147,4808.23041022362,5642.24428882176,7544.18596650344,11131.9832201167,11254.6736160444,12587.2532050125,10720.8183187687,11090.0043721115,12606.5899097459,12745.0336465858,13054.6471411745,13177.5974066367,14801.7446018025,13881.936059915,18377.4881298719,8564.33213138612,13846.8393153775,14071.122857653,15168.6186825596,8684.18165443861,19489.7665759528,19071.2746101684,17695.2520469307,15104.5289093634,6625.77334500417,16292.6854149899,17491.5087872059,17619.6286254483,6145.04728445708,17750.2846607951,17195.4291463741,15801.064973665,5490.06782097619,18773.4865392514,19713.0249981095,18949.0340619415,4211.80882393278,17052.985798472,3987.37695176903,17258.2441965536,7339.67235192744,7937.00177857682,9851.6478631863,7023.477133378,5144.1056656933,5249.5693375829,8280.50146739908,9711.43843596596,8307.87036907518,11210.6070036511,12841.2195669993,12410.9755354685,15816.8608103755,12412.3458772672,12784.0229433048,13467.9946077827,13412.0645467495,9975.03348065054,9493.79037765243,4948.44213564065,6413.87864097002,6055.78401401189,14474.1210123578,4409.60518407438,4110.0860341826,3630.1772973165,3360.01470702966,3231.88537523854,3124.07086661911,2551.07144943163,3044.77370855476,2672.46571039995,3357.32816876656,3111.90543781458,2258.26129796561,1368.34770458422,2057.05256920897,23854.6270816406,21561.5162778764,22819.2647539261,24106.065848677,21586.6752333149,20139.0706050197,23537.283152785,20969.5286686705,21373.8261043228,22405.1931228472,26288.4560963876,26973.1577761926,25932.4305593106,22440.2539425853,22647.9238031444,21442.7723505552,20944.759098639,20047.6256929499,33808.4226576051,25657.8905425545,26429.8677119512,27850.2096379519,29351.9625329522,30143.3365771565,30914.7002895867,25858.2546901977,24987.5967021372,22655.8608255568,24653.3739316269,22471.2885497159,19491.4754004844,22538.3723607042,22119.5278158584,30109.385180842,22742.1314188229,35661.4792109559
"CH-EA_LA-57",3197.64901955088,0,1968.22397010516,2766.25101328331,18053.3906845731,1824.70278752465,1239.44226207787,17408.1254276772,5332.21798198637,5861.87859178981,4792.29172907617,5726.43724420483,5598.14754604751,4724.36214411524,3696.50543334707,3771.98623166971,3890.52415610462,5175.20566685107,16234.928337096,4084.18099029696,6015.05296688914,7430.73585935783,16260.3654145276,7362.48038797736,6639.77168785405,7698.71946988333,7356.84909974716,7773.13059332053,15620.500701678,7549.00967278427,7311.53004439808,7820.36658324561,10594.5098091689,14328.3052928665,13863.1576266551,14920.1688162214,13916.9806024409,12889.622476769,14211.2785118997,14635.9108166475,14978.2494704387,15219.957976521,16769.6358014247,15505.8907447401,21462.416821056,11747.4741273636,14958.7576415844,15405.3120906886,16680.8611070789,11774.5307825627,20781.9636540774,20194.1764268685,18895.6052671876,16069.8098268029,9655.21898805759,17234.1528731069,18561.8386325981,18654.4346757543,9160.57593787193,18729.3276927658,18090.8175206769,16555.5758495227,8503.46820836391,19690.4056013081,20657.3032961349,19679.3572000468,7402.99910876751,17302.9493953775,7152.98866891543,20227.4271301678,9901.19139613367,10288.311328846,11944.544253367,8997.03261351657,7486.75113561413,6938.15875090351,9206.16009237027,10667.0211855803,8794.66374871994,11767.134077074,13362.2197107192,13008.3421135474,18803.2862565082,12913.9301860228,13197.336050265,13619.2914061605,12863.479988807,8800.23154134619,7052.93856791628,2717.95736951858,5993.39126810711,7179.14521287976,17535.1461138364,5177.76505924015,2823.08036960817,2164.61074558907,2424.75460241738,3943.46526646014,4559.66243800807,2442.03351438816,1716.87788331935,5152.69707942463,6123.20517236987,6260.36632480584,5210.8004635966,4395.55191563081,5248.4806445889,26662.7926857699,24087.8480669454,25838.1793911023,26675.8691856786,23924.0668539749,22774.29039408,26624.8131975053,23159.1498889082,23599.9929724596,24506.358075981,28103.3672360345,28741.6767801923,27664.4985210813,24246.8950795376,24297.6575970907,24522.1121855165,23996.1342699473,23105.6267996931,34476.2605436422,28528.3925058295,28761.3661996835,30028.6818710893,31433.8784164375,32510.0316260777,33486.431913284,28801.8769940593,27135.8206538799,23571.7065538918,25275.2595815379,23318.5475212614,19770.3381302313,23304.8812380906,22819.1249946938,30703.3725840463,23434.6231434372,36251.4710476527
"CH-EA_LA-58",1295.6557104868,1968.22397010516,0,827.071893075767,16099.3178069667,1338.29014474006,2296.81307399376,15446.1144345126,4778.19465204545,4927.31690793481,3703.39417348729,4423.2272827015,4019.34552644726,3077.80121862922,2378.63943848286,1851.2678845623,2193.93059154451,3299.25762313049,14266.9316367869,3289.73227789997,4226.44959830883,6027.08566446305,14315.4586040869,5860.97440769969,4763.72000561788,5786.60052738913,5468.12232129444,5925.01285119473,13678.2405425489,5723.93843081934,5510.88943940435,6160.44403068562,8636.59287052821,12400.4674164717,12060.2720943419,13241.0555646498,11970.0383219443,11459.2754762854,12888.8683072766,13168.7724915231,13496.1935856523,13680.0369953599,15272.0104709919,14179.7044950544,19501.6065027352,9787.16648081848,13906.5562365344,14233.2995094386,15418.638147266,9978.1864146873,19652.123762266,19156.531462341,17810.906921108,15105.3929263781,7909.82066883105,16288.3494725334,17548.4430715373,17661.3011589224,7425.66642336339,17767.8911611651,17174.542447748,15713.629929511,6769.02000796346,18767.3522925043,19721.57891147,18863.2570119482,5452.53625326004,16761.1230085035,5281.3142458442,18297.015313356,8492.24424818132,9020.80249319092,10855.5601667506,7959.7418123317,6197.07660545166,6041.22044233886,8823.17552570877,10284.1548299431,8675.44975866677,11641.6423730249,13271.2728940159,12867.8034482712,16866.9458495035,12831.7017089447,13171.461341201,13756.8704634639,13420.2660723474,9695.699992909,8677.03930677751,4127.11866509841,6368.15063173653,6634.69882863799,15578.5651101514,4775.54388190238,3585.21333141503,2980.07074977522,2881.53855047254,3480.8467607097,3708.27230551796,2276.75090344005,2340.52919025085,3723.99505972761,4545.75426474566,4407.5610159741,3500.21021784982,2623.25048757098,3343.80889046419,24793.1182009202,22336.5019874862,23894.4121807159,24907.092129418,22260.0784070789,20973.7624001541,24664.0645912764,21565.449758626,21989.0647394184,22958.1919691763,26706.0482902764,27369.4311239454,26310.1746969914,22848.6092270179,22982.0077476669,22562.8420281594,22043.2839436449,21150.9967674924,33723.1221244499,26635.3906734675,27104.795988914,28447.8334843191,29902.5003678427,30839.1487811513,31720.5254713086,26882.6220317894,25567.318106641,22659.3631410832,24536.0098263462,22444.8549448502,19220.1721713519,22477.5961865745,22029.4247140279,29989.0152438242,22650.4587881483,35545.5469240258
"CH-EA_LA-60",874.150945541111,2766.25101328331,827.071893075767,0,15356.3328112026,1670.46684942227,2891.75268555759,14688.1034417834,4514.08721836357,4481.154298832,3237.36107992538,3820.19284367176,3297.88223834179,2347.19122584809,1895.61393847054,1024.19611764342,1473.43996102794,2474.98954216433,13487.8717937157,3006.8483276785,3420.41657487732,5348.99877196843,13587.4688251966,5145.63909535056,3937.81282019816,4960.28262486838,4641.17140172958,5101.66834574429,12954.4173121853,4904.69246642571,4697.23675152031,5385.21659519406,7828.2598115218,11696.4195200394,11240.4721020904,12445.9449368952,11240.9427798506,10740.0233052397,12202.103499346,12433.8107556335,12756.0090816203,12922.1295219884,14524.5458097393,13488.5747738297,18696.3372674561,9036.32600627062,13312.8617868953,13595.3182275943,14746.5176893634,9405.74210750423,19018.0021267247,18555.4507036875,17195.6287080707,14540.246843831,7391.09181589374,15726.6878574743,16959.1292857191,17079.0572363913,6919.59548361375,17196.9143703354,16621.491685547,15192.3872958674,6270.07284693317,18208.2488498189,19156.0345046369,18343.3853810372,4731.34993173513,16351.8804988695,4669.71693477091,17475.1557443596,8202.75040010543,8809.80476468897,10725.0516809137,7889.66310316095,6018.21715797745,6084.10399464715,9046.81026684093,10490.7354765375,9006.70750029272,11940.4757797149,13572.6489126658,13152.2035560441,16046.7575645435,13139.1409404443,13498.5481863778,14141.9520435648,13951.5976126128,10347.2611459054,9486.46020003026,4928.89788501296,6907.74807411727,6828.42217360296,14769.0403728985,5088.75406340291,4299.07292343941,3728.33089274444,3568.69897307123,3842.65310283273,3877.36598107661,2864.04921222577,3096.06023382501,3544.89102523823,4217.49634545834,3830.69989913693,3100.26003706195,2213.28995043873,2723.75340687697,23966.1258563878,21522.885103806,23077.2384759964,24090.2454822262,21464.1719116044,20152.6795781661,23858.6939517031,20786.7297499805,21205.842978917,22190.7441656543,25979.4847711907,26650.0252973077,25596.7470335307,22123.9869743378,22282.7862054606,21755.8652852006,21230.9978068539,20339.9639421487,33207.8750427707,25808.6782603767,26309.4001959331,27670.1018910593,29137.096068286,30040.0100927873,30903.5775877467,26058.6175425064,24793.5462818614,22097.588215745,24034.8317279297,21897.3528583516,18800.5281694013,21946.9670514355,21513.3300457317,29490.9250227161,22135.4194949151,35046.2452738415
"CH-EA_LA-5",14860.5810169545,18053.3906845731,16099.3178069667,15356.3328112026,0,16876.7125432092,18201.357395038,938.199140239669,16953.5089123421,15878.856194706,15598.8685805053,14767.8940315284,13965.9295290365,14293.3210876725,15492.8712950314,14448.570312048,14752.3740957447,13326.9125440195,2485.71318544047,16345.5872579767,12977.5463618386,13882.4439330406,1871.10907889494,13458.2896446525,12110.5382586584,11015.595947856,11456.865421054,11394.6248505172,2518.59461315774,11698.9738855689,12004.0429774061,12468.1360195038,7981.09612797257,3916.9673858686,8833.12429839991,10592.1174104093,4152.65628072095,13167.2943456087,14381.2706456672,13068.3281155034,12981.1041154335,12382.1953050568,13298.7033830258,14728.3216795376,5144.19880733568,6322.47777475076,16948.3658336658,16119.7500165276,15804.4598389335,7421.12266570659,19329.85978139,19860.6237802134,18633.6284647146,18171.2520929705,9379.5013214639,18935.9121042889,19097.9707221767,19333.8677524575,9819.03941483793,19659.7071733287,19672.3321604655,19403.823337194,10339.4942020935,20592.0376462832,21104.5707179665,21510.6562569441,10650.4164067066,22102.4289088378,11042.3119834499,6109.01035183678,11243.2915423295,11976.2162773291,12976.820361078,13492.8514788993,12843.7436313518,14469.1358703462,16630.4350189283,17016.1218033605,17709.512958794,18836.4035511507,19822.9812560858,19343.671925145,5266.41494990432,19640.7124699358,20122.5491222155,21327.1298930311,23198.3089181622,22036.0744945239,23562.685893713,19405.5483130587,18555.6531967539,15710.0060548981,3867.43816524193,16169.5141505534,18210.6031855199,18019.7482690836,17572.9253659992,16145.2652290801,15247.3814319538,16755.7237891114,17600.0355796162,13763.7290435939,12725.4023631766,11935.4997993734,13168.3221804353,13805.5128812134,12834.1247274633,12550.8582344631,13154.8365555309,9652.17074911869,14725.5400779427,14590.6687335135,11288.5715857866,9596.70654388284,15194.4855538011,15220.6351098666,16770.2129046048,21474.5671934379,22293.5488649673,21670.5425124578,18599.6483462665,19641.5708959332,7768.32203434397,7665.01813234728,6833.47123771209,33758.6582956034,13549.8646083854,18328.3024766414,20515.8618987352,22388.8202093444,21240.0384860801,20524.7448240225,13089.7357971356,18398.8147148691,23352.9685972174,26229.7055763682,23528.4011767042,23712.5037356518,23942.628330782,23922.8713108207,30879.2727994116,24425.9560153524,35771.3778342085
"CH-EA_LA-61",2474.77797789951,1824.70278752465,1338.29014474006,1670.46684942227,16876.7125432092,0,1341.29232740235,16178.9741009085,3705.05760230565,4091.6470223209,2977.94910296021,3901.81626652311,3822.5609182939,3001.11466488936,1890.37403480759,2434.37476277731,2246.59148706444,3648.04821472359,14927.0680665051,2326.35623120402,4356.10743123197,5607.82061103187,15135.9846767755,5551.33298340669,5068.50867970369,6171.43380108358,5792.06749191344,6145.42055681966,14510.2573278635,5898.57478625756,5640.51619887848,6053.69735702321,9177.0433806744,13280.4932071494,12154.0592204414,13138.4896631392,12792.1176067059,11065.1324590197,12390.873105054,12812.3968083699,13155.5184984397,13402.9954366455,14947.5202956099,13685.7034954826,20022.2640599597,10556.5808261668,13189.9637530396,13608.082977765,14868.7696486528,11071.8894497,18998.1473648827,18434.7976413435,17122.0051133539,14329.1022271665,9061.28519825629,15501.1285198129,16808.3845252224,16907.380876486,8588.81070568146,16992.6616273269,16369.0492517826,14859.5528837981,7938.23316790839,17967.8696386102,18931.167744359,17997.4416799561,6320.93392005375,15744.9372659673,6331.42464521533,18676.6472594026,9791.4019683034,10344.2688346916,12192.1620194855,9298.00979520278,7524.4831367103,7370.745875244,10081.7132111603,11547.6850130497,9864.08013447141,12843.7343365759,14467.4934669312,14077.3591068763,17270.7111257599,14024.3110300761,14347.7354267982,14880.0188261441,14369.1662297494,10453.890528354,8876.34581780132,4498.84223748759,7358.82019969527,7916.53968855725,16079.1034903516,6007.75565252735,4330.13260182062,3664.59263691205,3734.42774767279,4703.39056374267,5018.13121351654,3341.94419921326,3061.96213656354,5045.40411745952,5820.90188967128,5500.13927673646,4733.01481386962,3843.11484471029,4389.34753225244,25000.9533510201,22330.6850323302,24317.4069107439,24927.2103608567,22129.9724263111,21049.6858104346,25177.347191478,21347.6741068793,21791.9000914231,22687.5043151044,26280.1491019248,26920.1457394424,25844.3637567241,22423.3528513914,22481.0692172828,23068.0612588035,22511.044425655,21629.6113837721,32829.8682626873,26896.756414338,26963.3347083696,28213.4921569683,29612.4406680225,30715.4378412944,31733.2011279269,27216.0657813249,25319.2111772912,21856.0602364755,23630.5486584763,21617.1117462563,18211.338174153,21621.6198891439,21150.9284364517,29072.7796508697,21769.225644668,34626.8532676523
"CH-EA_LA-62",3582.24164210045,1239.44226207787,2296.81307399376,2891.75268555759,18201.357395038,1341.29232740235,0,17510.4630600487,4244.2800852001,4907.95368454591,3967.89815970524,4978.55408647276,5057.59840144046,4294.21764051295,3115.22836587221,3752.81370965878,3579.03650442022,4988.45979687028,16265.62748899,3161.00837908022,5668.67607127253,6692.7803153315,16451.0086770582,6697.37857324065,6401.12518063138,7508.14136847235,7124.13674855534,7461.41646022412,15822.2135048065,7207.36981963609,6941.68531701049,7280.66930603962,10518.320126905,14578.3683870735,13416.210965733,14321.2651610325,14105.4820515325,12097.5238064302,13341.7751831814,13858.6722402771,14209.9828271279,14494.6174910134,16004.5094096325,14632.1394275358,21361.439142722,11879.3190437106,13948.1703793713,14448.2586332911,15765.6984916488,12263.6914399496,19788.6926514367,19162.1131443787,17886.4770855695,15019.3632389493,10205.5653062369,16173.2023383529,17523.6294603881,17607.9603916189,9722.17705885054,17670.5021348069,17016.913808399,15460.0344259502,9065.69778896429,18615.4609746332,19585.0763454684,18568.8121810259,7612.28036157876,16125.5687004825,7545.53079200239,20000.630360542,10717.8718284341,11184.7847513984,12928.7338301288,9992.16156057087,8359.86176070109,7972.01593393487,10386.6248677231,11851.7528591573,10012.3101415896,12989.3968101472,14589.3218774608,14230.5240345804,18598.9387898415,14141.3764690199,14429.2348937526,14858.2349373716,14083.302141991,9974.56665882355,7910.74708661443,3833.37037540514,7232.82295835299,8316.09471876514,17417.6679117829,6327.8484739554,4060.79234627281,3404.01281746054,3650.9011670185,5057.75594407204,5577.3778336776,3565.61375397822,2937.67392168869,5930.83443334479,6814.64312513636,6685.82238834965,5793.30680211877,4919.74395087977,5598.4559935685,26282.9633457673,23538.3768756715,25646.1116649751,26143.283689909,23280.026560258,22291.1671653137,26515.4901745498,22451.9349851251,22906.9547981128,23758.5926806301,27242.2867600618,27864.0786922835,26777.408175827,23392.4424567015,23393.0041788082,24405.8356123955,23845.5515973029,22965.3450174824,33333.9798897676,28192.5358507684,28101.9692369202,29299.2497464985,30662.8238210896,31860.139998044,32941.5533880567,28528.4713610397,26400.0994709602,22486.7285004475,24135.358242686,22220.8895672973,18591.3600379428,22192.4744880449,21696.0124940673,29553.0061196398,22309.1662073508,35096.3183140785
"CH-EA_LA-6",14225.7418156609,17408.1254276772,15446.1144345126,14688.1034417834,938.199140239669,16178.9741009085,17510.4630600487,0,16133.6107386397,15048.581961622,14805.8422941476,13954.2428023243,13176.1904887185,13537.8801135391,14747.3364748764,13760.1250923259,14027.3209683681,12597.2705259263,1553.78721222853,15567.6719346558,12204.7627904285,13024.3708580481,1640.00093629505,12608.3259898224,11344.498135956,10239.1177371947,10677.0434433145,10587.1250645137,2194.54735612198,10890.7851857365,11196.322344375,11620.4419351279,7181.43405773754,3564.83189109821,7896.30813594115,9670.32213691491,3620.25876228546,12229.0956996126,13446.8502689831,12139.401138615,12056.3564637892,11462.3488292337,12404.8715020888,13804.9956583265,5069.38141110745,5661.54042448955,16013.9837530763,15190.6930967039,14892.3044253131,7165.98379784628,18463.2717664931,18974.3569794015,17736.1742428834,17240.8797248549,9011.04350591438,18012.7700879377,18190.8141036061,18426.1481138122,9427.11831558899,18750.4043403826,18754.4554363074,18472.6691253723,9911.27582767961,19689.0427114639,20212.5790571841,20599.2630324349,10015.635993181,21167.051683074,10480.1208964699,5646.4816673822,11032.5008312376,11820.8901633657,12958.6985111316,13268.5914481345,12488.4107254399,14123.3545025217,16426.9023502855,16890.1342870489,17472.7078736486,18738.3737188647,19786.8528784607,19300.6384035271,4644.23781851626,19585.2876404867,20069.8255077216,21263.0853109408,23036.7048081746,21704.3130395394,23075.157646722,18851.4890685795,18167.5003649971,15394.0631870044,3098.03899052126,15746.1578505743,17680.5291585916,17462.2681367781,17026.2369253928,15654.8820951928,14770.0987368102,16198.6653350042,17022.3390368448,13259.751553636,12238.0496678442,11363.6889080975,12615.0691275568,13216.208625024,12220.3511885887,12336.0722135489,12631.6610838239,9698.18723635922,14324.9043211949,13982.7751808831,10760.647800045,9828.76243269299,14515.5544792404,14566.0573263756,16107.5674642866,20818.6962038356,21637.5652079056,20986.4818075128,17863.0332596923,18877.7247108953,7899.22273541907,7693.30979321754,6821.85406882872,32961.579958968,13467.9606527311,17863.4202308495,20014.9340184892,21878.3711090822,20875.208460101,20300.0352389986,13110.5181240077,17820.143349362,22489.4408066337,25357.3511869187,22656.6340273149,22786.4130600206,23064.540673971,23035.7744274726,30046.0789889034,23543.6434234234,34974.9365585872
"CH-EA_LA-63",5330.27200541205,5332.21798198637,4778.19465204545,4514.08721836357,16953.5089123421,3705.05760230565,4244.2800852001,16133.6107386397,0,1142.08074404462,1609.55151830461,2192.67454919753,3117.40131093203,3259.32699451465,2693.72538773056,4386.41436986093,3510.0315275841,4378.08814336581,14698.8749391071,1508.52743088166,4185.07687942226,3377.0477601777,15415.8577765324,3659.65415325491,5045.26164982192,6031.79889863437,5588.41325637837,5565.03870495343,14853.228328696,5260.64476971916,4957.26283805466,4591.60157160619,8977.050457214,13839.7355424009,10458.6444022634,10896.8400502284,13181.4511878315,8241.49679321231,9304.67282446351,10002.4521569658,10367.9888242171,10746.0329998362,12144.7200117988,10575.6006967422,19215.0169220438,10918.4774384171,9721.99446326937,10271.0105110582,11637.3635499904,12516.884795581,15568.2779770206,14921.9572463719,13657.2912389323,10775.7854340682,10853.9056865747,11928.9448619692,13282.0838925724,13364.6346014872,10460.6678649825,13426.2249911963,12774.395002262,11226.4682149958,9882.8688100426,14373.3680951119,15342.4224765548,14347.2378279205,7479.06321952912,12039.9619728867,8029.30103474178,17498.115435625,12279.7651932861,13020.4750286242,15034.3034468378,12297.7077672623,10336.1313663867,10579.720782571,13551.5585200533,15000.6414156895,13451.2410161604,16411.1691200018,18042.2323953628,17632.7274356514,16199.0821331258,17604.2043213932,17948.0382207548,18530.7056572195,18074.1372608935,14117.9866912343,12109.0284780793,8040.91191992857,11058.2437238567,11338.1842108729,15325.1111177739,9542.06863042726,8024.39034141381,7354.92334733173,7439.40336812873,8255.4278784903,8385.99817183503,7002.72698825416,6763.79381034594,7941.18379604247,8393.090577313,7452.95295339147,7252.22239118587,6461.04835620593,6423.22793907369,23248.6425470069,20094.2549162194,23150.0821459429,22718.6944750098,19616.6795179231,19027.3602730881,24256.0428506943,18657.8718896179,19139.6868187119,19876.0656632609,23157.9415863085,23755.8650986513,22658.2798803395,19326.358312244,19256.9286732643,22155.84371461,21500.096097394,20666.1627970179,29151.6663753358,25259.3112215924,24377.8200540789,25430.4144944868,26714.6490119929,28141.1470893384,29449.3412647039,25765.1977717955,22529.3846176129,18248.4438512929,19950.4901122558,17989.3936967835,14506.2821891147,17972.7217860567,17487.7581097346,25385.5779721302,18103.7467920676,30937.3207747158
"CH-EA_LA-64",5202.19881753383,5861.87859178981,4927.31690793481,4481.154298832,15878.856194706,4091.6470223209,4907.95368454591,15048.581961622,1142.08074404462,0,1243.8321105002,1231.32382651936,2264.70624587827,2693.01783598319,2587.90466836226,4096.90358850693,3209.33528378164,3726.15260480847,13600.7432463715,1777.70004300523,3314.27118362497,2237.27275167629,14370.6778236904,2521.26070927105,4131.9894928768,5043.76829439475,4607.33546911253,4520.33206701925,13818.9454114144,4218.08724732675,3920.11725457747,3466.41682960813,7916.50427977369,12842.7393061773,9325.73605574645,9818.11820802781,12163.212082605,7277.67737656114,8446.07487874595,9044.54693200465,9405.01002743178,9748.73760060588,11193.3821795654,9732.8344449743,18076.5384991408,9915.1003053673,9100.90773228591,9551.23595379016,10857.7846177356,11703.0128256407,14920.0906678408,14343.5943822706,13035.74268779,10239.8537937391,10150.6277545771,11414.3990867619,12716.7392993336,12816.2454641849,9786.13540087274,12904.0873043029,12287.6390536293,10799.3338470386,9240.78753348552,13885.2475560667,14846.3780099829,13945.908231854,6705.74440437222,11870.7375948824,7372.49635304097,16356.314118514,11761.8375551839,12559.5053983657,14616.8851228089,11977.4481657163,9969.69788127766,10385.4148921302,13481.721815106,14907.2532070971,13485.5522393747,16407.9437143315,18039.4459103972,17611.9787561471,15057.1988407082,17608.6230158034,17973.8574960032,18622.6421128398,18345.7286850606,14529.7166989458,12818.0058024877,8573.92867353455,11294.8924452848,11256.5413966231,14191.2771905668,9568.90784534375,8390.36407736318,7734.37601428384,7746.2029194845,8320.29794642994,8324.0465826919,7203.51658378118,7113.22683894183,7673.25122191794,7989.52907275475,6890.77919027649,6876.4573444407,6162.30360052513,5940.5071773913,22135.5497250553,19035.2447655481,22009.0612798692,21658.35352358,18608.2168595972,17937.4585991166,23114.3512436292,17689.910351628,18162.8328234121,18943.9880564624,22341.6208298871,22958.8059130661,21870.6022846021,18495.4931282713,18485.0532656233,21014.4992245982,20358.0653220226,19524.4920543851,28800.4160540083,24138.6426959971,23391.1419928,24495.9862243956,25816.5138393053,27155.0133036276,28406.5694240175,24633.7691260094,21594.127174084,17775.7807467113,19610.2210476573,17546.0753043455,14320.4862218929,17565.0967402896,17108.9428706979,25062.3756867814,17729.346137037,30618.8949021563
