"","CH-EA-63/69","CH-EA-64","CH-EA-65","CH-EA-66","CH-EA-67","CH-EA-68","CH-EA-70","CH-EA-6","CH-EA-71","CH-EA-72","CH-EA-7","CH-EA-73","CH-EA-74","CH-EA-75","CH-EA-76","CH-EA-77","CH-EA-78","CH-EA-79","CH-EA-80/81","CH-EA-82","CH-EA-83","CH-EA-8","CH-EA-84","CH-EA-85","CH-EA-86","CH-EA-9","CH-EA-87","CH-EA-88","CH-EA-89","CH-EA-90","CH-EA-91","CH-EA-10","CH-EA-92","CH-EA-93","CH-EA-94/95/96","CH-EA-97","CH-EA-98","CH-EA-11","CH-EA-100","CH-EA-101","CH-EA-102","CH-EA-12","CH-EA-103/104","CH-EA-105","CH-EA-106","CH-EA-107","CH-EA-108","CH-EA-109","CH-EA-110","CH-EA-111","CH-EA-112","CH-EA-1","CH-EA-13/14","CH-EA-113","CH-EA-114","CH-EA-115","CH-EA-15","CH-EA-116","CH-EA-117","CH-EA-118","CH-EA-119","CH-EA-120","CH-EA-16","CH-EA-121","CH-EA-122","CH-EA-123","CH-EA-124","CH-EA-17","CH-EA-125","CH-EA-126","CH-EA-127","CH-EA-18","CH-EA-128","CH-EA-129","CH-EA-130","CH-EA-19","CH-EA-131","CH-EA-20","CH-EA-2","CH-EA-21","CH-EA-22","CH-EA-23","CH-EA-24","CH-EA-25","CH-EA-26/44","CH-EA-27","CH-EA-28","CH-EA-29","CH-EA-30","CH-EA-31","CH-EA-32","CH-EA-33","CH-EA-3","CH-EA-34","CH-EA-35","CH-EA-36","CH-EA-37","CH-EA-38","CH-EA-4","CH-EA-39","CH-EA-41","CH-EA-42","CH-EA-43","CH-EA-5","CH-EA-45/51","CH-EA-46","CH-EA-47","CH-EA-48","CH-EA-49","CH-EA-50","CH-EA-52","CH-EA-53","CH-EA-54","CH-EA-55","CH-EA-56","CH-EA-57","CH-EA-58","CH-EA-59","CH-EA-60","CH-EA-61","CH-EA-62","IX-EA-6","IX-EA-8","IX-EA-1","IX-EA-9","IX-EA-10","IX-EA-11/12","IX-EA-2","IX-EA-13","IX-EA-14","IX-EA-15","IX-EA-17","IX-EA-18","IX-EA-19","IX-EA-20","IX-EA-21","IX-EA-3","IX-EA-4","IX-EA-5","IX-EA-23/24/12/13/15XO-EA-23/24/12/13/15","TX-EA-57","TX-EA-59","TX-EA-60","TX-EA-61","TX-EA-63","TX-EA-64","TX-EA-56","IX-EA-16","XO-EA-1","XO-EA-7","XO-EA-2","XO-EA-8","XO-EA-3","XO-EA-4","XO-EA-5","XO-EA-11","XO-EA-6","XO-EA-14"
"CH-EA-63/69",0,1498.13574307925,1985.59893374029,1728.49609154458,3197.64901955956,1295.6557104868,874.150945541111,14860.5810169456,2474.77797789493,3582.24164210045,14225.7418156609,5330.27200541205,5202.19881753383,3965.83638492399,4413.57529510365,3732.77200858872,2808.79580294808,2657.52079556303,1235.44451555895,2029.58596738342,2570.73750270313,13081.2923961878,3831.73548946576,3606.98053157428,5813.55051604217,13063.411992976,5548.37157633615,3946.05288327337,4857.22695218777,4599.98620732426,5126.05409332263,12423.1003426207,4972.23384739147,4808.23041022362,5645.52999813084,6640.95175169695,7544.18596650344,11131.9832201167,11254.6736160444,12587.2532050125,10806.5912672528,10720.8183187687,11090.0043721031,12606.5899097459,12745.0336465858,13054.6471411745,13177.5974066367,14801.7446018025,13049.4446778416,13341.7447949257,13881.936059915,18377.4881298719,8564.33213138612,13846.8393153775,14071.1228576604,15168.6186825596,8684.18165443861,19489.7665759528,19071.2746101684,17695.2520469235,15104.5289093634,15415.2484013225,6625.77334500417,15994.3032712992,16292.6854149899,17491.5087872059,17619.6286254419,6145.04728445708,17750.2846607951,17195.4291463741,15801.064973665,5490.06782097619,18773.4865392514,19713.0249981095,18949.0340619415,4211.80882393278,17052.985798472,3987.37695176903,17258.2441965536,7339.67235192744,7937.00177857682,9851.6478631863,7023.477133378,5144.1056656933,5369.0356009845,8433.83828035393,8280.50146739908,9711.43843596264,8307.87036908022,11210.6070036511,12841.2195670035,12410.9755354685,15816.8608103755,12412.3458772672,12784.0229433048,13467.9946077827,13412.0645467495,9975.03348065054,16980.2584851734,9493.79037765243,4948.44213564065,6413.87864097002,6055.78401401189,14474.1210123578,4409.60518407438,4110.0860341826,3630.1772973165,3360.01470702966,3231.88537523854,2825.96583403295,3124.07086661911,2551.07144943163,3044.77370855476,2148.2436476837,2672.46571039995,3357.32816876656,3111.90543781458,2258.26129796561,1368.34770458422,2743.92423210239,2057.05256920897,23854.6270816406,21561.5162778764,22819.2647539261,24106.0658486871,21586.6752333149,20150.6800967714,23537.283152785,20969.5286686705,21373.8261043228,22405.1931228472,26288.456096396,26973.1577761926,25932.4305593019,22440.2539425853,22647.9238031444,21442.7723505552,20944.759098639,20047.6256929499,33770.9752214058,25657.8905425545,26429.8677119512,27850.2096379519,29351.9625329522,30143.3365771565,30914.7002895867,25858.2546901977,24987.5967021372,22655.8608255568,24653.3739316269,22471.2885497159,19491.4754004932,22538.3723607042,20907.5054076869,22119.5278158584,30109.385180842,22742.1314188229,35661.4792109499
"CH-EA-64",1498.13574307925,0,681.941947776166,942.303149433266,2472.91943976497,1464.68269794332,1882.69094997554,15955.452344054,2734.75412263676,3338.26188573517,15367.5934473838,6236.26386767239,6326.06656599915,5086.84584947882,5702.78034851601,5137.35624286479,4190.97147542523,3742.15213174057,2677.90579768028,3339.56686641434,4066.20337795376,14293.9332020819,4739.69562782619,5096.28113625425,7207.78048062406,14125.5117479333,6977.05271733988,5440.20954541228,6323.74627368542,6083.96146829353,6619.20487377481,13477.7932537288,6469.41647434471,6306.28328526298,7127.21179818541,8120.89281774584,8898.33050131075,12143.234122226,12737.7578981136,14085.3303744601,12303.1527556335,11802.7967755239,12549.5454820956,14042.401148239,14218.9799293788,14532.4252470944,14665.6709529081,16285.6508950622,14507.0120604374,14784.2029710674,15323.8958980614,19664.82693464,9728.53353026012,15193.7708014912,15464.2493756316,16595.9860530665,9397.16547345881,20886.8804685191,20434.4643120607,19071.4209364299,16422.9368200986,16743.9092192229,7250.12274249594,17348.8176823564,17609.3542879655,18840.2291801015,18960.9261481843,6751.78638427734,19079.4845297106,18503.8867198528,17070.7485293411,6099.18348844222,20090.8970050973,21038.7080233893,20221.834639485,5396.17030958092,18187.3062831084,4922.86275254359,18629.0829967517,7435.67151495777,7857.71550540916,9592.62361994808,6661.15487828541,5039.57521832268,4887.5241129992,7712.88578671182,7362.87983579153,8825.7759142438,7214.97714849544,10178.1129430096,11808.2173678662,11403.4977252129,17180.8172097182,11369.2077596584,11711.8226182652,12312.6488097215,12069.0686755311,8510.06716910716,18188.2855422397,8055.46333020069,3555.72240607688,5025.82008759439,5184.29492226665,15790.4655154693,3310.96228641187,2621.688944222,2188.76464609647,1872.73295116312,2019.16464111834,1695.92591219548,2292.23876384139,1052.96657955353,1665.69204009982,657.398642291641,2680.53672183387,3669.41491294086,4024.16703046687,2848.3477686217,2151.53328963945,3856.06457873438,3175.52183215178,25282.9432915745,23045.6237304498,24153.1319135636,25583.8950650973,23083.3668491786,21621.041374848,24815.2581139057,22467.227123559,22871.9236219549,23900.7407376854,27765.96746989,28446.3675735472,27401.2793562512,23915.0989720741,24104.931442943,22730.9186606867,22257.2946956215,21356.0653285086,35044.3745968587,27063.7827922481,27926.1280765644,29348.1443528832,30847.8062127846,31637.6502508934,32389.9398762053,27232.4970881162,26484.87410528,23980.2791020072,25909.5768502676,23779.5686541884,20642.117260328,23827.437314445,22193.2645076366,23391.2985254605,31365.1839812699,24013.2179377489,36921.0408189482
"CH-EA-65",1985.59893374029,681.941947776166,0,607.709128996204,1861.52670896263,1450.00052759244,2111.73813488162,16623.7948893802,2502.13996814758,2852.54724063623,16029.0700121547,6155.05377010592,6367.90518840668,5150.24385194049,5866.43628972583,5407.69077784332,4457.51752293468,3828.63889366126,3045.09544344166,3578.58708242735,4486.92176855322,14941.3979281731,4694.05601553381,5487.16307421204,7446.30206859261,14797.1432165537,7255.47336556662,5907.3872572257,6841.5746513818,6575.76763058195,7087.28445106171,14149.997170813,6918.15595260338,6735.12338357594,7487.21384386736,8472.98012500867,9496.69531624515,12818.8938062312,13226.8006297099,14511.4835105664,12748.5275670748,12471.3541222401,12851.3875827045,14305.683125539,14545.0727446645,14866.4597250756,15026.5276671924,16632.9590057334,14802.3933615019,15055.7260617649,15593.9207947344,20293.1712444913,10383.4332761564,15354.9323050722,15672.5580588204,16844.1072275798,10077.0561824273,21093.1322274818,20604.3675398137,19256.3227237875,16555.3932116196,16885.1472027627,7927.4420863467,17513.7635360994,17738.3216215771,18997.4810979203,19110.8523425621,7428.74578018775,19217.857888504,18624.2376425336,17160.4337042885,6777.15920376805,20217.236010122,21171.5711516773,20309.4740857032,6040.40820316035,18175.1269937276,5597.8973049246,19222.4832763123,8045.91407486046,8427.27352047142,10104.4072403763,7160.11220961629,5625.85715404633,5370.03063727665,8064.44878627546,7618.59531074068,9086.73547150586,7363.6411318606,10344.8127423927,11967.0367958524,11579.9397441466,17777.5296706008,11523.3924170872,11845.6063632802,12385.8540379986,11977.9980885096,8255.9062982491,18837.8909755882,7508.54799382766,2965.43750735404,4929.34516723096,5494.94745746318,16407.6889122382,3537.47933435942,2190.00234942445,1653.72409652857,1457.11620687702,2239.64141571567,2019.18473470414,2729.85489490404,847.673245834851,1059.6708029133,487.462931505078,3327.62620885291,4335.862052935,4698.21468230855,3530.22071990726,2818.58804952815,4506.55383724135,3819.29311234803,25838.8714444469,23530.377545996,24764.6923278967,26081.0666245821,23523.5156585575,22130.8482845542,25447.3506761756,22872.6753183184,23286.1351767747,24287.3053456405,28091.1479050223,28761.6822350198,27707.9191807341,24235.7191432442,24391.1863653607,23359.4699129718,22877.1651211969,21977.3366252434,35122.0113994475,27636.7867808065,28368.4839178564,29756.0635355756,31234.5526096364,32090.211426281,32891.3158684158,27824.8825216419,26884.1068612541,24109.2709558753,25978.120172285,23894.044358135,20637.3341070909,23925.0536817318,22289.5786600207,23474.7130527321,31429.9561429037,24095.5073809904,36986.43636988
"CH-EA-66",1728.49609154458,942.303149433266,607.709128996204,0,1599.65476394878,882.054679935463,1630.97858176966,16555.2361677727,1904.3813952111,2395.97119439802,15934.087170524,5547.34465077805,5770.99664086286,4559.71005492477,5302.93398911056,4893.3372371353,3947.89147334361,3249.1023811794,2624.12445405566,3063.90184953155,4082.48606301601,14804.3048498171,4088.0598977169,5049.26532648431,6908.57585925266,14745.6077804027,6737.67812098797,5531.24577919893,6512.13289605371,6219.70987197031,6705.06765100828,14102.0533420468,6519.02375008093,6319.75328376915,7017.02283532379,7994.57221860624,9266.60762886412,12792.2809653147,12849.3475135822,14076.4400028272,12331.3967631178,12408.2461488754,12336.447643244,13770.4306976375,14042.0744079255,14367.8221500315,14544.2434280686,16141.0539924833,14282.4926759433,14523.8518133266,15061.0208944088,20105.7191565689,10274.8194738382,14780.2918604272,15113.6728600138,16300.692271324,10179.4230471732,20531.7402357394,20030.9351246855,18687.9951142818,15972.3056897516,16304.3022735168,8056.14344602076,16939.5684857705,17154.0473309434,18420.6122755111,18531.8625415388,7561.20527986169,18635.6976558984,18037.6547401639,16567.4000057535,6904.25041028376,19631.8188278839,20587.629584689,19715.5526246998,5919.19870347296,17568.769494915,5589.07737171526,18970.6217445775,8358.44460610809,8796.35013893457,10534.0173893241,7600.46710714666,5975.23001341903,5822.76442181442,8598.94288192382,8189.83878252317,9657.2702182607,7960.09475988127,10939.3772045147,12563.422169582,12173.0114547924,17532.1879277717,12120.4558965195,12445.8300308463,12992.1330444658,12577.3207337968,8816.90241270615,18703.3846975465,7868.70767199955,3307.20473810714,5531.87575514652,6044.43485363726,16200.3835769924,4110.60843889952,2703.45313843943,2105.78508486325,2001.64956394169,2806.8924921587,2548.03054878764,3207.64084510444,1455.38237294352,1468.88351745219,1078.23937179481,3582.68694926509,4530.82797998065,4691.26245315076,3613.0881384891,2812.66778312029,4416.01144036398,3721.54465704196,25528.9426593067,23141.1126277539,24541.4986699242,25703.201669338,23094.3137448092,21767.7584913685,25265.6933525794,22416.7034251931,22836.5340526163,23817.4391486238,27582.2869305206,28247.3004773783,27189.1446696698,23725.2245189231,23862.8380877751,23170.8709974684,22670.7800989634,21774.2029460265,34525.2471208689,27349.7563547313,27939.5983265384,29299.9453314266,30763.1177661192,31669.0820310363,32515.9510758699,27567.3724065498,26422.3759604122,23523.954026305,25380.2894990748,23305.3197867296,20031.347630481,23332.7034065891,21697.1353604001,22879.6532662327,30831.2438094865,23500.1866430197,36387.623723
"CH-EA-67",3197.64901955956,2472.91943976497,1861.52670896263,1599.65476394878,0,1968.22397011446,2766.25101329285,18053.3906845731,1824.70278754265,1239.44226208116,17408.1254276862,5332.21798199327,5861.87859179785,4792.29172908482,5726.43724421386,5598.14754605707,4724.36214412492,3696.50543335641,3771.98623168098,3890.52415611438,5175.20566686082,16234.9283371052,4084.180990305,6015.05296689891,7430.73585936697,16260.3654145363,7362.48038798671,6639.77168786382,7698.71946989305,7356.84909975692,7773.13059333031,15620.5007016867,7549.00967279405,7311.53004440785,7824.45089566219,8752.92130142101,10594.5098091785,14328.3052928751,13863.1576266649,14920.168816231,13240.695751218,13916.9806024497,12889.6224767685,14211.2785119084,14635.9108166566,14978.2494704478,15219.9579765303,16769.6358014339,14797.6317533616,14977.4458013968,15505.8907447489,21462.4168210655,11747.4741273726,14958.7576415922,15405.3120907055,16680.8611070874,11774.5307825701,20781.9636540855,20194.1764268763,18895.6052671872,16069.8098268104,16420.7490729927,9655.21898806477,17109.5328435829,17234.1528731143,18561.8386326057,18654.4346757543,9160.57593787906,18729.3276927733,18090.8175206842,16555.5758495298,8503.46820837106,19690.4056013154,20657.3032961423,19679.3572000538,7402.99910877639,17302.9493953834,7152.98866892359,20227.4271301775,9901.19139613881,10288.3113288503,11944.5442533703,8997.03261351978,7486.75113561885,7202.69589475666,9768.72908787366,9206.16009237013,10667.0211855797,8794.66374872,11767.1340770723,13362.2197107192,13008.3421135458,18803.2862565179,12913.9301860209,13197.3360502628,13619.2914061575,12863.479988802,8800.23154133996,20130.8188756173,7052.93856790712,2717.95736951101,5993.39126810378,7179.14521288073,17535.146113846,5177.76505924094,2823.0803696043,2164.61074558568,2424.75460241579,3943.46526646184,3808.49574945147,4559.66243801131,2442.03351439001,1716.87788331822,2276.54218500271,5152.69707943046,6123.20517237629,6260.3663248139,5210.80046360388,4395.55191563856,5939.20915405285,5248.48064459739,26662.7926857797,24087.8480669551,25838.179391112,26675.8691856985,23924.0668539844,22785.6824864915,26624.8131975148,23159.1498889176,23599.992972469,24506.3580759903,28103.3672360522,28741.6767802011,27664.4985210809,24246.8950795465,24297.6575970993,24522.112185526,23996.1342699569,23105.6267997027,34421.3273565244,28528.3925058393,28761.366199693,30028.6818710986,31433.8784164467,32510.0316260872,33486.4319132937,28801.876994069,27135.8206538892,23571.7065538991,25275.2595815445,23318.5475212685,19770.3381302452,23304.8812380975,21672.6842603,22819.1249947006,30703.3725840527,23434.6231434439,36251.4710476524
"CH-EA-68",1295.6557104868,1464.68269794332,1450.00052759244,882.054679935463,1968.22397011446,0,827.071893075767,16099.3178069579,1338.29014473866,2296.81307399376,15446.1144345126,4778.19465204545,4927.31690793481,3703.39417348729,4423.2272827015,4019.34552644726,3077.80121862922,2378.63943848286,1851.2678845623,2193.93059154451,3299.25762313049,14266.9316367869,3289.73227789997,4226.44959830883,6027.08566446305,14315.4586040869,5860.97440769969,4763.72000561788,5786.60052738913,5468.12232129444,5925.01285119473,13678.2405425489,5723.93843081934,5510.88943940435,6164.24224276878,7135.57277147325,8636.59287052821,12400.4674164717,12060.2720943419,13241.0555646498,11510.3153047674,11970.0383219443,11459.2754762764,12888.8683072766,13168.7724915231,13496.1935856523,13680.0369953599,15272.0104709919,13403.7402289464,13642.6902699688,14179.7044950544,19501.6065027352,9787.16648081848,13906.5562365344,14233.2995094467,15418.638147266,9978.1864146873,19652.123762266,19156.531462341,17810.9069211002,15105.3929263781,15435.285914318,7909.82066883105,16065.5887542962,16288.3494725334,17548.4430715373,17661.3011589154,7425.66642336339,17767.8911611651,17174.542447748,15713.629929511,6769.02000796346,18767.3522925043,19721.57891147,18863.2570119482,5452.53625326004,16761.1230085035,5281.3142458442,18297.015313356,8492.24424818132,9020.80249319092,10855.5601667506,7959.7418123317,6197.07660545166,6223.11253482341,9140.09649747144,8823.17552570877,10284.1548299409,8675.44975867045,11641.6423730249,13271.2728940192,12867.8034482712,16866.9458495035,12831.7017089447,13171.461341201,13756.8704634639,13420.2660723474,9695.699992909,18162.6281607655,8677.03930677751,4127.11866509841,6368.15063173653,6634.69882863799,15578.5651101514,4775.54388190238,3585.21333141503,2980.07074977522,2881.53855047254,3480.8467607097,3158.85842908883,3708.27230551796,2276.75090344005,2340.52919025085,1865.18037977092,3723.99505972761,4545.75426474566,4407.5610159741,3500.21021784982,2623.25048757098,4023.24122317031,3343.80889046419,24793.1182009202,22336.5019874862,23894.4121807159,24907.0921294281,22260.0784070789,20985.2580655648,24664.0645912764,21565.449758626,21989.0647394184,22958.1919691763,26706.048290285,27369.4311239454,26310.1746969825,22848.6092270179,22982.0077476669,22562.8420281594,22043.2839436449,21150.9967674924,33678.326809695,26635.3906734675,27104.795988914,28447.8334843191,29902.5003678427,30839.1487811513,31720.5254713086,26882.6220317894,25567.318106641,22659.3631410832,24536.0098263462,22444.8549448502,19220.1721713604,22477.5961865745,20842.2128684943,22029.4247140279,29989.0152438242,22650.4587881483,35545.5469240195
"CH-EA-70",874.150945541111,1882.69094997554,2111.73813488162,1630.97858176966,2766.25101329285,827.071893075767,0,15356.3328111939,1670.46684941631,2891.75268555759,14688.1034417834,4514.08721836357,4481.154298832,3237.36107992538,3820.19284367176,3297.88223834179,2347.19122584809,1895.61393847054,1024.19611764343,1473.43996102794,2474.98954216433,13487.8717937157,3006.8483276785,3420.41657487732,5348.99877196843,13587.4688251966,5145.63909535056,3937.81282019816,4960.28262486838,4641.17140172958,5101.66834574429,12954.4173121853,4904.69246642571,4697.23675152031,5388.90139567552,6369.72407048913,7828.2598115218,11696.4195200394,11240.4721020904,12445.9449368952,10704.6420732383,11240.9427798506,10740.0233052309,12202.103499346,12433.8107556335,12756.0090816203,12922.1295219884,14524.5458097393,12691.8239368425,12949.8779258614,13488.5747738297,18696.3372674561,9036.32600627062,13312.8617868953,13595.3182276021,14746.5176893634,9405.74210750423,19018.0021267247,18555.4507036875,17195.6287080632,14540.246843831,14861.3875301263,7391.09181589374,15468.6785733649,15726.6878574743,16959.1292857191,17079.0572363846,6919.59548361375,17196.9143703354,16621.491685547,15192.3872958674,6270.07284693317,18208.2488498189,19156.0345046369,18343.3853810372,4731.34993173513,16351.8804988695,4669.71693477091,17475.1557443596,8202.75040010543,8809.80476468897,10725.0516809137,7889.66310316095,6018.21715797745,6218.49106462011,9252.59260764108,9046.81026684093,10490.7354765346,9006.70750029721,11940.4757797149,13572.6489126696,13152.2035560441,16046.7575645435,13139.1409404443,13498.5481863778,14141.9520435648,13951.5976126128,10347.2611459054,17380.1573322252,9486.46020003026,4928.89788501296,6907.74807411727,6828.42217360296,14769.0403728985,5088.75406340291,4299.07292343941,3728.33089274444,3568.69897307123,3842.65310283273,3467.72497143377,3877.36598107661,2864.04921222577,3096.06023382501,2438.54577339416,3544.89102523823,4217.49634545834,3830.69989913693,3100.26003706195,2213.28995043873,3371.91595596489,2723.75340687697,23966.1258563878,21522.885103806,23077.2384759964,24090.2454822363,21464.1719116044,20164.1878658917,23858.6939517031,20786.7297499805,21205.842978917,22190.7441656543,25979.4847711993,26650.0252973077,25596.7470335219,22123.9869743378,22282.7862054606,21755.8652852006,21230.9978068539,20339.9639421487,33166.7914368104,25808.6782603767,26309.4001959331,27670.1018910593,29137.096068286,30040.0100927873,30903.5775877467,26058.6175425064,24793.5462818614,22097.588215745,24034.8317279297,21897.3528583516,18800.52816941,21946.9670514355,20313.1025484986,21513.3300457317,29490.9250227161,22135.4194949151,35046.2452738354
"CH-EA-6",14860.5810169456,15955.452344054,16623.7948893802,16555.2361677727,18053.3906845731,16099.3178069579,15356.3328111939,0,16876.7125431921,18201.3573950294,938.199140236332,16953.5089123348,15878.8561946988,15598.8685804977,14767.894031521,13965.9295290289,14293.3210876645,15492.8712950233,14448.5703120346,14752.3740957364,13326.9125440112,2485.71318543631,16345.5872579689,12977.5463618307,13882.4439330339,1871.10907888528,13458.2896446457,12110.5382586505,11015.5959478482,11456.8654210462,11394.6248505098,2518.59461314813,11698.9738855615,12004.0429773986,12464.5446824903,12303.3432450277,7981.09612796511,3916.96738585893,8833.12429839705,10592.1174104077,9980.1056097051,4152.65628071177,13167.2943456088,14381.2706456647,13068.3281155014,12981.1041154317,12382.1953050553,13298.7033830253,13851.5786259482,14478.05814274,14728.3216795359,5144.19880734417,6322.47777474212,16948.3658336632,16119.7500165234,15804.4598389323,7421.12266569681,19329.8597813903,19860.6237802132,18633.6284647146,18171.2520929683,18174.7121727149,9379.50132145417,18028.1131152368,18935.9121042872,19097.9707221757,19333.8677524575,9819.03941482823,19659.7071733277,19672.3321604641,19403.8233371918,10339.4942020839,20592.0376462825,21104.5707179661,21510.656256943,10650.4164066977,22102.4289088351,11042.3119834407,6109.01035184261,11243.2915423198,11976.2162773194,12976.8203610686,13492.8514788895,12843.743631342,14111.4268984111,15535.4497206046,16630.4350189186,17016.1218033408,17709.5129587945,18836.4035511411,19822.9812560858,19343.6719251356,5266.41494990838,19640.7124699264,20122.5491222061,21327.1298930216,23198.3089181525,22036.0744945142,2920.84331429158,23562.6858937035,19405.5483130494,18555.6531967442,15710.0060548883,3867.43816524375,16169.5141505437,18210.6031855105,18019.7482690743,17572.9253659898,16145.2652290706,15842.9529697071,15247.3814319442,16755.7237891021,17600.035579607,16522.7925654192,13763.7290435844,12725.4023631671,11935.4997993641,13168.322180426,13805.5128812042,12139.7364248161,12834.1247274543,12550.8582344711,13154.8365555364,9652.17074912788,14725.5400779564,14590.6687335182,11298.0587462357,9596.70654389252,15194.4855538049,15220.6351098707,16770.2129046087,21474.5671934461,22293.5488649714,21670.5425124576,18599.6483462694,19641.5708959357,7768.3220343534,7665.01813235637,6833.47123772098,33807.46359999,13549.8646083941,18328.3024766475,20515.861898741,22388.8202093501,21240.0384860871,20524.7448240305,13089.7357971448,18398.8147148741,23352.9685972178,26229.7055763684,23528.4011767044,23712.5037356598,23942.628330782,22740.2137542245,23922.8713108204,30879.2727994128,24425.9560153523,35771.3778342084
"CH-EA-71",2474.77797789493,2734.75412263676,2502.13996814758,1904.3813952111,1824.70278754265,1338.29014473866,1670.46684941631,16876.7125431921,0,1341.29232741155,16178.9741008998,3705.05760230014,4091.64702231339,2977.9491029518,3901.81626651406,3822.56091828419,3001.11466487959,1890.37403479801,2434.37476277456,2246.59148705485,3648.04821471425,14927.0680664962,2326.35623119696,4356.10743122225,5607.82061102268,15135.9846767672,5551.33298339725,5068.50867969414,6171.43380107411,5792.06749190389,6145.42055680997,14510.2573278552,5898.57478624783,5640.51619886873,6057.87694035205,6964.72447110644,9177.04338066518,13280.4932071414,12154.0592204316,13138.4896631295,11485.4819966747,12792.1176066976,11065.1324590011,12390.8731050453,12812.3968083607,13155.5184984305,13402.9954366362,14947.5202956007,12973.2784407251,13156.3236654651,13685.7034954739,20022.2640599503,10556.5808261583,13189.9637530319,13608.0829777654,14868.7696486443,11071.8894496935,18998.1473648748,18434.7976413359,17122.005113338,14329.1022271592,14673.7024381385,9061.28519825046,15345.5963350123,15501.1285198056,16808.3845252149,16907.3808764712,8588.81070567577,16992.6616273196,16369.0492517755,14859.5528837913,7938.2331679028,17967.8696386031,18931.1677443518,17997.4416799495,6320.93392004594,15744.9372659619,6331.42464520871,18676.647259393,9791.40196829988,10344.2688346888,12192.1620194836,9298.00979520143,7524.48313670779,7558.6383193255,10446.3343835608,10081.7132111621,11547.6850130497,9864.08013447736,12843.7343365787,14467.493466937,14077.359106879,17270.7111257504,14024.311030079,14347.7354268014,14880.0188261479,14369.1662297549,10453.8905283608,18801.3066581622,8876.34581781044,4498.84223749581,7358.82019970022,7916.53968855845,16079.1034903422,6007.7556525294,4330.13260182693,3664.59263691853,3734.42774767822,4703.39056374474,4419.76916200274,5018.13121351687,3341.94419921683,3061.96213656954,2981.7427093512,5045.40411745682,5820.90188966734,5500.13927673027,4733.01481386507,3843.1148447057,5024.43779562478,4389.34753224602,25000.9533510103,22330.6850323205,24317.4069107343,24927.2103608572,22129.9724263015,21060.9905547177,25177.3471914686,21347.6741068699,21791.9000914136,22687.5043150951,26280.1491019248,26920.1457394336,25844.3637567063,22423.3528513826,22481.0692172742,23068.0612587941,22511.0444256455,21629.6113837626,32779.3835572338,26896.7564143283,26963.3347083601,28213.492156959,29612.4406680132,30715.4378412848,31733.2011279172,27216.0657813152,25319.2111772819,21856.0602364684,23630.5486584699,21617.1117462494,18211.3381741557,21621.6198891371,19986.8591577334,21150.9284364451,29072.7796508635,21769.2256446614,34626.8532676396
"CH-EA-72",3582.24164210045,3338.26188573517,2852.54724063623,2395.97119439802,1239.44226208116,2296.81307399376,2891.75268555759,18201.3573950294,1341.29232741155,0,17510.4630600487,4244.2800852001,4907.95368454591,3967.89815970524,4978.55408647276,5057.59840144046,4294.21764051295,3115.22836587221,3752.81370966353,3579.03650442022,4988.45979687028,16265.62748899,3161.00837908022,5668.67607127253,6692.7803153315,16451.0086770582,6697.37857324065,6401.12518063138,7508.14136847235,7124.13674855534,7461.41646022412,15822.2135048065,7207.36981963609,6941.68531701049,7284.94076116799,8154.97609007696,10518.320126905,14578.3683870735,13416.210965733,14321.2651610325,12707.2022937109,14105.4820515325,12097.5238064204,13341.7751831814,13858.6722402771,14209.9828271279,14494.6174910134,16004.5094096325,13969.4851405668,14111.3424309498,14632.1394275358,21361.439142722,11879.3190437106,13948.1703793713,14448.2586333,15765.6984916488,12263.6914399496,19788.6926514367,19162.1131443787,17886.4770855609,15019.3632389493,15377.380508589,10205.5653062369,16087.8504382974,16173.2023383529,17523.6294603881,17607.9603916111,9722.17705885054,17670.5021348069,17016.913808399,15460.0344259502,9065.69778896429,18615.4609746332,19585.0763454684,18568.8121810259,7612.28036157876,16125.5687004825,7545.53079200239,20000.630360542,10717.8718284341,11184.7847513984,12928.7338301288,9992.16156057087,8359.86176070109,8209.18062475292,10898.1618681188,10386.6248677231,11851.7528591566,10012.3101415913,12989.3968101472,14589.3218774628,14230.5240345804,18598.9387898415,14141.3764690199,14429.2348937526,14858.2349373716,14083.302141991,9974.56665882355,20141.5764009428,7910.74708661443,3833.37037540514,7232.82295835299,8316.09471876514,17417.6679117829,6327.8484739554,4060.79234627281,3404.01281746054,3650.9011670185,5057.75594407204,4869.4368587666,5577.3778336776,3565.61375397822,2937.67392168869,3322.21889288871,5930.83443334479,6814.64312513636,6685.82238834965,5793.30680211877,4919.74395087977,6259.44564691083,5598.4559935685,26282.9633457673,23538.3768756715,25646.1116649751,26143.2836899192,23280.026560258,22302.3899604194,26515.4901745498,22451.9349851251,22906.9547981128,23758.5926806301,27242.2867600707,27864.0786922835,26777.4081758177,23392.4424567015,23393.0041788082,24405.8356123955,23845.5515973029,22965.3450174824,33276.3950697279,28192.5358507684,28101.9692369202,29299.2497464985,30662.8238210896,31860.139998044,32941.5533880567,28528.4713610397,26400.0994709602,22486.7285004475,24135.358242686,22220.8895672973,18591.3600379507,22192.4744880449,20563.4385291838,21696.0124940673,29553.0061196398,22309.1662073508,35096.3183140717
