"","CH-ET_LTAzI-2","CH-ET_LTAzI-11","CH-ET_LTAzI-6","CH-ET_LTAzI-3","CH-ET_LTAzI-7/8/9/17/19/20","CH-ET_LTAzI-1","CH-ET_LTAzI-12","CH-ET_LTAzI-4","CH-ET_LTAzI-13","CH-ET_LTAzI-10","CH-ET_LTAzI-14","CH-ET_LTAzI-15","CH-ET_LTAzI-16","CH-ET_LTAzI-18","CH-ET_LTAzI-5","CH-ET_LTAzI-22","CH-ET_LTAzI-21","IX-ET_LTAzI-12","IX-ET_LTAzI-1","IX-ET_LTAzI-3","IX-ET_LTAzI-11","IX-ET_LTAzI-5","IX-ET_LTAzI-7","IX-ET_LTAzI-8","IX-ET_LTAzI-9","IX-ET_LTAzI-10","IX-ET_LTAzI-4","IX-ET_LTAzI-6","TX-ET_LTAzI-1","TX-ET_LTAzI-4","TX-ET_LTAzI-3","TX-ET_LTAzI-2","IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6","XO-ET_LTAzI-2","XO-ET_LTAzI-1"
"CH-ET_LTAzI-2",0,2879.45824376342,10759.6861687357,3620.25876228546,11718.0219616369,12832.7768817748,5753.81364629528,9974.71742959822,6222.38067430588,5412.04814423519,14285.4987132802,14358.0607115403,14220.5655678743,11563.9917108468,14123.3545025217,20112.9634880194,20102.3326206118,12427.2237933806,15350.2558565238,19342.8898307823,19643.4299246751,23435.3780180857,23092.4353179175,24513.4877050405,25986.4907529533,31804.2700311191,20158.304285439,23902.8293171009,16086.4375491303,18853.9918185977,22783.3543551546,21882.285465733,17873.9261364318,25540.5386744123,22950.0826937379
"CH-ET_LTAzI-11",2879.45824376342,0,10319.1433885193,845.396452605944,10870.3431668246,13032.7535022749,3128.1260861152,7105.47468399577,7754.39073194346,7497.3709818086,11430.6945111502,11493.5873340573,11341.1682053804,10227.4219427862,11245.2354501002,19499.0526664758,19288.4748462943,14953.1034081141,16604.8448589787,20795.9571252473,20161.782878341,24489.4611866648,24286.1746375838,25754.6706487858,26471.7688214636,32656.0066918107,20696.7480491032,24936.9714968185,18507.0965171939,20790.5286097974,24670.2958141412,24033.676245964,19642.0599740366,25370.2079457793,22860.0943568792
"CH-ET_LTAzI-6",10759.6861687357,10319.1433885193,0,9876.61822299731,1755.78991129826,3545.647585096,8932.12074585071,11828.3883027984,6993.82641021523,8675.96688317363,14099.9899367734,14409.5397532743,15148.7443741959,3526.04300478567,15394.3977540685,9353.33482912201,9396.61803598153,14136.6819273172,9463.23908600492,13650.3669766827,10572.9447760477,15824.8733279089,16005.1485807207,17515.7693805822,16630.1425996925,23281.0068431445,11117.2112489158,16198.4197175914,16183.1444974321,15553.6892280037,18757.0248329404,19397.628606408,13862.3695831436,15052.802789427,12562.9714080698
"CH-ET_LTAzI-3",3620.25876228546,845.396452605944,9876.61822299731,0,10316.7414027906,12736.1012441594,2282.85062167702,6363.09490418414,7931.67760598289,7853.43429433944,10665.4443308852,10740.7596027468,10635.4270795861,9562.55539754125,10560.1464991735,18957.0844452741,18700.4426379551,15411.1061120662,16593.4267781863,20830.3548409988,19913.9076934005,24386.4302187154,24227.0880108768,25707.0882328183,26196.9559064606,32476.3980108012,20452.6626086507,24826.7155432651,18906.9724704416,20991.8155236533,24843.9298176922,24308.9483872254,19786.87737603,24922.6831866655,22438.8085414574
"CH-ET_LTAzI-7/8/9/17/19/20",11718.0219616369,10870.3431668246,1755.78991129826,10316.7414027906,0,4723.38511892394,9010.34053920776,11261.7590191826,8588.68248406089,10223.7820737325,13056.276156803,13386.2575549253,14221.8102085349,2073.72857102603,14507.7626473429,8640.57175161926,8439.3732036978,15890.6732906281,10903.774534341,14973.9619651141,11203.4895897021,16727.4938326568,17021.0065341005,18518.8948181102,16978.8684985425,23820.2162862312,11736.869696996,17069.9661734495,17918.1825462226,17112.3454502288,20194.2292530598,20971.6088093165,15387.3578916568,14776.8850448084,12420.1247131127
"CH-ET_LTAzI-1",12832.7768817748,13032.7535022749,3545.647585096,12736.1012441594,4723.38511892394,0,12149.920829026,15337.2837058007,7575.54309979953,9285.06758947865,17624.0057716726,17938.4139288594,18691.8377821835,6787.20585307459,18939.7071701527,8257.66733667009,8834.08610070943,12765.3244399922,6246.41775145411,10250.904695128,7222.33134488405,12290.7370927732,12459.6817206341,13970.1495810379,13462.5699738681,19906.3520006228,7766.46129069593,12671.5519267866,14081.1132871164,12564.0061131889,15502.0775876657,16432.2648280362,10795.9327914866,12776.9637533078,10156.3495439687
"CH-ET_LTAzI-12",5753.81364629528,3128.1260861152,8932.12074585071,2282.85062167702,9010.34053920776,12149.920829026,0,4574.48086370797,8767.44293755879,9107.44929485592,8698.60465753896,8818.77946281411,8884.0574807626,7906.20973162073,8882.76164425797,17575.8000760935,17184.406394187,16764.1168290575,16731.9797377633,21048.2878163025,19368.8849746381,24208.482821577,24169.5320242329,25672.2006029465,25536.110072858,32053.0354459123,19913.6865997896,24626.478115428,20087.7170276178,21648.7649165509,25404.379935287,25138.1606186326,20305.7023075482,23782.0752050788,21385.5895603239
"CH-ET_LTAzI-4",9974.71742959822,7105.47468399577,11828.3883027984,6363.09490418414,11261.7590191826,15337.2837058007,4574.48086370797,0,13241.8824786383,13675.0588935979,4345.56987999438,4390.00136612664,4316.41316601969,9506.72779806977,4309.4449273697,19078.8867316404,18370.6154696223,21330.4961815278,20608.4697098983,24940.6831981371,22368.2443393016,27623.8546106673,27731.6509280953,29244.8559750242,28240.550908543,35049.7852694085,22909.6469074173,28008.4913256265,24611.8030985215,25901.0776925834,29563.1440454807,29486.1390585156,24466.5538070743,25636.9773614159,23471.9793117313
"CH-ET_LTAzI-13",6222.38067430588,7754.39073194346,6993.82641021523,7931.67760598289,8588.68248406089,7575.54309979953,8767.44293755879,13241.8824786383,0,1738.09621482437,16974.2070347145,17171.8035073977,17458.1251374761,9553.53512925333,17520.6134855267,15670.2222686118,16017.2638645084,8324.45161867699,9128.12587486301,13158.3545523792,13736.609523434,17226.5938716206,16870.1057794678,18292.5189350612,20037.0577850523,25635.2337907943,14227.4311386144,17697.2257375541,11388.2477717895,13060.2247423027,16921.6451384958,16419.1694933498,11888.0077470368,20264.7873275161,17625.2412108506
"CH-ET_LTAzI-10",5412.04814423519,7497.3709818086,8675.96688317363,7853.43429433944,10223.7820737325,9285.06758947865,9107.44929485592,13675.0588935979,1738.09621482437,0,17626.023554563,17793.0145860053,17966.5897686351,11047.0368025678,17984.2546356046,17406.2638055068,17754.3623831493,7656.66754420469,10242.3905046316,14044.910564314,15226.4418751088,18382.3810385683,17933.1962298563,19311.6675672153,21477.5614588312,26861.3479636957,15701.6580405576,18862.129192966,11058.9360309436,13448.5833647775,17373.9234715224,16562.2924996928,12468.58168272,21920.4881138545,19278.6249436861
