"","CH-ET-3","CH-ET-5","CH-ET-6","CH-ET-7","CH-ET-8/9","CH-ET-27","CH-ET-10","CH-ET-24/26","CH-ET-28/29","CH-ET-12","CH-ET-13","CH-ET-14","CH-ET-15","CH-ET-2","CH-ET-1","CH-ET-21","CH-ET-20","CH-ET-18","CH-ET-23","CH-ET-4","CH-ET-11","CH-ET-19","CH-ET-25","CH-ET-32","CH-ET-16","CH-ET-17","CH-ET-31","CH-ET-30","CH-ET-22","IX-ET-2","IX-ET-3","IX-ET-8","IX-ET-1","IX-ET-17","IX-ET-5","IX-ET-7","IX-ET-18/21","IX-ET-15","IX-ET-19","IX-ET-20","IX-ET-10","IX-ET-12","IX-ET-14","IX-ET-13","IX-ET-6","IX-ET-9","IX-ET-11","TX-ET-18","TX-ET-22","TX-ET-21","TX-ET-19/20","TX-ET-17","IX-ET-4/16/23TX-ET-4/16/23","XO-ET-3","XO-ET-8","XO-ET-9","XO-ET-5","XO-ET-6","XO-ET-4","XO-ET-1","XO-ET-2"
"CH-ET-3",0,1650.00502603639,2194.69088530717,2874.43593965325,3641.6693024152,10759.6861687357,3563.87162563644,11343.1714474367,12939.487851045,5831.61788708797,9011.04350591438,9427.11831558899,9974.75005252033,6225.10545199468,5412.04814423519,14286.0955329121,14357.734926265,14220.5655678743,11564.0529583087,1628.98539504146,5303.23261900169,14680.9297139553,10700.4423990351,20497.6316785855,13306.0989057976,13905.9483328995,20093.4650632301,20102.3326206118,14574.8836131049,16339.8259451873,16428.816539795,24542.309033742,12427.2237933806,15350.2558565238,19513.8700818525,20555.3384165556,21846.0258869893,19643.4299246751,23368.8135684635,23092.5734150632,24513.4877050405,25992.9578775309,28936.3643405018,31492.6543633438,20115.735266892,23907.5127973772,23132.2806318534,16211.2580647599,18850.2188399195,22779.1705635136,21800.5526248446,13750.5304278074,17933.3720700214,23679.628624006,30320.8746809758,30680.7823106275,24959.977231713,25154.7645518313,23241.5356685115,23138.8834943675,27016.7292590339
"CH-ET-5",1650.00502603639,0,617.965130144341,1469.9504034647,2116.62757143534,11018.8424178345,2295.67534092335,11348.3456387594,13538.5569181437,4636.10088174163,7483.99749595018,7920.11391797505,8511.86654990009,7459.64152822676,6866.07756423715,12851.1521743203,12901.0268311112,12700.1536079153,11269.650115689,661.7528331491,3665.1148323554,13178.8511234501,10786.6374318771,20833.9218485471,11698.9521684805,12358.001699233,20316.232821274,20192.9093784682,13138.0743073399,17896.1874918841,17957.8528045871,25602.6487878331,14052.6553083284,16505.5477226101,20753.6677988129,21785.6827565954,23044.0197445653,20456.8163512146,24449.8140673581,24237.4420214844,25681.8191701049,26801.9552896639,29949.0812765079,32489.4999044298,20946.0483420549,24979.2961189425,23968.4315137245,17806.3424561456,20300.0051465664,24214.7283339012,23329.2105941967,15381.165929589,19316.2816397741,24222.1176782118,31118.4496433373,31463.306768201,25465.3094181243,25633.9257217103,23745.7463306619,23898.0995434592,27773.3239852905
"CH-ET-6",2194.69088530717,617.965130144341,0,878.672850462352,1499.90867929352,10827.2530469207,1721.65172835704,11066.3374319026,13463.0602623839,4050.29477592146,6873.18024718179,7306.51290105495,7894.74211404561,7692.31495662404,7215.59191174758,12233.4242827134,12284.0806715458,12089.5458793564,10890.7213587645,739.651900015436,3113.95168099269,12565.7273908071,10535.2309223997,20641.960360088,11116.1981851057,11752.7625044456,20084.5779691872,19915.9791193294,12520.4031367475,18288.1293745906,18328.2235007735,25701.4690761003,14516.3653835138,16661.9510109526,20946.147738491,21972.1058900408,23212.5500702999,20451.7919447488,24559.4823092306,24378.2411174397,25833.0257238195,26787.6330205695,30022.3356473378,32553.8779242269,20947.4587931163,25084.0893405563,23968.4779768203,18233.1874673444,20613.3118412402,24516.0016424562,23695.7090036291,15851.3385376101,19589.3472385216,24102.8143809677,31095.9721327878,31434.2648266609,25330.4170312756,25488.9252420902,23612.312334968,23865.8463867206,27736.1874030298
"CH-ET-7",2874.43593965325,1469.9504034647,878.672850462352,0,812.124929771018,10302.9042951356,845.878864469089,10432.6643845287,13077.3962193303,3172.37753121949,6137.77038367913,6552.77055307373,7108.94455468588,7776.59061805083,7483.79535111111,11433.9206298578,11496.4239107221,11346.1296572528,10151.396963472,1247.20367743012,2655.61178950802,11807.8073744628,9939.22143194748,20096.9632167499,10479.4095376271,11034.902437748,19493.4437513809,19273.6117113858,11721.9738643184,18579.9405588807,18583.5994316411,25531.2767512292,14941.4126241648,16588.1972145465,20917.6502720934,21933.1621206938,23145.5982509756,20144.7073419395,24405.8446809068,24269.4959677697,25737.9010492855,26461.2436131159,29812.6864013532,32330.2659347743,20648.329082092,24922.9751572169,23663.8934344588,18585.5173529153,20771.8203754723,24650.585327966,23937.6783421778,16285.7048280353,19685.7659872704,23643.3130859366,30755.7482774683,31085.1955468343,24850.5209917309,24996.4636453372,23135.6600141223,23518.4021834983,27378.942708153
"CH-ET-8/9",3641.6693024152,2116.62757143534,1499.90867929352,812.124929771018,0,10612.3240026826,850.350912679417,10611.0218603052,13510.1539388673,2752.3147028865,5379.94309020041,5808.81016489574,6395.25356386916,8512.60302348093,8274.22332080015,10735.4089789336,10784.4077251717,10595.5126318586,10170.4145533445,2031.35299335204,1866.11748222472,11068.1938163214,10168.2466801265,20358.1206174469,9680.22205266508,10268.0412300825,19701.4804672988,19416.284298451,11022.1342463762,19367.9527804845,19362.5664628696,26110.0958702334,15751.0980579303,17233.0507727172,21582.9094433025,22592.2196207428,23788.580957873,20629.5462667501,24996.0953224432,24887.598719174,26363.2342313953,26924.9387028577,30362.5019071205,32869.122085223,21138.8370136983,25508.0857655708,24147.2207946029,19385.6039842057,21519.6284028387,25388.0355582944,24711.4228754663,17095.9482347983,20410.1821076586,23990.166273463,31205.4487160577,31527.3080572879,25175.9060581788,25308.8555129668,23465.9404079134,23967.0218193867,27816.3074657111
"CH-ET-27",10759.6861687357,11018.8424178345,10827.2530469207,10302.9042951356,10612.3240026826,0,9764.75254663338,1776.44077007921,3480.05531312881,9030.94906156682,12053.213722066,12030.1015500049,11828.3399567435,7090.02978931729,8675.96688317363,14100.7704957336,14410.1641540816,15148.7443741959,3778.12084372186,10357.0910765517,11912.6872359035,15224.893046594,1149.37034073413,9816.76780524022,15976.9314582235,15332.9962954375,9335.57946952197,9396.61803598153,14323.9986223184,15292.3495541173,14849.3111651847,16711.2482734571,14136.6819273172,9463.23908600492,13658.3629938205,14474.1037155572,15324.6600581034,10572.9447760477,15761.730939591,16005.2762947097,17515.7693805822,16636.60988719,20596.8218972248,22983.6911673428,11107.9848818107,16197.0422749321,14001.9428872304,16053.1031156892,15551.2926598567,18752.2304817999,19324.8000000667,15269.9959098628,13911.4479119383,13386.4670735467,20826.8650328625,21118.2692763948,14563.5847095736,14699.1190855696,12854.2622452005,13635.7377046284,17407.2515423829
"CH-ET-10",3563.87162563644,2295.67534092335,1721.65172835704,845.878864469089,850.350912679417,9764.75254663338,0,9788.27642030541,12662.967178631,2341.71698782677,5538.25873690548,5924.51010304987,6432.23204736854,7853.04822365917,7737.08513872746,10726.3964911139,10804.7364426242,10712.2098781014,9408.31964010014,1957.32212362193,2540.43660029244,11154.3995658699,9332.82105353645,19518.7863527254,9978.88307744381,10433.9204154457,18873.530239287,18607.4325434396,11015.4764916332,18802.95204964,18771.2558884082,25299.0364541291,15301.9183698492,16463.1056045411,20827.0206458378,21830.9007693971,23014.760529223,19789.357867752,24190.606317825,24097.2490737863,25577.0013513824,26080.4903906502,29539.2238209901,32041.8881382263,20299.7700656907,24700.0294346837,23306.3642303326,18867.3678700498,20861.6822956422,24711.8485837931,24104.0254036562,16652.068377087,19717.5674869925,23140.8079687384,30358.9257254839,30679.9227872741,24328.1649427448,24462.4219721942,22617.713684851,23120.6742556179,26968.5529201843
"CH-ET-24/26",11343.1714474367,11348.3456387594,11066.3374319026,10432.6643845287,10611.0218603052,1776.44077007921,9788.27642030541,0,4873.9722616483,8646.88438548489,11232.2684407466,11142.5484709986,10841.9565425943,8497.60997972826,10005.9343269672,12709.0107556869,13035.0353904325,13852.4181299644,2075.62616532975,10695.3780445246,11683.6781819695,13879.3783638091,811.682328374704,9831.35666571604,14874.7906874285,14092.292709319,9095.10480765435,8849.67580170211,12916.5491038557,17068.7786908201,16623.8906457531,17905.7674917627,15842.1314566548,11116.8120941284,15219.2938767807,15993.9140120055,16771.600620879,11591.9421865027,17018.8405214837,17352.8165840072,18853.9323455402,17407.2689566503,21618.4615389689,23935.7968106698,12129.2930192354,17425.5564546333,14903.6561564788,17825.7977105971,17277.7689280555,20409.1973774738,21060.5234718764,16996.7233745904,15617.9444732142,13744.8170746119,21488.9363526974,21750.1683498965,14821.2792580209,14903.675051935,13149.9650295626,14407.8406310907,18066.1709272961
"CH-ET-28/29",12939.487851045,13538.5569181437,13463.0602623839,13077.3962193303,13510.1539388673,3480.05531312881,12662.967178631,4873.9722616483,0,12267.6166712106,15473.9251566796,15471.9339252656,15293.7898539419,7811.29880394902,9455.32831749922,17533.8519325523,17850.4712107195,18614.0425472706,6932.77119544963,12889.9550470289,14985.7398507594,18676.593616647,4542.07662087372,7926.58682297304,19454.3320418225,18808.1566870452,7967.50537427026,8623.19974443788,17750.0427296938,13137.4972962041,12573.6659602957,13238.5752401485,12985.5755546258,6417.04437674276,10366.4046511543,11123.3280953605,11903.5875012893,7209.32447948924,12281.8843042599,12535.7633263712,14044.4686986512,13429.0823236328,17183.4755912842,19605.3119552442,7736.7051308428,12719.2603560508,10698.4853785796,14100.9183613145,12744.8495172263,15653.6613897563,16546.5782536655,13919.0103836761,11017.4595525041,10741.7144700791,17696.5058071034,18017.1691875849,12034.9695889192,12247.7255333627,10320.8063640903,10459.0236554582,14306.7214478574
"CH-ET-12",5831.61788708797,4636.10088174163,4050.29477592146,3172.37753121949,2752.3147028865,9030.94906156682,2341.71698782677,8646.88438548489,12267.6166712106,0,3867.4062613208,4129.94849392106,4457.55547081027,8961.58833122599,9227.70080447025,8595.52048245891,8711.98672246135,8768.93907454787,7841.06783365571,4272.81819717424,3104.93724025754,9155.24204260654,8358.28451110318,18477.3352157662,8417.91557744218,8583.13629476673,17686.6433116122,17248.3120930776,8885.03834710536,20050.6774683948,19935.9491515463,25312.3953542185,16884.3274000536,16855.1197979486,21267.609767106,22232.0301187484,23328.9982239743,19476.8920096241,24259.5692420958,24288.9143400575,25791.7496260057,25645.9129671533,29411.5463534994,31860.5369922159,20003.4989968785,24743.7162282384,22959.6319717666,20250.0734996609,21772.0784887149,25526.136596734,25183.9775715414,18236.4007293532,20489.8851584331,22333.3530691771,29855.4337373034,30148.9328573178,23447.6856225484,23541.8909655115,21761.9367022439,22650.7508798973,26437.2488169793
