"","CH-LF_TF-9","CH-LF_TF-7","CH-LF_TF-21","CH-LF_TF-1","CH-LF_TF-24","CH-LF_TF-22","CH-LF_TF-23","CH-LF_TF-4","CH-LF_TF-3","CH-LF_TF-25","CH-LF_TF-5","CH-LF_TF-2","CH-LF_TF-6","CH-LF_TF-10","CH-LF_TF-19","CH-LF_TF-17","CH-LF_TF-18","CH-LF_TF-20","CH-LF_TF-16","CH-LF_TF-12/13/14/15","CH-LF_TF-11","CH-LF_TF-8","IX-LF_TF-1","IX-LF_TF-2/3","TX-LF_TF-5","TX-LF_TF-6/7/8","TX-LF_TF-2","TX-LF_TF-1","TX-LF_TF-3/4"
"CH-LF_TF-9",0,4779.84311387169,5890.41392882537,10149.8279328704,8930.22652292058,10380.5594547406,14479.7470423769,8646.46816098655,8664.90321330078,18725.3654080969,5551.01498093566,10148.5314936285,5087.83594434396,4414.63112388629,5036.7026697331,6568.06879408142,6909.5168305802,5059.78208718974,5326.27132376939,4231.77684249258,2557.27144571301,1500.28170205305,17623.6163384316,26198.9075453659,25545.6991679757,29305.7913971295,26444.8815208093,26767.4475352547,25956.8258098682
"CH-LF_TF-7",4779.84311387169,0,2217.16751282212,5403.59524372728,6002.73553423807,6357.41076309664,10276.538685875,5023.60035978141,6596.59620868891,15852.231919172,1081.0022043611,7607.53049954053,796.619402069517,8994.57805857919,9814.1579749141,10594.1299408158,11064.362441217,9827.08359154611,9487.80318471069,8072.84303384813,7303.72318112345,4228.21786524579,12975.3298708709,22312.0351955357,20807.2069539606,24594.4594384821,21872.1914552099,22075.7213506837,21304.1517293805
"CH-LF_TF-21",5890.41392882537,2217.16751282212,0,5481.80739715791,3788.22892719864,4520.33215145383,8600.38346407678,6603.59893386842,8630.4216120357,13684.259761237,2909.34204475332,9474.01446969275,2890.12898324862,9544.29474436406,10788.8178378285,12235.9613083963,12652.3952455461,10657.6804875527,11054.789111536,9739.85404794284,8423.92121758591,5836.45753280601,11849.1997167717,20462.8668195962,20510.2386926009,23574.4960799471,21967.7414905039,21918.2498412568,21247.4212609261
"CH-LF_TF-1",10149.8279328704,5403.59524372728,5481.80739715791,0,7193.64809741002,5250.75177920878,7372.02971131043,4166.07514872905,7179.20454934165,14803.0596192443,4621.37849140849,7038.46284251259,5081.99555758468,14395.7619642757,15157.8585783125,15369.3549322229,15903.0907427889,15209.2496269051,14402.5489454703,12909.9962515251,12623.4233605972,9366.13653915453,8399.26531986686,19151.6341626321,15404.654965763,19601.6653946694,16563.3973541563,16680.7695805326,15931.6668021514
"CH-LF_TF-24",8930.22652292058,6002.73553423807,3788.22892719864,7193.64809741002,0,2774.25807433148,6314.7915712898,9787.74844766182,12191.3882749519,9967.5293964434,6572.78259235731,12834.5711015129,6634.93668748036,11634.9063711855,13329.4365973345,15490.0087476248,15839.6177271776,13028.6315027904,14255.2187298351,13075.1029607452,11264.0673828967,9272.52318926501,10511.3932657495,17351.3573609925,20320.6948554929,22016.5518134122,22410.7821821884,21933.8507206117,21451.09056843
"CH-LF_TF-22",10380.5594547406,6357.41076309664,4520.33215145383,5250.75177920878,2774.25807433148,0,4106.1612050177,8709.60063654988,11490.43245358,9934.61859681207,6482.08537434689,11803.9061617349,6727.3209766618,13705.3808528218,15165.3902878632,16752.7517892116,17172.5252519506,14963.9083931937,15575.0187101606,14250.5754886086,12883.6691767588,10343.3510098663,7876.02150203203,15975.3651696831,17548.2823046261,19520.7480956259,19661.1436368592,19159.8925881679,18683.6502692329
"CH-LF_TF-23",14479.7470423769,10276.538685875,8600.38346407678,7372.02971131043,6314.7915712898,4106.1612050177,0,11477.9740476347,14463.4401938258,7916.51442975609,10203.4351360269,14410.4792097262,10521.9162644898,17763.0883824547,19266.3795816552,20799.6953664719,21234.2059298813,19052.8737269422,19638.8486601122,18286.7525972183,16988.9646560118,14382.4808448578,4589.65221471713,12101.4984248384,14959.5845278727,15729.0747504412,17689.2906325983,16733.3815156605,16479.8360078887
"CH-LF_TF-4",8646.46816098655,5023.60035978141,6603.59893386842,4166.07514872905,9787.74844766182,8709.60063654988,11477.9740476347,0,3013.38305471214,18606.1452145734,3954.02424189056,3099.33522133557,4260.57702888093,13050.2791986668,13208.3363313183,12411.2844635183,12992.86021915,13447.8954307493,11652.2594302769,10156.3665786657,10723.584864323,7399.13195902251,12381.8030678048,23316.9409826653,17832.5677897251,23087.5566401862,18151.8601057541,18796.6058300065,17862.2049802157
"CH-LF_TF-3",8664.90321330078,6596.59620868891,8630.4216120357,7179.20454934165,12191.3882749519,11490.43245358,14463.4401938258,3013.38305471214,0,21424.666455099,5722.62223058148,1585.00070203727,5815.01158461681,12803.0420866992,12442.9182972379,10735.3941114535,11339.2860810278,12831.8160609485,10227.0384892464,8830.35018222832,10173.5066950541,7196.91005844677,15333.044639943,26330.3238520243,19984.227317153,25758.1603899772,19815.1080311557,20755.4803990737,19733.1886163439
"CH-LF_TF-25",18725.3654080969,15852.231919172,13684.259761237,14803.0596192443,9967.5293964434,9934.61859681207,7916.51442975609,18606.1452145734,21424.666455099,0,16228.4412405526,21681.4314757448,16388.6860921479,20596.1389586128,22599.1754908047,25279.1421936649,25577.4718111858,22157.7009367968,24024.1515663927,22938.7021914443,20860.7996718999,19210.9621869151,11109.2786219825,9338.9746469834,20918.2591653275,18583.4691580667,24282.4999637508,22811.4735387071,22862.7378624049
