"","CH-LF-16","CH-LF-14","CH-LF-46","CH-LF-48","CH-LF-50","CH-LF-49","CH-LF-52","CH-LF-51","CH-LF-6","CH-LF-9","CH-LF-54","CH-LF-53","CH-LF-12","CH-LF-5","CH-LF-36","CH-LF-13","CH-LF-26","CH-LF-30","CH-LF-34","CH-LF-35","CH-LF-3","CH-LF-7","CH-LF-8","CH-LF-10","CH-LF-11","CH-LF-17","CH-LF-18","CH-LF-21","CH-LF-22","CH-LF-25","CH-LF-27","CH-LF-28","CH-LF-31","CH-LF-33","CH-LF-37","CH-LF-39","CH-LF-40","CH-LF-41","CH-LF-42","CH-LF-1","CH-LF-45","CH-LF-47","CH-LF-55","CH-LF-38","CH-LF-43","CH-LF-44","CH-LF-29","CH-LF-32","CH-LF-2","CH-LF-20","CH-LF-24","CH-LF-19","CH-LF-23","CH-LF-4","CH-LF-15","IX-LF-11","IX-LF-2","IX-LF-4","IX-LF-10","IX-LF-13","IX-LF-3","IX-LF-5","IX-LF-12","IX-LF-1","IX-LF-9","IX-LF-7/8","IX-LF-6","TX-LF-25","TX-LF-26/27/28/29","TX-LF-21","TX-LF-23","TX-LF-19","TX-LF-24","TX-LF-20","TX-LF-22","XO-LF-3","XO-LF-1","XO-LF-2"
"CH-LF-16",0,4875.64278342237,6083.3143082723,10215.27019886,9188.72258422144,10587.2227566911,14682.2118807922,13410.2579035133,8504.10658190468,8498.83794131191,19731.523973971,19019.3203572928,5627.7700129508,9968.08394825493,6735.34683225205,5088.34917816506,4468.32888099427,4945.88922087429,6303.18969504695,6857.11164770722,16191.167384136,7473.21657636121,6936.9145748799,9884.93081654349,9266.41089689987,959.691675978351,1962.98101884552,4773.09228514414,3859.0785345177,3933.14152760969,5139.72361916026,5280.8872342204,5543.29632887737,6266.11890055736,14167.3361215014,12528.3291732793,12823.8208181088,11381.3919231046,10976.3988607519,16776.0491422165,9733.6383808295,7518.42217052472,9777.07020827804,13187.5531242653,10357.1682676575,10028.6435820688,5013.45339224272,4912.50291516576,14486.171021504,3869.19354315327,3272.47638549199,3026.23514556912,2428.55612006365,13409.2571425099,1303.93093988716,27912.7660261968,17783.9632401521,21184.0471278463,27606.992122365,22655.4050599383,21873.4423486401,21600.958895623,33506.5740595336,23851.9593166724,27361.5418460178,26444.4106383417,24448.7483130435,25863.3757171805,29247.420656237,26450.6225667586,24237.2837762751,29211.3081878584,24276.5056282743,26802.3183798956,25823.1744174009,22894.1039553663,23295.9218469792,23399.0887171393
"CH-LF-14",4875.64278342237,0,2217.16751282212,5404.13754872754,6003.85935925506,6357.41076309664,10277.813037258,9175.30626116281,5017.85184613087,6596.34120326783,16265.1777833129,15860.8739415296,1167.51103646131,7567.18105633615,9025.08596204167,825.505556290678,8994.57805857919,9814.1579749141,10594.1299408158,11297.2809202342,11879.0788640543,4873.17104954115,4729.33566385515,8922.3781783488,8685.82651914201,5353.27501007436,5993.94303392634,8060.81442053946,7358.15757968733,8624.28671779063,9670.1056064977,10024.3340486733,10345.6621958808,10693.1667902722,18190.6305521347,16879.3398503885,16997.8487053438,15847.9520962862,15631.9988509481,11951.8412618335,14577.1054462049,2726.37405433613,8235.97841021957,17454.7577059562,15060.2709252548,14854.2670072822,9827.08359154611,9361.8287648844,9873.00275489451,7924.05379818654,8025.39301977684,7030.83353758492,7303.72318112345,9077.23784795634,4228.21786524579,23832.0663897679,12988.8189853255,16752.6495669091,23547.1260565545,18397.8637878335,17331.7668778482,17624.9757720697,29981.1199046514,19330.5921710633,23272.5405737425,22342.8982057422,20710.7086331387,21072.224701964,24392.4594253279,21872.1914552099,19705.9410716833,24438.0082891398,19648.6541998964,22075.7213506837,21135.4310666286,19355.2286820921,19648.3024966415,19838.2471780473
"CH-LF-46",6083.3143082723,2217.16751282212,0,5482.21749055519,3789.35788814572,4520.33215145383,8601.5377472141,7359.48118942012,6636.9918402106,8630.20458487842,14158.773794922,13693.8363604297,3007.90345425702,9432.51388586982,11131.9462769077,2944.49999650253,9544.29474436406,10788.8178378285,12235.9613083963,12868.2679042312,12466.3829319487,6844.1932075299,6802.54050781762,11043.4443873103,10853.6332171493,6792.946627333,7606.19239409946,9968.72714037346,7462.47861831322,9343.8807978247,10185.6989606242,10742.3906990248,11140.6551324621,12267.18786329,19993.292263726,18524.5050017455,18732.2911805818,17421.1222015216,17059.0314262486,11664.7156628073,15740.4146348208,2125.66264366529,6195.29478021026,19146.0600801353,16439.718200916,16058.30638045,10657.6804875527,10911.4379436805,10134.0060081545,9614.36253834668,9355.6508462354,8707.65798453656,8423.92121758591,9748.89020094153,5836.45753280601,21963.6291157336,11862.2527543878,15106.3432732838,21667.910469814,16622.9349910358,15790.9227744643,15694.7157623465,27915.871597758,19530.5829288763,21407.5567075721,20483.0404063871,18694.4744299542,20771.9577380086,23418.8430610368,21967.7414905039,19888.3632780103,24161.2859369657,19689.940085987,21918.2498412568,21060.4631948833,17276.0245155162,17600.6778704239,17766.118727535
"CH-LF-48",10215.27019886,5404.13754872754,5482.21749055519,0,7194.3699176481,5250.69840804273,7373.11322338085,6990.51753380152,4304.03272251009,7179.70253386272,14655.6142343198,14800.8530584753,4604.82924667874,7001.86697156173,12626.2756117462,5135.97245313117,14396.2989454415,15158.4231461747,15369.9397200935,16153.4868202584,7049.08693499473,5692.91042478722,6169.40745479367,9670.50424529664,9921.55421972603,10556.0452924539,11010.1334974617,12446.602775892,12645.5730348901,14025.6824021533,15070.5652590471,15422.903053999,15732.7908517474,15562.1058974145,22466.2378524622,21501.7750658464,21448.4527450839,20604.6386920838,20585.5818582823,6561.04512070544,19782.1988151687,3357.68598023483,10607.4107412052,21982.9686005862,20074.0101099689,20027.4764072916,15209.8061972051,14302.64798552,4652.63509446803,12735.1317573373,13213.2855405189,11908.3636067843,12623.9900185458,4461.99208434219,9366.71234145412,20702.709791517,8412.18115935702,13143.7365030478,20466.1821600395,15112.8391026143,13412.5776120213,14970.0101349769,27649.5845186468,14080.8628544725,20144.3947957233,19220.9064691948,18332.7145670816,15669.2243550743,19349.1858137488,16562.9145578964,14444.9566778081,19033.8708835957,14309.9050596858,16680.2426717892,15756.9822690824,17397.6987301723,17485.3524248163,17815.2246214583
"CH-LF-50",9188.72258422144,6003.85935925506,3789.35788814572,7194.3699176481,0,2774.13297539063,6314.84044237531,4846.82241779205,9856.84758494978,12192.2362073582,10567.9789042398,9977.79059684093,6666.28567212634,12793.7207258894,14851.5347039267,6695.70488381012,11635.8160357925,13330.4229500646,15491.1112197491,16033.3347526567,14038.5050856049,10380.3936831775,10433.8213904953,14683.0440472454,14555.0464782313,10042.0076914345,10961.590252413,13525.1823869636,9192.03370307112,11664.1639759177,12183.7661172159,12967.2119643105,13441.0658966629,15448.0222953528,23347.0245690665,21697.8785696884,22012.5434022835,20518.0415551704,19979.2804527844,11907.6385748072,18349.0300869319,4617.35142089971,3491.94931925391,22370.4469986749,19310.2151137841,18712.5414659084,13029.586749992,14098.3849120157,11390.0700910983,12976.2722475682,12366.8537225591,12081.8088040268,11265.1176105804,11627.1008841286,9273.65869252685,18799.6029773573,10522.1530199274,12509.917151827,18485.0247703858,13716.2388840843,13397.0440291082,12471.2469469115,24354.6532502109,20209.187093719,18254.9090397682,17348.9299732147,15260.1529710999,20569.5349382349,21948.7426532132,22410.8000272265,20528.0474006461,23922.9701144628,20100.4236285501,21933.7411222868,21237.8126745115,13722.7412555713,14109.7997064026,14224.49564442
"CH-LF-49",10587.2227566911,6357.41076309664,4520.33215145383,5250.69840804273,2774.13297539063,0,4107.24077694489,2843.49705500299,8811.01304447275,11490.3457551545,10099.0454092049,9937.66567495359,6550.50066876998,11763.3173500561,15348.4921355965,6797.43573622611,13705.3808528218,15165.3902878632,16752.7517892116,17388.5998349796,11644.5141917173,9720.93571000785,9945.99291437136,14056.9970732217,14090.3992781237,11313.0829846048,12119.6226033495,14395.614842801,11386.9719933335,13615.0918109166,14304.4280786054,14981.9064071477,15418.698598762,16787.4843794634,24481.6318781687,23043.5608773186,23239.3298213495,21941.0028981496,21561.3066010973,9172.55524636136,20162.227487338,3953.92186852665,6151.18594341528,23660.7903780038,20932.306146612,20495.4231168446,14963.9083931937,15431.7676899477,8933.21083341983,14120.924156391,13858.0330750746,13214.6043248318,12883.6691767588,9448.3335645085,10343.3510098663,17487.6898625475,7887.89773295057,10598.2752283131,17198.8473792497,12107.2282389275,11325.2085079532,11267.7183236642,23691.1123398506,17496.5161891742,16929.3250522213,16001.4445114804,14384.016100825,17797.8113791194,19420.3391942159,19661.1436368592,17808.1164932058,21154.7135392852,17351.6479770193,19159.8925881679,18469.2370760924,13109.2471521004,13354.6796873768,13578.3975433972
"CH-LF-52",14682.2118807922,10277.813037258,8601.5377472141,7373.11322338085,6314.84044237531,4107.24077694489,0,1480.53033090909,11608.1225918888,14464.8828258861,7448.05584451466,7905.94668876625,10256.032132855,14374.9801309722,19105.7303160394,10594.1889437228,17764.0288165325,19267.4152257634,20800.9082201836,21455.8056922046,11755.6606788501,12831.9702765224,13191.5420202916,16999.8832472749,17185.0237914924,15387.1776634781,16165.9874159016,18335.2197101965,15396.6415587073,17700.2054116805,18348.9437853986,19056.6643754809,19501.7820331635,20853.0659182723,28467.5669532365,27096.3463855501,27258.8808706479,26012.9074012516,25658.5633484942,7869.65390471215,24268.0482057498,7645.62199009908,8937.10329158487,27697.9186397863,25033.8899905361,24602.3171772339,19053.871823364,19500.2183249439,9115.64328510418,18151.3222259527,17954.5238831455,17247.4914207927,16990.0611501558,10366.0097707365,14383.6942565949,13638.5970139388,4597.92316217503,6506.33412358682,13370.9982466888,8133.63410587558,7220.56325618374,7645.15656986069,20307.8357259727,15901.0775799892,13076.8767358509,12144.7890135824,10972.8759093401,15186.9607919374,15682.9577394402,17689.7530869419,16149.348483627,18412.0372584149,15443.9851492044,16733.6557345526,16244.9358869529,10041.3809238512,10112.5244170121,10449.4411963467
"CH-LF-51",13410.2579035133,9175.30626116281,7359.48118942012,6990.51753380152,4846.82241779205,2843.49705500299,1480.53033090909,0,11054.9434678213,13859.6481533266,7681.23946136925,7834.45372584682,9279.6891393512,13922.6638065578,18122.6641859242,9569.20599107316,16360.3926770637,17913.3869717287,19594.6067457582,20225.963703868,12195.8227953297,12156.0913929153,12457.5143731666,16421.3382587241,16539.1050022085,14149.7048319204,14962.2915987592,17227.6169271182,13970.2009490162,16319.6844527123,16935.9785441168,17664.4958568316,18117.4913713911,19625.493452933,27323.3910685577,25883.9847136042,26082.8230792991,24775.7948902531,24376.5436272873,8709.83743134431,22924.9787152126,6652.86748979411,7489.88344663669,26503.4424209599,23740.2071229621,23266.9912103384,17678.2000197342,18269.1366482703,9482.82808815459,16964.375834645,16677.1630597357,16058.0240356345,15679.3406613699,10501.9521124158,13186.6684970139,14656.9464082085,5975.73797630007,7803.38609078187,14371.9428979289,9264.30478135864,8603.20078230153,8478.98681401773,21016.692955502,16922.1142559328,14097.6202903918,13168.3861865,11677.3104199912,16476.4820438319,17162.715965277,18824.2865896385,17189.9325745151,19740.5663643974,16551.3796106414,17983.2387232326,17441.3287294692,10534.6470512323,10708.5898162975,10980.6046840252
"CH-LF-6",8504.10658190468,5017.85184613087,6636.9918402106,4304.03272251009,9856.84758494978,8811.01304447275,11608.1225918888,11054.9434678213,0,2875.83440670968,18725.9136521221,18715.6443787138,3860.14863728642,2966.82793871432,8815.90842667545,4241.69378378589,12972.4095650231,13110.1826510659,12282.9237386957,13124.9836951929,7848.83427366504,1590.67840466153,2215.93411150547,5391.77645396115,5617.54155683746,8455.13873153433,8541.71053846852,9161.42292288052,11887.5113966884,12413.6430689869,13643.3039789289,13705.0353141377,13889.4548008254,12574.074273822,18764.1314071675,18082.4464661077,17886.9253889599,17333.4135743508,17545.9221789769,9669.94537954801,17181.0698789697,5243.063520086,12789.775022235,18473.9409781222,17129.9605315017,17354.0768508316,13355.6141681277,11469.0086653103,6711.82619611711,9842.32366737016,10846.5096494987,9163.60482723802,10630.6313172072,5193.41156817193,7312.45060192258,25006.6089209244,12541.2619342434,17437.1449905483,24770.1820202234,19416.6340579671,17666.7142968376,19239.4757439104,31913.7050134808,15613.4581909154,24448.3718675681,23524.9380110543,22580.9158934252,18226.9671476587,22924.2177141656,18265.8363977963,16007.7313095599,21452.2893806426,16200.1090231057,18921.8484957917,17853.8336124887,21570.001448504,21696.4822226604,22002.7328212452
"CH-LF-9",8498.83794131191,6596.34120326783,8630.20458487842,7179.70253386272,12192.2362073582,11490.3457551545,14464.8828258861,13859.6481533266,2875.83440670968,0,21506.0949597232,21427.4060031865,5623.29159840038,1565.44571360463,6645.98819372928,5775.79729903419,12802.6455560892,12442.5167855892,10735.0173464814,11596.9281839639,9468.60299695808,1812.58302925307,1876.62786196769,2568.70248328082,2742.64842413821,8129.81023626628,7873.00641732746,7595.7713240504,12267.0060784118,12133.8804476856,13433.9291498515,13270.0344807092,13346.7261806424,11107.6765805637,16480.0225622256,16066.7996994609,15743.679999737,15464.5641197072,15878.7267410843,12142.3961563858,15898.5005582741,7696.52295913878,14802.95175376,16371.0564889018,15555.5641339757,16006.2299710707,12831.4146902552,10205.6254391244,8997.96152107034,8633.35131504521,10051.5935843059,8161.39038911822,10173.1065515147,7210.98223719393,7196.52256288459,27881.8753008247,15346.1362593985,20306.0718849876,27645.8806350414,22291.8006452478,20516.0503090123,22103.3098191262,34772.7157241853,17138.8789625149,27323.7690612649,26400.550888738,25434.7739151717,20241.4960696574,25420.5921359453,19815.4553675601,17537.7843745586,23343.9597821405,17903.6869582522,20755.8023938305,19629.9687141664,24390.8620843586,24534.502368542,24830.0177663865
