"","CH-LTAzI_EA-24","CH-LTAzI_EA-25","CH-LTAzI_EA-26","CH-LTAzI_EA-27","CH-LTAzI_EA-28","CH-LTAzI_EA-3","CH-LTAzI_EA-29","CH-LTAzI_EA-30","CH-LTAzI_EA-31","CH-LTAzI_EA-32","CH-LTAzI_EA-33/34","CH-LTAzI_EA-35","CH-LTAzI_EA-36","CH-LTAzI_EA-4","CH-LTAzI_EA-37","CH-LTAzI_EA-38","CH-LTAzI_EA-39","CH-LTAzI_EA-40","CH-LTAzI_EA-41","CH-LTAzI_EA-42/43","CH-LTAzI_EA-44","CH-LTAzI_EA-45","CH-LTAzI_EA-46","CH-LTAzI_EA-5","CH-LTAzI_EA-47/48","CH-LTAzI_EA-49","CH-LTAzI_EA-50","CH-LTAzI_EA-51","CH-LTAzI_EA-52","CH-LTAzI_EA-6/7","CH-LTAzI_EA-53","CH-LTAzI_EA-54","CH-LTAzI_EA-55","CH-LTAzI_EA-8","CH-LTAzI_EA-56","CH-LTAzI_EA-57","CH-LTAzI_EA-58","CH-LTAzI_EA-59","CH-LTAzI_EA-60","CH-LTAzI_EA-61","CH-LTAzI_EA-62","CH-LTAzI_EA-63","CH-LTAzI_EA-64","CH-LTAzI_EA-65","CH-LTAzI_EA-66","CH-LTAzI_EA-9","CH-LTAzI_EA-67","CH-LTAzI_EA-68","CH-LTAzI_EA-10","CH-LTAzI_EA-1","CH-LTAzI_EA-11","CH-LTAzI_EA-13","CH-LTAzI_EA-12","CH-LTAzI_EA-2","CH-LTAzI_EA-14","CH-LTAzI_EA-15","CH-LTAzI_EA-16","CH-LTAzI_EA-17","CH-LTAzI_EA-18","CH-LTAzI_EA-19","CH-LTAzI_EA-20","CH-LTAzI_EA-21","CH-LTAzI_EA-22","CH-LTAzI_EA-23","IX-LTAzI_EA-2","IX-LTAzI_EA-1","IX-LTAzI_EA-4","IX-LTAzI_EA-5/4XO-LTAzI_EA-5/4","TX-LTAzI_EA-2","TX-LTAzI_EA-3","TX-LTAzI_EA-4","IX-LTAzI_EA-3/1TX-LTAzI_EA-3/1","XO-LTAzI_EA-1","XO-LTAzI_EA-2","XO-LTAzI_EA-3"
"CH-LTAzI_EA-24",0,607.709128996204,1450.00052759244,2502.13996814438,2852.54724063623,16029.0700121547,5150.24385194049,5866.43628972583,4457.51752293468,3828.63889366126,3045.09544344166,3578.58708242735,4486.92176855322,14919.3489255708,4694.05601553381,5907.3872572257,6575.76763058195,7086.88479108616,6807.93247825154,7470.37492226862,8472.98012500867,14511.4835105664,12748.5275670748,12471.3541222401,12851.3875827082,14866.4597250756,16632.9590057334,14802.3933615019,15055.7260617649,10383.4332761564,15354.9323050794,15672.5580588125,16844.1072275798,10278.1308648837,20604.3675398137,19256.3227237951,16555.3932116196,16885.1472027627,17513.7635360994,17738.3216215771,18997.4810979203,19110.8523425691,19217.857888504,18624.2376425336,17160.4337042885,6777.15920376805,20217.236010122,18175.1269937222,5597.8973049246,19206.1688273682,8045.91407486046,5123.12519814199,8064.44878627546,17777.5296706008,3584.58514663217,1457.11620687702,2239.64141571567,2697.63984707065,847.673245834851,487.462931505078,3327.62620885291,3530.22071990726,2818.58804952815,3819.29311234803,25838.8714444469,24713.760705542,24234.6802532538,35312.5027099146,29757.14748522,31421.3137304376,32834.5315169171,27042.5276416531,24109.2709558753,23894.044358135,22289.5786600207
"CH-LTAzI_EA-25",607.709128996204,0,882.054679935463,1904.38139520837,2395.97119439802,15934.087170524,4559.71005492477,5302.93398911056,3947.89147334361,3249.1023811794,2624.12445405566,3063.90184953155,4082.48606301601,14782.3854918794,4088.0598977169,5531.24577919893,6219.70987197031,6704.69516839166,6395.39925551487,6999.48373049508,7994.57221860624,14076.4400028272,12331.3967631178,12408.2461488754,12336.4476432481,14367.8221500315,16141.0539924833,14282.4926759433,14523.8518133266,10274.8194738382,14780.2918604345,15113.6728600058,16300.692271324,10349.6159154148,20030.9351246855,18687.9951142896,15972.3056897516,16304.3022735168,16939.5684857705,17154.0473309434,18420.6122755111,18531.8625415459,18635.6976558984,18037.6547401639,16567.4000057535,6904.25041028376,19631.8188278839,17568.7694949096,5589.07737171526,18966.5594750279,8358.44460610809,5597.83927867005,8598.94288192382,17532.1879277717,4162.47643670978,2001.64956394169,2806.8924921587,3160.18503688079,1455.38237294352,1078.23937179481,3582.68694926509,3613.0881384891,2812.66778312029,3721.54465704196,25528.9426593067,24489.9666171983,23724.1862803605,34715.513798962,29301.2428602432,30948.7228719776,32403.1104857856,26584.211175785,23523.954026305,23305.3197867296,21697.1353604001
"CH-LTAzI_EA-26",1450.00052759244,882.054679935463,0,1338.29014474006,2296.81307399376,15446.1144345126,3703.39417348729,4423.2272827015,3077.80121862922,2378.63943848286,1851.2678845623,2193.93059154451,3299.25762313049,14245.2154865298,3289.73227789997,4763.72000561788,5468.12232129444,5924.6679038352,5588.74362550175,6146.27858252158,7135.57277147325,13241.0555646498,11510.3153047674,11970.0383219443,11459.2754762806,13496.1935856523,15272.0104709919,13403.7402289464,13642.6902699688,9787.16648081848,13906.5562365416,14233.2995094386,15418.638147266,10103.2743023917,19156.531462341,17810.906921108,15105.3929263781,15435.285914318,16065.5887542962,16288.3494725334,17548.4430715373,17661.3011589224,17767.8911611651,17174.542447748,15713.629929511,6769.02000796346,18767.3522925043,16761.1230084982,5281.3142458442,18305.9899842935,8492.24424818132,6041.22044233886,9140.09649747144,16866.9458495035,4838.83175024688,2881.53855047254,3480.8467607097,3637.68387406931,2276.75090344005,1865.18037977092,3723.99505972761,3500.21021784982,2623.25048757098,3343.80889046419,24793.1182009202,23842.2625583699,22847.5712266335,33869.0873868163,28449.2549414683,30087.5021732155,31566.1083408686,25731.079532965,22659.3631410832,22444.8549448502,20842.2128684943
"CH-LTAzI_EA-27",2502.13996814438,1904.38139520837,1338.29014474006,0,1341.29232740235,16178.9741009085,2977.94910296021,3901.81626652311,3001.11466488936,1890.37403480759,2434.37476278276,2246.59148706444,3648.04821472359,14905.7993940878,2326.35623120402,5068.50867970369,5792.06749191344,6145.17801080227,5724.35509207713,6037.7102410401,6964.72447111607,13138.4896631392,11485.4819966844,12792.1176067059,11065.1324590159,13155.5184984397,14947.5202956099,12973.278440734,13156.3236654738,10556.5808261668,13189.9637530473,13608.082977765,14868.7696486528,11155.6047737906,18434.7976413435,17122.0051133539,14329.1022271665,14673.7024381459,15345.5963350199,15501.1285198129,16808.3845252224,16907.380876486,16992.6616273269,16369.0492517826,14859.5528837981,7938.23316790839,17967.8696386102,15744.9372659616,6331.42464521533,18714.6822599569,9791.4019683034,7370.745875244,10446.3343835602,17270.7111257599,6062.34577119227,3734.42774767279,4703.39056374267,4953.75952348133,3341.94419921326,2981.74270934829,5045.40411745952,4733.01481386962,3843.11484471029,4389.34753225244,25000.9533510201,24264.0490965287,22422.3197816275,32968.0506694642,28215.6411632003,29793.0567399448,31408.4848265873,25494.4695667073,21856.0602364755,21617.1117462563,19986.8591577401
"CH-LTAzI_EA-28",2852.54724063623,2395.97119439802,2296.81307399376,1341.29232740235,0,17510.4630600487,3967.89815970524,4978.55408647276,4294.21764051295,3115.22836587221,3752.81370966353,3579.03650442022,4988.45979687028,16244.3235227119,3161.00837908022,6401.12518063138,7124.13674855534,7461.19313789233,7026.20577228642,7264.19454514079,8154.97609007696,14321.2651610325,12707.2022937109,14105.4820515325,12097.5238064271,14209.9828271279,16004.5094096325,13969.4851405668,14111.3424309498,11879.3190437106,13948.1703793795,14448.2586332911,15765.6984916488,12374.914735011,19162.1131443787,17886.4770855695,15019.3632389493,15377.380508589,16087.8504382974,16173.2023383529,17523.6294603881,17607.9603916189,17670.5021348069,17016.913808399,15460.0344259502,9065.69778896429,18615.4609746332,16125.5687004761,7545.53079200239,20043.0066266552,10717.8718284341,7972.01593393487,10898.1618681188,18598.9387898415,6362.17682872536,3650.9011670185,5057.75594407204,5538.7188609216,3565.61375397822,3322.21889288871,5930.83443334479,5793.30680211877,4919.74395087977,5598.4559935685,26282.9633457673,25592.5967427028,23391.414968308,33462.1729719223,29301.8249538179,30840.488493267,32534.7677726911,26581.9282267628,22486.7285004475,22220.8895672973,20563.4385291838
"CH-LTAzI_EA-3",16029.0700121547,15934.087170524,15446.1144345126,16178.9741009085,17510.4630600487,0,14805.8422941476,13954.2428023243,13537.8801135391,14747.3364748764,13760.1250923215,14027.3209683681,12597.2705259263,1566.66318155765,15567.6719346558,11344.498135956,10677.0434433145,10587.0797485091,11118.269731385,11635.7617919835,11425.4677775373,9670.32213691491,9041.9574336993,3620.25876228546,12229.0956996032,12056.3564637892,12404.8715020888,12922.8182857037,13549.6379966352,5661.54042448955,16013.9837530738,15190.6930967039,14892.3044253131,6671.84961167908,18974.3569794015,17736.1742428834,17240.8797248549,17247.2469041805,17108.6113448632,18012.7700879377,18190.8141036061,18426.1481138122,18750.4043403826,18754.4554363074,18472.6691253723,9911.27582767961,19689.0427114639,21167.0516830767,10480.1208964699,5325.27903781981,11032.5008312376,14123.3545025217,15370.8994989623,4644.23781851626,15843.1651863231,17026.2369253928,15654.8820951928,14675.0740003852,16198.6653350042,15949.6760213739,13259.751553636,12615.0691275568,13216.208625024,12220.3511885887,12336.0722135489,9659.79664046495,17862.2273291599,33208.3774249074,20007.962223344,22086.7239074266,21874.0422231894,17817.6340787052,22489.4408066337,22656.6340273149,21847.2556242154
"CH-LTAzI_EA-29",5150.24385194049,4559.71005492477,3703.39417348729,2977.94910296021,3967.89815970524,14805.8422941476,0,1050.51468521563,1650.07613283047,1345.4982024132,2894.01762621843,2001.63387370378,2769.42765192641,13392.24696568,882.873242974754,3543.41500275777,4149.72328217037,4229.5187944654,3706.12126564359,3538.84498781258,4307.90016907349,10414.4297974385,8871.07339592303,11736.1854697983,8133.92772003852,10243.0205917031,12037.5517791437,10020.5862853111,10187.3973826177,9460.92759578105,10244.0647029956,10634.825676196,11891.0346590851,10857.1267855153,15494.5137523772,14167.4695414966,11417.0514659632,11752.5995880492,12402.8492650437,12597.1090776423,13876.3896899995,13983.0440338456,14081.3284566298,13478.6544617231,12010.405257772,8275.44520304387,15073.5787316218,13114.5203007253,6420.17371756093,16632.7842082322,10700.1391261942,9172.26223925035,12370.9650752534,15198.1867176992,8401.39007245675,6548.94303290639,7077.29182975753,6986.9417179815,5979.69430635132,5564.83032563622,6477.9723912928,5723.81416420242,4973.82815486956,4846.02880700452,22561.6969221163,22156.9694901134,19460.932190201,30166.4905185019,25333.976080491,26876.7822402622,28573.772933071,22614.1656439605,18965.6367904271,18745.6099246799,17139.3541321095
"CH-LTAzI_EA-30",5866.43628972583,5302.93398911056,4423.2272827015,3901.81626652311,4978.55408647276,13954.2428023243,1050.51468521563,0,1665.54804133472,2075.46197938264,3215.32826101982,2388.41219782293,2574.70675392254,12512.5461193132,1932.53156720833,2904.15817696394,3405.57717799257,3374.84120901408,2841.27772614821,2517.9997385956,3258.09826230377,9370.23955500981,7820.55871304707,10991.0233440872,7163.39185052027,9257.73541579788,11051.034377632,9074.38577205645,9271.50004237947,8731.37173448281,9495.70641173679,9810.92311849,11015.7668312419,10357.2993507524,14741.9595243208,13390.1263470622,10720.5537545356,11041.1999087122,11653.0313490061,11907.3314581054,13141.2338091986,13259.6910171185,13376.723412803,12803.7617248277,11390.4830984526,8049.37199390174,14389.012298338,12685.5027011143,6181.32730185691,15627.228787928,10616.7791867126,9449.29552169854,12645.9922278493,14196.2474265157,8906.80823850506,7304.36162998088,7627.00822606952,7410.37650131625,6665.40631845431,6241.73667932522,6709.06555508435,5844.9944104638,5199.85802596075,4850.92206275179,21514.1458841162,21142.5611325431,18526.0704635894,29556.2724331341,24334.0127173396,25896.1278225793,27556.463305087,21613.2773072219,18277.7583429633,18080.1950386973,16503.4610191965
"CH-LTAzI_EA-31",4457.51752293468,3947.89147334361,3077.80121862922,3001.11466488936,4294.21764051295,13537.8801135391,1650.07613283047,1665.54804133472,0,1231.45332364573,1580.83957800407,884.191119732961,1129.02656352231,12183.6324509092,2133.25701513346,2202.42702538595,2904.00907146163,3178.32813840224,2732.11030496946,3091.77030641296,4066.19455608702,10208.3766162504,8516.51033982205,10329.5955926885,8394.16706722263,10419.9681749139,12194.4061804596,10344.9341380678,10603.9904630213,8051.85976311398,11038.3180741762,11277.4871509709,12406.8449153748,9258.38780455625,16265.8227116005,14893.7345494041,12297.1994361551,12606.7643355253,13186.8161462743,13485.4209034752,14683.3859890889,14810.9539177438,14941.6498578689,14389.4175561913,13007.8023382155,6626.23784966037,15965.821828906,14349.4340767796,4770.1000507494,15770.5066987093,9081.49566502249,7783.98778222124,10981.3731106885,14326.8439307937,7289.61857627624,5914.60245470247,6040.53439738813,5767.14913047599,5203.63564518156,4778.61402049673,5045.06796611573,4199.3162998815,3534.77875281721,3247.65724583272,22000.3165247194,21318.9511204054,19779.4284005769,31165.0324948116,25382.1820644459,27011.678500162,28520.9052063481,22662.8841643187,19847.3282589624,19664.5909314837,18106.2754554866
"CH-LTAzI_EA-32",3828.63889366126,3249.1023811794,2378.63943848286,1890.37403480759,3115.22836587221,14747.3364748764,1345.4982024132,2075.46197938264,1231.45332364573,0,1713.28909401566,895.681491231341,2192.30663946336,13404.7049958913,1242.64145527287,3428.68675002477,4134.6046609301,4401.49377405031,3939.9416002856,4157.73056214592,5075.15214046297,11249.2464691741,9605.89561509047,11498.0295973332,9213.00138142199,11290.0647789928,13079.4257327856,11136.5908787617,11343.8735805578,9224.89132318702,11531.2492458286,11877.3845919623,13091.0910763985,10259.7660263164,16782.0180313109,15441.3038676059,12726.7547291825,13056.8823221082,13690.5591289095,13909.8007773447,15171.6232382026,15283.4769120504,15389.2941424226,14796.6278025557,13342.0410027721,7395.69357558913,16389.0078484528,14457.9704693209,5595.59253443719,16991.6041177267,9657.97568334984,7898.4954491267,11088.918898257,15548.3608983149,7059.55113573806,5248.91002323467,5732.3948110413,5664.98574989415,4649.02745397433,4230.93892812771,5247.4585764816,4581.16439970075,3771.67587598396,3830.98512200218,23169.3357132419,22538.8659171813,20589.658462616,31502.9471132045,26334.2364911293,27922.9784756426,29519.6327690044,23613.0962342806,20280.9554988371,20067.9446910452,18469.0520413303
