"","CH-MF_LF-7","CH-MF_LF-9","CH-MF_LF-6","CH-MF_LF-10","CH-MF_LF-4/5","CH-MF_LF-1","CH-MF_LF-8","CH-MF_LF-2","CH-MF_LF-3","IX-MF_LF-1","IX-MF_LF-2","IX-MF_LF-4","IX-MF_LF-3","TX-MF_LF-5","TX-MF_LF-6/7","TX-MF_LF-1","TX-MF_LF-4","TX-MF_LF-2/3","XO-MF_LF-1"
"CH-MF_LF-7",0,7359.48118942012,6575.29635098602,13678.4330290039,9216.2000567645,11915.0506486889,2125.66264366529,9922.65357200551,9749.53014203505,11538.8337875281,15694.7157623465,21467.830785076,18479.9672969836,20510.1342514268,23381.415565733,21967.4783877726,19919.6075032579,20935.0903398108,17857.5919304086
"CH-MF_LF-9",7359.48118942012,0,10995.1189623826,7860.50242438226,13634.0477772375,8937.9527798847,6652.86748979411,9124.17695932171,10502.2320856944,5865.71126380543,8478.98681401773,14130.3274204444,11469.4282500581,16243.4347080616,17048.621002961,18824.3015344492,17194.2581757296,17384.8330660712,11104.5187854171
"CH-MF_LF-6",6575.29635098602,10995.1189623826,0,18663.8103711364,2768.81395738758,9828.56936701951,5178.31910022186,6733.92457146867,5197.55158933077,12060.6596942902,19184.0986581181,24282.97851838,22324.3701397688,17958.7140509441,22978.7140725575,18274.4355442731,16067.8753322402,17681.9234418658,22075.3769376421
"CH-MF_LF-10",13678.4330290039,7860.50242438226,18663.8103711364,0,21372.8215931544,15718.6147838984,13824.3643794463,16699.4873002142,18275.8345920213,11366.1898631779,5158.7647124893,10430.3663766781,6020.74509227321,20977.914610676,18584.582251405,24338.7571315979,23152.0644625782,22680.88094907,4815.73712986284
"CH-MF_LF-4/5",9216.2000567645,13634.0477772375,2768.81395738758,21372.8215931544,0,11079.5282378841,7940.20218516372,7892.09986116541,5868.79894591787,14043.1830179092,21660.4110999459,26557.195444414,24838.2919888558,18518.0576786423,24298.2128117755,18233.0026403369,16015.5539175994,17899.8513641602,24658.1196417157
"CH-MF_LF-1",11915.0506486889,8937.9527798847,9828.56936701951,15718.6147838984,11079.5282378841,0,9866.71667662221,3190.18189165876,5273.7358337683,4625.92012280753,13542.2624868818,16982.7369958023,16698.8803381377,8629.46133194399,13232.1051772676,10254.5287657851,8403.73586560034,9068.53256658053,17093.8004912516
"CH-MF_LF-8",2125.66264366529,6652.86748979411,5178.31910022186,13824.3643794463,7940.20218516372,9866.71667662221,0,7797.33496672946,7680.21512296349,9917.49209247342,15131.3059010495,20699.7558251567,18097.8401274137,18486.5069926974,21718.8780119874,19858.8150097132,17801.4174976718,18850.3148792381,17640.0535735111
"CH-MF_LF-2",9922.65357200551,9124.17695932171,6733.92457146867,16699.4873002142,7892.09986116541,3190.18189165876,7797.33496672946,0,2169.26136451055,6779.25559194008,15425.258069634,19515.5022048075,18653.5725988053,11305.7451389464,16420.9992875892,12142.8530526018,10036.5117378333,11282.1252257786,18831.9618806088
"CH-MF_LF-3",9749.53014203505,10502.2320856944,5197.55158933077,18275.8345920213,5868.79894591787,5273.7358337683,7680.21512296349,2169.26136451055,0,8887.25095839715,17370.9113816995,21630.0310015751,20604.8881738415,12829.2148067053,18445.507214534,13101.5988041119,10906.3405996652,12484.6813304406,20705.249824585
"IX-MF_LF-1",11538.8337875281,5865.71126380543,12060.6596942902,11366.1898631779,14043.1830179092,4625.92012280753,9917.49209247342,6779.25559194008,8887.25095839715,0,8919.56456635946,12743.065630293,12091.9382229326,10422.3501418346,11842.652355187,13268.0871175361,11873.0297219838,11724.5225048365,12468.1477809801
"IX-MF_LF-2",15694.7157623465,8478.98681401773,19184.0986581181,5158.7647124893,21660.4110999459,13542.2624868818,15131.3059010495,15425.258069634,17370.9113816995,8919.56456635946,0,5966.45838943473,3234.0407194478,16976.6463589944,13574.8716764506,20644.1074792026,19796.084638298,18915.7676611071,3601.95210788426
"IX-MF_LF-4",21467.830785076,14130.3274204444,24282.97851838,10430.3663766781,26557.195444414,16982.7369958023,20699.7558251567,19515.5022048075,21630.0310015751,12743.065630293,5966.45838943473,0,4642.72782502965,17514.8325903273,11476.8817766309,21477.2184486424,21235.5096080526,19740.7022964554,6140.32239726576
"IX-MF_LF-3",18479.9672969836,11469.4282500581,22324.3701397688,6020.74509227321,24838.2919888558,16698.8803381377,18097.8401274137,18653.5725988053,20604.8881738415,12091.9382229326,3234.0407194478,4642.72782502965,0,19425.1293575655,14876.359130565,23229.7999831645,22557.7527075583,21482.5348836007,1509.38151390634
"TX-MF_LF-5",20510.1342514268,16243.4347080616,17958.7140509441,20977.914610676,18518.0576786423,8629.46133194399,18486.5069926974,11305.7451389464,12829.2148067053,10422.3501418346,16976.6463589944,17514.8325903273,19425.1293575655,0,8129.02543839819,3976.59197213104,4388.19573837504,2287.78697632168,20407.9391866787
"TX-MF_LF-6/7",23381.415565733,17048.621002961,22978.7140725575,18584.582251405,24298.2128117755,13232.1051772676,21718.8780119874,16420.9992875892,18445.507214534,11842.652355187,13574.8716764506,11476.8817766309,14876.359130565,8129.02543839819,0,11815.9710736451,12511.8820229682,10329.6860448813,16222.466637647
"TX-MF_LF-1",21967.4783877726,18824.3015344492,18274.4355442731,24338.7571315979,18233.0026403369,10254.5287657851,19858.8150097132,12142.8530526018,13101.5988041119,13268.0871175361,20644.1074792026,21477.2184486424,23229.7999831645,3976.59197213104,11815.9710736451,0,2220.29765087116,1751.5357821798,24144.5672701534
"TX-MF_LF-4",19919.6075032579,17194.2581757296,16067.8753322402,23152.0644625782,16015.5539175994,8403.73586560034,17801.4174976718,10036.5117378333,10906.3405996652,11873.0297219838,19796.084638298,21235.5096080526,22557.7527075583,4388.19573837504,12511.8820229682,2220.29765087116,0,2408.63600570569,23360.923667784
"TX-MF_LF-2/3",20935.0903398108,17384.8330660712,17681.9234418658,22680.88094907,17899.8513641602,9068.53256658053,18850.3148792381,11282.1252257786,12484.6813304406,11724.5225048365,18915.7676611071,19740.7022964554,21482.5348836007,2287.78697632168,10329.6860448813,1751.5357821798,2408.63600570569,0,22406.1301921519
"XO-MF_LF-1",17857.5919304086,11104.5187854171,22075.3769376421,4815.73712986284,24658.1196417157,17093.8004912516,17640.0535735111,18831.9618806088,20705.249824585,12468.1477809801,3601.95210788426,6140.32239726576,1509.38151390634,20407.9391866787,16222.466637647,24144.5672701534,23360.923667784,22406.1301921519,0
