"","CH-MF-1","CH-MF-9","CH-MF-11","CH-MF-2","CH-MF-8","CH-MF-15","CH-MF-6/7","CH-MF-3","CH-MF-10","CH-MF-12","CH-MF-13","CH-MF-14","CH-MF-4","CH-MF-5","IX-MF-1","IX-MF-2","IX-MF-3","IX-MF-4","TX-MF-15","TX-MF-14","TX-MF-13","TX-MF-19","TX-MF-18","TX-MF-16/17","XO-MF-1"
"CH-MF-1",0,14703.3822794013,13309.2243642137,744.673838766626,10801.3509213414,20256.1910110648,10909.2080739973,4533.57127144425,12758.8168797046,17578.952375718,21256.4625209689,21149.9528482453,4977.56092945661,5611.1673983771,9022.51064790877,17891.5997707921,20755.2699300039,20980.8193868214,7763.26608707156,13167.2878419685,14814.8265843593,7479.39530123459,5278.66156289614,6992.86288700361,21476.6586104842
"CH-MF-9",14703.3822794013,0,7298.59415546815,14092.1622388652,6412.06933229263,13689.6825041436,9079.77553720688,11746.8459571989,1945.03710480315,6213.52288474774,9399.26982476477,12277.7080784996,9738.79693565192,9658.77685799189,11211.6189165169,15657.9377612235,21407.8750926994,18460.2593064991,20345.2896508666,20388.2090669321,23172.8559584603,21792.0540918539,19742.798960299,20763.2142877256,17851.5502372362
"CH-MF-11",13309.2243642137,7298.59415546815,0,12996.1054515194,10983.6167935375,7857.34360171574,13634.0477772375,8937.9527798847,6657.05650993385,5026.28978854211,8262.08281686262,7965.31715771376,9118.0641096537,10644.4951742511,5725.48630647815,8478.98681401773,14121.5883350607,11469.4282500581,16243.4347080616,14068.7659866626,16923.9994780807,18824.3165197332,17194.2581757296,17384.8330660712,11104.5187854171
"CH-MF-2",744.673838766626,14092.1622388652,12996.1054515194,0,10070.5882832344,20095.5228503584,10166.4935295551,4415.61222062418,12149.9525373608,17148.8767827211,20848.8689660275,20888.1040623994,4408.92736334074,4889.55986909102,8970.3060273641,17912.3160741049,20972.6499913239,21035.9553474941,8470.93476889345,13637.0518288476,15371.6343381523,8211.15852327406,6004.34432411599,7737.05691570328,21481.5624657237
"CH-MF-8",10801.3509213414,6412.06933229263,10983.6167935375,10070.5882832344,0,18644.9327504097,2782.95507284795,9828.8137124663,5161.2672337196,12167.4323315779,15662.4579003281,17895.6033661892,6734.08490647711,5202.38589282759,11865.98817993,19174.2069643736,24264.3983280084,22314.0578777522,17962.218584788,20491.2226221211,22969.3967369297,18280.5809217148,16074.6890724919,17687.269436031,22064.3470196075
"CH-MF-15",20256.1910110648,13689.6825041436,7857.34360171574,20095.5228503584,18644.9327504097,0,21367.0659059803,15722.7030251245,13819.7886488494,7920.63702744814,7465.87079463732,3037.91765794296,16694.2167730261,18418.5817925608,11358.0146630249,5176.41215501716,10446.6406978328,6039.3437429982,20988.5561253752,15829.3174031591,18391.1312000207,24348.114382291,23159.844896946,22690.3986371924,4833.46229579963
"CH-MF-6/7",10909.2080739973,9079.77553720688,13634.0477772375,10166.4935295551,2782.95507284795,21367.0659059803,0,11079.5282378841,7937.5973148748,14943.2562761896,18407.7029255504,20673.7656219505,7892.72619581236,5799.38377478007,13866.3908655135,21660.4110999459,26546.3962156949,24838.2919888558,18518.0576786423,22003.8239203399,24316.9152143331,18232.4263147058,16015.5539175994,17899.8513641602,24658.1196417157
"CH-MF-3",4533.57127144425,11746.8459571989,8937.9527798847,4415.61222062418,9828.8137124663,15722.7030251245,11079.5282378841,0,9869.36024301969,13501.5331820373,17074.7683818921,16668.8422952764,3189.86922738804,5370.61153624018,4564.4781482142,13542.2624868818,16970.8510595399,16698.8803381377,8629.46133194399,10948.6466080683,13244.0962047674,10254.3872247735,8403.73586560034,9068.53256658053,17093.8004912516
"CH-MF-10",12758.8168797046,1945.03710480315,6657.05650993385,12149.9525373608,5161.2672337196,13819.7886488494,7937.5973148748,9869.36024301969,0,7006.340089837,10534.5350629783,12814.1370413932,7793.86951911224,7776.00281670244,9720.29827769154,15135.5020353639,20694.765469292,18101.9673574524,18489.2500178143,18914.9444445509,21657.1013043872,19860.6009414754,17803.309760868,18852.6445352558,17644.0832496198
"CH-MF-12",17578.952375718,6213.52288474774,5026.28978854211,17148.8767827211,12167.4323315779,7920.63702744814,14943.2562761896,13501.5331820373,7006.340089837,0,3754.70272091407,6101.10845260526,12879.4970016482,13793.8000353189,10742.9765177634,11163.9938429932,17123.7346173482,13419.7289552145,21223.7761817929,18864.7755884975,21714.6259860322,23638.0808923647,21892.9224393349,22266.413528923,12520.4849007321
