"","CH-TF_CL-8","CH-TF_CL-5","CH-TF_CL-7","CH-TF_CL-18","CH-TF_CL-17","CH-TF_CL-19","CH-TF_CL-3/4","CH-TF_CL-20","CH-TF_CL-22","CH-TF_CL-21","CH-TF_CL-1","CH-TF_CL-2","CH-TF_CL-6","CH-TF_CL-10/11","CH-TF_CL-12","CH-TF_CL-13","CH-TF_CL-16","CH-TF_CL-14","CH-TF_CL-15","CH-TF_CL-9","IX-TF_CL-3","IX-TF_CL-2","IX-TF_CL-1","TX-TF_CL-2","TX-TF_CL-1"
"CH-TF_CL-8",0,4276.97577191886,5323.46107048487,3811.44372453176,4443.20335689908,8424.65447372351,6525.07949419957,11076.4887044895,13734.032626886,12165.1579316407,10565.342301107,11503.1286957568,5660.84442520334,10065.1959920954,7969.52534278668,9126.86078110318,12545.3044695235,8963.12075189322,9067.6659297227,8116.25293585732,26463.3449201204,12917.9128172506,21618.2269688841,20428.1665169674,22979.0754724603
"CH-TF_CL-5",4276.97577191886,0,3190.78027768619,7560.96956334949,6549.66817669651,9671.10250527304,2319.05376541331,14782.7653835669,16626.1726156157,15664.8635076982,8255.19643341842,7389.60486563718,1584.83912362465,12847.840898603,10363.1208535053,11344.3740745187,13483.5344119127,9896.71109476417,9744.6224251389,9543.04396831704,28446.6592790758,12551.0220766262,22883.7302923316,18131.0658326802,20458.8456188397
"CH-TF_CL-7",5323.46107048487,3190.78027768619,0,7137.95883848057,4980.55118890048,7063.54282877052,4484.29454201864,13699.6812881587,14682.1903667308,14307.5411874358,5404.26615065074,6994.87072255346,2660.97357373868,15148.9674840575,12825.1992257941,13901.8931824948,16485.050770531,12852.6201064522,12757.0071393424,12354.2736873176,25771.5078595366,9373.41530943425,19964.0651871887,15363.3898536753,17822.5601662658
"CH-TF_CL-18",3811.44372453176,7560.96956334949,7137.95883848057,0,2948.41506785705,6327.06635776827,9878.98072160236,7303.64950040402,10037.9301297478,8354.85942475337,11321.1155833969,14070.33204229,8597.16276645922,11353.651232123,9922.54810574933,11098.6012906771,15209.4117908089,11864.0773958484,12095.3575951504,10804.9321980482,23056.330011651,11678.5394834346,18690.0713831617,20518.9343725745,23217.9604846941
"CH-TF_CL-17",4443.20335689908,6549.66817669651,4980.55118890048,2948.41506785705,0,4003.84337938141,8711.10870111814,8719.77989119806,10076.9684409439,9357.21771776892,8462.22675781706,11942.4917486678,7094.89134266298,13796.2434242345,12039.7719846577,13224.0002571468,16932.149536982,13385.1643634325,13506.0920722904,12484.9787881105,22232.287961699,8947.4516353627,17192.3639675341,17573.0674171685,20269.7294709971
"CH-TF_CL-19",8424.65447372351,9671.10250527304,7063.54282877052,6327.06635776827,4003.84337938141,0,11481.564431229,8808.44421113954,8079.21516588362,8763.96489873442,7751.1197354519,13119.0035712,9679.47046136993,17628.0788481925,15992.2181769525,17177.9239847336,20935.8673673849,17382.2921503389,17491.9780305977,16488.8184610042,18783.837822278,5540.42669773605,13343.4570767776,15128.9841316725,17893.6915258431
"CH-TF_CL-3/4",6525.07949419957,2319.05376541331,4484.29454201864,9878.98072160236,8711.10870111814,11481.564431229,0,17082.8994407301,18766.542493231,17934.5885541158,8446.32727280889,5728.32268927953,1823.37036249892,14171.9772688101,11598.6812787748,12448.5415001285,13844.4855122606,10454.1680976183,10181.8456903051,10372.1371706525,30238.6234158702,13604.8856533729,24439.8570163451,17902.2046891653,20033.5480832112
"CH-TF_CL-20",11076.4887044895,14782.7653835669,13699.6812881587,7303.64950040402,8719.77989119806,8808.44421113954,17082.8994407301,0,4800.72991189378,1550.71747676994,16342.902231779,20650.7287667765,15647.1957982242,15375.6182457213,15032.6074062204,16046.1262933278,20651.7539897351,17848.0757025006,18215.5175294938,16634.8390162384,17951.9646081023,13746.0130152441,15497.2566732392,23681.4629844553,26444.1637637991
"CH-TF_CL-22",13734.032626886,16626.1726156157,14682.1903667308,10037.9301297478,10076.9684409439,8079.21516588362,18766.542493231,4800.72991189378,0,3360.46876534981,15711.159113957,21156.0443813148,17085.7782593931,19819.4611467433,19159.5288465228,20247.4332077249,24732.7297848034,21650.1813319313,21947.2046547817,20499.0695144421,13407.7879264019,11447.726685827,10735.3545061003,21238.8874442881,23932.0272364421
"CH-TF_CL-21",12165.1579316407,15664.8635076982,14307.5411874358,8354.85942475337,9357.21771776892,8763.96489873442,17934.5885541158,1550.71747676994,3360.46876534981,0,16470.1194653389,21167.8258883974,16414.6835140704,16914.6459838859,16521.0640961495,17549.6789660832,22138.5154000755,19274.1039223098,19626.5334083842,18072.1150101607,16402.135594314,13300.6426108823,14095.6996264269,23256.7422209119,26004.6672218452
