"","CH-TF-25","CH-TF-33","CH-TF-32","CH-TF-28","CH-TF-3","CH-TF-22","CH-TF-55/56","CH-TF-11","CH-TF-19","CH-TF-8/9","CH-TF-12","CH-TF-6","CH-TF-59","CH-TF-57","CH-TF-58","CH-TF-16","CH-TF-61","CH-TF-15","CH-TF-63","CH-TF-62","CH-TF-1","CH-TF-5","CH-TF-20","CH-TF-48","CH-TF-14","CH-TF-2","CH-TF-18","CH-TF-54","CH-TF-29","CH-TF-30","CH-TF-51","CH-TF-4","CH-TF-7","CH-TF-10","CH-TF-13","CH-TF-17","CH-TF-21","CH-TF-23","CH-TF-26","CH-TF-27","CH-TF-31","CH-TF-36","CH-TF-52","CH-TF-60","CH-TF-45","CH-TF-46","CH-TF-47","CH-TF-49","CH-TF-50","CH-TF-53","CH-TF-43/44","CH-TF-39/40/41/42","CH-TF-37","CH-TF-38","CH-TF-35","CH-TF-34","CH-TF-24","IX-TF-1","IX-TF-4","IX-TF-5","IX-TF-6","IX-TF-8","IX-TF-9","IX-TF-12","IX-TF-7","IX-TF-13","IX-TF-2","IX-TF-3","IX-TF-10/11","TX-TF-43","TX-TF-51","TX-TF-49/50","TX-TF-45","TX-TF-37","TX-TF-39","TX-TF-42","TX-TF-46","TX-TF-44","TX-TF-38","TX-TF-40/41","XO-TF-1"
"CH-TF-25",0,1938.21508947951,1765.91099142397,2165.07214736839,12984.8053450142,4779.6993227271,5918.71823451633,11537.7936123329,7962.84705574744,9532.58397462609,11076.8922711646,10954.8049914454,8858.83719291437,10380.3059000032,14430.0833637169,8644.3219828912,14863.877940371,8739.80066761851,18640.0203956056,16553.6038416759,15594.9648330297,11142.2851552331,5550.91593951203,10554.4674140993,10121.3323899616,14312.9606628769,9020.54452781821,5514.40624471403,3082.7732531527,3882.96619840811,6583.01104091555,11751.4595768355,9323.05150161029,10052.7022757608,10597.9241083931,9415.33848746332,5087.81080359186,2112.9881825681,3862.12871250283,5340.5998929171,4414.64295804617,2573.86668660116,5036.85933037296,14275.1207700378,6568.37390682917,7247.58764679496,9349.8923851706,10555.8138416842,6909.81223124651,5059.89545942224,5446.8182890717,4037.58454245139,3032.87440897773,3227.70944730679,2557.47098690638,2183.22016883269,1500.46380933001,21088.3265754207,17624.8457935213,24710.9473876028,24768.0770639944,23881.7779632146,23998.3354113032,28568.4361301338,25101.9694780916,32342.6335007183,18839.1199872265,19128.9343479726,25943.0199385754,25545.591265188,26452.7069938427,29037.4935418328,30842.596624202,27858.877954633,26429.3528495725,24651.7629207002,33144.1761572196,31840.4096942716,26767.539646149,25956.7462617834,21384.552137554
"CH-TF-33",1938.21508947951,0,875.166610607699,1461.91750959204,14601.8668017262,6717.2742502784,7773.52951088688,13160.6527151204,9863.71417973105,11457.2986985552,12644.1027192278,12890.3700616868,10471.359567142,12188.9565298023,16245.9499292738,10359.0667959186,16018.9191139871,10103.7891652102,20023.2415589036,17759.3172520811,17519.1704750011,13067.6785936953,7466.4837730844,10119.1405957467,11532.5400448482,15979.3808420199,10869.6947626353,4276.08717791364,2055.14641148021,2313.87587359181,4773.67262235204,13678.9651620718,11260.9616159348,11954.3965096927,12131.6162206713,11190.5327242192,7003.44348436004,4048.95739177808,4038.30427988655,4533.80691873905,2797.32281098751,1538.88595277338,3098.94321894236,15543.8971118941,5256.50039999174,6276.34471217506,9011.91187506618,9356.47348927734,5476.20663159655,3148.63806631483,4112.72985846933,3231.05766151475,1601.40616907,2089.00670848578,725.544600630337,369.515964353827,2963.27505791625,22989.8636462652,19537.6643083776,26506.1129021364,26703.563274518,25626.2441493035,25590.2339908566,30297.2969640236,26941.5894348557,33850.1096808121,20755.87586721,21034.8022967118,27634.7318153964,27463.7993795019,28369.2578840219,30962.7095996093,32780.1587659329,29763.6611242265,28288.2192820829,26506.3703857786,35073.3951104007,33778.119158806,28667.9401610037,27843.4476067935,22683.8692436857
"CH-TF-32",1765.91099142397,875.166610607699,0,633.783344370651,14731.8695395793,6422.96533324831,7253.3894207319,13285.3656667909,9684.10996310533,11213.6174235647,12809.0439599513,12514.39630278,9766.59932045631,11600.2576575592,15654.265931454,10406.9614032248,15175.1216828814,10390.1935886107,19221.0689381718,16922.0601209056,17269.5619350844,12818.903961172,7260.52100754331,10960.002347763,11795.349254881,16070.7699549886,10773.4008494688,3838.3411777699,1435.27310907781,2117.13348493824,5467.03757423861,13421.5452785421,10941.1044673982,11769.6379501743,12318.9621509571,11181.0724326651,6799.30292441131,3742.21667738737,3167.81835517889,3885.14980059448,2649.29579011766,2381.36694601558,3567.13011919492,14720.220884418,6118.39789066806,7151.1419057531,9836.77717543365,10221.2237438371,6319.03941344791,3442.9053269253,4977.12994664859,4083.40180349325,2475.71113643197,2958.21296143801,1550.39470623084,1237.88957361578,3118.67786634087,22497.5718446384,19071.6706594061,25885.9226177301,26395.0676947364,24969.0087482964,24852.588941264,29627.3736135019,26362.3544009646,33077.3772717135,20298.0580313228,20552.5281241621,26944.1053360114,27228.0935056837,27905.8178395729,30522.7984774328,32407.5529050964,29561.9989642395,28171.1917590369,26396.076601416,34646.5456747867,33407.6186457249,28476.3443442741,27679.6168409761,21860.7951889754
"CH-TF-28",2165.07214736839,1461.91750959204,633.783344370651,0,15141.2212769752,6595.08446935855,7229.5006612331,13694.1902044236,9916.21741919665,11394.501817746,13240.3944020357,12590.0991019233,9536.04634493082,11489.3202271061,15531.5892319873,10779.6069364733,14732.8791745879,10886.4816878241,18847.8088933148,16491.5415461916,17432.4935955411,12991.2411702903,7488.74630728189,11576.9261379197,12277.7913697737,16456.6535227889,11056.7615250477,3349.63123022085,917.887378899459,1874.47174817695,5775.15109011363,13586.0278491283,11066.0658522512,11990.4985254912,12762.9303673688,11517.4619446006,7032.6446359229,3951.02758796582,2592.9819039923,3285.32537131625,2400.71488408326,2994.41146025501,3723.86674760851,14315.7540783632,6627.29991460638,7718.82476221039,10460.7400489579,10730.7767484237,6792.19641534953,3474.65937373026,5495.09537096371,4691.92917179148,3036.04114004824,3548.6233201977,2064.53205703697,1802.98245074652,3610.36182431113,22459.5502277515,19060.102220245,25725.1093494381,26505.0230718706,24770.4578682755,24563.0359418576,29413.0770375696,26241.556479084,32740.4641654535,20292.1688766643,20525.1354672944,26708.3055328653,27391.8285379051,27889.2583498908,30524.9474090252,32464.172300158,29748.944676671,28417.3745692442,26647.7729575876,34657.9374138037,33465.5099441285,28670.9894139993,27894.1277670271,21453.0786552705
"CH-TF-3",12984.8053450142,14601.8668017262,14731.8695395793,15141.2212769752,0,9409.79906171624,10761.492693508,1447.06044448197,6475.17119617837,6446.40517524487,2018.5836311225,8216.38132546869,13378.0209259468,11668.1667187809,13250.7099568462,4441.69763778531,20093.8259453907,4964.7487378102,21233.878656395,21013.4830255863,7461.96629009811,6221.46399991679,8329.29772967088,14043.5963680784,3629.96031197489,1520.2603264935,5041.8398039022,18476.0046274327,16057.6140268816,16828.2117710056,17710.4248091782,6357.12131221859,7503.20027787859,5513.91219338976,2600.66011173755,4039.553072769,8671.55836524401,11435.3697253937,15944.795991986,18101.1261437951,17348.8254309849,13983.439664631,17293.8301615874,18913.719020081,15855.1963769993,15003.9390535762,13183.775907651,17669.6785336512,16458.2699523808,17606.6638240749,15379.6174499636,13743.6652591813,14586.7117404629,14211.895068505,14889.8905428379,14646.7936638274,11651.9939047448,15578.4167593907,12592.6735641417,21121.4716087008,15495.4944015031,21291.2221901925,23455.2283275643,25565.1045300207,20561.8463062605,31748.7722781519,13258.9315969255,13931.9996201302,23821.4206299111,15203.152256196,19479.3372547829,21370.9637734819,21966.7957502855,16957.7932543203,14731.7453139459,12968.8132270108,24935.0502023643,22865.938702923,15814.6405409505,14746.6981510456,24141.2891342676
"CH-TF-22",4779.6993227271,6717.2742502784,6422.96533324831,6595.08446935855,9409.79906171624,0,2260.46935392865,8029.18508772977,3388.6790272342,4799.64585592247,7819.40835818326,6207.2433500401,5941.94837149398,6357.41076309664,10226.847667795,5022.51652144649,12989.2131507875,6572.41770471611,15864.1986990556,14424.1742305504,10847.6661309262,6399.59314818631,1081.0022043611,12757.9349207572,7554.57729581729,10501.9610454586,4685.41564882077,9668.12920817762,7430.3808939944,8464.80857347482,11202.9363310246,6999.4600102423,4543.94270087682,5421.06626775562,7515.22948848785,5421.30961479236,796.18410621162,2684.50313448778,6685.89825754292,9030.2855468086,8994.57805857919,6983.95180449936,9814.1579749141,12079.0850597622,10594.1299408158,10738.8332641923,11498.025003422,14146.6954777973,11064.362441217,9827.08359154611,9603.10862767336,7869.55100464683,7565.84401797335,7540.74533485498,7303.72318112345,6942.52503222732,4228.21786524579,16476.2460815958,12976.7354801376,20467.4605102143,19990.1750076788,19816.7604984266,20434.3705985902,24521.0247143215,20702.890851187,28952.5646335394,14170.4749957857,14505.347777539,22034.928406666,20807.2069539606,21772.8531165982,24322.0822575363,26072.15648416,23154.4681015612,21855.2222629295,20094.4706909677,28411.2985103742,27068.9061590394,22075.9101555473,21304.1517293805,18788.9570635888
"CH-TF-55/56",5918.71823451633,7773.52951088688,7253.3894207319,7229.5006612331,10761.492693508,2260.46935392865,0,9487.03573556477,4297.56121276996,5020.57119069029,9425.10450229626,5521.21394805651,3683.38827331152,4487.30154933284,8519.9088860891,6637.23236580078,10741.0304596529,8625.37407346979,13640.829776416,12164.0294005176,10645.9315921176,6418.37737396993,2950.08890755734,14920.2544501317,9452.72859227089,11648.2830304322,5740.5590864315,9831.53718170668,7913.73099042683,9063.01917182639,12500.414249025,6928.50028519893,4312.17564714885,5890.65177317504,9219.34821506752,6733.49503451977,2932.15648398107,3924.73597947487,6462.03909670464,8944.52695516306,9560.63972734938,8412.3415859906,10812.2383050496,9819.51201436907,12270.3639900336,12609.0960986546,13656.7093179497,16021.1451358974,12685.8480534918,10678.6043470005,11207.4000176521,9569.00867369333,8929.59352194032,9032.47118687391,8450.79788711244,8068.7498209609,5872.31312828065,15244.4687970512,11830.9478423972,18807.3753184479,19435.6123291832,18028.9240749815,18406.9971936243,22728.4269006634,19183.4122063064,26883.2777632249,13062.6685511085,13302.0427765327,20160.4884250607,20505.9244303522,20661.8792871637,23295.7271206112,25274.9202853045,22951.8887201384,21951.4700473444,20236.2061990719,27430.4584385618,26277.405172084,21916.7396930997,21247.7545405656,16552.5186554061
"CH-TF-11",11537.7936123329,13160.6527151204,13285.3656667909,13694.1902044236,1447.06044448197,8029.18508772977,9487.03573556477,0,5249.38237035575,5500.46947969875,782.493324185917,7517.2996478925,12283.6467567773,10774.4164248485,12737.8032093027,3024.0528118528,19140.5327073338,3710.22454491072,20548.5534419394,20145.2133429339,7727.66246717861,5604.79867880012,6952.03015328331,13083.8910207478,2544.17746353766,2858.41657522376,3860.36464239925,17029.4306804091,14610.624104112,15382.7637511423,16338.8408878092,5871.54582570035,6549.54851399628,4635.89569407824,1360.78730564713,2765.37328234442,7277.130541646,9998.35950776357,14519.3064930885,16660.7443634912,15903.9114514498,12563.5995011652,15872.8310522603,17987.7231475774,14547.4560496496,13760.5143462059,12152.6221034868,16534.2308048182,15147.9836586336,16175.9225197532,14032.1736812544,12371.3585306817,13170.1032723023,12806.4401137219,13456.456683299,13209.5113135725,10208.2916481868,15753.044783889,12591.4290258623,21149.039967252,16270.2807539264,21194.0405326188,23147.659593789,25581.7314829303,20706.0071903062,31540.9116968677,13370.4001596884,14008.5869675983,23706.5424529661,16159.9605811458,19950.6261292425,21969.2841890991,22752.1677905759,18029.263746677,15930.9694582745,14152.8125877979,25645.7122681316,23673.5785934778,16886.0564921364,15855.6083414676,23487.0904102965
"CH-TF-19",7962.84705574744,9863.71417973105,9684.10996310533,9916.21741919665,6475.17119617837,3388.6790272342,4297.56121276996,5249.38237035575,0,1753.05512677453,5292.62164078201,3943.16288496386,7101.13071864453,6043.41743916762,9047.24161070869,2696.08806152242,14114.0830372358,5360.52107192893,16071.2683659686,15264.9956354829,7700.01192275417,3301.49690608074,2427.63782074217,13828.9508554485,5725.51112345627,7360.73844104245,1443.04230651879,13049.0282312746,10776.4328043825,11769.533264671,14044.9983069856,3923.87624777459,2190.69728775983,2090.76231187933,5198.62632205039,2485.61543227649,2886.09213987383,5965.38477064873,10050.3250659795,12416.9062825965,12302.9029884176,9841.58829676487,12916.129578205,13018.1581403997,12998.4092952961,12791.4828505508,12635.4933042404,16084.644070439,13534.0885487282,13010.8312604055,12146.0497219363,10356.4198279006,10457.5067814064,10306.9093067449,10374.5745446141,10039.4371391497,7069.10857495704,14206.9327596933,10696.460202242,18809.7323061733,16962.0239140442,18433.6402775522,19666.3555515331,23077.18454147,18788.2982152295,28219.9191508649,11798.3451396416,12249.9820013845,20815.3311748366,17611.0466689133,19261.8962517384,21689.4161139596,23200.3922979309,19900.0360590188,18501.3021130825,16733.2075588845,25702.3883129401,24186.6633847645,18805.8488295461,17996.2736656025,19044.8629967431
"CH-TF-8/9",9532.58397462609,11457.2986985552,11213.6174235647,11394.501817746,6446.40517524487,4799.64585592247,5020.57119069029,5500.46947969875,1753.05512677453,0,5783.98640100615,2373.84348686913,6985.01667989649,5273.99030392245,7676.67156600648,3760.70646001773,13661.3854111531,6620.2610572574,15136.8414683238,14644.7538479798,6062.4288349769,1610.47649688151,3997.03328572161,15485.0108562623,6663.15895204126,6989.48395187097,1969.98556056305,14415.9003350339,12223.4450136317,13264.4158638237,15741.6985668157,2225.34818495703,1057.70151131009,962.28269738532,5868.93056250509,3049.87469268781,4458.36596899696,7471.49061638189,11256.5820124627,13689.6492236755,13794.210889353,11523.8809524979,14535.6240756182,12496.0523193006,14745.1201281885,14543.6508516393,14308.7801248961,17830.3070385359,15277.4331502134,14592.4737525214,13881.516765949,12093.0252988885,12134.6163402065,12008.4624558704,11999.9294777957,11654.0524161144,8737.84227402144,12475.2727364942,8973.03341619284,17180.6059787392,15278.3240596744,16878.1351386585,18300.9020715305,21488.5060958944,17103.6594789251,26828.9698625052,10059.4628194708,10524.8887199318,19296.6652179337,16015.9338818767,17509.1401275296,19938.4741863502,21477.5069120898,18354.8421450299,17104.9403794544,15358.6914804276,23957.4304926758,22466.3126695302,17276.8877587578,16514.8736115317,18095.8782710324
