"","CH-CL_ET-4/5/6","CH-CL_ET-7","CH-CL_ET-2","CH-CL_ET-1","CH-CL_ET-3","CH-CL_ET-8","IX-CL_ET-2","IX-CL_ET-6","IX-CL_ET-1","IX-CL_ET-12","IX-CL_ET-4","IX-CL_ET-13","IX-CL_ET-11","IX-CL_ET-14","IX-CL_ET-8","IX-CL_ET-10","IX-CL_ET-9","IX-CL_ET-5","IX-CL_ET-7","TX-CL_ET-2","TX-CL_ET-1","IX-CL_ET-3","XO-CL_ET-1"
"CH-CL_ET-4/5/6",0,0.859001525747467,1.97328026894717,1.72869902452679,0.389575991037375,2.49444996490845,4.02758463391945,3.98210290909807,3.48697189856682,2.3453390216041,3.56398056357211,4.03729754520812,2.45816958641387,3.73070032909078,3.75743645152028,4.78942672122252,5.29983123653333,2.56421318469821,3.83250136438055,4.42621821643086,3.75732544944068,3.11201821585024,4.68302976016932
"CH-CL_ET-7",0.859001525747467,0,2.83228179469463,1.5879048696819,1.24857751678484,1.63544843916099,3.16858310817199,3.12310138335061,3.34617774372193,1.48633749585663,2.70497903782464,3.17829601946065,1.59916806066641,2.87169880334332,2.89843492577281,3.93042519547505,4.44082971078587,1.70521165895074,2.97349983863308,3.58075263359138,3.61653129459579,2.25301669010277,3.82402823442185
"CH-CL_ET-2",1.97328026894717,2.83228179469463,0,1.74358796593768,1.58370427790979,4.46773023385562,4.85327668326114,5.95538317804524,3.50186083997771,4.31861929055126,5.53726083251927,6.01057781415528,4.43144985536104,5.70398059803795,5.73071672046745,6.76270699016969,7.2731115054805,4.53749345364538,5.80578163332772,4.44110715784174,3.77221439085156,5.0852984847974,6.65631002911648
"CH-CL_ET-1",1.72869902452679,1.5879048696819,1.74358796593768,0,2.11827501556417,3.22335330884289,3.10968871732346,4.71100625303251,1.75827287404003,3.07424236553853,4.29288390750654,4.76620088914255,3.18707293034831,4.45960367302522,4.48633979545472,5.51833006515696,6.02873458046777,3.29311652863265,4.56140470831498,2.69751919190407,2.02862642491389,3.84092155978467,5.41193310410375
"CH-CL_ET-3",0.389575991037375,1.24857751678484,1.58370427790979,2.11827501556417,0,2.88402595594583,4.41716062495683,4.37167890013545,3.8765478896042,2.73491501264147,3.95355655460948,4.42687353624549,2.84774557745125,4.12027632012816,4.14701244255766,5.1790027122599,5.68940722757071,2.95378917573558,4.22207735541792,4.81579420746823,4.14690144047805,3.50159420688761,5.07260575120669
"CH-CL_ET-8",2.49444996490845,1.63544843916099,4.46773023385562,3.22335330884289,2.88402595594583,0,4.02928528983792,2.78870127978301,4.98162618288292,2.49816801245582,2.66175652404684,2.84389591589305,1.26476795709881,2.53729869977572,1.82866272783858,2.86065299754082,3.37105751285164,1.37081155538314,2.63909973506548,4.44145481525732,5.1103475822475,3.1137188717687,2.75425603648762
"IX-CL_ET-2",4.02758463391945,3.16858310817199,4.85327668326114,3.10968871732346,4.41716062495683,4.02928528983792,0,2.66762411507759,1.35141584328343,1.68224561231536,1.36752876579109,1.87196469462465,2.76451733273912,2.41622153507031,3.65455632827491,3.56545627354974,4.07586078886055,2.76513397756445,2.51802257036007,0.412169525419397,1.08106229240958,0.915566418069217,4.58014963692394
"IX-CL_ET-6",3.98210290909807,3.12310138335061,5.95538317804524,4.71100625303251,4.37167890013545,2.78870127978301,2.66762411507759,0,4.01903995836103,2.51873689125452,1.30009534928651,0.795659420452944,1.5239333226842,0.251402580007289,0.986932213197311,0.897832158472144,1.40823667378296,1.41788972439986,0.149601544717524,3.07979364049699,3.74868640748717,1.75205769700838,1.91252552184635
"IX-CL_ET-1",3.48697189856682,3.34617774372193,3.50186083997771,1.75827287404003,3.8765478896042,4.98162618288292,1.35141584328343,4.01903995836103,0,3.03366145559879,2.71894460907452,3.22338053790808,4.11593317602255,3.76763737835374,5.00597217155834,4.91687211683317,5.42727663214399,4.11654982084789,3.8694384136435,0.939246317864038,0.270353550873857,2.26698226135265,5.93156548020738
"IX-CL_ET-12",2.3453390216041,1.48633749585663,4.31861929055126,3.07424236553853,2.73491501264147,2.49816801245582,1.68224561231536,2.51873689125452,3.03366145559879,0,1.21864154196801,1.72307747080157,1.23340005535702,2.26733431124723,2.53266692046343,3.41656904972666,3.92697356503747,1.33944365364136,2.36913534653699,2.09441513773475,2.76330790472493,0.766679194246139,3.45826022911247
