"","CH-CL-28","CH-CL-21","CH-CL-22","CH-CL-24","CH-CL-20","CH-CL-19","CH-CL-16","CH-CL-12","CH-CL-14","CH-CL-50","CH-CL-8","CH-CL-47/48/49","CH-CL-51","CH-CL-9/10","CH-CL-52","CH-CL-56","CH-CL-54","CH-CL-3","CH-CL-46","CH-CL-55","CH-CL-4","CH-CL-7","CH-CL-11","CH-CL-13","CH-CL-15","CH-CL-17","CH-CL-18","CH-CL-25/26","CH-CL-27","CH-CL-29","CH-CL-39","CH-CL-41","CH-CL-42","CH-CL-43","CH-CL-44","CH-CL-45","CH-CL-53","CH-CL-35","CH-CL-36","CH-CL-1/2","CH-CL-37","CH-CL-38","CH-CL-34","CH-CL-5","CH-CL-40","CH-CL-31","CH-CL-32","CH-CL-33","CH-CL-30","CH-CL-23","CH-CL-6","IX-CL-17","IX-CL-30","IX-CL-3","IX-CL-6","IX-CL-8","IX-CL-2","IX-CL-16","IX-CL-31","IX-CL-32","IX-CL-35","IX-CL-9","IX-CL-18","IX-CL-19","IX-CL-22","IX-CL-23","IX-CL-5","IX-CL-29","IX-CL-24","IX-CL-26","IX-CL-7","IX-CL-10","IX-CL-33","IX-CL-13","IX-CL-37","IX-CL-15","IX-CL-36","IX-CL-11","IX-CL-4","IX-CL-1","IX-CL-14","IX-CL-20","IX-CL-27","IX-CL-28","IX-CL-12","IX-CL-34","TX-CL-13","TX-CL-2","TX-CL-4","TX-CL-14","TX-CL-1","TX-CL-3","TX-CL-5","TX-CL-6","TX-CL-7","TX-CL-9","TX-CL-10","TX-CL-11","TX-CL-12","IX-CL-25","XO-CL-5"
"CH-CL-28",0,0.970592537441334,0.770066438750758,0.246684394512106,1.20253555838786,1.44867396556412,2.14685571503046,2.83275891874753,3.51119959550522,3.05022704384857,3.67768229219541,2.96356689717935,3.82256842292682,3.21736490108833,4.52766873775921,5.53663502020998,4.80803902797104,4.71937612820737,2.58811423360157,5.30514774543732,4.39911001967455,4.48962767425789,2.71982241114831,3.13847693961447,3.26930349353178,1.89061286222997,1.82758826133381,0.62137998496814,0.0766638580104797,0.193032744890071,1.79102942414897,1.39607361652833,3.10430489492133,2.22072610033549,1.19033301664898,1.19264597962721,4.67476039946765,2.16808444894241,1.9757714304487,5.02806444301007,2.1065483076095,2.35454839784614,1.45356474877867,4.51027551923662,0.932018492166683,0.571299927183638,0.69955507628218,0.825670011380832,0.3304278737022,0.444728492415189,4.11233739829941,7.17648883077545,7.3655853961128,5.40714180004777,6.9957801944678,6.8698733207468,6.70547151908655,6.83002756417599,7.31655878950141,7.50279119434505,6.46063219350512,6.4016194007628,5.99126987962536,5.61096933719909,5.59018614974396,5.86570301899813,6.48474319919434,7.00773950827719,5.73371125875711,5.21002447976022,5.56266139690639,7.62714936716326,7.72754548801474,6.81903604358527,7.89601021157093,8.82898777626924,8.44127390409322,6.27426702250655,5.74977968871317,6.13666886276228,7.00926663522552,4.99115852899197,5.42937004145196,5.66870499519073,7.52443766986448,6.20681347888096,7.54884395656677,7.37892176481841,8.12730486885712,7.53012492703847,7.22942101558109,8.18227596951352,7.24274971231059,7.09151155717145,8.11798309346847,8.1762967828584,7.99115496225745,7.5600452586378,7.4099984985758,6.45226661369814,7.76639398266837
"CH-CL-21",0.970592537441334,0,0.200526098690575,0.723908142929228,0.231943020946526,0.478081428122785,1.17626317758913,1.8621663813062,2.54060705806388,2.07963450640724,2.70708975475408,1.99297435973802,2.85197588548549,2.246772363647,3.55707620031787,4.56604248276864,3.8374464905297,3.74878359076603,1.61752169616024,4.33455520799599,3.42851748223322,3.51903513681655,1.74922987370698,2.16788440217313,2.29871095609045,0.920020324788638,0.856995723892474,1.57595949000436,0.893928679430854,1.14761224992629,2.73944903258984,2.36666615396967,4.07489743236266,3.19131863777683,2.16092555409031,2.14722548466343,3.70416786202632,3.11650405738328,2.92419103888957,4.05747190556874,3.05496791605037,3.30296800628701,2.40198435721954,3.53968298179529,1.90261102960802,1.54189246462497,1.66542636713787,1.7740896198217,1.30102041114353,1.35509249001075,3.14174486085808,6.20589629333411,6.39499285867147,4.43654926260644,6.02518765702647,5.89928078330547,5.73487898164522,5.85943502673465,6.34596625206007,6.53219865690371,5.49003965606379,5.43102686332147,5.02067734218403,4.64037679975776,4.61959361230263,4.8951104815568,5.51415066175301,6.03714697083586,4.76311872131578,4.23943194231888,4.59206885946506,6.65655682972192,6.7569529505734,5.84844350614394,6.9254176741296,7.85839523882791,7.47068136665188,5.30367448506522,4.77918715127184,5.16607632532094,6.03867409778419,4.02056599155063,4.45877750401062,4.69811245774939,6.55384513242315,5.23622094143963,6.57825141912544,6.40832922737708,7.15671233141579,6.55953238959713,6.25882847813976,7.21168343207219,6.27215717486926,6.12091901973012,7.14739055602713,7.20570424541706,7.02056242481611,6.58945272119647,6.43940596113446,5.48167407625681,6.79580144522703
"CH-CL-22",0.770066438750758,0.200526098690575,0,0.523382044238653,0.432469119637101,0.678607526813361,1.3767892762797,2.06269247999677,2.74113315675446,2.28016060509782,2.90761585344465,2.1935004584286,3.05250198417606,2.44729846233757,3.75760229900845,4.76656858145922,4.03797258922028,3.94930968945661,1.81804779485081,4.53508130668656,3.62904358092379,3.71956123550713,1.94975597239755,2.36841050086371,2.49923705478102,1.12054642347921,1.05752182258305,1.37543339131378,0.693402580740279,0.947086151235712,2.53892293389926,2.16614005527909,3.87437133367209,2.99079253908625,1.96039945539974,1.94669938597285,3.90469396071689,2.9159779586927,2.723664940199,4.25799800425932,2.8544418173598,3.10244190759643,2.20145825852897,3.74020908048586,1.70208493091744,1.3413663659344,1.4649002684473,1.57356352113113,1.10049431245296,1.15456639132018,3.34227095954865,6.40642239202469,6.59551895736204,4.63707536129701,6.22571375571704,6.09980688199605,5.93540508033579,6.05996112542523,6.54649235075065,6.73272475559429,5.69056575475436,5.63155296201205,5.2212034408746,4.84090289844833,4.8201197109932,5.09563658024738,5.71467676044358,6.23767306952643,4.96364482000635,4.43995804100946,4.79259495815563,6.8570829284125,6.95747904926398,6.04896960483452,7.12594377282017,8.05892133751849,7.67120746534246,5.5042005837558,4.97971324996242,5.36660242401152,6.23920019647477,4.22109209024121,4.6593036027012,4.89863855643997,6.75437123111372,5.43674704013021,6.77877751781601,6.60885532606765,7.35723843010636,6.76005848828771,6.45935457683033,7.41220953076276,6.47268327355983,6.32144511842069,7.34791665471771,7.40623034410764,7.22108852350669,6.78997881988704,6.63993205982504,5.68220017494738,6.99632754391761
"CH-CL-24",0.246684394512106,0.723908142929228,0.523382044238653,0,0.955851163875754,1.20198957105201,1.90017132051835,2.58607452423542,3.26451520099311,2.80354264933647,3.43099789768331,2.71688250266725,3.57588402841472,2.97068050657622,4.2809843432471,5.28995062569787,4.56135463345893,4.47269173369526,2.34142983908946,5.05846335092521,4.15242562516244,4.24294327974578,2.4731380166362,2.89179254510236,3.02261909901967,1.64392846771787,1.5809038668217,0.852051347075129,0.170020536501626,0.423704106997059,2.01554088966061,1.64275801104044,3.35098928943343,2.4674104948476,1.43701741116109,1.4233173417342,4.42807600495554,2.39259591445405,2.20028289596034,4.78138004849797,2.33105977312114,2.57905986335778,1.67807621429032,4.26359112472451,1.17870288667879,0.817984321695744,0.941518224208643,1.05018147689247,0.577112268214306,0.631184347081526,3.8656530037873,6.92980443626334,7.1189010016007,5.16045740553567,6.74909579995569,6.6231889262347,6.45878712457444,6.58334316966388,7.0698743949893,7.25610679983294,6.21394779899302,6.1549350062507,5.74458548511326,5.36428494268698,5.34350175523186,5.61901862448603,6.23805880468223,6.76105511376508,5.487026864245,4.96334008524811,5.31597700239428,7.38046497265115,7.48086109350263,6.57235164907317,7.64932581705883,8.58230338175714,8.19458950958111,6.02758262799445,5.50309529420107,5.88998446825017,6.76258224071342,4.74447413447986,5.18268564693985,5.42202060067862,7.27775327535238,5.96012908436886,7.30215956205466,7.1322373703063,7.88062047434502,7.28344053252636,6.98273662106898,7.93559157500141,6.99606531779848,6.84482716265935,7.87129869895636,7.92961238834629,7.74447056774534,7.3133608641257,7.16331410406369,6.20558221918603,7.51970958815626
"CH-CL-20",1.20253555838786,0.231943020946526,0.432469119637101,0.955851163875754,0,0.24613840717626,0.944320156642601,1.63022336035967,2.30866403711736,1.84769148546072,2.47514673380755,1.7610313387915,2.62003286453896,2.01482934270047,3.32513317937135,4.33409946182212,3.60550346958318,3.51684056981951,1.38557867521371,4.10261218704946,3.19657446128669,3.28709211587003,1.51728685276045,1.93594138122661,2.06676793514392,0.688077303842112,0.625052702945949,1.80790251095088,1.12587170037738,1.37955527087281,2.97139205353636,2.59860917491619,4.30684045330919,3.42326165872335,2.39286857503684,2.37916850560995,3.47222484107979,3.34844707832981,3.1561340598361,3.82552888462221,3.2869109369969,3.53491102723353,2.63392737816607,3.30773996084876,2.13455405055454,1.7738354855715,1.8973693880844,2.00603264076823,1.53296343209006,1.58703551095728,2.90980183991155,5.97395327238759,6.16304983772494,4.20460624165991,5.79324463607994,5.66733776235895,5.50293596069869,5.62749200578813,6.11402323111355,6.30025563595719,5.25809663511726,5.19908384237495,4.7887343212375,4.40843377881123,4.3876505913561,4.66316746061027,5.28220764080648,5.80520394988933,4.53117570036925,4.00748892137236,4.36012583851853,6.4246138087754,6.52500992962688,5.61650048519741,6.69347465318307,7.62645221788138,7.23873834570536,5.0717314641187,4.54724413032532,4.93413330437442,5.80673107683766,3.78862297060411,4.2268344830641,4.46616943680287,6.32190211147662,5.0042779204931,6.34630839817891,6.17638620643055,6.92476931046926,6.32758936865061,6.02688545719323,6.97974041112566,6.04021415392273,5.88897599878359,6.91544753508061,6.97376122447054,6.78861940386959,6.35750970024994,6.20746294018794,5.24973105531028,6.56385842428051
"CH-CL-19",1.44867396556412,0.478081428122785,0.678607526813361,1.20198957105201,0.24613840717626,0,0.698181749466341,1.38408495318341,2.0625256299411,1.60155307828446,2.22900832663129,1.51489293161524,2.3738944573627,1.76869093552421,3.07899477219509,4.08796105464586,3.35936506240692,3.27070216264325,1.13944026803745,3.8564737798732,2.95043605411043,3.04095370869377,1.27114844558419,1.68980297405035,1.82062952796766,0.441938896665852,0.378914295769689,2.05404091812714,1.37201010755364,1.62569367804907,3.21753046071262,2.84474758209245,4.55297886048545,3.66940006589961,2.6390069822131,2.62530691278621,3.22608643390353,3.59458548550607,3.40227246701236,3.57939047744595,3.53304934417316,3.78104943440979,2.88006578534233,3.0616015536725,2.3806924577308,2.01997389274776,2.14350779526066,2.25217104794449,1.77910183926632,1.83317391813354,2.66366343273529,5.72781486521133,5.91691143054868,3.95846783448365,5.54710622890368,5.42119935518269,5.25679755352243,5.38135359861187,5.86788482393729,6.05411722878093,5.011958227941,4.95294543519869,4.54259591406124,4.16229537163497,4.14151218417984,4.41702905343401,5.03606923363022,5.55906554271307,4.28503729319299,3.7613505141961,4.11398743134227,6.17847540159914,6.27887152245062,5.37036207802116,6.44733624600681,7.38031381070513,6.9925999385291,4.82559305694244,4.30110572314906,4.68799489719816,5.56059266966141,3.54248456342785,3.98069607588784,4.22003102962661,6.07576370430036,4.75813951331684,6.10016999100265,5.93024779925429,6.678630903293,6.08145096147435,5.78074705001697,6.7336020039494,5.79407574674647,5.64283759160733,6.66930912790435,6.72762281729428,6.54248099669333,6.11137129307368,5.96132453301168,5.00359264813402,6.31772001710425
"CH-CL-16",2.14685571503046,1.17626317758913,1.3767892762797,1.90017132051835,0.944320156642601,0.698181749466341,0,0.983341951017346,1.36434388047476,0.903371328818114,1.82826532446523,0.816711182148894,1.67571270789636,1.36794793335815,2.38081302272874,3.38977930517951,2.66118331294058,2.57252041317691,0.441258518571108,3.15829203040686,2.25225430464409,2.64021070652771,0.870405443418128,1.28905997188429,1.12244777850132,0.256242852800489,0.319267453696652,2.75222266759348,2.07019185701998,2.32387542751541,3.91571221017896,3.54292933155879,5.25116060995179,4.36758181536595,3.33718873167944,3.32348866225256,2.52790468443719,4.29276723497241,4.1004542164787,2.88120872797961,4.2312310936395,4.47923118387614,3.57824753480867,2.36341980420616,3.07887420719714,2.7181556422141,2.841689544727,2.95035279741083,2.47728358873266,2.53135566759988,2.26292043056923,5.02963311574499,5.21872968108234,3.26028608501731,4.84892447943734,4.72301760571634,4.55861580405609,4.68317184914553,5.16970307447095,5.35593547931459,4.31377647847466,4.25476368573234,3.8444141645949,3.46411362216863,3.4433304347135,3.71884730396767,4.33788748416388,4.86088379324673,3.58685554372665,3.06316876472976,3.41580568187593,5.4802936521328,5.58068977298428,4.67218032855481,5.74915449654047,6.68213206123878,6.29441818906276,4.12741130747609,3.60292397368271,3.98981314773182,4.86241092019506,2.84430281396151,3.2825143264215,3.52184928016027,5.37758195483402,4.0599577638505,5.40198824153631,5.23206604978795,5.98044915382666,5.38326921200801,5.08256530055063,6.03542025448306,5.09589399728013,4.94465584214099,5.97112737843801,6.02944106782794,5.84429924722699,5.41318954360734,5.26314278354534,4.30541089866768,5.61953826763791
"CH-CL-12",2.83275891874753,1.86216638130619,2.06269247999677,2.58607452423542,1.63022336035967,1.38408495318341,0.983341951017346,0,0.90432767152565,1.51951024532452,0.885628076331056,1.4328500986553,2.29185162440277,0.513624826239345,2.99695193923515,4.00591822168592,3.27732222944699,2.1125042042278,1.05739743507752,3.77443094691327,1.79223809569498,1.66663314685835,0.112936507599219,0.305718020866939,1.02279872460901,0.942146056517557,1.00517065741372,3.43812587131055,2.75609506073705,3.00977863123248,4.60161541389603,4.22883253527586,5.93706381366886,5.05348501908302,4.02309193539651,4.00939186596962,3.1440436009436,4.97867043868947,4.78635742019577,2.42119251903051,4.91713429735657,5.1651343875932,4.26415073852574,1.7063762988521,3.76477741091421,3.40405884593117,3.52759274844407,3.6362560011279,3.16318679244973,3.21725887131695,1.27957847955188,4.56961690679588,5.83486859758875,3.35140641676693,4.38890827048823,4.26300139676724,4.09859959510698,4.22315564019642,5.78584199097736,5.97207439582099,4.92991539498107,3.79474747678324,3.38439795564579,3.00409741321952,4.05946935121991,4.33498622047408,4.95402640067029,5.47702270975314,4.20299446023306,3.67930768123616,4.03194459838234,6.0964325686392,6.19682868949068,5.28831924506122,6.36529341304688,7.29827097774519,6.91055710556916,3.66739509852699,3.14290776473361,3.52979693878271,4.40239471124596,3.46044173046792,3.89865324292791,4.13798819666668,5.99372087134043,4.67609668035691,4.9419720325872,4.77204984083884,5.86368376787609,4.9232530030589,4.62254909160152,5.57540404553395,5.41899211167998,5.26775395654085,5.5111111694889,5.56942485887883,5.38428303827788,4.95317333465823,4.80312657459623,4.92154981517409,6.23567718414431
"CH-CL-14",3.51119959550522,2.54060705806388,2.74113315675446,3.26451520099311,2.30866403711736,2.0625256299411,1.36434388047476,0.90432767152565,0,1.38519817215066,1.17851970612283,0.944246792831566,1.80324831857903,0.991415150248947,2.86263986606129,3.67018403251267,3.14301015627312,1.20817653270215,0.92308536190365,3.43869675774002,0.887910424169331,1.5177842038996,1.01726417912487,0.598609650658711,0.241896101973439,1.62058673327525,1.68361133417141,4.11656654806824,3.43453573749474,3.68821930799017,5.28005609065372,4.90727321203355,6.61550449042655,5.73192569584071,4.7015326121542,4.68783254272731,3.00973152776973,5.65711111544716,5.46479809695345,1.51686484750486,5.59557497411425,5.84357506435089,4.94259141528343,0.9990759237314,4.4432180876719,4.08249952268886,4.20603342520175,4.31469667788558,3.84162746920742,3.89569954807464,1.13072953659314,3.66528923527023,5.34626529176501,2.44707874524128,3.48458059896258,3.35867372524159,3.19427192358133,3.31882796867077,5.18846227680652,5.37469468165016,4.44131208915733,2.89041980525759,2.48007028412014,2.09976974169387,3.46208963704907,3.73760650630325,4.35664668649945,4.8796429955823,3.71439115440932,3.19070437541243,3.5433412925586,5.49905285446837,5.59944897531985,4.79971593923749,5.87669010722314,6.80966767192146,6.42195379974543,2.76306742700134,2.23858009320796,2.62546926725706,3.49806703972031,2.86306201629708,3.41004993710417,3.64938489084294,5.50511756551669,4.18749337453318,4.03764436106155,3.86772216931319,4.95935609635044,4.01892533153325,3.71822142007587,4.6710763740083,4.51466444015433,4.3634262850152,4.60678349796325,4.66509718735318,4.47995536675223,4.04884566313258,3.89879890307058,4.32417010100325,5.74707387832058
"CH-CL-50",3.05022704384857,2.07963450640724,2.28016060509782,2.80354264933647,1.84769148546071,1.60155307828446,0.903371328818114,1.51951024532452,1.38519817215066,0,2.40513832165558,0.545068005636884,1.40406953138435,2.03313507156387,1.47744169391063,2.4864079763614,1.75781198412246,2.59337470485281,0.462112810247006,2.25492070158875,2.27310859631999,2.90298237605026,1.63244675292374,1.82522826619146,1.14330207017722,1.1596141816186,1.22263878251477,3.6555939964116,2.97356318583809,3.22724675633353,4.81908353899708,4.44630066037691,6.1545319387699,5.27095314418407,4.24056006049756,4.22685999107067,1.62453335561908,5.19613856379052,5.00382554529681,2.90206301965551,5.13460242245761,5.38260251269425,4.48161886362678,2.38427409588206,3.98224553601526,3.62152697103221,3.74506087354511,3.85372412622894,3.38065491755077,3.43472699641799,2.51592770874379,4.90147140562906,4.85400413604561,2.9886429085053,4.86977877111324,4.74387189739224,4.43045409394016,4.5550101390296,4.8239983410257,5.01023074586933,3.94905093343793,4.27561797740824,3.71625245447898,3.33595191205271,3.17168725820149,3.44720412745566,4.06624430765187,4.58924061673472,3.31521236721464,2.79152558821774,3.14416250536392,5.13111711879792,5.23498503953903,4.30745478351809,5.38442895150374,6.31740651620206,5.92969264402603,4.14826559915199,3.62377826535861,4.01066743940771,4.73424921007914,2.5726596374495,3.01087114990949,3.25020610364826,5.01285640979729,3.69523221881377,5.27382653142039,5.10390433967203,5.70880597731465,5.25510750189208,4.95440359043471,5.90725854436714,4.82425082076812,4.67301266562898,5.9919816701139,5.90127935771201,5.71613753711106,5.43404383528324,5.28399707522123,4.03376772215567,5.25481272260118
