"","CH-EA-63/69","CH-EA-64","CH-EA-65","CH-EA-66","CH-EA-67","CH-EA-68","CH-EA-70","CH-EA-6","CH-EA-71","CH-EA-72","CH-EA-7","CH-EA-73","CH-EA-74","CH-EA-75","CH-EA-76","CH-EA-77","CH-EA-78","CH-EA-79","CH-EA-80/81","CH-EA-82","CH-EA-83","CH-EA-8","CH-EA-84","CH-EA-85","CH-EA-86","CH-EA-9","CH-EA-87","CH-EA-88","CH-EA-89","CH-EA-90","CH-EA-91","CH-EA-10","CH-EA-92","CH-EA-93","CH-EA-94/95/96","CH-EA-97","CH-EA-98","CH-EA-11","CH-EA-100","CH-EA-101","CH-EA-102","CH-EA-12","CH-EA-103/104","CH-EA-105","CH-EA-106","CH-EA-107","CH-EA-108","CH-EA-109","CH-EA-110","CH-EA-111","CH-EA-112","CH-EA-1","CH-EA-13/14","CH-EA-113","CH-EA-114","CH-EA-115","CH-EA-15","CH-EA-116","CH-EA-117","CH-EA-118","CH-EA-119","CH-EA-120","CH-EA-16","CH-EA-121","CH-EA-122","CH-EA-123","CH-EA-124","CH-EA-17","CH-EA-125","CH-EA-126","CH-EA-127","CH-EA-18","CH-EA-128","CH-EA-129","CH-EA-130","CH-EA-19","CH-EA-131","CH-EA-20","CH-EA-2","CH-EA-21","CH-EA-22","CH-EA-23","CH-EA-24","CH-EA-25","CH-EA-26/44","CH-EA-27","CH-EA-28","CH-EA-29","CH-EA-30","CH-EA-31","CH-EA-32","CH-EA-33","CH-EA-3","CH-EA-34","CH-EA-35","CH-EA-36","CH-EA-37","CH-EA-38","CH-EA-4","CH-EA-39","CH-EA-41","CH-EA-42","CH-EA-43","CH-EA-5","CH-EA-45/51","CH-EA-46","CH-EA-47","CH-EA-48","CH-EA-49","CH-EA-50","CH-EA-52","CH-EA-53","CH-EA-54","CH-EA-55","CH-EA-56","CH-EA-57","CH-EA-58","CH-EA-59","CH-EA-60","CH-EA-61","CH-EA-62","IX-EA-6","IX-EA-8","IX-EA-1","IX-EA-9","IX-EA-10","IX-EA-11/12","IX-EA-2","IX-EA-13","IX-EA-14","IX-EA-15","IX-EA-17","IX-EA-18","IX-EA-19","IX-EA-20","IX-EA-21","IX-EA-3","IX-EA-4","IX-EA-5","IX-EA-23/24/12/13/15XO-EA-23/24/12/13/15","TX-EA-57","TX-EA-59","TX-EA-60","TX-EA-61","TX-EA-63","TX-EA-64","TX-EA-56","IX-EA-16","XO-EA-1","XO-EA-7","XO-EA-2","XO-EA-8","XO-EA-3","XO-EA-4","XO-EA-5","XO-EA-11","XO-EA-6","XO-EA-14"
"CH-EA-63/69",0,0.341553235549194,0.473236820268801,0.484210847851652,0.820276279891677,0.295746768364978,0.196715471671377,3.4872746554162,0.587705101537713,0.799160217218156,3.31511227203398,1.34758504558242,1.25297844975118,1.01910087313478,1.16685023077542,0.95835962914375,0.740898957879523,0.76416951703585,0.399220457830469,0.58151684800715,0.848687037619642,3.46859629819327,1.08158945542007,0.99054586266764,1.61219626980539,2.97285326711001,1.50272696058691,1.17053821903954,1.40508160252691,1.31131877052279,1.43413395939314,2.82888460901712,1.45916710319322,1.51006230398238,1.67012600750524,1.85009842525857,1.73358127476218,2.50431031407707,2.68818228705957,3.11683073594095,2.75259187752965,2.34338551215218,2.73037723862886,3.07052631871369,3.08613425324484,3.15449281990369,3.2985342322841,3.51765159620635,3.23513747340163,3.22411177556069,3.32546902921289,4.73664333435145,1.88009339657826,3.86153651411138,3.6267011499867,3.60139942351213,2.08683754616059,5.19896961520872,4.94515537116351,4.84371457055602,4.14617804253921,4.15515889270241,1.55793740100731,4.0729393495289,4.25986230507286,4.66112237480399,4.65025448636967,1.40002924505984,4.60837841241657,4.4396055912731,4.39798653124788,1.25144960756872,4.82637500855064,5.02335602566754,5.05674482840822,0.889995505500226,5.02935359497964,0.912527511653756,4.53640933593996,1.69860000907036,1.88786745383681,2.28589096396843,1.68585678889939,1.17716228666035,1.44798266904412,2.13209901031508,2.1470227944347,2.45497204933086,2.4034527677238,2.85222053692131,3.26870406426306,3.11385859298117,4.24799983737151,3.18921937090425,3.36834294950082,3.6282041463438,4.16441264297303,3.43561441380716,4.20732129083884,3.3444396827664,1.45626970704032,2.24862673286678,1.7081585591994,3.89151255533513,1.31167479362129,1.21934275170475,1.05930021769903,0.96716017636741,1.05532244519784,0.96368201768657,1.10541692678989,0.644118242061092,0.836398328025673,0.569930753738773,0.669906156959261,0.697458659904234,0.70213459706318,0.480785000489492,0.295911780613367,0.572064993195273,0.443135094860175,6.66598099522955,5.58905938041646,6.02265383748541,6.23912910860311,5.31636835874154,5.22625298996249,6.50621442395117,4.88841778103353,5.04709081522727,5.36033718748032,6.66106152849596,6.83780622530775,6.86911572562069,5.91705050107242,6.13723837631563,5.56228668667296,5.4228858111352,5.22068204830804,8.07664107137343,6.82204869215748,6.40718755656036,6.88669182729597,7.25606706364968,8.18670919943463,8.84972014617299,7.19826840593449,5.89937710110997,5.81717524750312,6.24378910542258,5.70166750471941,5.68628872165782,5.74983387414551,5.35403286954369,5.62428342150438,7.34217511518836,5.85428744011138,8.48541258080562
"CH-EA-64",0.341553235549194,0,0.131683584719607,0.182301301443248,0.518071704197918,0.370765380929923,0.517654540172469,3.70820200668867,0.682030732140817,0.799192356576312,3.53603962330645,1.65271843249681,1.55811183666557,1.32423426004917,1.48778929927651,1.27929869764484,1.06183802638061,1.06930290395024,0.720159526331561,0.902455916508241,1.16962610612073,3.68952364946574,1.38672284233446,1.31148493116873,1.93313533830649,3.19378061838248,1.823666029088,1.49147728754063,1.726020671028,1.63225783902389,1.75507302789424,3.04981196028958,1.78010617169431,1.83100137248347,1.99106507600633,2.17103749375967,1.95450862603465,2.72523766534954,2.90910963833204,3.33775808721342,3.07353094603074,2.56431286342465,3.05131630712995,3.39146538721478,3.40707332174593,3.47543188840478,3.61947330078519,3.83859066470745,3.55607654190273,3.54505084406178,3.64640809771398,4.95757068562392,2.10102074785072,4.18247558261247,3.94764021848779,3.92233849201322,2.27950817438323,5.51990868370981,5.2660944396646,5.16465363905711,4.46711711104031,4.4760979612035,1.75060802922996,4.39387841803,4.58080137357395,4.98206144330508,4.97119355487076,1.59269987328248,4.92931748091767,4.7605446597742,4.71892559974898,1.44412023579136,5.14731407705173,5.34429509416863,5.37768389690931,1.11092285677269,5.35029266348073,1.1051981398764,4.75733668721242,1.70734215737127,1.89660960213772,2.29463311226934,1.6945989372003,1.18590443496126,1.43770933602777,1.88881200532024,1.80546955888551,2.11341881378167,2.0618995321746,2.51066730137212,2.92715082871386,2.77230535743198,4.46892718864397,2.84766613535506,3.02678971395162,3.2866509107946,3.82285940742384,3.09406117825796,4.4282486421113,3.0028864472172,1.11471647149113,1.90707349731759,1.36660532365021,4.11243990660759,0.970121558072091,0.877789516155558,0.717746982149834,0.625606940818215,0.713769209648648,0.622128782137376,0.786000492591658,0.302565006511898,0.494845092476478,0.228377518189579,0.678648305260172,0.850985167423497,0.894805225285822,0.634311508008755,0.44943828813263,0.792992344467737,0.664062446132639,6.98692006373064,5.90999844891755,6.24358118875787,6.56006817710421,5.63730742724264,5.54719205846359,6.72714177522364,5.20935684953462,5.36802988372836,5.68127625598141,6.98200059699705,7.15874529380884,7.19005479412179,6.23798956957351,6.45817744481673,5.78321403794542,5.64381316240766,5.4416093995805,8.39758013987452,7.04297604342995,6.72812662506145,7.20763089579706,7.57700613215077,8.50764826793573,9.17065921467408,7.41919575720696,6.22031616961106,6.13811431600421,6.56472817392367,6.02260657322051,6.00722779015891,6.07077294264661,5.67497193804478,5.94522249000547,7.66311418368945,6.17522650861247,8.80635164930671
"CH-EA-65",0.473236820268801,0.131683584719607,0,0.116260853975824,0.386388119478311,0.304724933462498,0.451614092705044,3.83988559140827,0.615990284673393,0.667508771856705,3.66772320802606,1.58667798502939,1.49207138919815,1.25819381258175,1.42174885180909,1.21325825017742,0.99579757891319,1.00326245648282,0.654119078864136,0.836415469040817,1.10358565865331,3.82120723418535,1.32068239486704,1.24544448370131,1.86709489083906,3.32546420310208,1.75762558162058,1.4254368400732,1.65998022356057,1.56621739155646,1.68903258042681,3.18149554500919,1.71406572422688,1.76496092501604,1.92502462853891,2.10499704629224,2.08619221075425,2.85692125006914,3.04079322305164,3.38501908533264,3.00749049856331,2.69599644814425,2.98527585966252,3.32542493974736,3.34103287427851,3.40939144093736,3.55343285331776,3.77255021724002,3.4900360944353,3.47901039659436,3.58036765024655,5.08925427034352,2.23270433257033,4.11643513514505,3.88159977102037,3.8562980445458,2.41119175910284,5.45386823624239,5.20005399219717,5.09861319158969,4.40107666357288,4.41005751373607,1.88229161394956,4.32783797056257,4.51476092610652,4.91602099583765,4.90515310740333,1.72438345800209,4.86327703345024,4.69450421230677,4.65288515228155,1.57580382051097,5.0812736295843,5.27825464670121,5.31164344944189,1.2426064414923,5.28425221601331,1.236881724596,4.88902027193203,1.7549740188906,1.94424146365705,2.2726243278646,1.67259015279556,1.23353629648059,1.30602575130816,1.75712842060063,1.6737859741659,1.98173522906206,1.930215947455,2.37898371665251,2.79546724399426,2.64062177271237,4.60061077336358,2.71598255063545,2.89510612923201,3.15496732607499,3.69117582270423,2.96237759353836,4.55993222683091,2.8712028624976,0.983032886771519,1.77538991259798,1.2349217389306,4.2441234913272,0.838437973352485,0.746105931435951,0.586063397430228,0.493923356098609,0.582085624929042,0.490445197417769,0.654316907872051,0.170881421792291,0.363161507756872,0.0966939334699721,0.810331889979779,0.982668752143104,1.02648881000543,0.765995092728362,0.581121872852237,0.924675929187344,0.795746030852246,6.92087961626321,5.84395800145013,6.37526477347748,6.49402772963678,5.57126697977521,5.48115161099616,6.85882535994324,5.1433164020672,5.30198943626093,5.61523580851398,6.91596014952963,7.09270484634142,7.12401434665436,6.17194912210609,6.3921369973493,5.91489762266503,5.77549674712727,5.57329298430011,8.3315396924071,7.17465962814955,6.66208617759402,7.14159044832964,7.51096568468335,8.4416078204683,9.10461876720666,7.55087934192656,6.15427572214364,6.07207386853678,6.49868772645624,5.95656612575308,5.94118734269149,6.00473249517918,5.60893149057736,5.87918204253805,7.59707373622203,6.10918606114505,8.74031120183928
"CH-EA-66",0.484210847851652,0.182301301443248,0.116260853975824,0,0.336065432040025,0.188464079486674,0.335353238729221,3.89050330813192,0.499729430697569,0.617186084418419,3.7183409247497,1.47041713105356,1.37581053522233,1.14193295860592,1.30548799783327,1.09699739620159,0.879536724937366,0.887001602506997,0.537858224888312,0.720154615064993,0.987324804677485,3.87182495090899,1.20442154089122,1.12918362972548,1.75083403686324,3.37608191982573,1.64136472764475,1.30917598609738,1.54371936958475,1.44995653758064,1.57277172645099,3.23211326173283,1.59780487025106,1.64870007104022,1.80876377456308,1.98873619231642,2.1368099274779,2.90753896679278,3.09141093977529,3.26875823135681,2.89122964458749,2.74661416486789,2.8690150056867,3.20916408577154,3.22477202030268,3.29313058696153,3.43717199934194,3.6562893632642,3.37377524045948,3.36274954261853,3.46410679627073,5.13987198706717,2.28332204929397,4.00017428116923,3.76533891704455,3.74003719056997,2.46180947582648,5.33760738226656,5.08379313822135,4.98235233761386,4.28481580959706,4.29379665976025,1.93290933067321,4.21157711658675,4.3985000721307,4.79976014186183,4.78889225342751,1.77500117472573,4.74701617947442,4.57824335833095,4.53662429830573,1.62642153723461,4.96501277560848,5.16199379272538,5.19538259546606,1.29322415821594,5.16799136203749,1.28749944131965,4.93963798865567,1.87123487286642,2.06050231763287,2.38888518184043,1.78885100677139,1.34979715045641,1.42228660528398,1.87338927457645,1.79004682814173,2.09799608303789,2.04647680143082,2.49524457062833,2.91172809797008,2.7568826266882,4.65122849008722,2.83224340461128,3.01136698320784,3.27122818005082,3.80743667668005,3.07863844751418,4.61054994355455,2.98746371647342,1.09929374074734,1.8916507665738,1.35118259290643,4.29474120805084,0.954698827328309,0.862366785411775,0.702324251406051,0.610184210074433,0.698346478904865,0.606706051393593,0.770577761847875,0.287142275768115,0.479422361732696,0.212954787445796,0.860949606703421,1.03328646886675,1.07710652672907,0.816612809452004,0.631739589575879,0.975293645910985,0.846363747575888,6.80461876228739,5.7276971474743,6.42588249020112,6.37776687566096,5.45500612579939,5.36489075702034,6.90944307666688,5.02705554809137,5.18572858228511,5.49897495453816,6.7996992955538,6.97644399236559,7.00775349267854,6.05568826813026,6.27587614337348,5.96551533938867,5.82611446385091,5.62391070102375,8.21527883843127,7.22527734487319,6.5458253236182,7.02532959435381,7.39470483070752,8.32534696649248,8.98835791323083,7.6014970586502,6.03801486816781,5.95581301456096,6.38242687248042,5.84030527177726,5.82492648871566,5.88847164120336,5.49267063660153,5.76292118856222,7.48081288224621,5.99292520716922,8.62405034786346
"CH-EA-67",0.820276279891677,0.518071704197918,0.386388119478311,0.336065432040025,0,0.524529511526699,0.671418670769246,4.22627371088658,0.559771417963842,0.281120652378394,4.05411132750437,1.53045911831984,1.4358525224886,1.2019749458722,1.39320962460503,1.43306282824162,1.21560215697739,0.94704358977327,0.873923656928338,1.05622004710502,1.32339023671751,4.20759535366366,1.26446352815749,1.46524906176551,1.838555663635,3.71185232258039,1.72908635441652,1.6452414181374,1.87978480162477,1.78602196962066,1.90883715849101,3.5678836644875,1.93387030229109,1.98476550308024,1.89648540133485,2.07645781908818,2.47258033023257,3.24330936954745,3.20935510556983,3.35647985812857,2.97895127135925,3.08238456762256,2.95673663245846,3.2968857125433,3.31249364707444,3.38085221373329,3.5248936261137,3.74401099003596,3.46149686723124,3.45047116939029,3.55182842304249,5.47564238982183,2.61909245204864,4.08789590794099,3.85306054381631,3.82775881734173,2.79757987858115,5.42532900903833,5.17151476499311,5.07007396438563,4.37253743636882,4.38151828653201,2.26867973342787,4.29929874335851,4.48622169890246,4.88748176863359,4.87661388019927,2.1107715774804,4.83473780624618,4.66596498510271,4.62434592507749,1.96219193998928,5.05273440238024,5.24971541949714,5.28310422223783,1.62899456097061,5.25571298880925,1.62326984407432,5.05758215445022,2.10680055676508,2.29606800153154,2.5478431027034,1.94780892763436,1.58536283435508,1.58124452614695,2.03234719543942,1.9490047490047,2.25695400390086,2.20543472229379,2.65420249149131,3.07068601883305,2.91584054755117,4.76917265588176,2.99120132547425,3.17032490407081,3.43018610091379,3.96639459754302,3.23759636837715,4.94632034630922,2.83846922844293,0.950299252716847,1.74265627854331,1.5101405137694,4.41268537384538,1.11365674819128,0.713372297381279,0.553329763375556,0.461189722043937,0.857304399767837,0.842271735292258,1.00614344574654,0.52270795966678,0.3304278737022,0.483082052948283,1.19672000945809,1.36905687162142,1.41287692948374,1.15238321220667,0.967509992330548,1.31106404866565,1.18213415033056,6.89234038905915,5.81541877424606,6.76165289295579,6.46548850243272,5.54272775257115,5.4526123837921,7.24521347942155,5.11477717486313,5.27345020905687,5.58669658130992,6.88742092232557,7.06416561913735,7.0954751194503,6.14340989490202,6.36359777014524,6.30128574214334,6.16188486660558,5.95968110377842,8.30300046520304,7.32259960928582,6.63354695038996,7.11305122112557,7.48242645747929,8.41306859326424,9.07607954000259,7.69881932306283,6.12573649493957,6.04353464133272,6.47014849925218,5.92802689854902,5.91264811548742,5.97619326797512,5.5803922633733,5.85064281533398,7.56853450901797,6.08064683394098,8.71177197463522
"CH-EA-68",0.295746768364978,0.370765380929923,0.304724933462498,0.188464079486674,0.524529511526699,0,0.146889159242546,3.78302142378118,0.311265351210894,0.503413448853178,3.61085904039896,1.28195305156689,1.18734645573565,0.95346887911925,1.11702391834659,0.908533316714919,0.691072645450692,0.698537523020322,0.349394145401638,0.531690535578318,0.798860725190811,3.76434306655825,1.01595746140454,0.940719550238809,1.56236995737656,3.26860003547499,1.45290064815808,1.1207119066107,1.35525529009807,1.26149245809396,1.38430764696431,3.1246313773821,1.40934079076439,1.46023599155354,1.62029969507641,1.80027211282974,2.005624625308,2.80005708244205,2.93316939931139,3.08029415187014,2.70276556510081,2.63913228051716,2.68055092620003,3.02070000628486,3.03630794081601,3.10466650747486,3.24870791985527,3.46782528377752,3.1853111609728,3.17428546313186,3.27564271678405,5.03239010271643,2.17584016494323,3.81171020168255,3.57687483755787,3.5515731110833,2.38258431452557,5.14914330277989,4.89532905873468,4.79388825812719,4.09635173011038,4.10533258027357,1.85368416937229,4.02311303710007,4.21003599264402,4.61129606237515,4.60042817394083,1.69577601342482,4.55855209998774,4.38977927884427,4.34816021881905,1.5471963759337,4.7765486961218,4.97352971323871,5.00691851597939,1.1857422738652,4.97952728255081,1.20827428001873,4.78139644819178,1.99434677743534,2.18361422220179,2.5773492613271,1.97731508625806,1.47290905502533,1.61075068477066,2.06185335406313,1.9785109076284,2.28646016252456,2.2349408809175,2.68370865011501,3.10019217745676,2.94534670617487,4.49298694962333,3.02070748409795,3.19983106269451,3.45969225953749,3.99590075616673,3.26710252700085,4.50306805920382,3.1759277959601,1.28775782023402,2.08011484606048,1.5396466723931,4.13649966758695,1.14316290681498,1.05083086489845,0.890788330892726,0.798648289561107,0.88681055839154,0.795170130880267,0.959041841334549,0.47560635525479,0.66788644121937,0.40141886693247,0.965652925324239,0.993205428269211,0.997881365428158,0.776531768854469,0.591658548978344,0.867811761560251,0.738881863225153,6.61615468280071,5.53923306798763,6.31840060585038,6.18930279617428,5.26654204631271,5.17642667753366,6.80196119231615,4.8385914686047,4.99726450279843,5.31051087505148,6.61123521606713,6.78797991287892,6.81928941319186,5.86722418864359,6.0874120638868,5.85803345503793,5.71863257950018,5.51642881667302,8.0268147589446,7.04641390302738,6.35736124413153,6.83686551486714,7.20624075122085,8.1368828870058,8.79989383374416,7.4226336168044,5.84955078868114,5.76734893507428,6.19396279299374,5.65184119229058,5.63646240922899,5.70000756171668,5.30420655711486,5.57445710907555,7.29234880275953,5.80446112768255,8.43558626837678
"CH-EA-70",0.196715471671377,0.517654540172469,0.451614092705045,0.335353238729221,0.671418670769246,0.146889159242546,0,3.68399012708758,0.390989629866336,0.650302608095724,3.51182774370536,1.15086957391104,1.0562629780798,0.822385401463399,0.970134759104045,0.761644157472373,0.544183486208146,0.567454045364472,0.202504986159092,0.384801376335772,0.651971565948265,3.66531176986465,0.884873983748692,0.793830390996263,1.41548079813402,3.16956873878139,1.30601148891553,0.973822747368158,1.20836613085553,1.11460329885142,1.23741848772177,3.0256000806885,1.26245163152184,1.313346832311,1.47341053583386,1.6533829535872,1.85873546606545,2.70102578574845,2.78628024006885,2.93340499262759,2.55587640585827,2.54010098382356,2.53366176695748,2.87381084704232,2.88941878157346,2.95777734823231,3.10181876061272,3.32093612453498,3.03842200173026,3.02739630388931,3.12875355754151,4.93335880602283,2.07680886824963,3.66482104244,3.42998567831532,3.40468395184075,2.28355301783197,5.00225414353734,4.74843989949213,4.64699909888464,3.94946257086784,3.95844342103103,1.75465287267869,3.87622387785752,4.06314683340148,4.46440690313261,4.45353901469829,1.59674471673122,4.4116629407452,4.24289011960173,4.20127105957651,1.4481650792401,4.62965953687926,4.82664055399616,4.86002935673684,1.0867109771716,4.83263812330826,1.10924298332513,4.63450728894923,1.89531548074174,2.08458292550819,2.48260643563981,1.88257226057077,1.37387775833173,1.6446981407155,2.20874251330567,2.12540006687095,2.43334932176711,2.38183004016004,2.83059780935755,3.2470813366993,3.09223586541742,4.34609779038078,3.1675966433405,3.34672022193706,3.60658141878004,4.14278991540927,3.4139916862434,4.40403676251022,3.32281695520264,1.43464697947656,2.22700400530302,1.68653583163565,3.9896105083444,1.29005206605753,1.197720024141,1.03767749013527,0.945537448803653,1.03369971763409,0.942059290122814,1.1059310005771,0.622495514497336,0.814775600461916,0.548308026175017,0.866621628630639,0.894174131575611,0.898850068734558,0.677500472160869,0.492627252284744,0.76878046486665,0.639850566531552,6.46926552355817,5.39234390874508,6.21936930915678,6.04241363693173,5.11965288707017,5.02953751829112,6.70292989562255,4.69170230936215,4.85037534355589,5.16362171580894,6.46434605682458,6.64109075363637,6.67240025394931,5.72033502940104,5.94052290464426,5.75900215834433,5.61960128280658,5.41739751997942,7.87992559970205,6.89952474378484,6.21047208488898,6.68997635562459,7.0593515919783,7.98999372776326,8.65300467450161,7.27574445756185,5.70266162943859,5.62045977583174,6.0470736337512,5.50495203304804,5.48957324998644,5.55311840247413,5.15731739787231,5.427567949833,7.14545964351698,5.65757196844,8.28869710913424
"CH-EA-6",3.4872746554162,3.70820200668867,3.83988559140828,3.89050330813192,4.22627371088659,3.78302142378118,3.68399012708758,0,4.07497975695392,4.28643487263436,0.172162383382219,3.83425041861438,3.60360122575373,3.64509350061415,3.52699841922009,3.33462955286014,3.38780694357326,3.69455915968398,3.72948544362231,3.54718905344563,3.29970242222314,0.432207105463482,3.86275303649967,3.13816003878514,3.1506842589807,0.514421388306191,3.1911216894086,2.95816768241324,2.72362429892587,2.81738713092998,2.87018153277962,0.658390046399085,2.94629604642896,2.99719124721812,3.02372264249027,2.84375022473693,2.07325496371595,0.982964341339132,1.71085293825528,2.13950138713666,1.94125677246586,1.14388914326402,2.58325041558857,2.92339949567341,2.71142631491339,2.64306774825454,2.49902633587414,2.82066875544729,2.81846214249462,2.94440818810558,3.04576544175778,1.24936867893525,1.60718125883795,3.58183292665628,3.3469975625316,3.32169583605702,1.81794195472468,4.91926602775361,4.6654517837084,4.56401098310092,3.86647445508411,3.8754553052473,2.34684209987795,3.7932357620738,3.98015871761775,4.38141878734888,4.37055089891456,2.50475025582543,4.32867482496147,4.159902003818,4.11828294379278,2.65332989331655,4.54667142109553,4.74365243821243,4.77704124095311,2.59727914991598,4.74965000752454,2.86429245371869,1.41816418315819,3.13941291817691,3.32868036294336,3.77013004420472,3.68225130650034,3.24788233283587,3.51870271521964,4.12849352791603,4.28405040741133,4.59199966230749,4.54048038070042,4.98924814989794,5.40573167723968,5.2508862059578,1.12975468458974,5.32624698388088,5.50537056247744,5.76523175932042,6.30144025594966,5.57264202678378,0.720046635422636,5.54266565030315,4.81638377988011,4.44685270040354,3.84518617217603,0.773267402553357,3.98629049317531,4.57945682454455,4.4259489888385,4.33380894750688,4.01380828073184,3.99097343189869,3.82710172144441,4.01076701320057,4.20304709916515,3.93657952487825,3.43185028595499,3.27906265449754,3.04527926608884,3.24272912948522,3.25876371855604,2.91520966222093,3.04413956055603,3.46264595539327,2.87124681948145,2.5353791820692,3.5213165476681,3.35870516087509,2.50844042902749,3.01893976853497,3.58409579464753,3.62798270438936,3.85997629937625,4.86617000484203,5.04291470165382,5.07422420196677,4.41668961296835,4.75091082533001,2.07501203125675,1.935611155719,1.73340739289184,7.79693748391833,3.33477403674128,4.25273239958787,4.73223667032348,5.10161190667719,5.15223847038447,5.56142725598171,3.71099375051829,4.10448557745604,5.53747166004801,5.96408551796747,5.42196391726431,5.40658513420271,5.47013028669041,5.07432928208859,5.34457983404927,7.06247152773326,5.57458385265627,8.20570899335051
"CH-EA-71",0.587705101537714,0.682030732140817,0.615990284673393,0.499729430697569,0.559771417963842,0.311265351210894,0.390989629866336,4.07497975695392,0,0.278650765585447,3.9028173735717,0.970687700355994,0.876081104524758,0.642203527908355,0.833438206641185,0.911485059184377,0.69402438792015,0.387272171809428,0.593494616025428,0.569924840838128,0.83709503045062,3.92822952039779,0.704692110193647,0.943671292708266,1.27878424567116,3.56055836864773,1.16931493645267,1.12366364908016,1.35820703256753,1.26444420056342,1.38725938943377,3.41658971055483,1.41229253323384,1.463187734023,1.336713983371,1.51668640112434,2.00857636777746,3.09201541561479,2.64958368760599,2.79670844016473,2.41917985339541,2.93109061368989,2.39696521449462,2.73711429457946,2.7527222291106,2.82108079576945,2.96512220814986,3.18423957207212,2.9017254492674,2.89069975142645,2.99205700507865,4.96552008837322,2.46779849811597,3.52812448997715,3.29328912585247,3.26798739937789,2.6745426476983,4.86555759107448,4.61174334702927,4.51030254642178,3.81276601840498,3.82174686856817,2.14564250254503,3.73952732539466,3.92645028093862,4.32771035066975,4.31684246223543,1.98773434659755,4.27496638828234,4.10619356713886,4.06457450711365,1.83915470910644,4.4929629844164,4.6899440015333,4.72333280427398,1.47770060703794,4.69594157084541,1.50023261319147,4.49781073648637,2.28630511060807,2.47557255537452,2.87359606550614,2.2735618904371,1.76486738819807,1.92201603598155,2.37311870527402,2.28977625883929,2.59772551373546,2.54620623212839,2.9949740013259,3.41145752866765,3.25661205738577,4.20940123791792,3.33197283530884,3.51109641390541,3.77095761074839,4.30716610737762,3.57836787821175,4.47903203125636,3.39824064640677,1.51007067068069,2.30242769650715,1.85091202360399,3.85291395588154,1.45442825802588,1.27314371534512,1.1131011813394,1.02096114000778,1.19807590960243,1.10643548209116,1.27030719254544,0.786871706465684,0.890199291666042,0.712684218143365,1.25761125849697,1.28516376144195,1.28983969860089,1.06849010202721,0.88361688215108,1.15977009473299,1.03084019639789,6.33256897109531,5.25564735628222,6.25153059150718,5.90571708446887,4.98295633460731,4.89284096582826,6.73509117797294,4.55500575689929,4.71367879109303,5.02692516334608,6.32764950436172,6.50439420117351,6.53570370148645,5.58363847693818,5.8038263521814,5.79116344069473,5.65176256515697,5.44955880232981,7.74322904723919,6.76282819132198,6.07377553242612,6.55327980316173,6.92265503951544,7.8532971753004,8.51630812203875,7.13904790509899,5.56596507697573,5.48376322336888,5.91037708128834,5.36825548058518,5.35287669752358,5.41642185001127,5.02062084540945,5.29087139737014,7.00876309105412,5.52087541597714,8.15200055667138
"CH-EA-72",0.799160217218156,0.799192356576312,0.667508771856705,0.617186084418419,0.281120652378394,0.503413448853178,0.650302608095724,4.28643487263436,0.278650765585447,0,4.11427248925214,1.24933846594144,1.15473187011021,0.920854293493802,1.11208897222663,1.19013582476982,0.972675153505597,0.665922937394875,0.852807594254816,0.848575606423575,1.11574579603607,4.20688028598324,0.983342875779095,1.22232205829371,1.5574350112566,3.77201348432817,1.44796570203812,1.40231441466561,1.63685779815298,1.54309496614887,1.66591015501922,3.62804482623527,1.69094329881929,1.74183849960845,1.61536474895645,1.79533716670978,2.2872271333629,3.30347053129523,2.92823445319143,3.07535920575018,2.69783061898086,3.14254572937034,2.67561598008007,3.0157650601649,3.03137299469605,3.0997315613549,3.24377297373531,3.46289033765756,3.18037621485285,3.1693505170119,3.2707077706641,5.24417085395867,2.67925361379641,3.80677525556259,3.57193989143791,3.54663816496334,2.88599776337875,5.14420835665993,4.89039411261472,4.78895331200723,4.09141678399042,4.10039763415362,2.35709761822547,4.01817809098011,4.20510104652406,4.6063611162552,4.59549322782088,2.199189462278,4.55361715386778,4.38484433272431,4.34322527269909,2.05060982478688,4.77161375000184,4.96859476711875,5.00198356985943,1.68915572271838,4.97459233643085,1.71168772887191,4.77646150207182,2.38792120914348,2.57718865390993,2.82896375508179,2.22892958001275,1.86648348673347,1.86236517852535,2.31346784781782,2.23012540138309,2.53807465627925,2.48655537467219,2.9353231438697,3.35180667121145,3.19696119992956,4.48805200350337,3.27232197785264,3.4514455564492,3.71130675329219,4.24751524992142,3.51871702075555,4.75768279684181,3.11958988082132,1.23141990509524,2.0237769309217,1.79126116614779,4.13156472146699,1.39477740056967,0.994492949759674,0.83445041575395,0.742310374422331,1.13842505214623,1.12339238767065,1.28726409812493,0.803828612045175,0.611548526080594,0.764202705326678,1.46906637417742,1.49661887712239,1.50129481428134,1.27994521770765,1.09507199783152,1.37122521041343,1.24229531207833,6.61121973668076,5.53429812186767,6.53018135709262,6.18436785005432,5.26160710019275,5.17149173141371,7.01374194355839,4.83365652248474,4.99232955667848,5.30557592893153,6.60630026994717,6.78304496675896,6.8143544670719,5.86228924252363,6.08247711776684,6.06981420628017,5.93041333074242,5.72820956791526,8.02187981282464,7.04147895690743,6.35242629801157,6.83193056874718,7.20130580510089,8.13194794088584,8.7949588876242,7.41769867068444,5.84461584256118,5.76241398895433,6.18902784687379,5.64690624617062,5.63152746310903,5.69507261559672,5.2992716109949,5.56952216295559,7.28741385663957,5.79952618156259,8.43065132225682
