"","CH-ET_LTAzI-2","CH-ET_LTAzI-11","CH-ET_LTAzI-6","CH-ET_LTAzI-3","CH-ET_LTAzI-7/8/9/17/19/20","CH-ET_LTAzI-1","CH-ET_LTAzI-12","CH-ET_LTAzI-4","CH-ET_LTAzI-13","CH-ET_LTAzI-10","CH-ET_LTAzI-14","CH-ET_LTAzI-15","CH-ET_LTAzI-16","CH-ET_LTAzI-18","CH-ET_LTAzI-5","CH-ET_LTAzI-22","CH-ET_LTAzI-21","IX-ET_LTAzI-12","IX-ET_LTAzI-1","IX-ET_LTAzI-3","IX-ET_LTAzI-11","IX-ET_LTAzI-5","IX-ET_LTAzI-7","IX-ET_LTAzI-8","IX-ET_LTAzI-9","IX-ET_LTAzI-10","IX-ET_LTAzI-4","IX-ET_LTAzI-6","TX-ET_LTAzI-1","TX-ET_LTAzI-4","TX-ET_LTAzI-3","TX-ET_LTAzI-2","IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6","XO-ET_LTAzI-2","XO-ET_LTAzI-1"
"CH-ET_LTAzI-2",0,0.587246314647889,2.88786920799737,0.742730804868613,2.66250759754091,3.0210274428896,1.21061671192143,2.34464244642907,1.47457786518928,1.09118801901469,3.32751400745278,3.39933224675275,3.62291726980273,2.25014813476832,3.72570926822309,4.67515304815392,4.38820529997933,2.70808715448634,4.30270089624772,5.16903369716342,4.47671755397575,5.76029748907181,6.02682677329361,6.1697237781107,5.77256159345913,7.26019790043103,4.57525591219168,5.84697696260384,3.47185539495832,4.56641317958431,5.34988374723705,4.76309406824471,4.936972282706,6.18806135089068,5.65209551178963
"CH-ET_LTAzI-11",0.587246314647889,0,2.98644050123186,0.155484490220724,2.62498018573612,3.60827375753749,0.62337039727354,1.75739613178119,2.06182417983717,1.67843433366258,2.74026769280489,2.81208593210486,3.03567095515484,2.21262072296353,3.1384629535752,4.63762563634913,4.35067788817454,3.29533346913423,4.88994721089561,5.75628001181131,5.06396386862365,6.3475438037197,6.6140730879415,6.75697009275859,6.35980790810702,7.84744421507892,5.16250222683957,6.43422327725173,4.0591017096062,5.1536594942322,5.93713006188494,5.3503403828926,5.52421859735389,6.17830686023815,5.6423410211371
"CH-ET_LTAzI-6",2.88786920799737,2.98644050123186,0,2.83095601101114,0.361460315495742,0.741159339720525,2.36307010395832,3.49709583846597,1.4132913428081,1.79668118898269,4.47996739948967,4.55178563878964,4.77537066183962,0.77381977826833,4.87816266025998,2.37410576610875,2.08715801793416,3.41358032445435,2.02283279307864,2.88916559399435,2.19684945080668,3.48042938590274,3.74695867012453,3.88985567494162,3.49269349029005,4.98032979726196,2.2953878090226,3.56710885943477,4.17734856492632,3.35627234780337,4.13974291545611,4.17087882118313,2.98571324468168,3.9081932477216,3.37222740862055
"CH-ET_LTAzI-3",0.742730804868613,0.155484490220724,2.83095601101114,0,2.4694956955154,3.57211535073166,0.467885907052817,1.60191164156046,2.21730867005789,1.8339188238833,2.58478320258417,2.65660144188413,2.88018646493412,2.05713623274281,2.98297846335448,4.4821411461284,4.19519339795382,3.45081795935496,4.85378880408978,5.72012160500549,5.02780546181782,6.31138539691388,6.57791468113567,6.72081168595276,6.32364950130119,7.81128580827309,5.12634382003374,6.3980648704459,4.21458619982693,5.30914398445292,6.09261455210566,5.50582487311332,5.67970308757461,6.02282237001742,5.48685653091637
"CH-ET_LTAzI-7/8/9/17/19/20",2.66250759754091,2.62498018573612,0.361460315495742,2.4694956955154,0,1.10261965521627,2.00160978846258,3.13563552297023,1.77475165830384,2.15814150447843,4.11850708399393,4.1903253232939,4.41391034634388,0.412359462772589,4.51670234476424,2.01264545061301,1.72569770243842,3.77504063995009,2.38429310857438,3.25062590949009,2.55830976630242,3.84188970139848,4.10841898562028,4.25131599043736,3.8541538057858,5.3417901127577,2.65684812451835,3.92856917493051,4.53880888042206,3.71773266329911,4.50120323095185,4.53233913667888,3.34717356017743,3.55332667450202,3.01736083540097
"CH-ET_LTAzI-1",3.0210274428896,3.60827375753749,0.741159339720525,3.57211535073166,1.10261965521627,0,3.10422944367885,4.23825517818649,1.54644957770032,1.92983942387492,5.2211267392102,5.29294497851016,5.51653000156015,1.51497911798886,5.61932199998051,1.70549201939333,1.99243976756792,2.69764890266869,1.28167345335812,2.14800625427382,1.45569011108615,2.73927004618221,3.00579933040401,3.14869633522109,2.75153415056953,4.23917045754143,1.55422846930208,2.82594951971424,3.46141714314066,2.61511300808284,3.39858357573558,3.42971948146261,2.24455390496116,3.16703390800108,2.63106806890003
"CH-ET_LTAzI-12",1.21061671192143,0.62337039727354,2.36307010395832,0.467885907052817,2.00160978846258,3.10422944367885,0,1.13402573450764,2.68519457711071,2.30180473093612,2.11689729553135,2.18871553483132,2.4123005578813,1.58925032568999,2.51509255630166,4.01425523907559,3.727307490901,3.91870386640777,4.38590289703696,5.25223569795267,4.559919554765,5.84349948986106,6.11002877408286,6.25292577889994,5.85576359424838,7.34339990122028,4.65845791298093,5.93017896339309,4.68247210687975,5.71934245176169,6.50281301941443,5.97371078016614,5.34878334864001,5.5549364629646,5.01897062386355
"CH-ET_LTAzI-4",2.34464244642907,1.75739613178118,3.49709583846597,1.60191164156046,3.13563552297023,4.23825517818649,1.13402573450764,0,3.81922031161835,3.43583046544376,0.982871561023706,1.05468980032367,1.27827482337366,2.72327606019764,1.38106682179402,5.14828097358323,4.86133322540864,5.05272960091542,5.51992863154461,6.38626143246031,5.69394528927264,6.9775252243687,7.2440545085905,7.38695151340759,6.98978932875602,8.47742563572792,5.79248364748857,7.06420469790073,5.81649784138739,6.85336818626934,7.63683875392207,7.10773651467378,6.48280908314765,6.68896219747225,6.1529963583712
"CH-ET_LTAzI-13",1.47457786518928,2.06182417983717,1.4132913428081,2.21730867005789,1.77475165830384,1.54644957770032,2.68519457711071,3.81922031161835,0,0.383389846174592,4.80209187264206,4.87391011194202,5.09749513499201,2.18711112107643,5.20028713341237,3.25194159709366,3.50044936074226,2.00028898164625,2.82812303105844,3.69445583197415,3.00213968878648,4.28571962388254,4.55224890810433,4.69514591292142,4.29798372826985,5.78562003524176,3.1006780470024,4.37239909741457,2.76405722211822,3.85861500674422,4.64208557439695,4.05529589540461,3.79100348266148,4.7134834857014,4.17751764660035
"CH-ET_LTAzI-10",1.09118801901469,1.67843433366258,1.79668118898269,1.8339188238833,2.15814150447843,1.92983942387492,2.30180473093612,3.43583046544376,0.383389846174592,0,4.41870202646747,4.49052026576743,4.71410528881742,2.57050096725102,4.81689728723778,3.63533144326825,3.88383920691685,1.61689913547166,3.21151287723303,4.07784567814874,3.38552953496107,4.66910947005713,4.93563875427892,5.07853575909601,4.68137357444444,6.16900988141635,3.48406789317699,4.75578894358916,2.38066737594363,3.47522516056963,4.25869572822236,3.67190604923002,3.84578426369131,5.09687333187599,4.56090749277494
"CH-ET_LTAzI-14",3.32751400745278,2.74026769280489,4.47996739948967,2.58478320258417,4.11850708399393,5.2211267392102,2.11689729553135,0.982871561023706,4.80209187264206,4.41870202646747,0,0.0718182392999678,0.29540326234995,3.70614762122134,0.39819526077031,6.13115253460694,5.84420478643235,6.03560116193912,6.50280019256831,7.36913299348402,6.67681685029635,7.96039678539241,8.22692606961421,8.36982307443129,7.97266088977973,9.46029719675163,6.77535520851228,8.04707625892444,6.7993694024111,7.83623974729304,8.61971031494578,8.09060807569749,7.46568064417136,7.67183375849595,7.1358679193949
"CH-ET_LTAzI-15",3.39933224675275,2.81208593210486,4.55178563878964,2.65660144188413,4.1903253232939,5.29294497851016,2.18871553483132,1.05468980032367,4.87391011194202,4.49052026576743,0.0718182392999678,0,0.223585023049983,3.77796586052131,0.326377021470342,6.2029707739069,5.91602302573232,6.10741940123909,6.57461843186828,7.44095123278399,6.74863508959632,8.03221502469238,8.29874430891417,8.44164131373126,8.04447912907969,9.5321154360516,6.84717344781224,8.11889449822441,6.87118764171106,7.90805798659301,8.69152855424575,8.16242631499746,7.53749888347132,7.74365199779592,7.20768615869487
"CH-ET_LTAzI-16",3.62291726980273,3.03567095515484,4.77537066183962,2.88018646493412,4.41391034634388,5.51653000156015,2.4123005578813,1.27827482337366,5.09749513499201,4.71410528881742,0.29540326234995,0.223585023049983,0,4.00155088357129,0.10279199842036,6.42655579695689,6.1396080487823,6.33100442428908,6.79820345491826,7.66453625583397,6.9722201126463,8.25580004774236,8.52232933196416,8.66522633678124,8.26806415212968,9.75570045910158,7.07075847086223,8.34247952127439,7.09477266476105,8.13164300964299,8.91511357729573,8.38601133804744,7.76108390652131,7.9672370208459,7.43127118174485
"CH-ET_LTAzI-18",2.25014813476832,2.21262072296353,0.77381977826833,2.05713623274281,0.412359462772589,1.51497911798886,1.58925032568999,2.72327606019764,2.18711112107643,2.57050096725102,3.70614762122134,3.77796586052131,4.00155088357129,0,4.10434288199165,2.42500491338559,2.13805716521101,4.18740010272268,2.79665257134697,3.66298537226268,2.97066922907501,4.25424916417107,4.52077844839286,4.66367545320995,4.26651326855838,5.75414957553029,3.06920758729093,4.3409286377031,4.95116834319465,4.1300921260717,4.91356269372444,4.94469859945146,3.75953302295001,3.96568613727461,3.42972029817356
