"","CH-ET-3","CH-ET-5","CH-ET-6","CH-ET-7","CH-ET-8/9","CH-ET-27","CH-ET-10","CH-ET-24/26","CH-ET-28/29","CH-ET-12","CH-ET-13","CH-ET-14","CH-ET-15","CH-ET-2","CH-ET-1","CH-ET-21","CH-ET-20","CH-ET-18","CH-ET-23","CH-ET-4","CH-ET-11","CH-ET-19","CH-ET-25","CH-ET-32","CH-ET-16","CH-ET-17","CH-ET-31","CH-ET-30","CH-ET-22","IX-ET-2","IX-ET-3","IX-ET-8","IX-ET-1","IX-ET-17","IX-ET-5","IX-ET-7","IX-ET-18/21","IX-ET-15","IX-ET-19","IX-ET-20","IX-ET-10","IX-ET-12","IX-ET-14","IX-ET-13","IX-ET-6","IX-ET-9","IX-ET-11","TX-ET-18","TX-ET-22","TX-ET-21","TX-ET-19/20","TX-ET-17","IX-ET-4/16/23TX-ET-4/16/23","XO-ET-3","XO-ET-8","XO-ET-9","XO-ET-5","XO-ET-6","XO-ET-4","XO-ET-1","XO-ET-2"
"CH-ET-3",0,0.342259004923972,0.464447146204284,0.579918494613129,0.729507161100791,2.89192591111256,0.736250044086692,2.69158182427563,3.63132424838197,1.2134855363303,2.05797789075921,2.21588604670668,2.38644423972552,1.46472068817297,1.09118801901469,3.36931580074923,3.4411340400492,3.69318847020038,2.25373479307074,0.308424121429639,1.21537882240603,3.60065616806823,2.78633955292076,5.12098588468665,4.19560354683697,3.84679250593372,4.82717525798389,4.50536157463243,3.41944754441314,3.80855071835602,3.96701580431626,6.88391740292159,2.70808715448634,4.93792750732872,5.55402198708313,5.76495212533319,6.06283132701973,5.08432867949672,6.6325148229143,6.37985734782611,6.66171375132128,6.62211775517267,7.78174956139373,8.36321734384875,5.19037227778106,6.73431585820406,6.04683978709646,3.55379867983568,4.5445258405845,5.32799640823724,4.78244997675962,2.95671306917806,4.91508494370619,6.01876730555892,7.58750757194316,7.69238227024471,6.27778293241783,6.38605899286276,5.84415410476843,5.81688097149991,6.89234466096997
"CH-ET-5",0.342259004923972,0,0.143968658092894,0.337356706877102,0.486945373364764,3.23418491603653,0.493688256350665,2.96776274914399,3.97358325330594,0.970923748594274,1.81541610302318,1.97332425897066,2.1438824519895,1.80697969309695,1.43344702393866,3.1267540130132,3.19857225231317,3.45062668246435,2.5299157179391,0.127031308669422,0.97281703467,3.3580943803322,3.06252047778912,5.39716680955501,3.95304175910094,3.60423071819769,5.10335618285225,4.78154249950079,3.17688575667711,4.15080972328,4.30927480924024,7.22617640784556,3.05034615941032,5.28018651225269,5.8962809920071,6.10721113025716,6.40509033194371,5.42658768442069,6.97477382783827,6.72211635275009,7.00397275624525,6.96437676009664,8.12400856631771,8.70547634877273,5.53263128270503,7.07657486312804,6.38909879202043,3.89605768475966,4.88678484550847,5.67025541316121,5.1247089816836,3.29897207410203,5.25734394863016,6.29494823042728,7.92976657686713,8.03464127516868,6.55396385728619,6.66223991773112,6.12033502963679,6.15913997642388,7.23460366589394
"CH-ET-6",0.464447146204284,0.143968658092894,0,0.193388048784208,0.34297671527187,3.15262442257022,0.349719598257772,2.82379409105109,3.89202275983964,0.82695509050138,1.67144744493029,1.82935560087776,1.9999137938966,1.92916783437726,1.55563516521897,2.98278535492031,3.05460359422027,3.30665802437146,2.38594705984621,0.156023024774645,0.828848376577106,3.21412572223931,2.91855181969622,5.25319815146212,3.80907310100805,3.4602620601048,4.95938752475935,4.6375738414079,3.03291709858421,4.27299786456031,4.43146295052055,7.23563831798383,3.17253430069063,5.19862601878638,6.01846913328741,6.22939927153748,6.52727847322402,5.34502719095439,7.09696196911858,6.8443044940304,7.12616089752557,6.88281626663033,8.13347047645598,8.714938258911,5.45107078923872,7.19876300440835,6.30753829855412,4.01824582603997,5.00897298678878,5.79244355444152,5.24689712296391,3.42116021538234,5.37953208991047,6.15097957233438,7.84820608340082,7.95308078170238,6.4099951991933,6.51827125963823,5.97636637154389,6.07757948295757,7.15304317242763
"CH-ET-7",0.579918494613129,0.337356706877102,0.193388048784208,0,0.149588666487662,2.95923637378601,0.156331549473563,2.63040604226689,3.69863471105543,0.633567041717172,1.47805939614608,1.63596755209355,1.80652574511239,2.0446391827861,1.67110651362781,2.7893973061361,2.86121554543607,3.11326997558725,2.192559011062,0.27149437318349,0.635460327792898,3.0207376734551,2.72516377091202,5.05981010267791,3.61568505222384,3.26687401132059,4.76599947597514,4.44418579262369,2.83952904980001,4.38846921296915,4.54693429892939,7.04225026919963,3.28800564909947,5.00523797000218,5.88776109370439,6.09869123195446,6.396570433641,5.15163914217018,6.96625392953556,6.71359645444738,6.99545285794254,6.68942821784612,7.94008242767177,8.52155021012679,5.25768274045452,7.04173749376002,6.11415024976991,4.13371717444881,5.12444433519763,5.90791490285036,5.36236847137275,3.53663156379119,5.49500343831931,5.95759152355018,7.65481803461662,7.75969273291817,6.21660715040909,6.32488321085402,5.78297832275968,5.88419143417336,6.95965512364342
"CH-ET-8/9",0.729507161100791,0.486945373364764,0.34297671527187,0.149588666487662,0,2.95114585857057,0.148241034258122,2.62231552705144,3.69054419583999,0.625476526501731,1.32847072965842,1.48637888560589,1.65693707862473,2.19422784927377,1.82069518011548,2.63980863964844,2.71162687894841,2.96368130909959,2.18446849584656,0.421083039671152,0.485871661305236,2.87114900696744,2.71707325569658,5.05171958746247,3.46609638573618,3.11728534483293,4.7579089607597,4.43609527740825,2.68994038331234,4.53805787945682,4.69652296541705,7.03415975398418,3.43759431558714,4.99714745478673,5.87967057848895,6.09060071673902,6.38847991842556,5.14354862695474,6.95816341432012,6.70550593923194,6.9873623427271,6.68133770263068,7.93199191245633,8.51345969491135,5.24959222523908,7.03364697854458,6.10605973455447,4.28330584093648,5.27403300168529,6.05750356933803,5.51195713786041,3.68622023027885,5.64459210480698,5.94950100833474,7.64672751940117,7.75160221770273,6.20851663519365,6.31679269563858,5.77488780754424,5.87610091895792,6.95156460842798
"CH-ET-27",2.89192591111256,3.23418491603653,3.15262442257022,2.95923637378601,2.95114585857057,0,2.80290482431245,0.345908967117547,0.739398337269414,2.32566933206884,3.90082838470129,4.05873654064877,4.22929473366761,1.42720522293958,1.80073789209787,5.21216629469131,5.28398453399128,5.53603896414247,0.766677362724018,3.2003500325422,3.05822931634811,5.44350666201032,0.234072602873999,2.66975184634801,6.03845404077906,5.68964299987581,2.37594121964525,2.15968871747435,5.26229803835522,4.11541627316936,3.95695118720912,4.08301389541361,3.41763702756953,2.04600159621616,2.92852471991838,3.13945485816844,3.43733405985498,2.19240276838416,4.00701755574955,3.75436008066136,4.03621648415653,3.73019184406011,4.98084605388575,5.56231383634077,2.2984463666685,4.082501119974,3.1549138759839,4.26334855291887,3.37944115094089,4.16291171859362,4.19404762432065,3.66626294226124,3.0088820478192,3.56753326722028,4.6955816608306,4.80045635913215,3.82654889407919,3.93482495452412,3.39292006642979,2.92495506038735,4.00041874985741
"CH-ET-10",0.736250044086692,0.493688256350665,0.349719598257772,0.156331549473563,0.148241034258122,2.80290482431245,0,2.47407449279332,3.54230316158187,0.477235492243608,1.47671176391654,1.63461991986401,1.80517811288285,2.20097073225967,1.82743806310138,2.78804967390656,2.85986791320653,3.11192234335771,2.03622746158843,0.427825922657054,0.634112695563358,3.01939004122556,2.56883222143845,4.90347855320435,3.6143374199943,3.26552637909105,4.60966792650158,4.28785424315013,2.83818141757047,4.54480076244272,4.70326584840296,6.88591871972606,3.44433719857304,4.84890642052861,5.73142954423083,5.94235968248089,6.24023888416743,4.99530759269662,6.809922380062,6.55726490497381,6.83912130846898,6.53309666837256,7.78375087819821,8.36521866065323,5.10135119098095,6.88540594428646,5.95781870029635,4.29004872392238,5.28077588467119,6.06424645232393,5.51870002084631,3.69296311326475,5.65133498779288,5.80125997407661,7.49848648514305,7.60336118344461,6.06027560093552,6.16855166138046,5.62664677328612,5.7278598846998,6.80332357416986
"CH-ET-24/26",2.69158182427563,2.96776274914399,2.82379409105109,2.63040604226689,2.62231552705145,0.345908967117547,2.47407449279332,0,1.08530730438696,1.99683900054971,3.57199805318216,3.72990620912964,3.90046440214848,1.77311419005713,2.14664685921542,4.88333596317218,4.95515420247215,5.20720863262334,0.437847031204889,2.90190041545038,2.72939898482898,5.11467633049119,0.145400148440592,2.42940406041102,5.70962370925993,5.36081266835668,2.13559343370826,1.8137797503568,4.93346770683609,4.46132524028691,4.30286015432667,4.42892286253116,3.76354599468708,2.39191056333371,3.27443368703593,3.48536382528599,3.78324302697253,2.53831173550171,4.3529265228671,4.10026904777891,4.38212545127408,4.07610081117765,5.3267550210033,5.90822280345832,2.64435533378605,4.42841008709155,3.50082284310145,4.60925752003642,3.72535011805844,4.50882068571117,4.5399565914382,4.01217190937879,3.35479101493675,3.32718548128329,5.04149062794815,5.1463653262497,3.5862011081422,3.69447716858713,3.1525722804928,3.2708640275049,4.34632771697496
"CH-ET-28/29",3.63132424838197,3.97358325330594,3.89202275983964,3.69863471105543,3.69054419583999,0.739398337269414,3.54230316158186,1.08530730438696,0,3.06506766933826,4.64022672197071,4.79813487791818,4.96869307093702,2.166603560209,2.54013622936729,5.95156463196073,6.0233828712607,6.27543730141188,1.50607569999343,3.93974836981161,3.79762765361753,6.18290499927973,0.973470940143412,1.9303535090786,6.77785237804847,6.42904133714522,1.63654288237583,1.95835656572729,6.00169637562464,3.37601793589995,3.21755284993971,3.3436155581442,2.73246036973925,1.30660325894675,2.18912638264897,2.40005652089903,2.69793572258557,1.45300443111475,3.26761921848014,3.01496174339195,3.29681814688712,2.99079350679069,4.24144771661634,4.82291549907136,1.55904802939909,3.34310278270459,2.41551553871448,3.57817189508859,2.64004281367147,3.42351338132421,3.45464928705124,2.98108628443096,2.26948371054979,2.82813492995087,3.95618332356119,4.06105802186274,3.08715055680978,3.19542661725471,2.65352172916037,2.18555672311793,3.26102041258799
"CH-ET-12",1.2134855363303,0.970923748594274,0.82695509050138,0.633567041717172,0.625476526501731,2.32566933206884,0.477235492243608,1.99683900054971,3.06506766933826,0,1.57515905263245,1.73306720857992,1.90362540159876,2.67820622450328,2.30467355534499,2.88649696262247,2.95831520192244,3.21036963207362,1.55899196934483,0.905061414900662,0.732559984279269,3.11783732994147,2.09159672919484,4.42624306096074,3.71278470871021,3.36397366780696,4.13243243425797,3.81061875090652,2.93662870628638,5.02203625468633,5.18050134064656,6.40868322748245,3.92157269081665,4.371670928285,5.25419405198722,5.46512419023728,5.76300339192383,4.51807210045301,6.33268688781839,6.08002941273021,6.36188581622537,6.05586117612895,7.3065153859546,7.88798316840962,4.62411569873734,6.40817045204285,5.48058320805274,4.76728421616599,5.70511048300973,6.48858105066247,5.99593551308992,4.17019860550836,5.33455137988805,5.32402448183301,7.02125099289944,7.126125691201,5.58304010869192,5.69131616913685,5.14941128104251,5.25062439245619,6.32608808192625
