"","CH-LF_TF-9","CH-LF_TF-7","CH-LF_TF-21","CH-LF_TF-1","CH-LF_TF-24","CH-LF_TF-22","CH-LF_TF-23","CH-LF_TF-4","CH-LF_TF-3","CH-LF_TF-25","CH-LF_TF-5","CH-LF_TF-2","CH-LF_TF-6","CH-LF_TF-10","CH-LF_TF-19","CH-LF_TF-17","CH-LF_TF-18","CH-LF_TF-20","CH-LF_TF-16","CH-LF_TF-12/13/14/15","CH-LF_TF-11","CH-LF_TF-8","IX-LF_TF-1","IX-LF_TF-2/3","TX-LF_TF-5","TX-LF_TF-6/7/8","TX-LF_TF-2","TX-LF_TF-1","TX-LF_TF-3/4"
"CH-LF_TF-9",0,0.928442935059742,1.37005706796976,2.49991195077518,2.13967132543155,2.68875449809964,3.4974261610546,2.06297403296403,1.8540189445464,5.16007439643508,1.23120847586304,2.2394139936758,1.13033513125246,1.10817612553579,1.57780758406225,1.70730915561387,1.84880690802544,1.43183339201427,1.4850117893717,1.19872298526247,0.559270887989561,0.332762554901889,4.53458628020751,7.14696020856177,6.73859367124775,8.42559010835185,7.64026182447591,7.15313813756244,7.30401105536958
"CH-LF_TF-7",0.928442935059742,0,0.441614132910019,1.57146901571544,1.21122839037181,1.7603115630399,2.56898322599486,1.13453109790429,1.79694977395664,4.23163146137534,0.302765540803295,1.85136245113375,0.201892196192722,2.03661906059553,2.50625051912199,2.63575209067361,2.77724984308519,2.36027632707401,2.41345472443144,2.12716592032221,1.4877138230493,0.993198121210794,3.60614334514777,6.21851727350203,5.810150736188,7.49714717329211,6.71181888941617,6.2246952025027,6.37556812030984
"CH-LF_TF-21",1.37005706796976,0.441614132910019,0,1.12985488280542,0.769614257461786,1.31869743012988,2.12736909308484,1.57614523081431,2.23856390686666,3.79001732846532,0.744379673713314,2.29297658404377,0.643506329102741,2.47823319350555,2.94786465203201,3.07736622358363,3.2188639759952,2.80189045998403,2.85506885734146,2.56878005323223,1.92932795595932,1.43481225412081,3.16452921223775,5.77690314059201,5.36853660327798,7.05553304038209,6.27020475650615,5.78308106959268,5.93395398739982
"CH-LF_TF-1",2.49991195077518,1.57146901571544,1.12985488280542,0,1.61223214616272,1.06314897349462,1.87182063644958,0.857859429155414,1.52027810520776,3.53446887183005,1.68962498625641,1.57469078238487,1.77336121190816,3.60808807631097,4.07771953483743,4.20722110638905,4.34871885880062,3.93174534278945,3.98492374014688,3.69863493603765,3.05918283876474,2.56466713692623,2.90898075560249,5.52135468395675,5.11298814664272,6.79998458374682,6.01465629987089,5.52753261295741,5.67840553076456
"CH-LF_TF-24",2.13967132543155,1.21122839037181,0.769614257461786,1.61223214616272,0,0.549083172668097,1.35775483562306,2.3457594882761,3.00817816432844,3.02040307100353,1.5139939311751,3.06259084150556,1.41312058656453,3.24784745096734,3.7174789094938,3.84698048104542,3.98847823345699,3.57150471744582,3.62468311480325,3.33839431069402,2.69894221342111,2.2044265115826,2.39491495477597,5.00728888313022,4.5989223458162,6.2859187829203,5.50059049904436,5.01346681213089,5.16433972993804
"CH-LF_TF-22",2.68875449809964,1.7603115630399,1.31869743012988,1.06314897349462,0.549083172668097,0,0.808671662954958,1.92100840265003,2.58342707870238,2.47131989833543,2.0630771038432,2.63783975587949,1.96220375923262,3.79693062363543,4.26656208216189,4.39606365371352,4.53756140612509,4.12058789011391,4.17376628747134,3.88747748336212,3.24802538608921,2.7535096842507,1.84583178210787,4.45820571046213,4.0498391731481,5.7368356102522,4.95150732637627,4.4643836394628,4.61525655726994
"CH-LF_TF-23",3.4974261610546,2.56898322599486,2.12736909308484,1.87182063644958,1.35775483562306,0.808671662954958,0,2.72968006560499,3.39209874165734,1.66264823538048,2.87174876679816,3.44651141883445,2.77087542218758,4.60560228659039,5.07523374511685,5.20473531666847,5.34623306908005,4.92925955306887,4.9824379504263,4.69614914631708,4.05669704904416,3.56218134720566,1.03716011915291,3.64953404750717,3.24116751019314,4.92816394729724,4.14283566342131,3.65571197650784,3.80658489431498
"CH-LF_TF-4",2.06297403296403,1.13453109790429,1.57614523081431,0.857859429155414,2.3457594882761,1.92100840265003,2.72968006560499,0,0.662418676052345,4.39232830098547,0.831765557100997,0.716831353229458,0.93263890171157,3.12904090566325,3.59867236418971,3.72817393574134,3.86967168815291,3.45269817214173,3.50587656949916,3.21958776538994,2.58013566811703,1.88824438393351,3.7668401847579,6.37921411311216,5.97084757579813,7.65784401290224,6.8725157290263,6.38539204211283,6.53626495991997
"CH-LF_TF-3",1.8540189445464,1.79694977395664,2.23856390686666,1.52027810520776,3.00817816432844,2.58342707870238,3.39209874165734,0.662418676052345,0,5.05474697703781,1.49418423315334,0.385395049129406,1.59505757776391,2.76205291137425,3.23168436990071,3.36118594145233,3.5026836938639,3.08571017785273,3.13888857521016,2.85259977110093,2.21314767382802,1.52125638964451,4.42925886081025,7.0416327891645,6.63326625185048,8.32026268895458,7.53493440507864,7.04781071816517,7.19868363597232
"CH-LF_TF-25",5.16007439643508,4.23163146137534,3.79001732846532,3.53446887183005,3.02040307100353,2.47131989833543,1.66264823538048,4.39232830098547,5.05474697703781,0,4.53439700217863,5.10915965421492,4.43352365756806,6.26825052197087,6.73788198049733,6.86738355204895,7.00888130446052,6.59190778844935,6.64508618580678,6.35879738169755,5.71934528442464,5.22482958258613,2.28309353378424,1.98688581212669,4.48710092482447,4.33541647310379,5.38876907805264,4.90164539113917,5.05251830894631
