"","CH-LF-16","CH-LF-14","CH-LF-46","CH-LF-48","CH-LF-50","CH-LF-49","CH-LF-52","CH-LF-51","CH-LF-6","CH-LF-9","CH-LF-54","CH-LF-53","CH-LF-12","CH-LF-5","CH-LF-36","CH-LF-13","CH-LF-26","CH-LF-30","CH-LF-34","CH-LF-35","CH-LF-3","CH-LF-7","CH-LF-8","CH-LF-10","CH-LF-11","CH-LF-17","CH-LF-18","CH-LF-21","CH-LF-22","CH-LF-25","CH-LF-27","CH-LF-28","CH-LF-31","CH-LF-33","CH-LF-37","CH-LF-39","CH-LF-40","CH-LF-41","CH-LF-42","CH-LF-1","CH-LF-45","CH-LF-47","CH-LF-55","CH-LF-38","CH-LF-43","CH-LF-44","CH-LF-29","CH-LF-32","CH-LF-2","CH-LF-20","CH-LF-24","CH-LF-19","CH-LF-23","CH-LF-4","CH-LF-15","IX-LF-11","IX-LF-2","IX-LF-4","IX-LF-10","IX-LF-13","IX-LF-3","IX-LF-5","IX-LF-12","IX-LF-1","IX-LF-9","IX-LF-7/8","IX-LF-6","TX-LF-25","TX-LF-26/27/28/29","TX-LF-21","TX-LF-23","TX-LF-19","TX-LF-24","TX-LF-20","TX-LF-22","XO-LF-3","XO-LF-1","XO-LF-2"
"CH-LF-16",0,1.46377368316607,1.90538781607609,2.59039893296487,2.67500207353788,3.22408524620597,4.07457272540009,3.78389420026558,1.98526078809725,1.87896998644696,6.08560631164675,5.73722096078057,1.36947966014611,2.23681777622875,1.60731045635657,1.24305100861235,1.40029236174203,1.75420200131281,1.46085021654665,1.65924334156728,3.8802092390244,1.64095010296953,1.50035251652183,2.14594830993879,1.93708713427993,0.203047678671664,0.469602992141096,1.15806923687668,0.880093443214094,1.38788316141678,1.56537483687074,1.75886635331397,1.76583581620591,1.54963463798882,4.13903772113944,3.6442406659812,3.89216498767799,3.38570368321492,3.06740168412493,4.05095533521487,2.51826433392228,1.8938897220441,2.75599864216279,3.82117394867489,2.91157404831446,2.61372862357848,1.68418187934522,1.2029510396661,3.39121632258659,0.881548150217484,1.26162408648504,0.686169567062067,0.969918409844104,3.00012423780777,0.295952844663053,8.23860776706936,5.0151061188209,6.12820748936069,8.15822491098498,6.68555686241054,6.370508610454,6.79999700830961,9.85904568242236,5.69936844932982,8.07744545788684,7.83732956007376,7.12336381156867,6.76413879206579,8.28650203544658,6.70663026625095,5.85138143023851,7.19786773767622,6.00651717078587,6.64107318457196,6.33901674990877,6.71968705613918,6.87009707035359,6.82249891097428
"CH-LF-14",1.46377368316607,0,0.441614132910019,1.52555765345684,1.21122839037181,1.7603115630399,2.61079904223402,2.32012051709951,1.11203439392308,1.42313292724535,4.62183262848068,4.2734472776145,0.304638380638083,1.78098071702715,2.85034139427225,0.22072267455372,2.76789469486278,2.99723293922849,2.70388115446233,2.90227427948296,3.00698284485023,1.09346636116966,1.04451545732023,1.97946516826821,2.18832634392707,1.44607861658735,1.71263393005678,2.40110017479236,2.34386712638016,2.63091409933246,2.93297716999149,3.02949564197839,3.00886675412159,2.7926655759045,5.38206865905512,4.88727160389688,5.13519592559367,4.6287346211306,4.31043262204062,3.17772894104069,3.76129527183796,0.82904844253607,2.3118290511397,5.06420488659058,4.15460498623014,3.85675956149417,2.9272128172609,2.44598197758178,2.51798992841241,2.12457908813316,2.50465502440072,1.92920050497775,2.21294934775979,2.12689784363359,1.16782083850302,6.77483408390329,3.64795916138693,4.76106053192672,6.69445122781891,5.31840990497657,5.00336165302003,5.33622332514354,8.39527199925629,4.82614205515564,6.61367177472077,6.37355587690769,5.6595901284026,5.89091239789161,7.4132756412724,5.83340387207678,4.97815503606433,6.32464134350205,5.13329077661169,5.76784679039778,5.4657903557346,5.25591337297311,5.40632338718752,5.35872522780821
"CH-LF-46",1.90538781607609,0.441614132910019,0,1.11577042568276,0.769614257461786,1.31869743012988,2.169184909324,1.87850638418949,1.47673927396155,1.86474706015537,4.18021849557066,3.83183314470448,0.746252513548103,2.16717298132872,3.29195552718227,0.66233680746374,3.2095088277728,3.43884707213851,3.14549528737235,3.34388841239298,2.89699559420841,1.53508049407968,1.48612959023025,2.42107930117823,2.62994047683709,1.88769274949736,2.1542480629668,2.84271430770238,2.78548125929018,3.07252823224248,3.37459130290151,3.47110977488841,3.45048088703161,3.23427970881452,5.82368279196514,5.3288857368069,5.57681005850369,5.07034875404062,4.75204675495063,3.06774169039888,4.20290940474798,0.419261214761986,1.87021491822968,5.5058190195006,4.59621911914016,4.29837369440419,3.36882695017092,2.8875961104918,2.4080026777706,2.56619322104318,2.94626915731074,2.37081463788777,2.6545634806698,2.01691059299177,1.60943497141304,6.33321995099327,3.20634502847691,4.3194463990167,6.25283709490889,4.87679577206655,4.56174752011001,4.89460919223352,7.95365786634627,4.71615480451382,6.17205764181075,5.93194174399767,5.21797599549258,5.45977762495324,6.98214086833404,5.72341662143496,4.86816778542252,6.21465409286023,5.02330352596987,5.65785953975596,5.35580310509278,4.81429924006309,4.9647092542775,4.91711109489819
"CH-LF-48",2.59039893296487,1.52555765345684,1.11577042568276,0,1.61223214616272,1.06314897349462,1.91363645268874,1.62295792755423,0.887429084980936,1.56951727139608,3.9246700389354,3.57628468806921,1.22091927281876,1.57786279234811,3.39056865765389,1.34734792435252,3.89451994466158,4.12385818902729,3.83050640426113,4.02889952928176,1.78122516852565,1.23173977010866,1.37233735655635,2.12584951241893,2.33471068807779,2.57270386638615,2.83925917985558,3.52772542459116,3.47049237617897,3.75753934913126,4.05960241979029,4.15612089177719,4.1354920039204,3.9192908257033,6.50869390885392,6.01389685369568,6.26182117539248,5.7553598709294,5.43705787183942,1.95197126471612,4.88792052163677,0.696509210920775,2.71283280693061,6.19083013638938,5.28123023602894,4.98338481129297,4.0538380670597,3.57260722738058,1.29223225208784,3.25120433793197,3.63128027419952,3.05582575477655,3.33957459755859,0.901140167309014,2.29444608830182,6.07767149435801,2.91612204832215,4.02922341886193,5.99728863827363,4.58657279191179,4.27152453995525,4.63906073559825,7.698109409711,3.60038437883106,5.91650918517548,5.67639328736241,4.96242753885732,4.66515472156703,6.18751796494782,4.6076461957522,3.75239735973975,5.09888366717747,3.90753310028711,4.5420891140732,4.24003267941002,4.55875078342782,4.70916079764223,4.66156263826293
"CH-LF-50",2.67500207353788,1.21122839037181,0.769614257461786,1.61223214616272,0,0.549083172668097,1.39957065186222,1.10889212672771,1.99729739538708,2.59083487990451,3.41060423810888,3.06221888724269,1.4642293980855,2.68773110275426,4.06156978464405,1.43195106492553,3.49670477824453,4.07595828375125,3.91510954483414,4.11350266985476,3.39345731468837,2.25305737861708,2.24911855043101,3.14716712092736,3.35602829658622,2.65730700695915,2.92386232042858,3.61232856516417,2.97650585971659,3.63368537377484,3.66178725337323,3.85527876981647,3.96031677894571,4.0038939662763,6.59329704942692,6.09849999426868,6.34642431596548,5.8399630115024,5.52166101241242,3.40088155462116,4.97252366220977,0.939819336187517,1.1006006607679,6.27543327696238,5.36583337660195,5.06798795186597,3.92998409170327,3.65721036795359,2.90446439825055,3.33580747850497,3.71588341477252,3.14042889534955,3.42417773813159,2.51337231347173,2.37904922887482,5.56360569353148,2.43673077101513,3.54983214155491,5.48322283744711,4.10718151460477,3.79213326264823,4.12499493477173,7.18404360888448,5.21261652499378,5.40244338434896,5.16232748653589,4.44836173803079,4.69016336749146,6.21252661087225,5.57032651183128,5.36462950590247,5.63378855539859,5.44778498877138,5.07699400229432,5.2027129954891,4.0446849826013,4.19509499681571,4.1474968374364
"CH-LF-49",3.22408524620597,1.7603115630399,1.31869743012988,1.06314897349462,0.549083172668097,0,0.850487479194119,0.559808954059611,1.95057805847556,2.6326662448907,2.86152106544078,2.51313571457459,2.0133125707536,2.64101176584273,4.45371763114851,1.98103423759362,4.04578795091262,4.62504145641935,4.46419271750223,4.66258584252286,2.84437414202027,2.29488874360327,2.43548633005097,3.18899848591355,3.39785966157241,3.20639017962725,3.47294549309668,4.16141173783227,3.52558903238469,4.18276854644294,4.21087042604133,4.40436194248456,4.5093999516138,4.5529771389444,7.14238022209502,6.64758316693678,6.89550748863358,6.3890461841705,6.07074418508052,2.85179838195306,5.52160683487787,1.48890250885561,1.64968383343599,6.82451644963048,5.91491654927004,5.61707112453407,4.47906726437137,4.20629354062168,2.35538122558246,3.88489065117307,4.26496658744062,3.68951206801765,3.97326091079969,1.96428914080363,2.92813240154292,5.01452252086339,1.88764759834703,3.00074896888681,4.93413966477901,3.55809834193667,3.24305008998013,3.57591176210364,6.63496043621638,4.66353335232568,4.85336021168087,4.61324431386779,3.8992785653627,4.14108019482336,5.66344343820415,5.02124333916319,4.81554633323437,5.08470538273049,4.89870181610328,4.52791082962622,4.65362982282101,3.49560180993321,3.64601182414761,3.59841366476831
"CH-LF-52",4.07457272540009,2.61079904223402,2.169184909324,1.91363645268874,1.39957065186222,0.850487479194119,0,0.290678525134508,2.80106553766967,3.48315372408482,2.01103358624666,1.66264823538048,2.86380004994772,3.49149924503685,5.30420511034263,2.83152171678774,4.89627543010674,5.47552893561347,5.31468019669635,5.51307332171698,2.72548707881906,3.14537622279739,3.28597380924509,4.03948596510767,4.24834714076653,4.05687765882137,4.3234329722908,5.01189921702638,4.37607651157881,5.03325602563705,5.06135790523545,5.25484942167868,5.35988743080792,5.40346461813852,7.99286770128914,7.4980706461309,7.7459949678277,7.23953366336462,6.92123166427464,2.00131090275894,6.37209431407199,2.33938998804973,2.50017131263011,7.6750039288246,6.76540402846416,6.46755860372819,5.32955474356549,5.0567810198158,2.23649416238125,4.73537813036719,5.11545406663474,4.53999954721177,4.82374838999381,2.62758624716007,3.77861988073704,4.16403504166927,1.03716011915291,2.15026148969269,4.08365218558489,2.70761086274255,2.39256261078601,2.72542428290952,5.78447295702226,3.83125331523734,4.00287273248675,3.76275683467367,3.04879108616858,3.29059271562924,4.81295595901003,4.17075585996907,3.98326629614604,4.23421790353637,4.04821433690916,3.6774233504321,3.80314234362689,2.64511433073909,2.79552434495349,2.74792618557419
"CH-LF-51",3.78389420026558,2.32012051709951,1.87850638418949,1.62295792755423,1.10889212672771,0.559808954059611,0.290678525134508,0,2.51038701253517,3.19247519895031,2.30171211138117,1.95332676051498,2.57312152481321,3.20082071990234,5.01352658520812,2.54084319165323,4.60559690497223,5.18485041047896,5.02400167156184,5.22239479658247,2.43480855368456,2.85469769766289,2.99529528411058,3.74880743997316,3.95766861563202,3.76619913368686,4.03275444715629,4.72122069189188,4.0853979864443,4.74257750050255,4.77067938010094,4.96417089654418,5.06920890567342,5.11278609300401,7.70218917615463,7.20739212099639,7.45531644269319,6.94885513823011,6.63055313914013,2.29198942789345,6.08141578893748,2.04871146291523,2.20949278749561,7.38432540369009,6.47472550332966,6.17688007859368,5.03887621843098,4.76610249468129,1.94581563724674,4.44469960523268,4.82477554150023,4.24932102207726,4.5330698648593,2.33690772202556,3.48794135560253,4.45471356680378,1.32783864428742,2.4409400148272,4.3743307107194,2.99828938787706,2.68324113592052,3.01610280804402,6.07515148215677,4.12193184037185,4.29355125762125,4.05343535980818,3.33946961130308,3.58127124076375,5.10363448414454,4.46143438510358,4.27394482128055,4.52489642867088,4.33889286204367,3.96810187556661,4.0938208687614,2.93579285587359,3.086202870088,3.0386047107087
"CH-LF-6",1.98526078809725,1.11203439392308,1.47673927396155,0.887429084980936,1.99729739538708,1.95057805847556,2.80106553766967,2.51038701253517,0,0.682088186415142,4.81209912391634,4.46371377305015,0.807396013284992,0.690433707367172,2.50313957267295,0.933824664818752,3.28938179979396,3.51872004415967,3.22536825939351,3.42376138441414,1.89494845092715,0.34431068512772,0.484908271575417,1.23842042743799,1.44728160309685,1.96756572151853,2.23412103498796,2.92258727972354,2.86535423131134,3.15240120426364,3.45446427492267,3.55098274690957,3.53035385905277,3.31415268083568,5.9035557639863,5.40875870882806,5.65668303052485,5.15022172606178,4.83191972697179,2.06569454711762,4.28278237676914,1.05747805919957,3.09789805615498,5.58569199152176,4.67609209116132,4.37824666642535,3.44869992219208,2.96746908251296,1.40595553448934,2.64606619306434,3.0261421293319,2.45068760990893,2.73443645269096,1.01486344971052,1.6893079434342,6.96510057933894,3.02984533072365,4.14294670126343,6.88471772325456,4.70029607431329,4.38524782235675,4.88195904801957,8.58553849469194,3.71410766123256,6.80393827015642,6.56382237234335,5.84985662383825,4.77887800396853,6.30124124734933,4.7213694781537,3.86612064214126,5.21260694957897,4.02125638268861,4.6558123964747,4.35375596181152,5.44617986840876,5.5565287784044,5.54899172324386
"CH-LF-9",1.87896998644696,1.42313292724535,1.86474706015537,1.56951727139608,2.59083487990451,2.6326662448907,3.48315372408482,3.19247519895031,0.682088186415142,0,5.49418731033148,5.14580195946529,1.126605481819,0.357847789781792,1.82105138625781,1.20241025269163,3.18309099814366,3.41242924250938,3.11907745774321,3.31747058276384,2.57703663734229,0.337777501287422,0.378617469925122,0.556332241022853,0.765193416681713,1.86127491986823,2.12783023333766,2.2702926057377,2.75906342966105,3.04611040261335,3.34817347327237,3.44469194525928,3.42406305740248,3.20786187918538,5.797264962336,5.30246790717776,5.55039222887456,5.04393092441148,4.7256289253215,2.74778273353276,4.17649157511885,1.65101554371699,3.6914355406724,5.47940118987146,4.56980128951103,4.27195586477505,3.34240912054178,2.86117828086266,2.08804372090448,2.53977539141405,2.9198513276816,2.34439680825863,2.62814565104067,1.69695163612566,1.5830171417839,7.64718876575409,3.71193351713879,4.82503488767857,7.56680590966971,5.38238426072843,5.06733600877189,5.56404723443471,9.26762668110708,4.39619584764771,7.48602645657156,7.24591055875849,6.53194481025339,5.46096619038368,6.98332943376447,5.40345766456884,4.5482088285564,5.89469513599411,4.70334456910376,5.33790058288985,5.03584414822666,6.1282680548239,6.23861696481954,6.231079909659
