"","CH-LTAzI_EA-24","CH-LTAzI_EA-25","CH-LTAzI_EA-26","CH-LTAzI_EA-27","CH-LTAzI_EA-28","CH-LTAzI_EA-3","CH-LTAzI_EA-29","CH-LTAzI_EA-30","CH-LTAzI_EA-31","CH-LTAzI_EA-32","CH-LTAzI_EA-33/34","CH-LTAzI_EA-35","CH-LTAzI_EA-36","CH-LTAzI_EA-4","CH-LTAzI_EA-37","CH-LTAzI_EA-38","CH-LTAzI_EA-39","CH-LTAzI_EA-40","CH-LTAzI_EA-41","CH-LTAzI_EA-42/43","CH-LTAzI_EA-44","CH-LTAzI_EA-45","CH-LTAzI_EA-46","CH-LTAzI_EA-5","CH-LTAzI_EA-47/48","CH-LTAzI_EA-49","CH-LTAzI_EA-50","CH-LTAzI_EA-51","CH-LTAzI_EA-52","CH-LTAzI_EA-6/7","CH-LTAzI_EA-53","CH-LTAzI_EA-54","CH-LTAzI_EA-55","CH-LTAzI_EA-8","CH-LTAzI_EA-56","CH-LTAzI_EA-57","CH-LTAzI_EA-58","CH-LTAzI_EA-59","CH-LTAzI_EA-60","CH-LTAzI_EA-61","CH-LTAzI_EA-62","CH-LTAzI_EA-63","CH-LTAzI_EA-64","CH-LTAzI_EA-65","CH-LTAzI_EA-66","CH-LTAzI_EA-9","CH-LTAzI_EA-67","CH-LTAzI_EA-68","CH-LTAzI_EA-10","CH-LTAzI_EA-1","CH-LTAzI_EA-11","CH-LTAzI_EA-13","CH-LTAzI_EA-12","CH-LTAzI_EA-2","CH-LTAzI_EA-14","CH-LTAzI_EA-15","CH-LTAzI_EA-16","CH-LTAzI_EA-17","CH-LTAzI_EA-18","CH-LTAzI_EA-19","CH-LTAzI_EA-20","CH-LTAzI_EA-21","CH-LTAzI_EA-22","CH-LTAzI_EA-23","IX-LTAzI_EA-2","IX-LTAzI_EA-1","IX-LTAzI_EA-4","IX-LTAzI_EA-5/4XO-LTAzI_EA-5/4","TX-LTAzI_EA-2","TX-LTAzI_EA-3","TX-LTAzI_EA-4","IX-LTAzI_EA-3/1TX-LTAzI_EA-3/1","XO-LTAzI_EA-1","XO-LTAzI_EA-2","XO-LTAzI_EA-3"
"CH-LTAzI_EA-24",0,0.116260853975824,0.304724933462498,0.615990284673393,0.658962490768754,3.61115657721204,1.25819381258175,1.44942849131458,0.995694304764463,1.00326245648282,0.654015804715409,0.83631219489209,1.10348238450458,3.35111185513078,1.32068239486704,1.37865717218033,1.51943772366359,1.64225291253394,1.6812567539661,1.92631587889208,2.10628829664542,3.38631033568581,3.00878174891649,2.74654824309538,3.6507753920392,3.871154757086,4.23431353338866,4.04654915132608,4.17249519693704,2.28325612752145,4.75047745751378,4.5156420933891,4.82380307963869,2.34487920320946,6.16166121626988,6.06022041566239,5.03511898594161,5.12825496309907,5.28944519463527,5.47636815017922,5.87762821991035,5.86676033147603,5.82488425752294,5.65611143637947,5.40278426174012,1.41922424047274,6.042880853657,6.03415132547188,1.16167475720875,4.48842302835418,1.91885360161474,1.24074926308092,1.89765393483929,4.20107065236962,0.812813865602562,0.370587753995863,0.55024404822415,0.624417784660933,0.170881421792291,0.0966939334699721,0.943422304776894,0.754301148307125,0.569427928431,0.784052086431009,6.59496839155988,5.68901167220913,7.18588924191855,12.4286861830555,8.63936425601544,9.05680018667291,9.90512608355379,8.09424651881803,6.96607016166688,6.85056241888318,6.50292778370746
"CH-LTAzI_EA-25",0.116260853975824,0,0.188464079486674,0.499729430697569,0.54270163679293,3.61374642981177,1.14193295860592,1.33316763733875,0.879433450788639,0.887001602506997,0.537754950739585,0.720051340916266,0.987221530528758,3.35370170773051,1.20442154089122,1.26239631820451,1.40317686968777,1.52599205855812,1.56499589999028,1.81005502491626,1.99002744266959,3.27004948170999,2.89252089494066,2.7491380956951,3.53451453806337,3.75489390311018,4.11805267941284,3.93028829735025,4.05623434296122,2.28584598012118,4.63421660353796,4.39938123941328,4.70754222566287,2.34746905580919,6.04540036229405,5.94395956168657,4.91885813196579,5.01199410912325,5.17318434065945,5.3601072962034,5.76136736593453,5.75049947750021,5.70862340354712,5.53985058240365,5.28652340776429,1.42181409307247,5.92661999968118,5.91789047149605,1.16426460980848,4.49101288095391,2.03511445559056,1.35701011705674,2.01391478881511,4.20366050496935,0.929074719578386,0.486848607971687,0.666504902199974,0.740678638636757,0.287142275768115,0.212954787445796,0.946012157376622,0.756891000906853,0.572017781030728,0.786641939030737,6.59755824415961,5.69160152480885,7.18847909451828,12.4312760356552,8.64195410861516,9.05939003927264,9.90771593615352,8.09683637141775,6.84980930769106,6.73430156490735,6.38666692973163
"CH-LTAzI_EA-26",0.304724933462498,0.188464079486674,0,0.311265351210894,0.503413448853178,3.57755856027224,0.95346887911925,1.14470355785208,0.690969371301965,0.698537523020322,0.349290871252911,0.531587261429591,0.798757451042084,3.31751383819097,1.01595746140454,1.07393223871783,1.21471279020109,1.33752797907144,1.3765318205036,1.62159094542959,1.80156336318292,3.08158540222331,2.70405681545399,2.71295022615557,3.3460504585767,3.5664298236235,3.92958859992617,3.74182421786358,3.86777026347454,2.24965811058164,4.44575252405128,4.2109171599266,4.51907814617619,2.31128118626965,5.85693628280738,5.75549548219989,4.73039405247911,4.82353002963657,4.98472026117277,5.17164321671672,5.57290328644785,5.56203539801353,5.52015932406044,5.35138650291697,5.09805932827762,1.38562622353293,5.7381559201945,5.72942639200938,1.12807674026894,4.45482501141437,2.04091957962912,1.54547419654342,2.20237886830179,4.16747263542981,1.11753879906506,0.675312687458361,0.854968981686648,0.929142718123431,0.47560635525479,0.40141886693247,0.909824287837086,0.720703131367316,0.535829911491192,0.7504540694912,6.56137037462007,5.65541365526932,7.15229122497874,12.3950881661157,8.60576623907563,9.02320216973311,9.87152806661398,8.06064850187822,6.66134522820438,6.54583748542068,6.19820285024496
"CH-LTAzI_EA-27",0.615990284673393,0.499729430697569,0.311265351210894,0,0.278650765585447,3.68221523423303,0.642203527908355,0.833438206641185,0.69402438792015,0.387272171809428,0.439640583954044,0.569924840838128,0.83709503045062,3.42217051215177,0.704692110193647,1.11061091564398,1.25139146712724,1.37420665599759,1.37635537694715,1.31032559421869,1.49029801197202,2.77032005101242,2.3927914642431,2.81760690011636,3.0347851073658,3.25516447241261,3.61832324871527,3.43055886665269,3.55650491226365,2.35431478454244,4.13448717284039,3.89965180871571,4.2078127949653,2.57656370284349,5.54567093159648,5.444230130989,4.41912870126822,4.51226467842568,4.67345490996188,4.86037786550583,5.26163793523696,5.25077004680264,5.20889397284955,5.04012115170608,4.78679397706672,1.65090874010677,5.42689056898361,5.41816104079848,1.3119866441918,4.49904664470001,2.30620209620296,1.85673954775431,2.51364421951268,4.21169426871545,1.42880415027595,0.986578038669256,1.16623433289754,1.24040806933433,0.786871706465684,0.712684218143365,1.22108963904798,1.03196848257821,0.847095262702086,0.934363973414064,6.60559200790571,5.69963528855495,6.8692805764516,12.1300530299001,8.34073110286008,8.75816703351755,9.60649293039843,7.77763785335108,6.35007987699349,6.23457213420978,5.88693749903406
"CH-LTAzI_EA-28",0.658962490768754,0.54270163679293,0.503413448853178,0.278650765585447,0,3.96086599981848,0.920854293493802,1.11208897222663,0.972675153505597,0.665922937394875,0.718291349539492,0.848575606423575,1.11574579603607,3.70082127773722,0.983342875779095,1.38926168122943,1.53004223271269,1.65285742158304,1.65500614253259,1.58897635980414,1.76894877755747,3.04897081659787,2.67144222982854,3.09625766570181,3.31343587295125,3.53381523799805,3.89697401430072,3.70920963223813,3.8351556778491,2.63296555012789,4.41313793842584,4.17830257430116,4.48646356055075,2.81469463512283,5.82432169718193,5.72288089657444,4.69777946685367,4.79091544401112,4.95210567554733,5.13902863109128,5.54028870082241,5.52942081238809,5.487544738435,5.31877191729153,5.06544474265217,1.88903967238611,5.70554133456906,5.69681180638393,1.59063740977725,4.77769741028545,2.54433302848229,1.89971175384967,2.55661642560804,4.49034503430089,1.47177635637132,1.02955024476462,1.2092065389929,1.28338027542969,0.829843912561046,0.755656424238726,1.41323773669026,1.22411658022049,1.03924336034437,1.21301473899951,6.88424277349115,5.9782860541404,7.14793134203704,12.4087037954856,8.61938186844552,9.036817799103,9.88514369598388,8.05628861893652,6.62873064257893,6.51322289979523,6.16558826461951
"CH-LTAzI_EA-3",3.61115657721204,3.61374642981177,3.57755856027224,3.68221523423303,3.96086599981848,0,3.31447512466254,3.12324044592971,2.98819084631288,3.2949430624236,3.29624568605397,3.11394929587729,2.8467791062648,0.260044722081263,3.53213466054806,2.57160431858905,2.43082376710579,2.55363895597614,2.59264279740831,2.83239493195083,2.6524225141975,2.12745764869575,1.74992906192642,0.864608334116669,2.39192270504913,2.61230207009593,2.9754608463986,2.78769646433601,2.91364250994698,1.32790044969059,3.49162477052372,3.25678940639904,3.56495039264863,1.61098257665484,4.90280852927981,4.80136772867233,3.77626629895155,3.869402276109,4.03059250764521,4.21751546318916,4.61877553292029,4.60790764448597,4.56603157053288,4.39725874938941,4.14393157475005,2.53663753939156,4.78402816666694,4.77529863848181,2.4494818200033,1.21660337946591,2.69195558107666,3.37005991961048,3.52978967105241,0.929251003481353,3.79799531708884,3.98174433120791,3.73116514283032,3.52368168344268,3.78203799900434,3.70785051068202,3.10894781371226,2.91982665724249,3.04172864878104,2.82710449078104,3.32314874267161,2.41719202332086,3.91406959303028,9.1568665341672,5.36754460712717,5.78498053778465,6.63330643466553,4.82242686992976,5.33942474721675,5.45493249000045,5.24407509671739
"CH-LTAzI_EA-29",1.25819381258175,1.14193295860592,0.95346887911925,0.642203527908355,0.920854293493802,3.31447512466254,0,0.19123467873283,0.332713956703486,0.254931356098927,0.619880415304308,0.437584025127627,0.534767741153242,3.05443040258127,0.217659535885519,0.742870806073486,0.883651357556744,0.83572588718075,0.734151849038791,0.668122066310336,0.848094484063669,2.12811652310407,1.75058793633474,2.44986679054587,2.39258157945745,2.61296094450425,2.97611972080692,2.78835533874433,2.91430138435529,1.98657467497194,3.49228364493203,3.25744828080735,3.56560926705694,2.66187964276069,4.90346740368813,4.80202660308064,3.77692517335987,3.87006115051732,4.03125138205352,4.21817433759747,4.61943440732861,4.60856651889429,4.56669044494119,4.39791762379772,4.14459044915837,1.83114857145703,4.78468704107526,4.77595751289013,1.49222647554207,3.85684311679165,2.48644192755322,2.49894307566267,3.15584774742104,3.56949074080709,2.07100767818431,1.62878156657761,1.8084378608059,1.88261159724268,1.42907523437404,1.35488774605172,1.50231453016329,1.31319337369352,1.32922796276434,1.11460380476433,5.96338847999735,5.0574317606466,6.22707704854324,11.4878495019918,7.69852757495172,8.1159635056092,8.96428940249008,7.13543432544272,5.70787634908513,5.59236860630143,5.24473397112571
"CH-LTAzI_EA-30",1.44942849131458,1.33316763733875,1.14470355785208,0.833438206641185,1.11208897222663,3.12324044592971,0.19123467873283,0,0.523948635436316,0.446166034831757,0.811115094037138,0.628818703860457,0.726002419886072,2.86319572384844,0.408894214618349,0.551636127340656,0.692416678823914,0.64449120844792,0.542917170305961,0.476887387577506,0.656859805330839,1.93688184437124,1.55935325760191,2.25863211181304,2.20134690072462,2.42172626577142,2.78488504207409,2.5971206600115,2.72306670562246,1.79533999623911,3.3010489661992,3.06621360207452,3.37437458832411,2.47064496402786,4.7122327249553,4.61079192434781,3.58569049462703,3.67882647178449,3.84001670332069,4.02693965886464,4.42819972859578,4.41733184016145,4.37545576620836,4.20668294506489,3.95335577042554,2.02238325018986,4.59345236234242,4.5847228341573,1.6834611542749,3.66560843805882,2.67767660628605,2.6901777543955,3.34708242615387,3.37825606207426,2.26224235691714,1.82001624531044,1.99967253953873,2.07384627597551,1.62030991310687,1.54612242478455,1.69354920889612,1.50442805242635,1.52046264149717,1.30583848349716,5.77215380126452,4.86619708191377,6.03584236981041,11.2966148232589,7.50729289621889,7.92472882687637,8.77305472375725,6.94419964670989,5.5166416703523,5.4011339275686,5.05349929239288
"CH-LTAzI_EA-31",0.995694304764463,0.879433450788639,0.690969371301965,0.69402438792015,0.972675153505597,2.98819084631288,0.332713956703486,0.523948635436316,0,0.306752216110722,0.341678500049054,0.159382109872374,0.202053784449756,2.72814612423162,0.550373492589005,0.416586527723831,0.557367079207089,0.680182268077439,0.7191861095096,0.971391417338453,1.15136383509179,2.43138587413218,2.05385728736286,2.12358251219621,2.69585093048557,2.91623029553237,3.27938907183503,3.09162468977245,3.21757073538341,1.66029039662229,3.79555299596015,3.56071763183547,3.86887861808506,2.33559536441103,5.20673675471625,5.10529595410876,4.08019452438798,4.17333050154544,4.33452073308164,4.52144368862559,4.92270375835672,4.9118358699224,4.86995979596931,4.70118697482584,4.44785980018649,1.55294665620178,5.08795639210337,5.07922686391825,1.21402456028681,3.86545729745502,2.20824001229797,2.23644356784538,2.89334823960375,3.57810492147046,1.80850817036703,1.36628205876033,1.54593835298861,1.6201120894254,1.16657572655675,1.09238823823444,1.22411261490803,1.03499145843826,1.05102604750908,0.836401889509073,5.97200266066072,5.06604594130996,6.53034639957136,11.7911188530199,8.00179692597984,8.41923285663732,9.26755875351819,7.43870367647084,6.01114570011325,5.89563795732955,5.54800332215383
"CH-LTAzI_EA-32",1.00326245648282,0.887001602506997,0.698537523020322,0.387272171809428,0.665922937394875,3.2949430624236,0.254931356098927,0.446166034831757,0.306752216110722,0,0.36494905920538,0.1826526690287,0.449822858641193,3.03489834034234,0.317419938384219,0.723338743834553,0.864119295317811,0.986934484188161,0.989083205137718,0.923053422409263,1.1030258401626,2.38304787920299,2.00551929243367,2.43033472830694,2.64751293555638,2.86789230060318,3.23105107690584,3.04328669484326,3.16923274045422,1.96704261273301,3.74721500103096,3.51237963690628,3.82054062315587,2.50187217809483,5.15839875978705,5.05695795917957,4.03185652945879,4.12499250661625,4.28618273815245,4.4731056936964,4.87436576342753,4.86349787499321,4.82162180104012,4.65284897989665,4.3995218052573,1.57621721535811,5.03961839717418,5.03088886898905,1.23729511944314,4.11177447289058,2.23151057145429,2.24401171956374,2.90091639132211,3.82442209690602,1.81607632208538,1.37385021047868,1.55350650470697,1.62768024114375,1.17414387827511,1.09995638995279,1.24738317406436,1.05826201759459,1.07429660666541,0.8596724486654,6.21831983609628,5.31236311674552,6.48200840464217,11.7427808580907,7.95345893105065,8.37089486170813,9.219220758589,7.39036568154165,5.96280770518406,5.84729996240036,5.49966532722464
