"","CH-MF_LF-7","CH-MF_LF-9","CH-MF_LF-6","CH-MF_LF-10","CH-MF_LF-4/5","CH-MF_LF-1","CH-MF_LF-8","CH-MF_LF-2","CH-MF_LF-3","IX-MF_LF-1","IX-MF_LF-2","IX-MF_LF-4","IX-MF_LF-3","TX-MF_LF-5","TX-MF_LF-6/7","TX-MF_LF-1","TX-MF_LF-4","TX-MF_LF-2/3","XO-MF_LF-1"
"CH-MF_LF-7",0,1.76010768021951,1.46023418075121,3.35577706052879,2.10680034166096,3.06742984883927,0.419261214761986,2.41800085253881,1.97162649663355,2.95759360114415,3.51161985022479,5.13928372098807,4.16042861685079,4.83802848301048,5.54478362159542,5.72762968231426,5.82609362995742,5.37115796473128,4.24838127653148
"CH-MF_LF-9",1.76010768021951,0,2.38181943144675,1.59566938030928,3.0283855923565,2.11994383242566,1.34084646545753,2.76937282872613,2.89321174732909,1.19748592092463,1.75151217000527,3.37917604076856,2.40032093663128,3.89054246659688,3.7846759413759,4.78014366590066,4.87860761354382,4.42367194831768,2.48827359631196
"CH-MF_LF-6",1.46023418075121,2.38181943144675,0,3.97748881175603,0.646566160909755,2.10803166564292,1.04097296598922,1.45860266934246,1.0122283134372,3.03048957714395,4.13333160145202,5.7609954722153,4.78214036807803,3.87863029981413,5.50372482178517,4.76823149911792,4.86669544676108,4.41175978153493,4.87009302775871
"CH-MF_LF-10",3.35577706052879,1.59566938030928,3.97748881175603,0,4.62405497266578,3.71561321273494,2.93651584576681,4.36504220903541,4.48888112763837,2.79315530123391,1.05783888044842,2.25851476870822,1.27965966457094,5.48621184690616,4.57990014794688,6.37581304620994,6.4742769938531,6.01934132862696,0.963327338983753
"CH-MF_LF-4/5",2.10680034166096,3.0283855923565,0.646566160909755,4.62405497266578,0,2.75459782655268,1.68753912689898,2.10516883025221,1.65879447434696,3.67705573805371,4.77989776236178,6.40756163312506,5.42870652898778,4.52519646072389,6.15029098269493,5.41479766002767,5.51326160767083,5.05832594244469,5.51665918866847
"CH-MF_LF-1",3.06742984883927,2.11994383242566,2.10803166564292,3.71561321273494,2.75459782655267,0,2.64816863407728,0.649428996300461,1.09580335220572,0.922457911501031,3.87145600243094,5.49911987319422,4.52026476905695,1.77059863417121,3.39569315614225,2.660199833475,2.75866378111816,2.30372811589201,4.60821742873763
"CH-MF_LF-8",0.419261214761986,1.34084646545753,1.04097296598922,2.93651584576681,1.68753912689898,2.64816863407728,0,1.99873963777682,1.55236528187156,2.53833238638216,3.0923586354628,4.72002250622609,3.74116740208881,4.41876726824849,5.12552240683343,5.30836846755228,5.40683241519544,4.95189674996929,3.82912006176949
"CH-MF_LF-2",2.41800085253881,2.76937282872613,1.45860266934246,4.36504220903541,2.10516883025221,0.649428996300461,1.99873963777682,0,0.446374355905256,1.57188690780149,4.5208849987314,6.14854886949468,5.16969376535741,2.42002763047168,4.04512215244271,3.30962882977546,3.40809277741862,2.95315711219247,5.25764642503809
"CH-MF_LF-3",1.97162649663355,2.89321174732909,1.0122283134372,4.48888112763837,1.65879447434696,1.09580335220572,1.55236528187156,0.446374355905256,0,2.01826126370675,4.64472391733437,6.27238778809765,5.29353268396037,2.86640198637693,4.49149650834797,3.75600318568071,3.85446713332387,3.39953146809773,5.38148534364106
"IX-MF_LF-1",2.95759360114415,1.19748592092463,3.03048957714395,2.79315530123391,3.67705573805371,0.922457911501031,2.53833238638216,1.57188690780149,2.01826126370675,0,2.94899809092991,4.57666196169319,3.59780685755591,2.69305654567224,2.58719002045127,3.58265774497603,3.68112169261919,3.22618602739304,3.6857595172366
"IX-MF_LF-2",3.51161985022479,1.75151217000527,4.13333160145202,1.05783888044842,4.77989776236178,3.87145600243094,3.0923586354628,4.5208849987314,4.64472391733437,2.94899809092991,0,1.62766387076328,0.648808766626006,5.57414377197298,3.94904925000194,6.46374497127677,6.56220891891993,6.10727325369378,0.736761426306689
"IX-MF_LF-4",5.13928372098807,3.37917604076856,5.76099547221531,2.25851476870822,6.40756163312506,5.49911987319422,4.72002250622609,6.14854886949468,6.27238778809765,4.57666196169319,1.62766387076328,0,0.978855104137278,3.9464799012097,2.32138537923866,4.83608110051348,4.93454504815664,4.4796093829305,1.29518742972446
"IX-MF_LF-3",4.16042861685079,2.40032093663128,4.78214036807803,1.27965966457094,5.42870652898778,4.52026476905695,3.74116740208881,5.16969376535741,5.29353268396037,3.59780685755591,0.648808766626006,0.978855104137278,0,4.92533500534698,3.30024048337594,5.81493620465076,5.91340015229392,5.45846448706777,0.316332325587186
"TX-MF_LF-5",4.83802848301048,3.89054246659688,3.87863029981413,5.48621184690616,4.52519646072389,1.77059863417121,4.41876726824849,2.42002763047168,2.86640198637693,2.69305654567224,5.57414377197298,3.9464799012097,4.92533500534698,0,1.62509452197104,0.889601199303783,0.988065146946942,0.533129481720797,5.24166733093416
"TX-MF_LF-6/7",5.54478362159542,3.7846759413759,5.50372482178517,4.57990014794688,6.15029098269493,3.39569315614225,5.12552240683343,4.04512215244271,4.49149650834797,2.58719002045127,3.94904925000194,2.32138537923866,3.30024048337594,1.62509452197104,0,2.51469572127482,2.61315966891798,2.15822400369184,3.61657280896312
"TX-MF_LF-1",5.72762968231426,4.78014366590066,4.76823149911792,6.37581304620994,5.41479766002767,2.660199833475,5.30836846755228,3.30962882977546,3.75600318568071,3.58265774497603,6.46374497127677,4.83608110051348,5.81493620465076,0.889601199303783,2.51469572127482,0,0.444746109072917,0.356471717582986,6.13126853023795
"TX-MF_LF-4",5.82609362995742,4.87860761354382,4.86669544676108,6.4742769938531,5.51326160767083,2.75866378111816,5.40683241519544,3.40809277741862,3.85446713332387,3.68112169261919,6.56220891891993,4.93454504815664,5.91340015229392,0.988065146946942,2.61315966891798,0.444746109072917,0,0.454935665226144,6.2297324778811
"TX-MF_LF-2/3",5.37115796473128,4.42367194831768,4.41175978153493,6.01934132862696,5.05832594244469,2.30372811589201,4.95189674996929,2.95315711219247,3.39953146809773,3.22618602739304,6.10727325369378,4.4796093829305,5.45846448706777,0.533129481720797,2.15822400369184,0.356471717582986,0.454935665226144,0,5.77479681265496
"XO-MF_LF-1",4.24838127653148,2.48827359631196,4.87009302775871,0.963327338983753,5.51665918866847,4.60821742873763,3.82912006176949,5.25764642503809,5.38148534364105,3.6857595172366,0.736761426306689,1.29518742972446,0.316332325587186,5.24166733093416,3.61657280896313,6.13126853023795,6.22973247788111,5.77479681265496,0
