"","CH-MF-1","CH-MF-9","CH-MF-11","CH-MF-2","CH-MF-8","CH-MF-15","CH-MF-6/7","CH-MF-3","CH-MF-10","CH-MF-12","CH-MF-13","CH-MF-14","CH-MF-4","CH-MF-5","IX-MF-1","IX-MF-2","IX-MF-3","IX-MF-4","TX-MF-15","TX-MF-14","TX-MF-13","TX-MF-19","TX-MF-18","TX-MF-16/17","XO-MF-1"
"CH-MF-1",0,3.65465555119616,3.15140861011558,0.267472072303341,2.23187533008249,4.74707799042486,2.87844149099224,1.08912210300472,3.27284829607171,4.19809976102148,5.10215252485772,5.39279599088127,1.0795049497878,1.22248196327435,1.99770879663218,3.88520309010608,5.30371780922088,4.53401185673209,1.56730602015699,3.27061812317665,3.25328308718532,1.71500515850091,1.27025904942799,1.72519471465414,4.62196451641277
"CH-MF-9",3.65465555119616,0,1.72265372058198,3.38718347889282,1.42278022111367,3.18347306970943,2.06934638202343,3.54319870198378,0.381807255124453,1.26030065167494,2.16435341551118,2.53775506925301,2.89376970568332,2.43217358792181,2.87635353406538,3.47416589058726,5.10182976135054,4.12297465721326,5.22196157135316,4.97641325189658,5.54077893065235,5.36966070969707,4.92491460062416,5.3798502658503,4.14680040869318
"CH-MF-11",3.15140861011558,1.72265372058198,0,2.88393653781224,2.38181943144675,1.59566938030928,3.0283855923565,2.06228650711086,1.34084646545753,1.0466911509059,1.95074391474214,2.2413873807657,2.71171550341132,3.17331162117283,1.15369981348339,1.75151217000527,3.37917604076856,2.40032093663128,4.71871463027257,3.25375953131459,3.81812521007037,4.86641376861649,4.42166765954357,4.87660332476972,2.48827359631196
"CH-MF-2",0.267472072303341,3.38718347889282,2.88393653781224,0,1.96440325777915,4.47960591812152,2.6109694186889,0.821650030701381,3.00537622376837,3.93062768871814,4.83468045255438,5.12532391857793,0.812032877484461,0.955009890971005,1.73023672432884,3.61773101780274,5.24539488856603,4.26653978442875,1.83477809246034,3.53809019547999,3.52075515948866,1.98247723080425,1.53773112173134,1.99266678695748,4.35449244410943
"CH-MF-8",2.23187533008249,1.42278022111367,2.38181943144675,1.96440325777915,0,3.97748881175603,0.646566160909755,2.12041848087011,1.04097296598922,2.68308087278861,3.58713363662485,3.96053529036669,1.47098948456965,1.00939336680814,3.02900517449757,4.13333160145202,5.7609954722153,4.78214036807803,3.79918135023948,5.12906489232877,5.48515841726781,3.9468804885834,3.50213437951048,3.95707004473663,4.87009302775871
"CH-MF-15",4.74707799042486,3.18347306970943,1.59566938030928,4.47960591812152,3.97748881175603,0,4.62405497266578,3.65795588742014,2.93651584576681,1.92317241803449,1.53516670802402,0.645718000456417,4.3073848837206,4.76898100148211,2.74936919379267,1.05783888044842,2.25851476870822,1.27965966457094,5.02468762867217,3.32137552565251,3.88574120440829,5.91428882797595,6.01275277561911,5.55781711039297,0.963327338983753
"CH-MF-6/7",2.87844149099224,2.06934638202343,3.0283855923565,2.6109694186889,0.646566160909755,4.62405497266578,0,2.76698464177987,1.68753912689898,3.32964703369837,4.23369979753461,4.60710145127644,2.11755564547941,1.6559595277179,3.67557133540733,4.77989776236178,6.40756163312506,5.42870652898778,4.44574751114924,5.77563105323853,6.13172457817756,4.59344664949315,4.14870054042024,4.60363620564638,5.51665918866847
"CH-MF-3",1.08912210300472,3.54319870198378,2.06228650711086,0.821650030701381,2.12041848087011,3.65795588742014,2.76698464177987,0,3.16139144685933,3.10897765801676,4.013030421853,4.30367388787655,0.649428996300461,1.11102511406197,0.908586693627461,2.79608098710136,4.42374485786464,3.44488975372737,2.65642812316172,3.00864641145866,3.57301209021443,2.80412726150563,2.35938115243272,2.81431681765886,3.53284241340805
"CH-MF-10",3.27284829607171,0.381807255124453,1.34084646545753,3.00537622376837,1.04097296598922,2.93651584576681,1.68753912689898,3.16139144685933,0,1.64210790679939,2.54616067063563,2.91956232437747,2.51196245055887,2.05036633279736,2.49454627894092,3.0923586354628,4.72002250622609,3.74116740208881,4.8401543162287,4.59460599677212,5.15897167552789,4.98785345457262,4.5431073454997,4.99804301072585,3.82912006176949
"CH-MF-12",4.19809976102148,1.26030065167494,1.0466911509059,3.93062768871814,2.68308087278861,1.92317241803449,3.32964703369837,3.10897765801676,1.64210790679939,0,0.904052763836239,1.27745441757807,3.75840665431722,3.69247423959675,2.2003909643893,2.79820332091118,4.18168718674271,3.20283208260543,5.76540578117848,4.3004506822205,4.86481636097627,5.91310491952239,5.46835881044947,5.92329447567562,2.88649975701824
