"","CH-TF_CL-8","CH-TF_CL-5","CH-TF_CL-7","CH-TF_CL-18","CH-TF_CL-17","CH-TF_CL-19","CH-TF_CL-3/4","CH-TF_CL-20","CH-TF_CL-22","CH-TF_CL-21","CH-TF_CL-1","CH-TF_CL-2","CH-TF_CL-6","CH-TF_CL-10/11","CH-TF_CL-12","CH-TF_CL-13","CH-TF_CL-16","CH-TF_CL-14","CH-TF_CL-15","CH-TF_CL-9","IX-TF_CL-3","IX-TF_CL-2","IX-TF_CL-1","TX-TF_CL-2","TX-TF_CL-1"
"CH-TF_CL-8",0,0.888120649710103,1.74441582536544,0.782823372190547,1.36657873862439,2.15890277903875,1.37409417258795,2.26026506610118,3.27091653648556,2.57460604910795,2.8334929500562,2.58428037644586,1.19383867057704,2.42059777087187,1.76036584784643,2.02942878078695,3.24354837801887,2.49060975821124,2.60667955621916,2.21526545865872,6.86087674016341,3.30135809988465,5.50299219274357,4.86763920734525,5.50468729201774
"CH-TF_CL-5",0.888120649710103,0,0.856295175655342,1.67094402190065,1.86377486423863,2.65609890465298,0.485973522877845,3.14838571581128,4.15903718619566,3.46272669881806,1.9453723003461,1.69615972673576,0.305718020866939,3.30871842058197,2.64848649755653,2.91754943049705,3.73712177737559,2.98418315756796,3.10025295557589,2.70883885801544,6.9462508964638,3.2141290835761,5.58836634904396,3.97951855763514,4.61656664230763
"CH-TF_CL-7",1.74441582536544,0.856295175655342,0,1.59123505501714,1.00747968858329,1.79980372899764,0.896472629217725,3.06867674892777,3.48657077233394,3.38301773193454,1.08907712469076,2.10665883307564,0.550577154788403,3.99027798354438,3.50478167321187,3.59910899345946,4.14762088371547,3.39468226390784,3.51075206191577,3.11933796435532,6.08995572080846,2.35783390792076,4.73207117338862,3.1232233819798,3.76027146665229
"CH-TF_CL-18",0.782823372190547,1.67094402190065,1.59123505501714,0,0.583755366433847,1.3760794068482,2.15691754477849,1.47744169391063,2.48809316429501,1.79178267691741,2.68031217970789,3.36710374863641,1.97666204276759,3.20342114306241,2.54318922003697,2.81225215297749,4.02637175020942,3.27343313040179,3.38950292840971,2.99808883084927,6.07805336797287,2.5185347276941,4.72016882055302,4.675135296516,5.31218338118849
"CH-TF_CL-17",1.36657873862439,1.86377486423863,1.00747968858329,0.583755366433847,0,0.792324040414353,1.90395231780101,2.06119706034448,2.47909108375065,2.37553804335125,2.09655681327405,3.11413852165893,1.55805684337169,3.78717650949626,3.12694458647082,3.39600751941134,4.61012711664327,3.85718849683563,3.97325829484356,3.58184419728312,5.66690117414796,1.93477936126026,4.30901662672811,4.09137993008215,4.72842801475464
"CH-TF_CL-19",2.15890277903875,2.65609890465298,1.79980372899764,1.3760794068482,0.792324040414353,0,2.69627635821537,1.77387758714169,1.68676704333629,2.08821857014846,1.56370142896552,2.99170375179183,2.35038088378604,4.57950054991061,3.91926862688517,4.18833155982569,5.40245115705762,4.64951253724999,4.76558233525791,4.37416823769747,4.8745771337336,1.1424553208459,3.51669258631376,3.2990558896678,3.93610397434029
"CH-TF_CL-3/4",1.37409417258795,0.485973522877845,0.896472629217725,2.15691754477849,1.90395231780101,2.69627635821537,0,3.63435923868913,4.38304340155166,3.9487002216959,1.98554975390848,1.21018620385792,0.345895474429322,3.09380535432666,2.6777649459499,2.70263636424174,3.25114825449775,2.49820963469012,2.61427943269804,2.2228653351376,6.98642835002619,3.25430653713849,5.62854380260634,4.01969601119753,4.65674409587002
"CH-TF_CL-20",2.26026506610118,3.14838571581128,3.06867674892777,1.47744169391063,2.06119706034448,1.77387758714169,3.63435923868913,0,1.01065147038438,0.314340983006775,3.33757901610721,4.76558133893351,3.45410373667822,4.68086283697304,4.0206309139476,4.28969384688812,5.50381344412005,4.75087482431242,4.86694462232034,4.4755305247599,4.60061167406223,2.91633290798759,3.24272712664239,5.07293347680949,5.70998156148197
"CH-TF_CL-22",3.27091653648556,4.15903718619566,3.48657077233394,2.48809316429501,2.47909108375065,1.68676704333629,4.38304340155166,1.01065147038438,0,0.696310487377606,3.25046847230181,4.67847079512812,4.03714792712234,5.69151430735742,5.03128238433198,5.30034531727251,6.51446491450443,5.7615262946968,5.87759609270472,5.48618199514428,3.58996020367785,2.29980084669178,2.23207565625801,4.45640141551367,5.09344950018616
"CH-TF_CL-21",2.57460604910795,3.46272669881806,3.38301773193454,1.79178267691741,2.37553804335125,2.08821857014846,3.9487002216959,0.314340983006775,0.696310487377606,0,3.65191999911398,5.07992232194029,3.76844471968499,4.99520381997982,4.33497189695438,4.6040348298949,5.81815442712682,5.06521580731919,5.18128560532712,4.78987150776667,4.28627069105546,2.99611133406938,2.92838614363561,5.15271190289128,5.78975998756377
