"","CH-TF-25","CH-TF-33","CH-TF-32","CH-TF-28","CH-TF-3","CH-TF-22","CH-TF-55/56","CH-TF-11","CH-TF-19","CH-TF-8/9","CH-TF-12","CH-TF-6","CH-TF-59","CH-TF-57","CH-TF-58","CH-TF-16","CH-TF-61","CH-TF-15","CH-TF-63","CH-TF-62","CH-TF-1","CH-TF-5","CH-TF-20","CH-TF-48","CH-TF-14","CH-TF-2","CH-TF-18","CH-TF-54","CH-TF-29","CH-TF-30","CH-TF-51","CH-TF-4","CH-TF-7","CH-TF-10","CH-TF-13","CH-TF-17","CH-TF-21","CH-TF-23","CH-TF-26","CH-TF-27","CH-TF-31","CH-TF-36","CH-TF-52","CH-TF-60","CH-TF-45","CH-TF-46","CH-TF-47","CH-TF-49","CH-TF-50","CH-TF-53","CH-TF-43/44","CH-TF-39/40/41/42","CH-TF-37","CH-TF-38","CH-TF-35","CH-TF-34","CH-TF-24","IX-TF-1","IX-TF-4","IX-TF-5","IX-TF-6","IX-TF-8","IX-TF-9","IX-TF-12","IX-TF-7","IX-TF-13","IX-TF-2","IX-TF-3","IX-TF-10/11","TX-TF-43","TX-TF-51","TX-TF-49/50","TX-TF-45","TX-TF-37","TX-TF-39","TX-TF-42","TX-TF-46","TX-TF-44","TX-TF-38","TX-TF-40/41","XO-TF-1"
"CH-TF-25",0,0.579697574590006,0.39149763569185,0.533815966221674,3.03307733967028,0.992612130178822,1.45594366000852,2.70788269106731,1.71139179428746,2.06937420300714,2.64264469952052,2.52350411571593,2.18716259517191,2.74470025868049,3.55337192163544,1.9891305715885,3.66371359403387,2.31062897814025,4.69825493312142,4.03757185721353,3.27517730867513,2.38189397451366,1.15736501448751,3.14954097660126,2.663640018445,3.35816110191484,1.98063465303911,1.45713396501197,0.748158935572642,0.997575239698231,2.01697257349362,2.51253988456059,2.15245028060572,2.26145871974962,2.51660803526103,2.18723970347398,1.05649166987693,0.37990613668685,1.20896941668474,1.71959694310681,1.12354428723641,0.934931187125115,1.54818414316571,3.42602073004311,1.85183023465635,2.15424817720513,2.90112417112663,2.840579367128,1.99332798706792,1.44720155371489,1.651081421928,1.30730177026053,0.955503929609674,1.0671723416335,0.710446196028081,0.648816854599629,0.332762554901889,5.14310720321596,4.36128803109885,6.45512777658334,6.72793923461186,7.00601141904564,6.65133851001505,8.02232810785384,6.12504838102084,9.69987731127905,4.60292766933371,4.76748980911456,7.37102321946445,6.36778811799769,7.13624045046207,7.65387284879484,7.91206302925544,6.34930196434581,5.77148501905662,5.41682554473879,8.6879868159244,8.11278241231996,6.12187160663211,5.80237073387585,5.37119964865734
"CH-TF-33",0.579697574590006,0,0.188199938898156,0.33051826942798,3.61277491426028,1.57230970476883,2.03564123459852,3.28758026565732,2.29108936887747,2.64907177759715,3.22234227411053,3.10320169030594,2.76686016976192,3.32439783327049,4.13306949622545,2.56882814617851,4.24341116862388,2.89032655273026,5.27795250771143,4.61726943180354,3.85487488326514,2.96159154910366,1.73706258907751,2.56984340201125,3.24333759303501,3.93785867650485,2.56033222762912,1.07217668123697,0.466161316920789,0.612617955923231,1.43727499890361,3.0922374591506,2.73214785519573,2.84115629433963,3.09630560985104,2.76693727806399,1.63618924446694,0.959603711276857,1.00567171989105,1.33488594657667,0.738587003461404,0.355233612535109,0.968486568575704,4.00571830463311,1.27213266006634,1.57455060261512,2.32142659653662,2.26088179253799,1.41363041247792,1.06224426993988,1.07138384733799,0.727604195670527,0.375806355019668,0.487474767043493,0.130748621438075,0.0691192800096225,0.912460129491895,5.72280477780597,4.94098560568886,7.03482535117335,7.30763680920187,7.58570899363564,7.23103608460506,8.60202568244384,6.70474595561085,10.2795748858691,5.18262524392372,5.34718738370457,7.95072079405445,6.9474856925877,7.71593802505208,8.23357042338485,8.49176060384545,6.92899953893582,6.35118259364663,5.99652311932879,9.26768439051441,8.69247998690996,6.70156918122212,6.38206830846586,5.95089722324735
"CH-TF-32",0.39149763569185,0.188199938898156,0,0.142318330529824,3.42457497536213,1.38410976587067,1.84744129570037,3.09938032675916,2.10288942997931,2.46087183869899,3.03414233521237,2.91500175140778,2.57866023086376,3.13619789437234,3.94486955732729,2.38062820728035,4.05521122972572,2.7021266138321,5.08975256881327,4.42906949290538,3.66667494436698,2.77339161020551,1.54886265017936,2.75804334090941,3.05513765413685,3.74965873760669,2.37213228873096,1.06563632932012,0.356661299880792,0.606077604006381,1.62547493780177,2.90403752025244,2.54394791629757,2.65295635544147,2.90810567095288,2.57873733916583,1.44798930556878,0.7714037723787,0.817471780992893,1.32809930741496,0.732046651544555,0.543433551433265,1.15668650747386,3.81751836573496,1.4603325989645,1.76275054151328,2.50962653543478,2.44908173143615,1.60183035137607,1.05570391802304,1.25958378623615,0.915804134568684,0.564006293917824,0.675674705941649,0.318948560336231,0.257319218907779,0.724260190593739,5.53460483890781,4.7527856667907,6.84662541227519,7.11943687030371,7.39750905473749,7.0428361457069,8.41382574354569,6.51654601671269,10.0913749469709,4.99442530502556,5.15898744480641,7.76252085515629,6.75928575368954,7.52773808615392,8.04537048448669,8.30356066494729,6.74079960003766,6.16298265474847,5.80832318043064,9.07948445161625,8.50428004801181,6.51336924232396,6.1938683695677,5.76269728434919
"CH-TF-28",0.533815966221674,0.33051826942798,0.142318330529824,0,3.56689330589195,1.5264280964005,1.98975962623019,3.24169865728898,2.24520776050914,2.60319016922882,3.17646066574219,3.05732008193761,2.72097856139359,3.27851622490216,4.08718788785712,2.52294653781018,4.19752956025555,2.84444494436192,5.2320708993431,4.5713878234352,3.8089932748968,2.91570994073533,1.69118098070918,2.90036167143923,3.19745598466667,3.89197706813651,2.51445061926078,0.923317998790298,0.214342969350968,0.463759273476557,1.5281482098691,3.04635585078227,2.6862662468274,2.79527468597129,3.05042400148271,2.72105566969566,1.59030763609861,0.913722102908524,0.675153450463069,1.18578097688513,0.589728321014731,0.685751881963089,1.05935977954119,3.95983669626478,1.60265092949432,1.9050688720431,2.6519448659646,2.59140006196597,1.7441486819059,0.913385587493212,1.40190211676597,1.05812246509851,0.706324624447648,0.817993036471473,0.461266890866055,0.399637549437603,0.866578521123563,5.67692316943763,4.89510399732052,6.98894374280502,7.26175520083354,7.53982738526731,7.18515447623672,8.55614407407551,6.65886434724252,10.2336932775007,5.13674363555538,5.30130577533623,7.90483918568612,6.90160408421937,7.67005641668374,8.18768881501651,8.44587899547711,6.88311793056748,6.3053009852783,5.95064151096046,9.22180278214607,8.64659837854163,6.65568757285379,6.33618670009753,5.90501561487902
"CH-TF-3",3.03307733967028,3.61277491426028,3.42457497536213,3.56689330589195,0,2.1525557117862,2.23704295584527,0.325194648602967,1.36265691740838,1.49558327341033,0.471866250221751,1.59689284546987,2.88702900661289,2.32949134310431,2.6729916728788,1.04394676808177,4.03264648678843,1.20415246888555,4.38609435962985,4.40650474996809,1.77426179373005,1.18306350190382,1.87571232518277,3.26641831808133,0.851141428580798,0.325083762244564,1.09341405865673,4.49021130468225,3.78123627524292,4.03065257936851,4.68399916347896,1.18626657218345,1.74447691708938,1.39484958111733,0.597902914481236,0.845837636196294,1.97658566979334,2.65317120298343,4.24204675635502,4.75267428277708,4.15662162690668,3.96800852679539,4.58126148283599,3.79495362279766,4.06729544907698,3.7648775065282,3.0180015126067,4.18306170697379,4.20879320148855,4.48027889338516,4.26804426180533,4.34037910993081,3.98858126927995,4.10024968130378,3.74352353569836,3.68189419426991,3.12726587888097,3.64219168827088,2.86037251615376,4.95421226163826,5.22702371966678,5.50509590410055,6.25851169274704,6.70138345180838,4.62413286607576,8.37893265523359,3.10201215438862,3.26657429416948,6.05007856341899,4.86687260305261,5.63532493551699,6.15295733384976,6.41114751431035,4.84838644940073,4.27056950411154,3.9159100297937,7.18707130097931,6.61186689737487,4.62095609168703,4.30145521893077,5.05903907516577
"CH-TF-22",0.992612130178822,1.57230970476883,1.38410976587067,1.5264280964005,2.1525557117862,0,0.463331529829694,1.82736106318323,0.830870166403384,1.18885257512306,1.76212307163644,1.64298248783185,1.19455046499309,1.75208812850166,2.56075979145662,1.10860894370442,2.67110146385505,1.43010735025617,3.7056428029426,3.04495972703471,2.39465568079105,1.50137234662958,0.276843386603426,3.49237319945195,1.78311839056092,2.47763947403076,1.10011302515503,2.44974609519079,1.74077106575146,1.99018736987705,3.00958470367244,1.63201825667651,1.27192865272164,1.38093709186554,1.63608640737695,1.3067180755899,0.201892196192722,0.612705993491972,2.20158154686357,2.71220907328563,2.11615641741523,1.92754331730394,2.54079627334453,2.43340859986428,2.84444236483517,3.14686030738395,3.24395639397732,3.83319149730682,2.98594011724675,2.43981368389371,2.64369355210682,2.29991390043936,1.9481160597885,2.05978447181232,1.7030583262069,1.64142898477845,1.08680066938952,4.26258557533188,3.48076640321477,5.57460614869926,5.84741760672778,6.12548979116156,5.65872637983623,7.02971597767501,5.24452675313676,8.70726518110023,3.72240604144963,3.88696818123048,6.37841108928562,5.48726649011361,6.25571882257799,6.77335122091076,7.03154140137136,5.46878033646173,4.89096339117254,4.53630391685471,7.80746518804032,7.23226078443587,5.24134997874803,4.92184910599177,4.37858751847852
"CH-TF-55/56",1.45594366000852,2.03564123459852,1.84744129570037,1.98975962623019,2.23704295584527,0.463331529829694,0,1.91184830724231,0.874386038436897,1.23236844715658,1.93664795471177,1.68649835986537,0.731218935163397,1.28875659867197,2.09742826162693,1.57194047353412,2.20776993402536,1.89343888008587,3.24231127311291,2.58162819720501,2.43817155282456,1.54488821866309,0.740174916433121,3.95570472928165,2.1676961906306,2.56212671808984,1.14362889718854,2.91307762502049,2.20410259558116,2.45351889970675,3.47291623350214,1.67553412871003,1.31544452475516,1.42445296389905,1.91445767653103,1.39120531964898,0.665223726022417,1.07603752332167,2.66491307669326,3.17554060311532,2.57948794724492,2.39087484713363,3.00412780317423,1.97007707003459,3.30777389466487,3.61019183721364,3.70728792380702,4.29652302713651,3.44927164707644,2.9031452137234,3.10702508193651,2.76324543026905,2.41144758961819,2.52311600164202,2.1663898560366,2.10476051460815,1.55013219921921,3.91640755289695,3.13458838077984,5.22842812626433,5.50123958429285,5.77931176872663,5.19539485000653,6.56638444784532,4.89834873070183,8.24393365127053,3.3762280190147,3.54079015879555,5.91507955945593,5.53078236214713,5.90954080014306,6.42717319847583,7.07505727340487,5.51229620849524,4.93447926320606,4.57981978888822,7.85098106007383,7.27577665646939,5.28486585078155,4.96536497802529,3.91525598864883
"CH-TF-11",2.70788269106731,3.28758026565732,3.09938032675916,3.24169865728898,0.325194648602967,1.82736106318323,1.91184830724231,0,1.03746226880541,1.26173944925684,0.146671601618784,1.76178406083117,2.6430672424057,2.49438255846562,2.83788288824011,0.718752119478807,4.11961824126766,0.878957820282581,4.55098557499115,4.49347650444732,2.09945644233301,1.36767304590922,1.5505176765798,2.94122366947836,0.525946779977831,0.650278410847531,0.768219410053762,4.16501665607928,3.45604162663995,3.70545793076554,4.35880451487599,1.49831895595616,1.47852075512367,1.06965493251436,0.27270826587827,0.520642987593328,1.65139102119038,2.32797655438046,3.91685210775205,4.42747963417412,3.83142697830371,3.64281387819242,4.25606683423302,3.88192537727689,3.74210080047401,3.43968285792524,2.69280686400373,3.85786705837083,3.88359855288558,4.15508424478219,3.94284961320237,4.01518446132784,3.66338662067698,3.77505503270081,3.41832888709539,3.35669954566694,2.80207123027801,3.96738633687384,3.18556716475673,5.27940691024123,5.55221836826975,5.83029055270352,6.50406915188478,7.02657810041135,4.94932751467873,8.70412730383656,3.42720680299159,3.59176894277244,6.37527321202196,5.19206725165557,5.96051958411995,6.47815198245272,6.73634216291332,5.17358109800369,4.59576415271451,4.24110467839667,7.51226594958228,6.93706154597784,4.94615074029,4.62664986753374,5.22393029052707
"CH-TF-19",1.71139179428746,2.29108936887747,2.10288942997931,2.24520776050914,1.36265691740838,0.830870166403384,0.874386038436897,1.03746226880541,0,0.357982408719681,1.06226191627487,0.812112321428469,1.60560497360029,1.54471081906291,1.8882111488374,0.71492841309756,3.08215597246225,1.33377760880657,3.60131383558844,3.45601423564191,1.56378551438767,0.670502180226192,0.554026779799958,3.39604345800235,1.2933101521937,1.68774067965294,0.269242858751646,3.16852575929944,2.45955072986011,2.7089670339857,3.72836436778109,0.801148090273128,0.441058486318258,0.550066925462157,1.04007163809414,0.516819281212081,0.654900124410531,1.33148565760061,2.92036121097221,3.43098873739427,2.83493608152387,2.64632298141258,3.25957593745317,2.84446310847149,3.56322202894381,3.86563997149259,3.14762665252772,4.31268684689482,3.70471978135539,3.15859334800235,3.36247321621546,3.018693564548,2.66689572389714,2.77856413592096,2.42183799031555,2.36020864888709,1.80558033349816,3.4317154089285,2.64989623681138,4.74373598229588,5.0165474403244,5.29461962475817,5.55439741248207,6.490907172466,4.41365658673338,8.16845637589121,2.89153587504624,3.0560980148271,5.83960228407661,4.65639632371023,5.42484865617461,5.94248105450738,6.20067123496797,4.63791017005835,4.06009322476916,3.70543375045132,6.97659502163693,6.40139061803249,4.41047981234465,4.09097893958839,4.27425855112436
"CH-TF-8/9",2.06937420300714,2.64907177759715,2.46087183869899,2.60319016922882,1.49558327341033,1.18885257512306,1.23236844715658,1.26173944925684,0.357982408719681,0,1.2865390967263,0.500044611574336,1.79018077271735,1.23264310920878,1.57614343898327,0.93920559354899,2.93579825289289,1.558054789258,3.28924612573431,3.30965651607255,1.20580310566799,0.312519771506511,0.912009188519639,3.62032063845378,1.51758733264513,1.82066703565489,0.493520039203076,3.52650816801912,2.81753313857979,3.06694944270538,4.08634677650077,0.443165681553448,0.248893643679053,0.192084516742476,1.26434881854557,0.741096461663511,1.01288253313021,1.68946806632029,3.27834361969189,3.78897114611395,3.19291849024355,3.00430539013226,3.61755834617286,2.69810538890213,3.92120443766349,4.11877982690066,3.37190383297915,4.53696402734625,4.06270219007507,3.51657575672203,3.72045562493514,3.37667597326768,3.02487813261682,3.13654654464064,2.77982039903523,2.71819105760677,2.16356274221784,3.07373300020882,2.2919138280917,4.3857535735762,4.65856503160472,4.93663721603849,5.24232970262794,6.13292476374632,4.0556741780137,7.81047396717153,2.53355346632656,2.69811560610741,5.48161987535693,4.29841391499055,5.06686624745493,5.5844986457877,5.84268882624829,4.27992776133867,3.70211081604948,3.34745134173164,6.61861261291725,6.04340820931281,4.05249740362497,3.73299653086871,3.96219084127023
