Site,Region,Period,Number,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,Architecture,TerraceConfidence,TerraceExtent,Sherd,SherdMed,SherdMin,SherdMax,Rubble,RubbleMed,RubbleMin,RubbleMax,Population,PopMin,PopMax,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,OccSeqLoc,SubOc1,SubOc2,PdDupSite,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum,
CH-AZ-1,CH,AZ,1,1001001,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2136.15,518.43,2390,0,2370,2410,15,"Lower piedmont, Smooth terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,Grazing,None or Unspecified,760,6.1,2,0,0,1,1,180,FALSE,,Trace,,,,,,,,,70,35,70,AD,6,Large hamlet,,2,0,1,0,0,0,0,,0,0,0,0,0,1,1,1,B,B,0,4,,2136,518,2136150,518430,1,
CH-AZ-2,CH,AZ,2,1001002,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2135.38,518.68,2450,2450,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,790,4.1,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,80,40,80,AD,6,Large hamlet,,3,0,1,0,0,0,0,,0,0,0,0,1,1,1,2,B,B,0,4,,2135,519,2135380,518680,112,
CH-AZ-3,CH,AZ,3,1001003,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2134.53,516.27,2350,0,2300,2400,15,"Lower piedmont, Smooth terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,Grazing and Agriculture,None or Unspecified,700,64,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,1280,640,1280,AD,7,Large dispersed village,,3,0,0,0,0,0,0,,0,1,1,0,1,1,2,3,A,A,0,4,,2135,516,2134530,516270,211,
CH-AZ-4,CH,AZ,4,1001004,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2133.53,513.95,2270,2270,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,Moderate (determination of boundaries problematic),690,3.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,40,20,40,AD,6,Large hamlet,,2,0,0,1,0,0,0,,0,0,0,0,0,1,1,4,C,D,0,4,,2134,514,2133530,513950,222,
CH-AZ-5,CH,AZ,5,1001005,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2133.03,516.35,2330,0,2300,2360,15,"Lower piedmont, Smooth terrain",Medium,,Shallow (1-25 cm),Deep (100+ cm),Moderate-deep,,Moderate,Deep,Grazing and Agriculture,None or Unspecified,730,70.6,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,1000,500,1000,AD,7,Large dispersed village,,3,0,0,0,0,0,0,,0,0,2,0,1,1,2,5,A,A,0,4,,2133,516,2133030,516350,233,
CH-AZ-6,CH,AZ,6,1001006,,Chalco,Aztec,72-1,Jeffrey Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2133.58,519.97,2500,2500,0,0,18,"Upper piedmont, Smooth terrain",Fully eroded,Fully eroded,,,Deep,Deep,,,None,None or Unspecified,910,0.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,6,A,A,0,4,,2134,520,2133580,519970,244,
CH-AZ-7,CH,AZ,7,1001007,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.47,517.1,2325,0,2300,2350,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Fully eroded,Deep (100+ cm),Moderate-deep,,Moderate,Deep,Grazing and Agriculture,Slight (no difficulty in recognizing site boundaries),760,60,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,800,400,800,AD,7,Large dispersed village,2,3,0,0,1,0,1,0,,1,0,0,0,1,1,2,7,C,C,0,4,,2131,517,2131470,517100,255,
CH-AZ-8,CH,AZ,8,1001008,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.2,518.57,2350,2350,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,780,2.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,50,25,50,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,8,A,A,0,4,,2131,519,2131200,518570,266,
CH-AZ-9,CH,AZ,9,1001009,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.85,518.75,2345,0,2340,2350,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-deep,,Moderate,Deep,Grazing and Agriculture,None or Unspecified,790,5.2,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,60,30,60,AD,6,Large hamlet,,2,0,1,0,0,0,0,,0,0,0,0,0,1,1,9,C,D,0,4,,2131,519,2130850,518750,277,
CH-AZ-10,CH,AZ,10,1001010,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.85,519.75,2360,2360,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,830,1.1,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,15,10,15,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,10,A,A,0,4,,2131,520,2130850,519750,2,
