Site,AzISite
CH-AZ-5,CH-AzI-1
CH-AZ-18,CH-AzI-2
CH-AZ-21,CH-AzI-3
CH-AZ-22,CH-AzI-4
CH-AZ-27,CH-AzI-5
CH-AZ-29,CH-AzI-6
CH-AZ-30,CH-AzI-7
CH-AZ-39,CH-AzI-8
CH-AZ-70,CH-AzI-9
CH-AZ-72,CH-AzI-10
CH-AZ-76,CH-AzI-11
CH-AZ-79,CH-AzI-12
CH-AZ-86,CH-AzI-13
CH-AZ-88,CH-AzI-14
CH-AZ-90,CH-AzI-15
CH-AZ-93,CH-AzI-16
CH-AZ-94,CH-AzI-17
CH-AZ-97,CH-AzI-18
CH-AZ-102,CH-AzI-19
CH-AZ-103,CH-AzI-20
CH-AZ-107,CH-AzI-21
CH-AZ-111,CH-AzI-22
CH-AZ-112,CH-AzI-23
CH-AZ-127,CH-AzI-24
CH-AZ-128,CH-AzI-25
CH-AZ-131,CH-AzI-26
CH-AZ-132,CH-AzI-27
CH-AZ-136,CH-AzI-28
CH-AZ-137,CH-AzI-29
CH-AZ-138,CH-AzI-30
CH-AZ-139,CH-AzI-31
CH-AZ-140,CH-AzI-32
CH-AZ-158,CH-AzI-33
CH-AZ-162,CH-AzI-34
CH-AZ-164,CH-AzI-35
CH-AZ-166,CH-AzI-36
CH-AZ-172,CH-AzI-37
CH-AZ-174,CH-AzI-38
CH-AZ-186,CH-AzI-39
CH-AZ-187,CH-AzI-40
CH-AZ-190,CH-AzI-41
CH-AZ-192,CH-AzI-42
CH-AZ-194,CH-AzI-43
CH-AZ-195,CH-AzI-44
CH-AZ-205,CH-AzI-45
CH-AZ-209,CH-AzI-46
CH-AZ-212,CH-AzI-47
CH-AZ-233,CH-AzI-48
CH-AZ-236,CH-AzI-49
CH-AZ-248,CH-AzI-50
CH-AZ-249,CH-AzI-51
CH-AZ-252,CH-AzI-52
CH-AZ-253,CH-AzI-53
CH-AZ-256,CH-AzI-54
CH-AZ-257,CH-AzI-55
CH-AZ-260,CH-AzI-56
CH-AZ-263,CH-AzI-57
CH-AZ-267,CH-AzI-58
CH-AZ-273,CH-AzI-59
CH-AZ-282,CH-AzI-60
IX-A-11,IX-AzI-1
IX-A-15,IX-AzI-2
IX-A-72,IX-AzI-3
TX-A-42,TX-AzI-1
TX-A-101,TX-AzI-2
XO-AZ-1,XO-AzI-1
XO-AZ-2,XO-AzI-2
XO-AZ-5,XO-AzI-3
XO-AZ-33,XO-AzI-4
XO-AZ-71,XO-AzI-5
XO-AZ-78,XO-AzI-6
XO-AZ-90,XO-AzI-7
