Site,EASite
CH-AZ-2,CH-EA-1
CH-AZ-3,CH-EA-2
CH-AZ-5,CH-EA-3
CH-AZ-6,CH-EA-4
CH-AZ-7,CH-EA-5
CH-AZ-11,CH-EA-6
CH-AZ-12,CH-EA-7
CH-AZ-14,CH-EA-8
CH-AZ-15,CH-EA-9
CH-AZ-16,CH-EA-10
CH-AZ-17,CH-EA-11
CH-AZ-18,CH-EA-12
CH-AZ-21,CH-EA-13
CH-AZ-22,CH-EA-14
CH-AZ-23,CH-EA-15
CH-AZ-25,CH-EA-16
CH-AZ-26,CH-EA-17
CH-AZ-27,CH-EA-18
CH-AZ-28,CH-EA-19
CH-AZ-29,CH-EA-20
CH-AZ-30,CH-EA-21
CH-AZ-31,CH-EA-22
CH-AZ-32,CH-EA-23
CH-AZ-35,CH-EA-24
CH-AZ-36,CH-EA-25
CH-AZ-37,CH-EA-26
CH-AZ-39,CH-EA-27
CH-AZ-40,CH-EA-28
CH-AZ-41,CH-EA-29
CH-AZ-42,CH-EA-30
CH-AZ-44,CH-EA-31
CH-AZ-48,CH-EA-32
CH-AZ-49,CH-EA-33
CH-AZ-50,CH-EA-34
CH-AZ-51,CH-EA-35
CH-AZ-55,CH-EA-36
CH-AZ-57,CH-EA-37
CH-AZ-59,CH-EA-38
CH-AZ-63,CH-EA-39
CH-AZ-65,CH-EA-40
CH-AZ-66,CH-EA-41
CH-AZ-67,CH-EA-42
CH-AZ-69,CH-EA-43
CH-AZ-70,CH-EA-44
CH-AZ-72,CH-EA-45
CH-AZ-74,CH-EA-46
CH-AZ-75,CH-EA-47
CH-AZ-76,CH-EA-48
CH-AZ-79,CH-EA-49
CH-AZ-80,CH-EA-50
CH-AZ-81,CH-EA-51
CH-AZ-82,CH-EA-52
CH-AZ-86,CH-EA-53
CH-AZ-87,CH-EA-54
CH-AZ-88,CH-EA-55
CH-AZ-90,CH-EA-56
CH-AZ-91,CH-EA-57
CH-AZ-92,CH-EA-58
CH-AZ-93,CH-EA-59
CH-AZ-94,CH-EA-60
CH-AZ-96,CH-EA-61
CH-AZ-97,CH-EA-62
CH-AZ-100,CH-EA-63
CH-AZ-101,CH-EA-64
CH-AZ-102,CH-EA-65
CH-AZ-103,CH-EA-66
CH-AZ-106,CH-EA-67
CH-AZ-107,CH-EA-68
CH-AZ-108,CH-EA-69
CH-AZ-109,CH-EA-70
CH-AZ-111,CH-EA-71
CH-AZ-112,CH-EA-72
CH-AZ-120,CH-EA-73
CH-AZ-126,CH-EA-74
CH-AZ-127,CH-EA-75
CH-AZ-128,CH-EA-76
CH-AZ-130,CH-EA-77
CH-AZ-131,CH-EA-78
CH-AZ-132,CH-EA-79
CH-AZ-136,CH-EA-80
CH-AZ-137,CH-EA-81
CH-AZ-138,CH-EA-82
CH-AZ-139,CH-EA-83
CH-AZ-140,CH-EA-84
CH-AZ-141,CH-EA-85
CH-AZ-146,CH-EA-86
CH-AZ-152,CH-EA-87
CH-AZ-154,CH-EA-88
CH-AZ-157,CH-EA-89
CH-AZ-158,CH-EA-90
CH-AZ-159,CH-EA-91
CH-AZ-160,CH-EA-92
CH-AZ-161,CH-EA-93
CH-AZ-162,CH-EA-94
CH-AZ-163,CH-EA-95
CH-AZ-164,CH-EA-96
CH-AZ-166,CH-EA-97
CH-AZ-167,CH-EA-98
CH-AZ-169,CH-EA-99
CH-AZ-170,CH-EA-100
CH-AZ-172,CH-EA-101
CH-AZ-174,CH-EA-102
CH-AZ-186,CH-EA-103
CH-AZ-187,CH-EA-104
CH-AZ-188,CH-EA-105
CH-AZ-189,CH-EA-106
CH-AZ-190,CH-EA-107
CH-AZ-191,CH-EA-108
CH-AZ-192,CH-EA-109
CH-AZ-194,CH-EA-110
CH-AZ-195,CH-EA-111
CH-AZ-199,CH-EA-112
CH-AZ-205,CH-EA-113
CH-AZ-209,CH-EA-114
CH-AZ-212,CH-EA-115
CH-AZ-231,CH-EA-116
CH-AZ-233,CH-EA-117
CH-AZ-236,CH-EA-118
CH-AZ-248,CH-EA-119
CH-AZ-249,CH-EA-120
CH-AZ-252,CH-EA-121
