NUM,Site,SiteNum,SITE_ID,East,North,SurvReg,BO_AzI_TOT,EA_TOT,LA_TOT,DIAGN_TOT,TOTAL
1,TX-A-1,1,1001,504331.1762,2160939.246,TX,0,1,31,32,33
2,TX-A-2,2,1002,504951.1912,2161520.51,TX,0,2,8,10,10
3,TX-A-3,3,1003,504977.0251,2161946.77,TX,0,2,37,39,41
4,TX-A-6,6,1006,508025.432,2161610.929,TX,0,9,49,58,60
5,TX-A-9,9,1009,508942.5374,2164103.906,TX,0,4,1,5,5
6,TX-A-10,10,1010,510311.7371,2163884.317,TX,0,8,18,26,27
7,TX-A-14,14,1014,514554.9645,2162398.864,TX,0,23,10,33,33
8,TX-A-16,16,1016,515149.1455,2163419.306,TX,1,10,0,10,10
9,TX-A-17,17,1017,514303.0834,2164297.66,TX,0,14,17,31,31
10,TX-A-18,18,1018,512610.9593,2165292.268,TX,0,11,40,51,51
11,TX-A-21,21,1021,514290.1664,2166648.55,TX,0,18,55,73,74
12,TX-A-22,22,1022,515543.1133,2165111.43,TX,0,21,21,42,43
13,TX-A-23,23,1023,515575.4058,2167798.161,TX,0,11,63,74,74
14,TX-A-24,24,1024,517861.7109,2166816.471,TX,0,145,429,574,586
15,TX-A-25,25,1025,520548.4424,2165796.03,TX,0,130,37,167,169
16,TX-A-26,26,1026,522292.2345,2165976.867,TX,0,11,51,62,63
17,TX-A-27,27,1027,522460.1552,2165124.347,TX,0,50,225,275,279
18,TX-A-28,28,1028,523816.4379,2165124.347,TX,0,38,136,174,175
19,TX-A-30,30,1030,524358.951,2163651.811,TX,0,46,175,221,231
20,TX-A-31,31,1031,524229.7812,2162631.37,TX,0,12,103,115,127
21,TX-A-34,34,1034,523222.2569,2163845.566,TX,0,16,51,67,67
22,TX-A-36,36,1036,522356.8194,2163496.808,TX,0,9,53,62,62
23,TX-A-38,38,1038,520251.3519,2163148.049,TX,0,6,26,32,33
24,TX-A-40,40,1040,517816.5015,2163096.381,TX,2,201,196,397,399
25,TX-A-42,42,1042,504163.2555,2156327.885,TX,2,2,2,4,4
26,TX-A-43,43,1043,505274.1156,2154299.919,TX,0,0,0,0,0
27,TX-A-44,44,1044,506746.6511,2155462.447,TX,0,1,1,2,5
28,TX-A-46,46,1046,508651.9054,2155798.289,TX,1,9,3,12,13
